EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 105010 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105010,19000101,    6,    0
105010,19000102,    7,    0
105010,19000103,    8,    0
105010,19000104,    7,    0
105010,19000105,    6,    0
105010,19000106,    8,    0
105010,19000107,    8,    0
105010,19000108,    8,    0
105010,19000109,    8,    0
105010,19000110,    7,    0
105010,19000111,    6,    0
105010,19000112,    8,    0
105010,19000113,    8,    0
105010,19000114,    8,    0
105010,19000115,    6,    0
105010,19000116,    8,    0
105010,19000117,    8,    0
105010,19000118,    6,    0
105010,19000119,    5,    0
105010,19000120,    7,    0
105010,19000121,    7,    0
105010,19000122,    8,    0
105010,19000123,    8,    0
105010,19000124,    8,    0
105010,19000125,    5,    0
105010,19000126,    4,    0
105010,19000127,    8,    0
105010,19000128,    8,    0
105010,19000129,    8,    0
105010,19000130,    8,    0
105010,19000131,    8,    0
105010,19000201,    8,    0
105010,19000202,    8,    0
105010,19000203,    6,    0
105010,19000204,    3,    0
105010,19000205,    7,    0
105010,19000206,    8,    0
105010,19000207,    8,    0
105010,19000208,    8,    0
105010,19000209,    8,    0
105010,19000210,    8,    0
105010,19000211,    6,    0
105010,19000212,    8,    0
105010,19000213,    7,    0
105010,19000214,    7,    0
105010,19000215,    6,    0
105010,19000216,    6,    0
