EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 105012 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105012,19010101,   93,    0
105012,19010102,  100,    0
105012,19010103,   95,    0
105012,19010104,   96,    0
105012,19010105,   95,    0
105012,19010106,   93,    0
105012,19010107,  100,    0
105012,19010108,  100,    0
105012,19010109,   99,    0
105012,19010110,  100,    0
105012,19010111,   92,    0
105012,19010112,   89,    0
105012,19010113,   96,    0
105012,19010114,   94,    0
105012,19010115,   99,    0
105012,19010116,  100,    0
105012,19010117,   99,    0
105012,19010118,  100,    0
105012,19010119,   96,    0
105012,19010120,   94,    0
105012,19010121,   89,    0
105012,19010122,   93,    0
105012,19010123,   84,    0
105012,19010124,   87,    0
105012,19010125,   87,    0
105012,19010126,   77,    0
105012,19010127,   81,    0
105012,19010128,   88,    0
105012,19010129,   78,    0
105012,19010130,   92,    0
105012,19010131,   99,    0
105012,19010201,   29,    0
105012,19010202,   26,    0
105012,19010203,   94,    0
105012,19010204,   98,    0
105012,19010205,   87,    0
105012,19010206,   90,    0
105012,19010207,   91,    0
105012,19010208,   38,    0
105012,19010209,   41,    0
105012,19010210,   42,    0
105012,19010211,   37,    0
105012,19010212,   35,    0
105012,19010213,   35,    0
105012,19010214,   40,    0
105012,19010215,   41,    0
105012,19010216,   40,    0
105012,19010217,   32,    0
105012,19010218,   36,    0
105012,19010219,   37,    0
105012,19010220,   37,    0
105012,19010221,   37,    0
105012,19010222,   37,    0
105012,19010223,   36,    0
105012,19010224,   33,    0
105012,19010225,   82,    0
105012,19010226,   79,    0
105012,19010227,   79,    0
105012,19010228,   71,    0
105012,19010301,   80,    0
105012,19010302,   72,    0
105012,19010303,   76,    0
105012,19010304,   80,    0
105012,19010305,   80,    0
105012,19010306,   61,    0
105012,19010307,   70,    0
105012,19010308,   65,    0
