EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 105011 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
105011,19810101,10297,    0
105011,19810102,10274,    0
105011,19810103,10147,    0
105011,19810104,10103,    0
105011,19810105,10233,    0
105011,19810106,10189,    0
105011,19810107,10312,    0
105011,19810108,10405,    0
105011,19810109,10333,    0
105011,19810110,10174,    0
105011,19810111,10233,    0
105011,19810112,10182,    0
105011,19810113,10159,    0
105011,19810114,10161,    0
105011,19810115, 9989,    0
105011,19810116,10127,    0
105011,19810117,10080,    0
105011,19810118,10176,    0
105011,19810119,10161,    0
105011,19810120,10159,    0
105011,19810121,10311,    0
105011,19810122,10335,    0
105011,19810123,10348,    0
105011,19810124,10309,    0
105011,19810125,10305,    0
105011,19810126,10350,    0
105011,19810127,10412,    0
105011,19810128,10417,    0
105011,19810129,10391,    0
105011,19810130,10391,    0
105011,19810131,10406,    0
105011,19810201,10411,    0
105011,19810202,10392,    0
105011,19810203,10216,    0
105011,19810204,10023,    0
105011,19810205,10137,    0
105011,19810206,10248,    0
105011,19810207,10313,    0
105011,19810208,10294,    0
105011,19810209,10192,    0
105011,19810210,10229,    0
105011,19810211,10268,    0
105011,19810212,10207,    0
105011,19810213,10224,    0
105011,19810214,10251,    0
105011,19810215,10240,    0
105011,19810216,10237,    0
105011,19810217,10242,    0
105011,19810218,10182,    0
105011,19810219,10164,    0
105011,19810220,10186,    0
105011,19810221,10214,    0
105011,19810222,10171,    0
105011,19810223,10166,    0
105011,19810224,10199,    0
105011,19810225,10262,    0
105011,19810226,10247,    0
105011,19810227,10179,    0
105011,19810228,10130,    0
105011,19810301,10151,    0
105011,19810302,10115,    0
105011,19810303,10055,    0
105011,19810304,10136,    0
105011,19810305,10173,    0
105011,19810306,10167,    0
105011,19810307,10211,    0
105011,19810308,10194,    0
105011,19810309,10234,    0
105011,19810310,10215,    0
105011,19810311,10129,    0
105011,19810312,10083,    0
105011,19810313,10079,    0
105011,19810314,10105,    0
105011,19810315,10126,    0
105011,19810316,10145,    0
105011,19810317,10135,    0
105011,19810318,10150,    0
105011,19810319,10146,    0
105011,19810320,10107,    0
105011,19810321,10122,    0
105011,19810322,10081,    0
105011,19810323,10115,    0
105011,19810324,10144,    0
105011,19810325,10140,    0
105011,19810326,10157,    0
105011,19810327,10157,    0
105011,19810328,10087,    0
105011,19810329,10047,    0
105011,19810330,10120,    0
105011,19810331,10102,    0
105011,19810401,10123,    0
105011,19810402,10149,    0
105011,19810403,10187,    0
105011,19810404,10201,    0
105011,19810405,10196,    0
105011,19810406,10187,    0
105011,19810407,10212,    0
105011,19810408,10228,    0
105011,19810409,10235,    0
105011,19810410,10195,    0
105011,19810411,10153,    0
105011,19810412,10181,    0
105011,19810413,10213,    0
105011,19810414,10209,    0
105011,19810415,10201,    0
105011,19810416,10155,    0
105011,19810417,10151,    0
105011,19810418,10188,    0
105011,19810419,10175,    0
105011,19810420,10188,    0
105011,19810421,10229,    0
105011,19810422,10185,    0
105011,19810423,10128,    0
105011,19810424,10092,    0
105011,19810425,10078,    0
105011,19810426,10076,    0
105011,19810427,10119,    0
105011,19810428,10200,    0
105011,19810429,10217,    0
105011,19810430,10159,    0
105011,19810501,10093,    0
105011,19810502,10110,    0
105011,19810503,10101,    0
105011,19810504,10009,    0
105011,19810505,10095,    0
105011,19810506,10187,    0
105011,19810507,10133,    0
105011,19810508,10115,    0
105011,19810509,10066,    0
105011,19810510,10010,    0
105011,19810511,10031,    0
105011,19810512,10074,    0
105011,19810513,10112,    0
105011,19810514,10154,    0
105011,19810515,10162,    0
105011,19810516,10152,    0
105011,19810517,10178,    0
105011,19810518,10194,    0
105011,19810519,10210,    0
105011,19810520,10194,    0
105011,19810521,10164,    0
105011,19810522,10225,    0
105011,19810523,10191,    0
105011,19810524,10162,    0
105011,19810525,10116,    0
105011,19810526,10097,    0
105011,19810527,10126,    0
105011,19810528,10177,    0
105011,19810529,10185,    0
105011,19810530,10174,    0
105011,19810531,10166,    0
105011,19810601,10170,    0
105011,19810602,10157,    0
105011,19810603,10123,    0
105011,19810604,10198,    0
105011,19810605,10206,    0
105011,19810606,10184,    0
105011,19810607,10160,    0
105011,19810608,10145,    0
105011,19810609,10149,    0
105011,19810610,10229,    0
105011,19810611,10222,    0
105011,19810612,10232,    0
105011,19810613,10273,    0
105011,19810614,10246,    0
105011,19810615,10191,    0
105011,19810616,10171,    0
105011,19810617,10192,    0
105011,19810618,10226,    0
105011,19810619,10225,    0
105011,19810620,10209,    0
105011,19810621,10210,    0
105011,19810622,10215,    0
105011,19810623,10175,    0
105011,19810624,10143,    0
105011,19810625,10132,    0
105011,19810626,10116,    0
105011,19810627,10139,    0
105011,19810628,10109,    0
105011,19810629,10213,    0
105011,19810630,10236,    0
105011,19810701,10180,    0
105011,19810702,10103,    0
105011,19810703,10138,    0
105011,19810704,10230,    0
105011,19810705,10224,    0
105011,19810706,10233,    0
105011,19810707,10218,    0
105011,19810708,10168,    0
105011,19810709,10138,    0
105011,19810710,10143,    0
105011,19810711,10179,    0
105011,19810712,10205,    0
105011,19810713,10205,    0
105011,19810714,10222,    0
105011,19810715,10214,    0
105011,19810716,10182,    0
