EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 100739 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100739,19010101,   22,    0
100739,19010102,   25,    0
100739,19010103,    0,    0
100739,19010104,    0,    0
100739,19010105,    0,    0
100739,19010106,    0,    0
100739,19010107,    0,    0
100739,19010108,    0,    0
100739,19010109,    0,    0
100739,19010110,    0,    0
100739,19010111,    0,    0
100739,19010112,    0,    0
100739,19010113,    0,    0
100739,19010114,    0,    0
100739,19010115,    0,    0
100739,19010116,    0,    0
100739,19010117,    0,    0
100739,19010118,    0,    0
100739,19010119,    0,    0
100739,19010120,   32,    0
100739,19010121,   60,    0
100739,19010122,    0,    0
100739,19010123,    0,    0
100739,19010124,    0,    0
100739,19010125,    5,    0
100739,19010126,   35,    0
100739,19010127,   60,    0
100739,19010128,  110,    0
100739,19010129,   61,    0
100739,19010130,    4,    0
100739,19010131,    0,    0
100739,19010201,  144,    0
100739,19010202,    6,    0
100739,19010203,    0,    0
100739,19010204,   35,    0
100739,19010205,   20,    0
100739,19010206,   30,    0
100739,19010207,    0,    0
100739,19010208,    7,    0
100739,19010209,    0,    0
100739,19010210,    2,    0
100739,19010211,    2,    0
100739,19010212,    0,    0
100739,19010213,    6,    0
100739,19010214,    1,    0
100739,19010215,    0,    0
100739,19010216,   30,    0
100739,19010217,   20,    0
100739,19010218,   31,    0
100739,19010219,    6,    0
100739,19010220,    0,    0
100739,19010221,    0,    0
100739,19010222,    0,    0
100739,19010223,    0,    0
100739,19010224,    0,    0
100739,19010225,    0,    0
100739,19010226,    0,    0
100739,19010227,    0,    0
100739,19010228,    6,    0
100739,19010301,    6,    0
100739,19010302,   15,    0
100739,19010303,   45,    0
100739,19010304,   20,    0
100739,19010305,   20,    0
100739,19010306,   20,    0
100739,19010307,    1,    0
100739,19010308,    0,    0
100739,19010309,    0,    0
100739,19010310,   15,    0
100739,19010311,    7,    0
100739,19010312,   60,    0
100739,19010313,    1,    0
100739,19010314,    0,    0
100739,19010315,    6,    0
100739,19010316,   40,    0
100739,19010317,    1,    0
100739,19010318,    0,    0
100739,19010319,    0,    0
100739,19010320,  290,    0
100739,19010321,   25,    0
100739,19010322,    3,    0
100739,19010323,    0,    0
100739,19010324,    1,    0
100739,19010325,    1,    0
100739,19010326,    0,    0
100739,19010327,    7,    0
100739,19010328,    0,    0
100739,19010329,    2,    0
100739,19010330,    0,    0
100739,19010331,    0,    0
100739,19010401,   77,    0
100739,19010402,    0,    0
100739,19010403,    0,    0
100739,19010404,   30,    0
100739,19010405,  230,    0
100739,19010406,   13,    0
100739,19010407,  145,    0
100739,19010408,   60,    0
100739,19010409,  184,    0
100739,19010410,  105,    0
100739,19010411,   55,    0
100739,19010412,   35,    0
100739,19010413,   30,    0
100739,19010414,   55,    0
100739,19010415,   34,    0
100739,19010416,   44,    0
100739,19010417,    8,    0
100739,19010418,    0,    0
100739,19010419,    0,    0
100739,19010420,    0,    0
100739,19010421,    0,    0
100739,19010422,    0,    0
100739,19010423,    0,    0
100739,19010424,    0,    0
100739,19010425,    0,    0
100739,19010426,   35,    0
100739,19010427,   20,    0
100739,19010428,   10,    0
100739,19010429,   85,    0
100739,19010430,   10,    0
100739,19010501,    0,    0
100739,19010502,   50,    0
100739,19010503,   19,    0
100739,19010504,    0,    0
100739,19010505,    0,    0
100739,19010506,   75,    0
100739,19010507,   25,    0
100739,19010508,   40,    0
100739,19010509,    1,    0
100739,19010510,    6,    0
100739,19010511,    3,    0
100739,19010512,    0,    0
100739,19010513,    0,    0
100739,19010514,    0,    0
100739,19010515,    0,    0
100739,19010516,    5,    0
100739,19010517,    0,    0
100739,19010518,    0,    0
100739,19010519,    0,    0
100739,19010520,    0,    0
100739,19010521,    0,    0
100739,19010522,    0,    0
100739,19010523,    0,    0
100739,19010524,    0,    0
100739,19010525,    0,    0
100739,19010526,    5,    0
100739,19010527,    0,    0
100739,19010528,    3,    0
100739,19010529,    0,    0
100739,19010530,    3,    0
100739,19010531,    0,    0
100739,19010601,    0,    0
100739,19010602,  125,    0
100739,19010603,    0,    0
100739,19010604,    0,    0
100739,19010605,    0,    0
100739,19010606,    0,    0
100739,19010607,    0,    0
