EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 105014 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
105014,19010101,    0,    0
105014,19010102,    0,    0
105014,19010103,    0,    0
105014,19010104,   48,    0
105014,19010105,   31,    0
105014,19010106,   39,    0
105014,19010107,   47,    0
105014,19010108,    0,    0
105014,19010109,    2,    0
105014,19010110,    0,    0
105014,19010111,   15,    0
105014,19010112,    9,    0
105014,19010113,   13,    0
105014,19010114,   47,    0
105014,19010115,   39,    0
105014,19010116,   36,    0
105014,19010117,   12,    0
105014,19010118,   36,    0
105014,19010119,   28,    0
105014,19010120,    0,    0
105014,19010121,    0,    0
105014,19010122,    0,    0
105014,19010123,   38,    0
105014,19010124,    6,    0
105014,19010125,    0,    0
105014,19010126,   14,    0
105014,19010127,    0,    0
105014,19010128,    0,    0
105014,19010129,   20,    0
105014,19010130,   20,    0
105014,19010131,   54,    0
105014,19010201,    0,    0
105014,19010202,    0,    0
105014,19010203,    2,    0
105014,19010204,    0,    0
105014,19010205,   29,    0
105014,19010206,    4,    0
105014,19010207,    0,    0
105014,19010208,    2,    0
105014,19010209,   21,    0
105014,19010210,    1,    0
105014,19010211,    0,    0
105014,19010212,   79,    0
105014,19010213,   27,    0
105014,19010214,   41,    0
105014,19010215,   72,    0
105014,19010216,   10,    0
105014,19010217,    0,    0
105014,19010218,    0,    0
105014,19010219,   17,    0
105014,19010220,   54,    0
105014,19010221,   45,    0
105014,19010222,   56,    0
105014,19010223,   78,    0
105014,19010224,   56,    0
105014,19010225,    0,    0
105014,19010226,   83,    0
105014,19010227,    6,    0
105014,19010228,   27,    0
105014,19010301,    0,    0
105014,19010302,   24,    0
105014,19010303,   19,    0
105014,19010304,   17,    0
105014,19010305,    0,    0
105014,19010306,   63,    0
105014,19010307,    9,    0
105014,19010308,   78,    0
105014,19010309,    0,    0
105014,19010310,    8,    0
105014,19010311,    0,    0
105014,19010312,    0,    0
105014,19010313,   29,    0
105014,19010314,   59,    0
105014,19010315,    4,    0
105014,19010316,    0,    0
105014,19010317,    0,    0
105014,19010318,   24,    0
105014,19010319,   15,    0
105014,19010320,    0,    0
105014,19010321,    0,    0
105014,19010322,   16,    0
105014,19010323,   14,    0
105014,19010324,   11,    0
105014,19010325,   85,    0
105014,19010326,    0,    0
105014,19010327,   53,    0
105014,19010328,   21,    0
105014,19010329,   33,    0
105014,19010330,  102,    0
105014,19010331,    1,    0
105014,19010401,    0,    0
105014,19010402,   64,    0
105014,19010403,   26,    0
105014,19010404,    1,    0
105014,19010405,    0,    0
105014,19010406,   13,    0
105014,19010407,    3,    0
105014,19010408,   17,    0
105014,19010409,    4,    0
105014,19010410,    5,    0
105014,19010411,   35,    0
105014,19010412,    0,    0
105014,19010413,   26,    0
105014,19010414,    0,    0
105014,19010415,   54,    0
105014,19010416,   53,    0
105014,19010417,   16,    0
105014,19010418,   97,    0
105014,19010419,  113,    0
105014,19010420,  110,    0
105014,19010421,  114,    0
105014,19010422,  114,    0
105014,19010423,  110,    0
105014,19010424,   67,    0
105014,19010425,   88,    0
105014,19010426,   76,    0
105014,19010427,   35,    0
105014,19010428,    8,    0
105014,19010429,   58,    0
105014,19010430,   26,    0
105014,19010501,   91,    0
105014,19010502,  105,    0
105014,19010503,    6,    0
105014,19010504,   81,    0
105014,19010505,  108,    0
105014,19010506,   18,    0
105014,19010507,   61,    0
105014,19010508,   57,    0
105014,19010509,   46,    0
105014,19010510,    1,    0
105014,19010511,    0,    0
105014,19010512,   45,    0
105014,19010513,  125,    0
105014,19010514,  109,    0
105014,19010515,  108,    0
105014,19010516,   93,    0
105014,19010517,   45,    0
105014,19010518,   15,    0
105014,19010519,  119,    0
105014,19010520,  118,    0
105014,19010521,  107,    0
105014,19010522,  117,    0
105014,19010523,   83,    0
105014,19010524,  111,    0
105014,19010525,   65,    0
105014,19010526,   19,    0
105014,19010527,   80,    0
105014,19010528,  111,    0
105014,19010529,  109,    0
105014,19010530,   53,    0
105014,19010531,   95,    0
105014,19010601,  120,    0
105014,19010602,  106,    0
105014,19010603,   42,    0
105014,19010604,   68,    0
105014,19010605,  123,    0
105014,19010606,   69,    0
105014,19010607,   85,    0
105014,19010608,  119,    0
105014,19010609,   30,    0
105014,19010610,   61,    0
105014,19010611,   85,    0
105014,19010612,  120,    0
105014,19010613,    2,    0
105014,19010614,   59,    0
105014,19010615,    0,    0
105014,19010616,   45,    0
105014,19010617,   21,    0
105014,19010618,    3,    0
105014,19010619,   12,    0
105014,19010620,   93,    0
105014,19010621,  110,    0
105014,19010622,  116,    0
105014,19010623,  111,    0
105014,19010624,    0,    0
105014,19010625,  100,    0
105014,19010626,   93,    0
105014,19010627,  120,    0
105014,19010628,  101,    0
105014,19010629,   94,    0
105014,19010630,   54,    0
105014,19010701,   24,    0
105014,19010702,    0,    0
105014,19010703,   95,    0
105014,19010704,   29,    0
105014,19010705,   61,    0
105014,19010706,   18,    0
105014,19010707,  115,    0
105014,19010708,  120,    0
105014,19010709,  121,    0
105014,19010710,  101,    0
105014,19010711,  120,    0
105014,19010712,  122,    0
105014,19010713,  111,    0
105014,19010714,   95,    0
105014,19010715,   47,    0
105014,19010716,  114,    0
105014,19010717,  119,    0
105014,19010718,  105,    0
105014,19010719,  108,    0
105014,19010720,  118,    0
105014,19010721,  111,    0
105014,19010722,   17,    0
105014,19010723,   27,    0
105014,19010724,   68,    0
105014,19010725,   57,    0
105014,19010726,  107,    0
105014,19010727,   39,    0
105014,19010728,   25,    0
105014,19010729,   84,    0
105014,19010730,   36,    0
105014,19010731,    0,    0
105014,19010801,    0,    0
105014,19010802,    0,    0
105014,19010803,   37,    0
105014,19010804,  109,    0
105014,19010805,   18,    0
105014,19010806,    6,    0
105014,19010807,   32,    0
105014,19010808,  125,    0
105014,19010809,  108,    0
105014,19010810,  107,    0
105014,19010811,   80,    0
105014,19010812,    0,    0
105014,19010813,    0,    0
105014,19010814,   78,    0
105014,19010815,   18,    0
105014,19010816,    7,    0
105014,19010817,   75,    0
105014,19010818,   92,    0
105014,19010819,  114,    0
105014,19010820,   69,    0
105014,19010821,   63,    0
105014,19010822,   97,    0
105014,19010823,  112,    0
105014,19010824,  104,    0
105014,19010825,   38,    0
105014,19010826,   13,    0
105014,19010827,   32,    0
105014,19010828,    8,    0
105014,19010829,   46,    0
105014,19010830,  110,    0
105014,19010831,  106,    0
105014,19010901,   13,    0
105014,19010902,    0,    0
105014,19010903,    0,    0
105014,19010904,    0,    0
105014,19010905,    2,    0
105014,19010906,    0,    0
105014,19010907,   31,    0
105014,19010908,   80,    0
105014,19010909,  100,    0
105014,19010910,   27,    0
105014,19010911,   11,    0
105014,19010912,    0,    0
105014,19010913,    0,    0
105014,19010914,    0,    0
105014,19010915,   38,    0
105014,19010916,   71,    0
105014,19010917,   39,    0
105014,19010918,   53,    0
105014,19010919,   83,    0
105014,19010920,   70,    0
105014,19010921,   84,    0
105014,19010922,   29,    0
105014,19010923,   42,    0
105014,19010924,    0,    0
105014,19010925,    0,    0
105014,19010926,    0,    0
105014,19010927,   40,    0
105014,19010928,   19,    0
105014,19010929,   44,    0
105014,19010930,   71,    0
105014,19011001,   60,    0
105014,19011002,    0,    0
105014,19011003,    0,    0
105014,19011004,    0,    0
