EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWITZERLAND, BASEL BINNINGEN (STAID: 239).
Blended and updated with sources: 100736 906601 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100736,19010101,  -10,    0
100736,19010102,  -40,    0
100736,19010103,  -70,    0
100736,19010104, -115,    0
100736,19010105, -135,    0
100736,19010106, -140,    0
100736,19010107, -120,    0
100736,19010108, -115,    0
100736,19010109,  -70,    0
100736,19010110,  -60,    0
100736,19010111,  -35,    0
100736,19010112,    0,    0
100736,19010113,  -30,    0
100736,19010114,  -60,    0
100736,19010115,  -90,    0
100736,19010116,  -70,    0
100736,19010117, -110,    0
100736,19010118,  -90,    0
100736,19010119,  -65,    0
100736,19010120,  -25,    0
100736,19010121,   10,    0
100736,19010122,   20,    0
100736,19010123,   25,    0
100736,19010124,   15,    0
100736,19010125,   20,    0
100736,19010126,   15,    0
100736,19010127,   30,    0
100736,19010128,   25,    0
100736,19010129,  -20,    0
100736,19010130,  -30,    0
100736,19010131,  -65,    0
100736,19010201,  -44,    0
100736,19010202,  -42,    0
100736,19010203,  -60,    0
100736,19010204,  -15,    0
100736,19010205,  -15,    0
100736,19010206,   -5,    0
100736,19010207,  -20,    0
100736,19010208,  -35,    0
100736,19010209,  -50,    0
100736,19010210,  -75,    0
100736,19010211,  -25,    0
100736,19010212, -110,    0
100736,19010213,  -70,    0
100736,19010214, -100,    0
100736,19010215, -155,    0
100736,19010216, -160,    0
100736,19010217,  -60,    0
100736,19010218, -100,    0
100736,19010219, -120,    0
100736,19010220, -108,    0
100736,19010221, -165,    0
100736,19010222, -170,    0
100736,19010223, -140,    0
100736,19010224,  -40,    0
100736,19010225,  -20,    0
100736,19010226,  -15,    0
100736,19010227,  -24,    0
100736,19010228,   20,    0
100736,19010301,   30,    0
100736,19010302,   32,    0
100736,19010303,   40,    0
100736,19010304,   25,    0
100736,19010305,   25,    0
100736,19010306,   20,    0
100736,19010307,   20,    0
100736,19010308,   -5,    0
100736,19010309,  -20,    0
100736,19010310,   15,    0
100736,19010311,   10,    0
100736,19010312,    0,    0
100736,19010313,    5,    0
100736,19010314,   -5,    0
100736,19010315,   20,    0
100736,19010316,   30,    0
100736,19010317,   40,    0
100736,19010318,   40,    0
100736,19010319,   30,    0
100736,19010320,   50,    0
100736,19010321,    0,    0
100736,19010322,  -15,    0
100736,19010323,  -25,    0
100736,19010324,  -20,    0
100736,19010325,  -35,    0
100736,19010326,  -25,    0
100736,19010327,  -55,    0
100736,19010328,  -25,    0
100736,19010329,  -45,    0
100736,19010330,  -40,    0
100736,19010331,   45,    0
100736,19010401,   72,    0
100736,19010402,   55,    0
100736,19010403,   75,    0
100736,19010404,   75,    0
100736,19010405,   50,    0
100736,19010406,   40,    0
100736,19010407,  115,    0
100736,19010408,  115,    0
100736,19010409,   90,    0
100736,19010410,   65,    0
100736,19010411,   50,    0
100736,19010412,   50,    0
100736,19010413,   30,    0
100736,19010414,   30,    0
100736,19010415,   75,    0
100736,19010416,   20,    0
100736,19010417,   25,    0
100736,19010418,    2,    0
100736,19010419,   -5,    0
100736,19010420,   20,    0
100736,19010421,   45,    0
100736,19010422,   65,    0
100736,19010423,   55,    0
100736,19010424,   75,    0
100736,19010425,   55,    0
100736,19010426,   55,    0
100736,19010427,   70,    0
100736,19010428,   40,    0
100736,19010429,   40,    0
100736,19010430,   45,    0
100736,19010501,   40,    0
100736,19010502,   25,    0
100736,19010503,   70,    0
100736,19010504,   55,    0
100736,19010505,   50,    0
100736,19010506,   70,    0
100736,19010507,   65,    0
100736,19010508,   66,    0
100736,19010509,   50,    0
100736,19010510,   50,    0
100736,19010511,   70,    0
100736,19010512,   85,    0
100736,19010513,   75,    0
100736,19010514,   75,    0
100736,19010515,   95,    0
100736,19010516,   85,    0
100736,19010517,   74,    0
100736,19010518,   65,    0
100736,19010519,   45,    0
100736,19010520,   65,    0
100736,19010521,   75,    0
100736,19010522,   85,    0
100736,19010523,   80,    0
100736,19010524,   75,    0
100736,19010525,   85,    0
100736,19010526,  115,    0
100736,19010527,  100,    0
100736,19010528,  105,    0
100736,19010529,  130,    0
100736,19010530,  135,    0
100736,19010531,  150,    0
100736,19010601,  160,    0
100736,19010602,  175,    0
100736,19010603,  150,    0
100736,19010604,  150,    0
