EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

  239,105010,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, CC1,19000101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, CC7,20050311,20200229,     ,                    
  239,191056,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, QQ5,19810101,20171231,   72,Anatoly V. Tsvetkov                               
  239,191259,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, QQ5,20140318,20210331,   32,Gergely Rigo                                      
  239,209946,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, QQ6,19010101,20210331,   32,Gergely Rigo                                      
  239,105012,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, HU3,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, HU6,20150501,20200229,     ,                    
  239,100738,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, TX3,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, TX7,20050414,20200228,     ,                    
  239,100737,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, TG3,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, TG5,20050415,20200228,     ,                    
  239,100736,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, TN3,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, TN6,20050311,20200229,     ,                    
  239,100739,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316,RR11,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, RR8,20050413,20200229,     ,                    
  239,105011,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, PP2,19810101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318,PP11,20050311,20200229,     ,                    
  239,105013,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, SD7,19310101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, SD1,20050311,20200229,     ,                    
  239,105014,BASEL BINNINGEN                         ,CH,+47:32:00,+007:35:00, 316, SS3,19010101,20210331,   32,Gergely Rigo                                      
  239,906601,BASEL / BINNINGEN                       ,CH,+47:32:00,+007:35:00, 318, SS4,20050311,20200229,     ,                    
