EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, BUDAPEST (STAID: 64).
Blended and updated with sources: 105945 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105945,19710101,    5,    0
105945,19710102,    8,    0
105945,19710103,    8,    0
105945,19710104,    3,    0
105945,19710105,    8,    0
105945,19710106,    8,    0
105945,19710107,    8,    0
105945,19710108,    8,    0
105945,19710109,    5,    0
105945,19710110,    3,    0
105945,19710111,    3,    0
105945,19710112,    4,    0
105945,19710113,    6,    0
105945,19710114,    1,    0
105945,19710115,    8,    0
105945,19710116,    8,    0
105945,19710117,    8,    0
105945,19710118,    8,    0
105945,19710119,    8,    0
105945,19710120,    8,    0
105945,19710121,    8,    0
105945,19710122,    8,    0
105945,19710123,    8,    0
105945,19710124,    5,    0
105945,19710125,    3,    0
105945,19710126,    7,    0
105945,19710127,    8,    0
105945,19710128,    3,    0
105945,19710129,    3,    0
105945,19710130,    8,    0
105945,19710131,    6,    0
105945,19710201,    8,    0
105945,19710202,    7,    0
105945,19710203,    7,    0
105945,19710204,    3,    0
105945,19710205,    1,    0
105945,19710206,    4,    0
105945,19710207,    8,    0
105945,19710208,    8,    0
105945,19710209,    7,    0
105945,19710210,    7,    0
105945,19710211,    3,    0
105945,19710212,    1,    0
105945,19710213,    1,    0
105945,19710214,    5,    0
105945,19710215,    8,    0
105945,19710216,    7,    0
105945,19710217,    5,    0
105945,19710218,    3,    0
105945,19710219,    8,    0
105945,19710220,    6,    0
105945,19710221,    2,    0
105945,19710222,    5,    0
105945,19710223,    4,    0
105945,19710224,    4,    0
105945,19710225,    7,    0
105945,19710226,    2,    0
105945,19710227,    3,    0
105945,19710228,    7,    0
105945,19710301,    8,    0
105945,19710302,    8,    0
105945,19710303,    5,    0
105945,19710304,    8,    0
105945,19710305,    7,    0
105945,19710306,    8,    0
105945,19710307,    8,    0
105945,19710308,    0,    0
105945,19710309,    8,    0
105945,19710310,    4,    0
105945,19710311,    5,    0
105945,19710312,    1,    0
105945,19710313,    4,    0
105945,19710314,    3,    0
105945,19710315,    8,    0
105945,19710316,    8,    0
105945,19710317,    3,    0
105945,19710318,    7,    0
105945,19710319,    5,    0
105945,19710320,    7,    0
105945,19710321,    3,    0
105945,19710322,    5,    0
105945,19710323,    3,    0
105945,19710324,    4,    0
105945,19710325,    3,    0
105945,19710326,    4,    0
105945,19710327,    6,    0
105945,19710328,    3,    0
105945,19710329,    4,    0
105945,19710330,    8,    0
105945,19710331,    7,    0
105945,19710401,    8,    0
105945,19710402,    5,    0
105945,19710403,    6,    0
105945,19710404,    4,    0
105945,19710405,    5,    0
105945,19710406,    4,    0
105945,19710407,    5,    0
105945,19710408,    5,    0
105945,19710409,    2,    0
105945,19710410,    4,    0
105945,19710411,    5,    0
105945,19710412,    4,    0
105945,19710413,    5,    0
105945,19710414,    1,    0
105945,19710415,    3,    0
105945,19710416,    1,    0
105945,19710417,    3,    0
105945,19710418,    0,    0
105945,19710419,    0,    0
105945,19710420,    1,    0
105945,19710421,    3,    0
105945,19710422,    1,    0
105945,19710423,    5,    0
105945,19710424,    8,    0
105945,19710425,    8,    0
105945,19710426,    6,    0
105945,19710427,    5,    0
105945,19710428,    6,    0
105945,19710429,    1,    0
105945,19710430,    6,    0
105945,19710501,    8,    0
105945,19710502,    5,    0
105945,19710503,    5,    0
105945,19710504,    4,    0
105945,19710505,    8,    0
105945,19710506,    6,    0
105945,19710507,    7,    0
105945,19710508,    8,    0
105945,19710509,    3,    0
105945,19710510,    4,    0
105945,19710511,    1,    0
105945,19710512,    1,    0
105945,19710513,    1,    0
105945,19710514,    2,    0
105945,19710515,    3,    0
105945,19710516,    0,    0
105945,19710517,    3,    0
105945,19710518,    1,    0
105945,19710519,    2,    0
105945,19710520,    3,    0
105945,19710521,    2,    0
105945,19710522,    2,    0
105945,19710523,    4,    0
105945,19710524,    1,    0
105945,19710525,    3,    0
105945,19710526,    2,    0
105945,19710527,    7,    0
105945,19710528,    8,    0
105945,19710529,    7,    0
105945,19710530,    7,    0
105945,19710531,    7,    0
105945,19710601,    7,    0
105945,19710602,    4,    0
105945,19710603,    4,    0
105945,19710604,    4,    0
105945,19710605,    3,    0
105945,19710606,    2,    0
105945,19710607,    3,    0
105945,19710608,    6,    0
105945,19710609,    6,    0
105945,19710610,    3,    0
105945,19710611,    4,    0
105945,19710612,    4,    0
105945,19710613,    3,    0
105945,19710614,    2,    0
105945,19710615,    2,    0
105945,19710616,    4,    0
105945,19710617,    1,    0
105945,19710618,    7,    0
105945,19710619,    4,    0
105945,19710620,    6,    0
105945,19710621,    4,    0
105945,19710622,    4,    0
105945,19710623,    1,    0
105945,19710624,    4,    0
105945,19710625,    5,    0
105945,19710626,    5,    0
105945,19710627,    6,    0
105945,19710628,    4,    0
105945,19710629,    5,    0
105945,19710630,    4,    0
105945,19710701,    4,    0
105945,19710702,    6,    0
105945,19710703,    5,    0
105945,19710704,    6,    0
105945,19710705,    4,    0
105945,19710706,    3,    0
105945,19710707,    3,    0
105945,19710708,    2,    0
105945,19710709,    1,    0
105945,19710710,    2,    0
105945,19710711,    1,    0
105945,19710712,    2,    0
105945,19710713,    5,    0
105945,19710714,    4,    0
105945,19710715,    4,    0
105945,19710716,    3,    0
105945,19710717,    4,    0
105945,19710718,    7,    0
105945,19710719,    7,    0
105945,19710720,    4,    0
105945,19710721,    3,    0
105945,19710722,    3,    0
105945,19710723,    4,    0
105945,19710724,    2,    0
105945,19710725,    2,    0
105945,19710726,    2,    0
105945,19710727,    1,    0
105945,19710728,    0,    0
105945,19710729,    2,    0
105945,19710730,    5,    0
105945,19710731,    6,    0
105945,19710801,    4,    0
105945,19710802,    5,    0
105945,19710803,    2,    0
105945,19710804,    4,    0
105945,19710805,    3,    0
105945,19710806,    3,    0
105945,19710807,    0,    0
105945,19710808,    1,    0
105945,19710809,    3,    0
105945,19710810,    1,    0
105945,19710811,    1,    0
