EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, BUDAPEST (STAID: 64).
Blended and updated with sources: 105944 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105944,19710101,   75,    0
105944,19710102,   54,    0
105944,19710103,   80,    0
105944,19710104,   68,    0
105944,19710105,   73,    0
105944,19710106,   82,    0
105944,19710107,   69,    0
105944,19710108,   84,    0
105944,19710109,   90,    0
105944,19710110,   73,    0
105944,19710111,   62,    0
105944,19710112,   76,    0
105944,19710113,   77,    0
105944,19710114,   72,    0
105944,19710115,   80,    0
105944,19710116,   77,    0
105944,19710117,   89,    0
105944,19710118,   91,    0
105944,19710119,   92,    0
105944,19710120,   94,    0
105944,19710121,   88,    0
105944,19710122,   88,    0
105944,19710123,   96,    0
105944,19710124,   92,    0
105944,19710125,   86,    0
105944,19710126,   94,    0
105944,19710127,   91,    0
105944,19710128,   74,    0
105944,19710129,   88,    0
105944,19710130,   96,    0
105944,19710131,   89,    0
105944,19710201,   89,    0
105944,19710202,   71,    0
105944,19710203,   62,    0
105944,19710204,   71,    0
105944,19710205,   71,    0
105944,19710206,   81,    0
105944,19710207,   84,    0
105944,19710208,   72,    0
105944,19710209,   78,    0
105944,19710210,   82,    0
105944,19710211,   78,    0
105944,19710212,   70,    0
105944,19710213,   75,    0
105944,19710214,   63,    0
105944,19710215,   78,    0
105944,19710216,   79,    0
105944,19710217,   83,    0
105944,19710218,   76,    0
105944,19710219,   75,    0
105944,19710220,   73,    0
105944,19710221,   75,    0
105944,19710222,   78,    0
105944,19710223,   73,    0
105944,19710224,   67,    0
105944,19710225,   76,    0
105944,19710226,   63,    0
105944,19710227,   60,    0
105944,19710228,   75,    0
105944,19710301,   75,    0
105944,19710302,   74,    0
105944,19710303,   84,    0
105944,19710304,   65,    0
105944,19710305,   64,    0
105944,19710306,   75,    0
105944,19710307,   77,    0
105944,19710308,   63,    0
105944,19710309,   71,    0
105944,19710310,   73,    0
105944,19710311,   65,    0
105944,19710312,   35,    0
105944,19710313,   49,    0
105944,19710314,   69,    0
105944,19710315,   85,    0
105944,19710316,   93,    0
105944,19710317,   71,    0
105944,19710318,   67,    0
105944,19710319,   67,    0
105944,19710320,   55,    0
105944,19710321,   57,    0
105944,19710322,   65,    0
105944,19710323,   62,    0
105944,19710324,   47,    0
105944,19710325,   58,    0
105944,19710326,   56,    0
105944,19710327,   62,    0
105944,19710328,   48,    0
105944,19710329,   52,    0
105944,19710330,   83,    0
105944,19710331,   70,    0
105944,19710401,   75,    0
105944,19710402,   68,    0
105944,19710403,   67,    0
105944,19710404,   65,    0
105944,19710405,   69,    0
105944,19710406,   71,    0
105944,19710407,   75,    0
105944,19710408,   76,    0
105944,19710409,   59,    0
105944,19710410,   60,    0
105944,19710411,   58,    0
105944,19710412,   47,    0
105944,19710413,   57,    0
105944,19710414,   46,    0
105944,19710415,   44,    0
105944,19710416,   43,    0
105944,19710417,   42,    0
105944,19710418,   44,    0
105944,19710419,   41,    0
105944,19710420,   40,    0
105944,19710421,   44,    0
105944,19710422,   44,    0
105944,19710423,   48,    0
105944,19710424,   65,    0
105944,19710425,   70,    0
105944,19710426,   64,    0
105944,19710427,   64,    0
105944,19710428,   64,    0
105944,19710429,   52,    0
105944,19710430,   52,    0
105944,19710501,   70,    0
105944,19710502,   81,    0
105944,19710503,   66,    0
105944,19710504,   79,    0
105944,19710505,   78,    0
105944,19710506,   71,    0
105944,19710507,   74,    0
105944,19710508,   66,    0
105944,19710509,   50,    0
105944,19710510,   57,    0
105944,19710511,   50,    0
105944,19710512,   45,    0
105944,19710513,   48,    0
105944,19710514,   51,    0
105944,19710515,   49,    0
105944,19710516,   51,    0
105944,19710517,   51,    0
105944,19710518,   48,    0
105944,19710519,   43,    0
105944,19710520,   51,    0
105944,19710521,   52,    0
105944,19710522,   56,    0
105944,19710523,   64,    0
105944,19710524,   56,    0
105944,19710525,   49,    0
105944,19710526,   50,    0
105944,19710527,   56,    0
105944,19710528,   81,    0
105944,19710529,   71,    0
105944,19710530,   78,    0
105944,19710531,   69,    0
105944,19710601,   71,    0
105944,19710602,   59,    0
105944,19710603,   52,    0
105944,19710604,   60,    0
105944,19710605,   68,    0
105944,19710606,   68,    0
105944,19710607,   61,    0
105944,19710608,   65,    0
105944,19710609,   75,    0
105944,19710610,   64,    0
105944,19710611,   57,    0
105944,19710612,   65,    0
105944,19710613,   57,    0
105944,19710614,   48,    0
105944,19710615,   52,    0
105944,19710616,   55,    0
105944,19710617,   51,    0
105944,19710618,   69,    0
105944,19710619,   61,    0
105944,19710620,   69,    0
105944,19710621,   61,    0
105944,19710622,   57,    0
105944,19710623,   50,    0
105944,19710624,   55,    0
105944,19710625,   63,    0
105944,19710626,   72,    0
105944,19710627,   73,    0
105944,19710628,   48,    0
105944,19710629,   52,    0
105944,19710630,   50,    0
105944,19710701,   62,    0
105944,19710702,   72,    0
105944,19710703,   65,    0
105944,19710704,   68,    0
105944,19710705,   57,    0
105944,19710706,   58,    0
105944,19710707,   53,    0
105944,19710708,   42,    0
105944,19710709,   47,    0
105944,19710710,   44,    0
105944,19710711,   44,    0
105944,19710712,   50,    0
105944,19710713,   59,    0
105944,19710714,   62,    0
105944,19710715,   51,    0
105944,19710716,   53,    0
105944,19710717,   57,    0
105944,19710718,   77,    0
105944,19710719,   84,    0
105944,19710720,   52,    0
105944,19710721,   51,    0
105944,19710722,   51,    0
105944,19710723,   53,    0
105944,19710724,   51,    0
105944,19710725,   47,    0
105944,19710726,   54,    0
105944,19710727,   48,    0
105944,19710728,   47,    0
105944,19710729,   61,    0
105944,19710730,   63,    0
105944,19710731,   63,    0
105944,19710801,   57,    0
105944,19710802,   55,    0
105944,19710803,   53,    0
105944,19710804,   60,    0
105944,19710805,   63,    0
105944,19710806,   68,    0
105944,19710807,   61,    0
105944,19710808,   58,    0
105944,19710809,   55,    0
105944,19710810,   49,    0
105944,19710811,   56,    0
105944,19710812,   69,    0
105944,19710813,   52,    0
105944,19710814,   50,    0
105944,19710815,   52,    0
105944,19710816,   50,    0
105944,19710817,   50,    0
105944,19710818,   45,    0
105944,19710819,   53,    0
105944,19710820,   57,    0
105944,19710821,   50,    0
105944,19710822,   51,    0
105944,19710823,   56,    0
105944,19710824,   80,    0
105944,19710825,   57,    0
105944,19710826,   61,    0
105944,19710827,   77,    0
105944,19710828,   63,    0
105944,19710829,   58,    0
105944,19710830,   66,    0
105944,19710831,   78,    0
105944,19710901,   64,    0
105944,19710902,   62,    0
105944,19710903,   54,    0
105944,19710904,   54,    0
105944,19710905,   57,    0
105944,19710906,   54,    0
105944,19710907,   54,    0
105944,19710908,   62,    0
105944,19710909,   58,    0
105944,19710910,   60,    0
105944,19710911,   84,    0
105944,19710912,   77,    0
105944,19710913,   77,    0
105944,19710914,   67,    0
105944,19710915,   70,    0
105944,19710916,   54,    0
105944,19710917,   58,    0
105944,19710918,   60,    0
105944,19710919,   70,    0
105944,19710920,   67,    0
105944,19710921,   67,    0
105944,19710922,   70,    0
105944,19710923,   65,    0
105944,19710924,   66,    0
105944,19710925,   69,    0
105944,19710926,   69,    0
105944,19710927,   68,    0
105944,19710928,   63,    0
105944,19710929,   86,    0
105944,19710930,   93,    0
105944,19711001,   74,    0
105944,19711002,   80,    0
105944,19711003,   76,    0
105944,19711004,   78,    0
105944,19711005,   54,    0
105944,19711006,   70,    0
105944,19711007,   60,    0
105944,19711008,   55,    0
105944,19711009,   68,    0
105944,19711010,   67,    0
105944,19711011,   65,    0
105944,19711012,   74,    0
105944,19711013,   77,    0
105944,19711014,   74,    0
105944,19711015,   77,    0
105944,19711016,   63,    0
105944,19711017,   58,    0
105944,19711018,   80,    0
105944,19711019,   77,    0
105944,19711020,   81,    0
105944,19711021,   66,    0
105944,19711022,   66,    0
105944,19711023,   43,    0
105944,19711024,   51,    0
105944,19711025,   66,    0
105944,19711026,   55,    0
105944,19711027,   49,    0
105944,19711028,   61,    0
105944,19711029,   62,    0
105944,19711030,   63,    0
105944,19711031,   71,    0
105944,19711101,   59,    0
105944,19711102,   81,    0
105944,19711103,   83,    0
105944,19711104,   76,    0
105944,19711105,   62,    0
105944,19711106,   83,    0
105944,19711107,   86,    0
105944,19711108,   83,    0
105944,19711109,   80,    0
105944,19711110,   79,    0
105944,19711111,   89,    0
105944,19711112,   89,    0
105944,19711113,   86,    0
105944,19711114,   74,    0
105944,19711115,   76,    0
105944,19711116,   75,    0
105944,19711117,   73,    0
105944,19711118,   58,    0
105944,19711119,   71,    0
105944,19711120,   63,    0
105944,19711121,   67,    0
105944,19711122,   77,    0
105944,19711123,   85,    0
105944,19711124,   84,    0
105944,19711125,   71,    0
105944,19711126,   72,    0
105944,19711127,   88,    0
105944,19711128,   79,    0
105944,19711129,   84,    0
105944,19711130,   92,    0
105944,19711201,   92,    0
105944,19711202,   90,    0
105944,19711203,   87,    0
105944,19711204,   87,    0
105944,19711205,   89,    0
105944,19711206,   82,    0
105944,19711207,   83,    0
105944,19711208,   74,    0
105944,19711209,   59,    0
105944,19711210,   68,    0
105944,19711211,   79,    0
105944,19711212,   67,    0
105944,19711213,   70,    0
105944,19711214,   73,    0
105944,19711215,   87,    0
105944,19711216,   81,    0
105944,19711217,   77,    0
105944,19711218,   94,    0
105944,19711219,   98,    0
105944,19711220,   92,    0
105944,19711221,   86,    0
105944,19711222,   73,    0
105944,19711223,   81,    0
105944,19711224,   66,    0
105944,19711225,   85,    0
105944,19711226,   96,    0
105944,19711227,   96,    0
105944,19711228,   95,    0
105944,19711229,   96,    0
105944,19711230,   91,    0
105944,19711231,   89,    0
105944,19720101,   80,    0
105944,19720102,   86,    0
105944,19720103,   92,    0
105944,19720104,   88,    0
105944,19720105,   96,    0
105944,19720106,   90,    0
105944,19720107,   85,    0
105944,19720108,   89,    0
105944,19720109,   89,    0
105944,19720110,   88,    0
105944,19720111,   83,    0
105944,19720112,   68,    0
105944,19720113,   60,    0
105944,19720114,   48,    0
105944,19720115,   65,    0
105944,19720116,   63,    0
105944,19720117,   50,    0
105944,19720118,   53,    0
105944,19720119,   60,    0
105944,19720120,   72,    0
105944,19720121,   81,    0
105944,19720122,   79,    0
105944,19720123,   77,    0
105944,19720124,   78,    0
105944,19720125,   87,    0
105944,19720126,   78,    0
105944,19720127,   78,    0
105944,19720128,   82,    0
105944,19720129,   87,    0
105944,19720130,   92,    0
105944,19720131,   93,    0
105944,19720201,   89,    0
105944,19720202,   77,    0
105944,19720203,   68,    0
105944,19720204,   73,    0
105944,19720205,   67,    0
105944,19720206,   73,    0
105944,19720207,   74,    0
105944,19720208,   77,    0
105944,19720209,   77,    0
105944,19720210,   83,    0
105944,19720211,   93,    0
105944,19720212,   86,    0
105944,19720213,   86,    0
105944,19720214,   89,    0
105944,19720215,   76,    0
105944,19720216,   76,    0
105944,19720217,   81,    0
105944,19720218,   81,    0
105944,19720219,   79,    0
105944,19720220,   74,    0
105944,19720221,   85,    0
105944,19720222,   84,    0
105944,19720223,   87,    0
105944,19720224,   84,    0
105944,19720225,   84,    0
105944,19720226,   68,    0
105944,19720227,   76,    0
105944,19720228,   78,    0
105944,19720229,   85,    0
105944,19720301,   89,    0
105944,19720302,   83,    0
105944,19720303,   84,    0
105944,19720304,   75,    0
105944,19720305,   66,    0
105944,19720306,   60,    0
105944,19720307,   68,    0
105944,19720308,   76,    0
105944,19720309,   76,    0
105944,19720310,   82,    0
105944,19720311,   74,    0
105944,19720312,   61,    0
105944,19720313,   47,    0
105944,19720314,   47,    0
105944,19720315,   49,    0
105944,19720316,   47,    0
105944,19720317,   48,    0
105944,19720318,   42,    0
105944,19720319,   57,    0
105944,19720320,   46,    0
105944,19720321,   53,    0
105944,19720322,   48,    0
105944,19720323,   46,    0
105944,19720324,   40,    0
105944,19720325,   43,    0
105944,19720326,   45,    0
105944,19720327,   51,    0
105944,19720328,   64,    0
105944,19720329,   61,    0
105944,19720330,   56,    0
105944,19720331,   54,    0
105944,19720401,   57,    0
105944,19720402,   55,    0
105944,19720403,   65,    0
105944,19720404,   53,    0
105944,19720405,   67,    0
105944,19720406,   63,    0
105944,19720407,   45,    0
105944,19720408,   40,    0
105944,19720409,   55,    0
105944,19720410,   47,    0
105944,19720411,   50,    0
105944,19720412,   69,    0
105944,19720413,   82,    0
105944,19720414,   78,    0
105944,19720415,   83,    0
105944,19720416,   85,    0
105944,19720417,   82,    0
105944,19720418,   76,    0
105944,19720419,   62,    0
105944,19720420,   67,    0
105944,19720421,   56,    0
105944,19720422,   86,    0
105944,19720423,   63,    0
105944,19720424,   76,    0
105944,19720425,   63,    0
105944,19720426,   66,    0
105944,19720427,   70,    0
105944,19720428,   52,    0
105944,19720429,   44,    0
105944,19720430,   48,    0
105944,19720501,   53,    0
105944,19720502,   56,    0
105944,19720503,   70,    0
105944,19720504,   71,    0
105944,19720505,   68,    0
105944,19720506,   61,    0
105944,19720507,   62,    0
105944,19720508,   72,    0
105944,19720509,   85,    0
105944,19720510,   70,    0
105944,19720511,   75,    0
105944,19720512,   81,    0
105944,19720513,   85,    0
105944,19720514,   82,    0
105944,19720515,   86,    0
105944,19720516,   75,    0
105944,19720517,   66,    0
105944,19720518,   62,    0
105944,19720519,   75,    0
105944,19720520,   78,    0
105944,19720521,   66,    0
105944,19720522,   67,    0
105944,19720523,   65,    0
105944,19720524,   57,    0
105944,19720525,   58,    0
105944,19720526,   59,    0
105944,19720527,   76,    0
105944,19720528,   61,    0
105944,19720529,   59,    0
105944,19720530,   56,    0
105944,19720531,   75,    0
105944,19720601,   80,    0
105944,19720602,   67,    0
105944,19720603,   71,    0
105944,19720604,   63,    0
105944,19720605,   68,    0
105944,19720606,   59,    0
105944,19720607,   48,    0
105944,19720608,   55,    0
105944,19720609,   58,    0
105944,19720610,   63,    0
105944,19720611,   62,    0
105944,19720612,   47,    0
105944,19720613,   58,    0
105944,19720614,   60,    0
105944,19720615,   61,    0
105944,19720616,   63,    0
105944,19720617,   66,    0
105944,19720618,   72,    0
105944,19720619,   58,    0
105944,19720620,   53,    0
105944,19720621,   47,    0
105944,19720622,   51,    0
105944,19720623,   59,    0
105944,19720624,   66,    0
105944,19720625,   56,    0
105944,19720626,   64,    0
105944,19720627,   60,    0
105944,19720628,   66,    0
105944,19720629,   59,    0
105944,19720630,   70,    0
105944,19720701,   61,    0
105944,19720702,   53,    0
105944,19720703,   54,    0
105944,19720704,   61,    0
105944,19720705,   59,    0
105944,19720706,   52,    0
105944,19720707,   61,    0
105944,19720708,   54,    0
105944,19720709,   52,    0
105944,19720710,   53,    0
105944,19720711,   74,    0
105944,19720712,   77,    0
105944,19720713,   81,    0
105944,19720714,   76,    0
105944,19720715,   62,    0
105944,19720716,   47,    0
105944,19720717,   49,    0
105944,19720718,   69,    0
105944,19720719,   62,    0
105944,19720720,   62,    0
105944,19720721,   68,    0
105944,19720722,   66,    0
105944,19720723,   59,    0
105944,19720724,   72,    0
105944,19720725,   67,    0
105944,19720726,   77,    0
105944,19720727,   87,    0
105944,19720728,   89,    0
105944,19720729,   84,    0
105944,19720730,   60,    0
105944,19720731,   73,    0
105944,19720801,   77,    0
105944,19720802,   73,    0
105944,19720803,   89,    0
105944,19720804,   70,    0
105944,19720805,   55,    0
105944,19720806,   61,    0
105944,19720807,   60,    0
105944,19720808,   55,    0
105944,19720809,   66,    0
105944,19720810,   66,    0
105944,19720811,   62,    0
105944,19720812,   68,    0
105944,19720813,   50,    0
105944,19720814,   66,    0
105944,19720815,   59,    0
105944,19720816,   61,    0
105944,19720817,   76,    0
105944,19720818,   72,    0
105944,19720819,   74,    0
105944,19720820,   72,    0
105944,19720821,   86,    0
105944,19720822,   82,    0
105944,19720823,   78,    0
105944,19720824,   76,    0
105944,19720825,   67,    0
105944,19720826,   65,    0
105944,19720827,   59,    0
105944,19720828,   69,    0
105944,19720829,   79,    0
105944,19720830,   74,    0
105944,19720831,   64,    0
105944,19720901,   67,    0
105944,19720902,   70,    0
105944,19720903,   69,    0
105944,19720904,   73,    0
105944,19720905,   73,    0
105944,19720906,   69,    0
105944,19720907,   61,    0
105944,19720908,   72,    0
105944,19720909,   78,    0
105944,19720910,   82,    0
105944,19720911,   75,    0
105944,19720912,   75,    0
105944,19720913,   64,    0
105944,19720914,   64,    0
105944,19720915,   61,    0
105944,19720916,   84,    0
105944,19720917,   68,    0
105944,19720918,   75,    0
105944,19720919,   73,    0
105944,19720920,   78,    0
105944,19720921,   80,    0
105944,19720922,   79,    0
105944,19720923,   63,    0
105944,19720924,   68,    0
105944,19720925,   71,    0
105944,19720926,   71,    0
105944,19720927,   74,    0
105944,19720928,   64,    0
105944,19720929,   60,    0
105944,19720930,   64,    0
105944,19721001,   72,    0
105944,19721002,   75,    0
105944,19721003,   65,    0
105944,19721004,   58,    0
105944,19721005,   52,    0
105944,19721006,   63,    0
105944,19721007,   68,    0
105944,19721008,   89,    0
105944,19721009,   86,    0
105944,19721010,   79,    0
105944,19721011,   78,    0
105944,19721012,   78,    0
105944,19721013,   73,    0
105944,19721014,   56,    0
105944,19721015,   65,    0
105944,19721016,   66,    0
105944,19721017,   62,    0
105944,19721018,   72,    0
105944,19721019,   61,    0
105944,19721020,   61,    0
105944,19721021,   65,    0
105944,19721022,   62,    0
105944,19721023,   81,    0
105944,19721024,   70,    0
105944,19721025,   67,    0
105944,19721026,   69,    0
105944,19721027,   67,    0
105944,19721028,   68,    0
105944,19721029,   73,    0
105944,19721030,   76,    0
105944,19721031,   68,    0
105944,19721101,   78,    0
105944,19721102,   80,    0
105944,19721103,   69,    0
105944,19721104,   79,    0
105944,19721105,   80,    0
105944,19721106,   70,    0
105944,19721107,   73,    0
105944,19721108,   83,    0
105944,19721109,   88,    0
105944,19721110,   96,    0
105944,19721111,   87,    0
105944,19721112,   69,    0
105944,19721113,   83,    0
105944,19721114,   69,    0
105944,19721115,   87,    0
105944,19721116,   65,    0
105944,19721117,   76,    0
105944,19721118,   77,    0
105944,19721119,   67,    0
105944,19721120,   79,    0
105944,19721121,   90,    0
105944,19721122,   79,    0
105944,19721123,   85,    0
105944,19721124,   83,    0
105944,19721125,   66,    0
105944,19721126,   74,    0
105944,19721127,   68,    0
105944,19721128,   63,    0
105944,19721129,   77,    0
105944,19721130,   90,    0
105944,19721201,   84,    0
105944,19721202,   74,    0
105944,19721203,   83,    0
105944,19721204,   91,    0
105944,19721205,   90,    0
105944,19721206,   73,    0
105944,19721207,   86,    0
105944,19721208,   86,    0
105944,19721209,   85,    0
105944,19721210,   73,    0
105944,19721211,   86,    0
105944,19721212,   78,    0
105944,19721213,   78,    0
105944,19721214,   78,    0
105944,19721215,   75,    0
105944,19721216,   88,    0
105944,19721217,   86,    0
105944,19721218,   86,    0
105944,19721219,   80,    0
105944,19721220,   54,    0
105944,19721221,   72,    0
105944,19721222,   76,    0
105944,19721223,   74,    0
105944,19721224,   84,    0
105944,19721225,   87,    0
105944,19721226,   91,    0
105944,19721227,   67,    0
105944,19721228,   45,    0
105944,19721229,   49,    0
105944,19721230,   58,    0
105944,19721231,   63,    0
105944,19730101,   56,    0
105944,19730102,   53,    0
105944,19730103,   60,    0
105944,19730104,   87,    0
105944,19730105,   89,    0
105944,19730106,   84,    0
105944,19730107,   91,    0
105944,19730108,   92,    0
105944,19730109,   89,    0
105944,19730110,   83,    0
105944,19730111,   75,    0
105944,19730112,   77,    0
105944,19730113,   71,    0
105944,19730114,   70,    0
105944,19730115,   83,    0
105944,19730116,   82,    0
105944,19730117,   73,    0
105944,19730118,   84,    0
105944,19730119,   86,    0
105944,19730120,   93,    0
105944,19730121,   95,    0
105944,19730122,   83,    0
105944,19730123,   83,    0
105944,19730124,   95,    0
105944,19730125,   82,    0
105944,19730126,   74,    0
105944,19730127,   79,    0
105944,19730128,   83,    0
105944,19730129,   76,    0
105944,19730130,   80,    0
105944,19730131,   79,    0
105944,19730201,   92,    0
105944,19730202,   78,    0
105944,19730203,   75,    0
105944,19730204,   84,    0
105944,19730205,   94,    0
105944,19730206,   82,    0
105944,19730207,   66,    0
105944,19730208,   74,    0
105944,19730209,   72,    0
105944,19730210,   84,    0
105944,19730211,   73,    0
105944,19730212,   63,    0
105944,19730213,   65,    0
105944,19730214,   73,    0
105944,19730215,   88,    0
105944,19730216,   89,    0
105944,19730217,   83,    0
105944,19730218,   70,    0
105944,19730219,   65,    0
105944,19730220,   72,    0
105944,19730221,   85,    0
105944,19730222,   67,    0
105944,19730223,   61,    0
105944,19730224,   76,    0
105944,19730225,   71,    0
105944,19730226,   59,    0
105944,19730227,   58,    0
105944,19730228,   54,    0
105944,19730301,   71,    0
105944,19730302,   59,    0
105944,19730303,   70,    0
105944,19730304,   65,    0
105944,19730305,   64,    0
105944,19730306,   60,    0
105944,19730307,   76,    0
105944,19730308,   77,    0
105944,19730309,   69,    0
105944,19730310,   52,    0
105944,19730311,   57,    0
105944,19730312,   61,    0
105944,19730313,   57,    0
105944,19730314,   87,    0
105944,19730315,   58,    0
105944,19730316,   56,    0
105944,19730317,   59,    0
105944,19730318,   67,    0
105944,19730319,   68,    0
105944,19730320,   59,    0
105944,19730321,   60,    0
105944,19730322,   54,    0
105944,19730323,   55,    0
105944,19730324,   52,    0
105944,19730325,   49,    0
105944,19730326,   54,    0
105944,19730327,   68,    0
105944,19730328,   49,    0
105944,19730329,   46,    0
105944,19730330,   40,    0
105944,19730331,   45,    0
105944,19730401,   55,    0
105944,19730402,   53,    0
105944,19730403,   58,    0
105944,19730404,   47,    0
105944,19730405,   41,    0
105944,19730406,   40,    0
105944,19730407,   55,    0
105944,19730408,   56,    0
105944,19730409,   69,    0
105944,19730410,   54,    0
105944,19730411,   47,    0
105944,19730412,   50,    0
105944,19730413,   64,    0
105944,19730414,   89,    0
105944,19730415,   80,    0
105944,19730416,   50,    0
105944,19730417,   51,    0
105944,19730418,   66,    0
105944,19730419,   61,    0
105944,19730420,   75,    0
105944,19730421,   84,    0
105944,19730422,   69,    0
105944,19730423,   51,    0
105944,19730424,   62,    0
105944,19730425,   62,    0
105944,19730426,   55,    0
105944,19730427,   50,    0
105944,19730428,   57,    0
105944,19730429,   64,    0
105944,19730430,   59,    0
105944,19730501,   53,    0
105944,19730502,   52,    0
105944,19730503,   51,    0
105944,19730504,   52,    0
105944,19730505,   54,    0
105944,19730506,   58,    0
105944,19730507,   69,    0
105944,19730508,   57,    0
105944,19730509,   56,    0
105944,19730510,   55,    0
105944,19730511,   51,    0
105944,19730512,   46,    0
105944,19730513,   39,    0
105944,19730514,   45,    0
105944,19730515,   47,    0
105944,19730516,   40,    0
105944,19730517,   54,    0
105944,19730518,   50,    0
105944,19730519,   48,    0
105944,19730520,   55,    0
105944,19730521,   47,    0
105944,19730522,   49,    0
105944,19730523,   56,    0
105944,19730524,   52,    0
105944,19730525,   54,    0
105944,19730526,   61,    0
105944,19730527,   57,    0
105944,19730528,   58,    0
105944,19730529,   48,    0
105944,19730530,   41,    0
105944,19730531,   44,    0
105944,19730601,   41,    0
105944,19730602,   40,    0
105944,19730603,   61,    0
105944,19730604,   78,    0
105944,19730605,   71,    0
105944,19730606,   79,    0
105944,19730607,   68,    0
105944,19730608,   68,    0
105944,19730609,   63,    0
105944,19730610,   60,    0
105944,19730611,   62,    0
105944,19730612,   49,    0
