EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, BUDAPEST (STAID: 64).
Blended and updated with sources: 100247 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100247,19010101,   19,    0
100247,19010102,    0,    0
100247,19010103,    8,    0
100247,19010104,    2,    0
100247,19010105,    0,    0
100247,19010106,   23,    0
100247,19010107,   14,    0
100247,19010108,    0,    0
100247,19010109,    0,    0
100247,19010110,    7,    0
100247,19010111,   19,    0
100247,19010112,   23,    0
100247,19010113,    0,    0
100247,19010114,    0,    0
100247,19010115,    0,    0
100247,19010116,    0,    0
100247,19010117,    0,    0
100247,19010118,    0,    0
100247,19010119,    0,    0
100247,19010120,    0,    0
100247,19010121,    9,    0
100247,19010122,    0,    0
100247,19010123,    0,    0
100247,19010124,    0,    0
100247,19010125,    0,    0
100247,19010126,   80,    0
100247,19010127,   81,    0
100247,19010128,    2,    0
100247,19010129,   11,    0
100247,19010130,   35,    0
100247,19010131,   23,    0
100247,19010201,    0,    0
100247,19010202,   36,    0
100247,19010203,    1,    0
100247,19010204,    0,    0
100247,19010205,   20,    0
100247,19010206,    0,    0
100247,19010207,   12,    0
100247,19010208,   58,    0
100247,19010209,    6,    0
100247,19010210,    0,    0
100247,19010211,    3,    0
100247,19010212,    0,    0
100247,19010213,    0,    0
100247,19010214,    0,    0
100247,19010215,    0,    0
100247,19010216,    0,    0
100247,19010217,    0,    0
100247,19010218,    0,    0
100247,19010219,   15,    0
100247,19010220,   21,    0
100247,19010221,    0,    0
100247,19010222,    0,    0
100247,19010223,    0,    0
100247,19010224,    0,    0
100247,19010225,    0,    0
100247,19010226,    0,    0
100247,19010227,    0,    0
100247,19010228,    0,    0
100247,19010301,    0,    0
100247,19010302,    0,    0
100247,19010303,  103,    0
100247,19010304,  252,    0
100247,19010305,    0,    0
100247,19010306,    6,    0
100247,19010307,   90,    0
100247,19010308,   16,    0
100247,19010309,   23,    0
100247,19010310,    0,    0
100247,19010311,   31,    0
100247,19010312,    0,    0
100247,19010313,   26,    0
100247,19010314,    0,    0
100247,19010315,    0,    0
100247,19010316,    0,    0
100247,19010317,    0,    0
100247,19010318,    0,    0
100247,19010319,    0,    0
100247,19010320,   30,    0
100247,19010321,    0,    0
100247,19010322,    0,    0
100247,19010323,    0,    0
100247,19010324,    0,    0
100247,19010325,    0,    0
100247,19010326,   94,    0
100247,19010327,   41,    0
100247,19010328,    0,    0
100247,19010329,    1,    0
100247,19010330,    0,    0
100247,19010331,    0,    0
100247,19010401,    0,    0
100247,19010402,    0,    0
100247,19010403,    0,    0
100247,19010404,    0,    0
100247,19010405,    0,    0
100247,19010406,    0,    0
100247,19010407,    1,    0
100247,19010408,    0,    0
100247,19010409,    0,    0
100247,19010410,    6,    0
100247,19010411,    0,    0
100247,19010412,    9,    0
100247,19010413,  202,    0
100247,19010414,    0,    0
100247,19010415,    0,    0
100247,19010416,  107,    0
100247,19010417,    0,    0
100247,19010418,    4,    0
100247,19010419,    0,    0
100247,19010420,    0,    0
100247,19010421,    0,    0
100247,19010422,    0,    0
100247,19010423,   10,    0
100247,19010424,    0,    0
100247,19010425,    0,    0
100247,19010426,    2,    0
100247,19010427,    0,    0
100247,19010428,   41,    0
100247,19010429,    3,    0
100247,19010430,    7,    0
100247,19010501,   26,    0
100247,19010502,   21,    0
100247,19010503,    8,    0
100247,19010504,    0,    0
100247,19010505,    0,    0
100247,19010506,    0,    0
100247,19010507,   27,    0
100247,19010508,    7,    0
100247,19010509,    0,    0
100247,19010510,    0,    0
100247,19010511,   27,    0
100247,19010512,    0,    0
100247,19010513,    0,    0
100247,19010514,    0,    0
100247,19010515,    2,    0
100247,19010516,    1,    0
100247,19010517,   19,    0
100247,19010518,   57,    0
100247,19010519,    0,    0
100247,19010520,    0,    0
100247,19010521,    0,    0
100247,19010522,    0,    0
100247,19010523,    0,    0
100247,19010524,    0,    0
100247,19010525,  159,    0
100247,19010526,   62,    0
100247,19010527,    0,    0
100247,19010528,    0,    0
100247,19010529,   24,    0
100247,19010530,    0,    0
100247,19010531,    0,    0
100247,19010601,    0,    0
100247,19010602,    0,    0
100247,19010603,   79,    0
100247,19010604,    0,    0
