EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, BUDAPEST (STAID: 64).
Blended and updated with sources: 105946 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
105946,19710101,   14,    0
105946,19710102,   15,    0
105946,19710103,   25,    0
105946,19710104,   31,    0
105946,19710105,   27,    0
105946,19710106,   30,    0
105946,19710107,   29,    0
105946,19710108,   27,    0
105946,19710109,   24,    0
105946,19710110,   23,    0
105946,19710111,   23,    0
105946,19710112,   23,    0
105946,19710113,   23,    0
105946,19710114,   23,    0
105946,19710115,   22,    0
105946,19710116,   22,    0
105946,19710117,   30,    0
105946,19710118,   36,    0
105946,19710119,   35,    0
105946,19710120,   33,    0
105946,19710121,   28,    0
105946,19710122,   17,    0
105946,19710123,   15,    0
105946,19710124,   12,    0
105946,19710125,   10,    0
105946,19710126,    5,    0
105946,19710127,    3,    0
105946,19710128,    0,    0
105946,19710129,    0,    0
105946,19710130,    0,    0
105946,19710131,    0,    0
105946,19710201,    0,    0
105946,19710202,    0,    0
105946,19710203,    0,    0
105946,19710204,    4,    0
105946,19710205,    4,    0
105946,19710206,    0,    0
105946,19710207,    0,    0
105946,19710208,    0,    0
105946,19710209,    0,    0
105946,19710210,    0,    0
105946,19710211,    0,    0
105946,19710212,    0,    0
105946,19710213,    0,    0
105946,19710214,    0,    0
105946,19710215,    0,    0
105946,19710216,    0,    0
105946,19710217,    0,    0
105946,19710218,    0,    0
105946,19710219,    0,    0
105946,19710220,    0,    0
105946,19710221,    0,    0
105946,19710222,    0,    0
105946,19710223,    0,    0
105946,19710224,    0,    0
105946,19710225,    0,    0
105946,19710226,    0,    0
105946,19710227,    0,    0
105946,19710228,    0,    0
105946,19710301,   11,    0
105946,19710302,   13,    0
105946,19710303,   12,    0
105946,19710304,    8,    0
105946,19710305,    9,    0
105946,19710306,    8,    0
105946,19710307,   11,    0
105946,19710308,    9,    0
105946,19710309,    4,    0
105946,19710310,    2,    0
105946,19710311,    0,    0
105946,19710312,    0,    0
105946,19710313,    0,    0
105946,19710314,    0,    0
105946,19710315,    0,    0
105946,19710316,    0,    0
105946,19710317,    0,    0
105946,19710318,    0,    0
105946,19710319,    0,    0
105946,19710320,    0,    0
105946,19710321,    0,    0
105946,19710322,    0,    0
105946,19710323,    0,    0
105946,19710324,    0,    0
105946,19710325,    0,    0
105946,19710326,    0,    0
105946,19710327,    0,    0
105946,19710328,    0,    0
105946,19710329,    0,    0
105946,19710330,    0,    0
105946,19710331,    0,    0
105946,19710401,    0,    0
105946,19710402,    0,    0
105946,19710403,    0,    0
105946,19710404,    0,    0
105946,19710405,    0,    0
105946,19710406,    0,    0
105946,19710407,    0,    0
105946,19710408,    0,    0
105946,19710409,    0,    0
105946,19710410,    0,    0
105946,19710411,    0,    0
105946,19710412,    0,    0
105946,19710413,    0,    0
105946,19710414,    0,    0
105946,19710415,    0,    0
