EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station HUNGARY, BUDAPEST (STAID: 64).
Blended and updated with sources: 105947 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
105947,19120101,    7,    0
105947,19120102,    0,    0
105947,19120103,    0,    0
105947,19120104,   43,    0
105947,19120105,    0,    0
105947,19120106,   13,    0
105947,19120107,   19,    0
105947,19120108,   60,    0
105947,19120109,    0,    0
105947,19120110,    0,    0
105947,19120111,   73,    0
105947,19120112,   49,    0
105947,19120113,   10,    0
105947,19120114,   50,    0
105947,19120115,   14,    0
105947,19120116,    0,    0
105947,19120117,    6,    0
105947,19120118,    4,    0
105947,19120119,    7,    0
105947,19120120,   23,    0
105947,19120121,    0,    0
105947,19120122,    0,    0
105947,19120123,    0,    0
105947,19120124,    0,    0
105947,19120125,    0,    0
105947,19120126,   26,    0
105947,19120127,    0,    0
105947,19120128,    0,    0
105947,19120129,    0,    0
105947,19120130,   48,    0
105947,19120131,   16,    0
105947,19120201,    4,    0
105947,19120202,    0,    0
105947,19120203,    0,    0
105947,19120204,   50,    0
105947,19120205,    0,    0
105947,19120206,    0,    0
105947,19120207,    0,    0
105947,19120208,   36,    0
105947,19120209,    6,    0
105947,19120210,    0,    0
105947,19120211,   16,    0
105947,19120212,   11,    0
105947,19120213,   66,    0
105947,19120214,    9,    0
105947,19120215,    2,    0
105947,19120216,   55,    0
105947,19120217,   53,    0
105947,19120218,   51,    0
105947,19120219,   11,    0
105947,19120220,    0,    0
105947,19120221,   67,    0
105947,19120222,   21,    0
105947,19120223,   31,    0
105947,19120224,    0,    0
105947,19120225,   23,    0
105947,19120226,   44,    0
105947,19120227,   26,    0
105947,19120228,    6,    0
105947,19120229,   86,    0
105947,19120301,   59,    0
105947,19120302,    0,    0
105947,19120303,   38,    0
105947,19120304,    0,    0
105947,19120305,   88,    0
105947,19120306,    0,    0
105947,19120307,   78,    0
105947,19120308,    0,    0
105947,19120309,    0,    0
105947,19120310,   45,    0
105947,19120311,   51,    0
105947,19120312,   76,    0
105947,19120313,   28,    0
105947,19120314,   71,    0
105947,19120315,   58,    0
105947,19120316,   27,    0
105947,19120317,    0,    0
105947,19120318,    0,    0
105947,19120319,    8,    0
105947,19120320,   53,    0
105947,19120321,    0,    0
105947,19120322,   46,    0
105947,19120323,    6,    0
105947,19120324,   55,    0
105947,19120325,   44,    0
105947,19120326,   89,    0
105947,19120327,   74,    0
105947,19120328,   50,    0
105947,19120329,    0,    0
105947,19120330,   91,    0
105947,19120331,   87,    0
105947,19120401,   11,    0
105947,19120402,    0,    0
105947,19120403,    0,    0
105947,19120404,   91,    0
105947,19120405,    6,    0
105947,19120406,   20,    0
105947,19120407,   89,    0
105947,19120408,   90,    0
105947,19120409,   42,    0
105947,19120410,    0,    0
105947,19120411,   72,    0
105947,19120412,   42,    0
105947,19120413,   79,    0
105947,19120414,   95,    0
105947,19120415,   58,    0
105947,19120416,    4,    0
105947,19120417,   36,    0
105947,19120418,   80,    0
105947,19120419,   46,    0
105947,19120420,   16,    0
105947,19120421,  108,    0
105947,19120422,   90,    0
105947,19120423,   85,    0
105947,19120424,   23,    0
105947,19120425,   25,    0
105947,19120426,   77,    0
105947,19120427,   97,    0
105947,19120428,   63,    0
105947,19120429,    0,    0
105947,19120430,    3,    0
105947,19120501,   93,    0
105947,19120502,  126,    0
105947,19120503,   96,    0
105947,19120504,  116,    0
105947,19120505,    0,    0
105947,19120506,  117,    0
105947,19120507,   30,    0
105947,19120508,   44,    0
105947,19120509,   84,    0
105947,19120510,   67,    0
105947,19120511,  127,    0
105947,19120512,   54,    0
105947,19120513,   66,    0
105947,19120514,  130,    0
105947,19120515,   74,    0
105947,19120516,   56,    0
105947,19120517,    3,    0
105947,19120518,   60,    0
105947,19120519,  127,    0
105947,19120520,  120,    0
105947,19120521,  122,    0
105947,19120522,    3,    0
105947,19120523,   66,    0
105947,19120524,   52,    0
105947,19120525,   14,    0
105947,19120526,   39,    0
105947,19120527,  123,    0
105947,19120528,   79,    0
105947,19120529,   44,    0
105947,19120530,   58,    0
105947,19120531,  135,    0
105947,19120601,  131,    0
105947,19120602,   22,    0
105947,19120603,  117,    0
105947,19120604,   25,    0
105947,19120605,  135,    0
105947,19120606,  117,    0
105947,19120607,  118,    0
105947,19120608,   47,    0
105947,19120609,   61,    0
105947,19120610,   39,    0
105947,19120611,   62,    0
105947,19120612,  142,    0
105947,19120613,   50,    0
105947,19120614,  102,    0
105947,19120615,  114,    0
105947,19120616,  110,    0
105947,19120617,   44,    0
105947,19120618,   20,    0
105947,19120619,   41,    0
105947,19120620,   85,    0
105947,19120621,   65,    0
105947,19120622,   87,    0
105947,19120623,  139,    0
105947,19120624,  132,    0
