EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-03-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : humidity in 1 %
23-27 Q_HU : Quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the series of NETHERLANDS, DE BILT (SOUID: 102004)
See file sources.txt for more info.



 SOUID,    DATE,   HU, Q_HU
102004,19010101,-9999,    9
102004,19010102,   86,    0
102004,19010103,   89,    0
102004,19010104,   79,    0
102004,19010105,   65,    0
102004,19010106,   63,    0
102004,19010107,   71,    0
102004,19010108,   79,    0
102004,19010109,   76,    0
102004,19010110,   82,    0
102004,19010111,   73,    0
102004,19010112,   90,    0
102004,19010113,   93,    0
102004,19010114,   85,    0
102004,19010115,   46,    0
102004,19010116,   55,    0
102004,19010117,   74,    0
102004,19010118,   87,    0
102004,19010119,   92,    0
102004,19010120,   83,    0
102004,19010121,   82,    0
102004,19010122,   85,    0
102004,19010123,   97,    0
102004,19010124,   95,    0
102004,19010125,   70,    0
102004,19010126,   73,    0
102004,19010127,   81,    0
102004,19010128,   75,    0
102004,19010129,   90,    0
102004,19010130,   91,    0
102004,19010131,   93,    0
102004,19010201,   93,    0
102004,19010202,   93,    0
102004,19010203,   92,    0
102004,19010204,   97,    0
102004,19010205,   91,    0
102004,19010206,   82,    0
102004,19010207,   86,    0
102004,19010208,   89,    0
102004,19010209,   95,    0
102004,19010210,   86,    0
102004,19010211,   79,    0
102004,19010212,   93,    0
102004,19010213,   75,    0
102004,19010214,   87,    0
102004,19010215,   88,    0
102004,19010216,   97,    0
102004,19010217,   91,    0
102004,19010218,   90,    0
102004,19010219,   84,    0
102004,19010220,   67,    0
102004,19010221,   76,    0
102004,19010222,   86,    0
102004,19010223,   96,    0
102004,19010224,   98,    0
102004,19010225,   98,    0
102004,19010226,   85,    0
102004,19010227,   94,    0
102004,19010228,   92,    0
102004,19010301,   96,    0
102004,19010302,   86,    0
102004,19010303,   82,    0
102004,19010304,   84,    0
102004,19010305,   94,    0
102004,19010306,   86,    0
102004,19010307,   91,    0
102004,19010308,   90,    0
102004,19010309,   88,    0
102004,19010310,   85,    0
102004,19010311,   87,    0
102004,19010312,   88,    0
102004,19010313,   81,    0
102004,19010314,   88,    0
102004,19010315,   87,    0
102004,19010316,   83,    0
102004,19010317,   93,    0
102004,19010318,   85,    0
102004,19010319,   96,    0
102004,19010320,   88,    0
102004,19010321,   76,    0
102004,19010322,   70,    0
102004,19010323,   76,    0
102004,19010324,   80,    0
102004,19010325,   79,    0
102004,19010326,   78,    0
102004,19010327,   95,    0
102004,19010328,   80,    0
102004,19010329,   80,    0
102004,19010330,   65,    0
102004,19010331,   88,    0
102004,19010401,   70,    0
102004,19010402,   62,    0
102004,19010403,   89,    0
102004,19010404,   71,    0
102004,19010405,   80,    0
102004,19010406,   85,    0
102004,19010407,   91,    0
102004,19010408,   72,    0
102004,19010409,   82,    0
102004,19010410,   77,    0
102004,19010411,   85,    0
102004,19010412,   80,    0
102004,19010413,   66,    0
102004,19010414,   78,    0
102004,19010415,   72,    0
102004,19010416,   90,    0
102004,19010417,   72,    0
102004,19010418,   75,    0
102004,19010419,   69,    0
102004,19010420,   57,    0
102004,19010421,   62,    0
102004,19010422,   48,    0
102004,19010423,   41,    0
102004,19010424,   45,    0
102004,19010425,   49,    0
102004,19010426,   57,    0
102004,19010427,   78,    0
102004,19010428,   85,    0
102004,19010429,   85,    0
102004,19010430,   84,    0
102004,19010501,   90,    0
102004,19010502,   78,    0
102004,19010503,   63,    0
102004,19010504,   83,    0
102004,19010505,   83,    0
102004,19010506,   84,    0
102004,19010507,   81,    0
102004,19010508,   72,    0
102004,19010509,   79,    0
102004,19010510,   89,    0
102004,19010511,   79,    0
102004,19010512,   83,    0
102004,19010513,   82,    0
102004,19010514,   73,    0
102004,19010515,   67,    0
102004,19010516,   88,    0
102004,19010517,   66,    0
102004,19010518,   70,    0
102004,19010519,   79,    0
102004,19010520,   74,    0
102004,19010521,   54,    0
102004,19010522,   41,    0
102004,19010523,   54,    0
102004,19010524,   66,    0
102004,19010525,   74,    0
102004,19010526,   77,    0
102004,19010527,   87,    0
102004,19010528,   69,    0
102004,19010529,   60,    0
102004,19010530,   77,    0
102004,19010531,   84,    0
102004,19010601,   81,    0
102004,19010602,   78,    0
102004,19010603,   80,    0
102004,19010604,   74,    0
102004,19010605,   69,    0
102004,19010606,   74,    0
102004,19010607,   68,    0
102004,19010608,   76,    0
102004,19010609,   78,    0
102004,19010610,   80,    0
102004,19010611,   63,    0
102004,19010612,   81,    0
102004,19010613,   69,    0
102004,19010614,   81,    0
102004,19010615,   70,    0
102004,19010616,   77,    0
102004,19010617,   87,    0
102004,19010618,   89,    0
102004,19010619,   89,    0
102004,19010620,   71,    0
102004,19010621,   75,    0
102004,19010622,   65,    0
102004,19010623,   68,    0
102004,19010624,   88,    0
102004,19010625,   85,    0
102004,19010626,   70,    0
102004,19010627,   77,    0
102004,19010628,   69,    0
102004,19010629,   71,    0
102004,19010630,   66,    0
102004,19010701,   91,    0
102004,19010702,   82,    0
102004,19010703,   90,    0
102004,19010704,   75,    0
102004,19010705,   81,    0
102004,19010706,   72,    0
102004,19010707,   76,    0
102004,19010708,   76,    0
102004,19010709,   77,    0
102004,19010710,   73,    0
102004,19010711,   54,    0
102004,19010712,   63,    0
102004,19010713,   69,    0
102004,19010714,   86,    0
102004,19010715,   82,    0
102004,19010716,   74,    0
102004,19010717,   66,    0
102004,19010718,   70,    0
102004,19010719,   62,    0
102004,19010720,   69,    0
102004,19010721,   67,    0
102004,19010722,   83,    0
102004,19010723,   72,    0
102004,19010724,   76,    0
102004,19010725,   68,    0
102004,19010726,   87,    0
102004,19010727,   82,    0
102004,19010728,   77,    0
102004,19010729,   71,    0
102004,19010730,   72,    0
102004,19010731,   76,    0
102004,19010801,   72,    0
102004,19010802,   77,    0
102004,19010803,   73,    0
102004,19010804,   71,    0
102004,19010805,   71,    0
102004,19010806,   90,    0
102004,19010807,   79,    0
102004,19010808,   82,    0
102004,19010809,   78,    0
102004,19010810,   65,    0
102004,19010811,   81,    0
102004,19010812,   79,    0
102004,19010813,   76,    0
102004,19010814,   66,    0
102004,19010815,   92,    0
102004,19010816,   86,    0
102004,19010817,   72,    0
102004,19010818,   67,    0
102004,19010819,   68,    0
102004,19010820,   64,    0
102004,19010821,   76,    0
102004,19010822,   80,    0
102004,19010823,   87,    0
102004,19010824,   78,    0
102004,19010825,   73,    0
102004,19010826,   80,    0
102004,19010827,   70,    0
102004,19010828,   73,    0
102004,19010829,   78,    0
102004,19010830,   91,    0
102004,19010831,   99,    0
102004,19010901,   71,    0
102004,19010902,   80,    0
102004,19010903,   71,    0
102004,19010904,   57,    0
102004,19010905,   63,    0
102004,19010906,   67,    0
102004,19010907,   80,    0
102004,19010908,   78,    0
102004,19010909,   88,    0
102004,19010910,   85,    0
102004,19010911,   89,    0
102004,19010912,   85,    0
102004,19010913,   78,    0
102004,19010914,   92,    0
102004,19010915,   96,    0
102004,19010916,   89,    0
102004,19010917,   88,    0
102004,19010918,   74,    0
102004,19010919,   95,    0
102004,19010920,   80,    0
102004,19010921,   74,    0
102004,19010922,   84,    0
102004,19010923,   79,    0
102004,19010924,   94,    0
102004,19010925,   92,    0
102004,19010926,   91,    0
102004,19010927,   82,    0
102004,19010928,   87,    0
102004,19010929,   87,    0
102004,19010930,   93,    0
102004,19011001,   80,    0
102004,19011002,   87,    0
102004,19011003,   89,    0
102004,19011004,   92,    0
102004,19011005,   76,    0
102004,19011006,   85,    0
102004,19011007,   77,    0
102004,19011008,   84,    0
102004,19011009,   75,    0
102004,19011010,   80,    0
102004,19011011,   92,    0
102004,19011012,   80,    0
102004,19011013,   98,    0
102004,19011014,   87,    0
102004,19011015,   89,    0
102004,19011016,   91,    0
102004,19011017,   93,    0
102004,19011018,   78,    0
102004,19011019,   88,    0
102004,19011020,   93,    0
102004,19011021,   98,    0
102004,19011022,   96,    0
102004,19011023,   98,    0
102004,19011024,   88,    0
102004,19011025,   88,    0
102004,19011026,   91,    0
102004,19011027,   95,    0
102004,19011028,   89,    0
102004,19011029,   97,    0
102004,19011030,   72,    0
102004,19011031,   72,    0
102004,19011101,   64,    0
102004,19011102,   64,    0
102004,19011103,   89,    0
102004,19011104,   88,    0
102004,19011105,   85,    0
102004,19011106,   97,    0
102004,19011107,   91,    0
102004,19011108,   81,    0
102004,19011109,   95,    0
102004,19011110,   89,    0
102004,19011111,   98,    0
102004,19011112,   86,    0
102004,19011113,   88,    0
102004,19011114,   86,    0
102004,19011115,   91,    0
102004,19011116,   88,    0
102004,19011117,   85,    0
102004,19011118,   93,    0
102004,19011119,   91,    0
102004,19011120,   92,    0
102004,19011121,   92,    0
102004,19011122,   85,    0
102004,19011123,   83,    0
102004,19011124,   93,    0
102004,19011125,   91,    0
102004,19011126,   92,    0
102004,19011127,   96,    0
