EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, DRESDEN WAHNSDORF (STAID: 43).
Blended and updated with sources: 100145 102300 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100145,19170101,   78,    0
100145,19170102,  106,    0
100145,19170103,  106,    0
100145,19170104,    4,    0
100145,19170105,    8,    0
100145,19170106,    0,    0
100145,19170107,   18,    0
100145,19170108,    0,    0
100145,19170109,   14,    0
100145,19170110,   38,    0
100145,19170111,   40,    0
100145,19170112,    0,    0
100145,19170113,    0,    0
100145,19170114,    0,    0
100145,19170115,   14,    0
100145,19170116,   14,    0
100145,19170117,   88,    0
100145,19170118,    0,    0
100145,19170119,   13,    0
100145,19170120,    0,    0
100145,19170121,    0,    0
100145,19170122,    0,    0
100145,19170123,    6,    0
100145,19170124,    0,    0
100145,19170125,    4,    0
100145,19170126,   24,    0
100145,19170127,   15,    0
100145,19170128,   12,    0
100145,19170129,   20,    0
100145,19170130,   32,    0
100145,19170131,   16,    0
100145,19170201,    6,    0
100145,19170202,   14,    0
100145,19170203,    6,    0
100145,19170204,    5,    0
100145,19170205,    4,    0
100145,19170206,   20,    0
100145,19170207,    4,    0
100145,19170208,    0,    0
100145,19170209,    6,    0
100145,19170210,   26,    0
100145,19170211,   12,    0
100145,19170212,    0,    0
100145,19170213,    0,    0
100145,19170214,    0,    0
100145,19170215,    0,    0
100145,19170216,    0,    0
100145,19170217,   12,    0
100145,19170218,   20,    0
100145,19170219,   50,    0
100145,19170220,    0,    0
100145,19170221,    0,    0
100145,19170222,    0,    0
100145,19170223,    0,    0
100145,19170224,   34,    0
100145,19170225,    0,    0
100145,19170226,   14,    0
100145,19170227,   12,    0
100145,19170228,    2,    0
100145,19170301,    0,    0
100145,19170302,    0,    0
100145,19170303,    0,    0
100145,19170304,    8,    0
100145,19170305,   10,    0
100145,19170306,    0,    0
100145,19170307,    0,    0
100145,19170308,  116,    0
100145,19170309,   36,    0
100145,19170310,    0,    0
100145,19170311,    0,    0
100145,19170312,    4,    0
100145,19170313,    8,    0
100145,19170314,   24,    0
100145,19170315,    0,    0
100145,19170316,    2,    0
100145,19170317,   48,    0
