EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, DRESDEN WAHNSDORF (STAID: 43).
Blended and updated with sources: 115737 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
115737,19170101,    0,    0
115737,19170102,    0,    0
115737,19170103,    0,    0
115737,19170104,    0,    0
115737,19170105,    0,    0
115737,19170106,    2,    0
115737,19170107,    0,    0
115737,19170108,    2,    0
115737,19170109,    0,    0
115737,19170110,    1,    0
115737,19170111,    5,    0
115737,19170112,    7,    0
115737,19170113,    5,    0
115737,19170114,    5,    0
115737,19170115,    5,    0
115737,19170116,    6,    0
115737,19170117,    6,    0
115737,19170118,   18,    0
115737,19170119,   15,    0
115737,19170120,   15,    0
115737,19170121,   15,    0
115737,19170122,   13,    0
115737,19170123,   13,    0
115737,19170124,   12,    0
115737,19170125,   12,    0
115737,19170126,   12,    0
115737,19170127,   13,    0
115737,19170128,   14,    0
115737,19170129,   14,    0
115737,19170130,   16,    0
115737,19170131,   18,    0
115737,19170201,   20,    0
115737,19170202,   21,    0
115737,19170203,   22,    0
115737,19170204,   22,    0
115737,19170205,   22,    0
115737,19170206,   22,    0
115737,19170207,   22,    0
115737,19170208,   22,    0
115737,19170209,   22,    0
115737,19170210,   20,    0
115737,19170211,   20,    0
115737,19170212,   17,    0
115737,19170213,   14,    0
115737,19170214,   10,    0
115737,19170215,   10,    0
115737,19170216,   10,    0
115737,19170217,    9,    0
115737,19170218,    8,    0
115737,19170219,    7,    0
115737,19170220,    5,    0
115737,19170221,    3,    0
115737,19170222,    3,    0
115737,19170223,    3,    0
115737,19170224,    3,    0
115737,19170225,    3,    0
115737,19170226,    0,    0
115737,19170227,    0,    0
115737,19170228,    0,    0
115737,19170301,    0,    0
115737,19170302,    0,    0
115737,19170303,    0,    0
115737,19170304,    0,    0
115737,19170305,    0,    0
115737,19170306,    0,    0
115737,19170307,    0,    0
115737,19170308,    0,    0
115737,19170309,   20,    0
115737,19170310,   20,    0
115737,19170311,   18,    0
115737,19170312,   10,    0
115737,19170313,    0,    0
115737,19170314,    0,    0
115737,19170315,    0,    0
115737,19170316,    0,    0
115737,19170317,    0,    0
115737,19170318,    0,    0
115737,19170319,    0,    0
115737,19170320,    0,    0
115737,19170321,    2,    0
115737,19170322,    3,    0
115737,19170323,    0,    0
115737,19170324,    0,    0
115737,19170325,    0,    0
115737,19170326,    0,    0
115737,19170327,    0,    0
115737,19170328,    0,    0
115737,19170329,    0,    0
115737,19170330,    0,    0
115737,19170331,    0,    0
115737,19170401,    0,    0
115737,19170402,    0,    0
115737,19170403,    0,    0
115737,19170404,    0,    0
115737,19170405,    0,    0
115737,19170406,    0,    0
115737,19170407,    0,    0
115737,19170408,    0,    0
115737,19170409,    0,    0
115737,19170410,    0,    0
115737,19170411,    0,    0
115737,19170412,    0,    0
115737,19170413,    0,    0
115737,19170414,    0,    0
115737,19170415,    0,    0
115737,19170416,    0,    0
115737,19170417,    0,    0
115737,19170418,    0,    0
115737,19170419,    0,    0
115737,19170420,    0,    0
115737,19170421,    0,    0
115737,19170422,    0,    0
115737,19170423,    0,    0
115737,19170424,    0,    0
115737,19170425,    0,    0
115737,19170426,    0,    0
115737,19170427,    0,    0
115737,19170428,    0,    0
115737,19170429,    0,    0
115737,19170430,    0,    0
115737,19170501,    0,    0
115737,19170502,    0,    0
115737,19170503,    0,    0
115737,19170504,    0,    0
115737,19170505,    0,    0
115737,19170506,    0,    0
115737,19170507,    0,    0
115737,19170508,    0,    0
115737,19170509,    0,    0
115737,19170510,    0,    0
115737,19170511,    0,    0
115737,19170512,    0,    0
115737,19170513,    0,    0
115737,19170514,    0,    0
115737,19170515,    0,    0
115737,19170516,    0,    0
115737,19170517,    0,    0
115737,19170518,    0,    0
115737,19170519,    0,    0
115737,19170520,    0,    0
115737,19170521,    0,    0
115737,19170522,    0,    0
115737,19170523,    0,    0
115737,19170524,    0,    0
115737,19170525,    0,    0
115737,19170526,    0,    0
115737,19170527,    0,    0
115737,19170528,    0,    0
115737,19170529,    0,    0
115737,19170530,    0,    0
115737,19170531,    0,    0
115737,19170601,    0,    0
115737,19170602,    0,    0
115737,19170603,    0,    0
115737,19170604,    0,    0
115737,19170605,    0,    0
115737,19170606,    0,    0
115737,19170607,    0,    0
115737,19170608,    0,    0
115737,19170609,    0,    0
115737,19170610,    0,    0
115737,19170611,    0,    0
115737,19170612,    0,    0
115737,19170613,    0,    0
115737,19170614,    0,    0
115737,19170615,    0,    0
115737,19170616,    0,    0
115737,19170617,    0,    0
115737,19170618,    0,    0
115737,19170619,    0,    0
115737,19170620,    0,    0
115737,19170621,    0,    0
115737,19170622,    0,    0
115737,19170623,    0,    0
115737,19170624,    0,    0
115737,19170625,    0,    0
115737,19170626,    0,    0
115737,19170627,    0,    0
115737,19170628,    0,    0
115737,19170629,    0,    0
115737,19170630,    0,    0
115737,19170701,    0,    0
115737,19170702,    0,    0
115737,19170703,    0,    0
115737,19170704,    0,    0
115737,19170705,    0,    0
115737,19170706,    0,    0
115737,19170707,    0,    0
115737,19170708,    0,    0
115737,19170709,    0,    0
115737,19170710,    0,    0
115737,19170711,    0,    0
115737,19170712,    0,    0
115737,19170713,    0,    0
115737,19170714,    0,    0
115737,19170715,    0,    0
115737,19170716,    0,    0
115737,19170717,    0,    0
115737,19170718,    0,    0
115737,19170719,    0,    0
115737,19170720,    0,    0
115737,19170721,    0,    0
115737,19170722,    0,    0
115737,19170723,    0,    0
115737,19170724,    0,    0
115737,19170725,    0,    0
115737,19170726,    0,    0
115737,19170727,    0,    0
115737,19170728,    0,    0
115737,19170729,    0,    0
115737,19170730,    0,    0
115737,19170731,    0,    0
115737,19170801,    0,    0
115737,19170802,    0,    0
115737,19170803,    0,    0
115737,19170804,    0,    0
115737,19170805,    0,    0
115737,19170806,    0,    0
115737,19170807,    0,    0
115737,19170808,    0,    0
115737,19170809,    0,    0
115737,19170810,    0,    0
115737,19170811,    0,    0
115737,19170812,    0,    0
115737,19170813,    0,    0
115737,19170814,    0,    0
115737,19170815,    0,    0
115737,19170816,    0,    0
115737,19170817,    0,    0
115737,19170818,    0,    0
115737,19170819,    0,    0
115737,19170820,    0,    0
115737,19170821,    0,    0
115737,19170822,    0,    0
115737,19170823,    0,    0
115737,19170824,    0,    0
115737,19170825,    0,    0
115737,19170826,    0,    0
115737,19170827,    0,    0
115737,19170828,    0,    0
115737,19170829,    0,    0
115737,19170830,    0,    0
115737,19170831,    0,    0
115737,19170901,    0,    0
115737,19170902,    0,    0
115737,19170903,    0,    0
115737,19170904,    0,    0
115737,19170905,    0,    0
115737,19170906,    0,    0
115737,19170907,    0,    0
115737,19170908,    0,    0
115737,19170909,    0,    0
115737,19170910,    0,    0
115737,19170911,    0,    0
115737,19170912,    0,    0
115737,19170913,    0,    0
115737,19170914,    0,    0
115737,19170915,    0,    0
115737,19170916,    0,    0
115737,19170917,    0,    0
115737,19170918,    0,    0
115737,19170919,    0,    0
115737,19170920,    0,    0
115737,19170921,    0,    0
115737,19170922,    0,    0
115737,19170923,    0,    0
115737,19170924,    0,    0
115737,19170925,    0,    0
115737,19170926,    0,    0
115737,19170927,    0,    0
115737,19170928,    0,    0
115737,19170929,    0,    0
115737,19170930,    0,    0
115737,19171001,    0,    0
115737,19171002,    0,    0
115737,19171003,    0,    0
115737,19171004,    0,    0
115737,19171005,    0,    0
115737,19171006,    0,    0
115737,19171007,    0,    0
115737,19171008,    0,    0
115737,19171009,    0,    0
115737,19171010,    0,    0
115737,19171011,    0,    0
115737,19171012,    0,    0
115737,19171013,    0,    0
115737,19171014,    0,    0
115737,19171015,    0,    0
115737,19171016,    0,    0
115737,19171017,    0,    0
115737,19171018,    0,    0
115737,19171019,    0,    0
115737,19171020,    0,    0
115737,19171021,    0,    0
115737,19171022,    0,    0
115737,19171023,    0,    0
115737,19171024,    0,    0
115737,19171025,    0,    0
115737,19171026,    0,    0
115737,19171027,    0,    0
115737,19171028,    0,    0
115737,19171029,    0,    0
115737,19171030,    0,    0
115737,19171031,    0,    0
115737,19171101,    0,    0
115737,19171102,    0,    0
115737,19171103,    0,    0
115737,19171104,    0,    0
115737,19171105,    0,    0
115737,19171106,    0,    0
115737,19171107,    0,    0
115737,19171108,    0,    0
115737,19171109,    0,    0
115737,19171110,    0,    0
115737,19171111,    0,    0
115737,19171112,    0,    0
115737,19171113,    0,    0
115737,19171114,    0,    0
115737,19171115,    0,    0
115737,19171116,    0,    0
115737,19171117,    0,    0
115737,19171118,    0,    0
115737,19171119,    0,    0
115737,19171120,    0,    0
115737,19171121,    0,    0
115737,19171122,    0,    0
115737,19171123,    0,    0
115737,19171124,    0,    0
115737,19171125,    0,    0
115737,19171126,    0,    0
115737,19171127,    0,    0
115737,19171128,    0,    0
115737,19171129,    0,    0
115737,19171130,    0,    0
115737,19171201,    0,    0
115737,19171202,    0,    0
115737,19171203,    1,    0
115737,19171204,    2,    0
115737,19171205,    1,    0
115737,19171206,    1,    0
115737,19171207,    0,    0
115737,19171208,    0,    0
115737,19171209,    0,    0
115737,19171210,    0,    0
115737,19171211,    0,    0
115737,19171212,    0,    0
115737,19171213,    1,    0
115737,19171214,    0,    0
115737,19171215,    0,    0
115737,19171216,    0,    0
115737,19171217,    0,    0
115737,19171218,    0,    0
115737,19171219,    0,    0
115737,19171220,    0,    0
115737,19171221,    0,    0
115737,19171222,    0,    0
115737,19171223,    0,    0
115737,19171224,    0,    0
115737,19171225,    0,    0
115737,19171226,    3,    0
115737,19171227,    4,    0
115737,19171228,    5,    0
115737,19171229,   12,    0
115737,19171230,   12,    0
115737,19171231,   12,    0
115737,19180101,   12,    0
115737,19180102,   12,    0
115737,19180103,   12,    0
115737,19180104,   11,    0
115737,19180105,   16,    0
115737,19180106,   13,    0
115737,19180107,    8,    0
115737,19180108,    5,    0
115737,19180109,    7,    0
115737,19180110,    7,    0
115737,19180111,    0,    0
115737,19180112,   10,    0
115737,19180113,    5,    0
115737,19180114,    3,    0
115737,19180115,    0,    0
115737,19180116,    0,    0
115737,19180117,    0,    0
115737,19180118,    0,    0
115737,19180119,    0,    0
115737,19180120,    0,    0
115737,19180121,    0,    0
115737,19180122,    0,    0
115737,19180123,    0,    0
115737,19180124,    0,    0
115737,19180125,    0,    0
115737,19180126,    0,    0
115737,19180127,    0,    0
115737,19180128,    0,    0
115737,19180129,    0,    0
115737,19180130,    0,    0
115737,19180131,    0,    0
115737,19180201,    0,    0
115737,19180202,    0,    0
115737,19180203,    0,    0
115737,19180204,    0,    0
115737,19180205,    0,    0
115737,19180206,    0,    0
115737,19180207,    0,    0
115737,19180208,    0,    0
115737,19180209,    0,    0
115737,19180210,    0,    0
115737,19180211,    0,    0
115737,19180212,    0,    0
115737,19180213,    0,    0
115737,19180214,    0,    0
115737,19180215,    0,    0
115737,19180216,    0,    0
115737,19180217,    0,    0
115737,19180218,    0,    0
115737,19180219,    0,    0
115737,19180220,    0,    0
115737,19180221,    0,    0
115737,19180222,    0,    0
115737,19180223,    0,    0
115737,19180224,    0,    0
115737,19180225,    0,    0
115737,19180226,    0,    0
115737,19180227,    0,    0
115737,19180228,    0,    0
115737,19180301,    0,    0
115737,19180302,    0,    0
115737,19180303,    0,    0
115737,19180304,    0,    0
115737,19180305,    0,    0
115737,19180306,    0,    0
115737,19180307,    0,    0
115737,19180308,    0,    0
115737,19180309,    0,    0
115737,19180310,    0,    0
115737,19180311,    0,    0
115737,19180312,    0,    0
115737,19180313,    0,    0
115737,19180314,    0,    0
115737,19180315,    0,    0
115737,19180316,    0,    0
115737,19180317,    0,    0
115737,19180318,    0,    0
115737,19180319,    0,    0
115737,19180320,    0,    0
115737,19180321,    0,    0
115737,19180322,    0,    0
115737,19180323,    0,    0
115737,19180324,    0,    0
115737,19180325,    0,    0
115737,19180326,    0,    0
115737,19180327,    0,    0
115737,19180328,    0,    0
115737,19180329,    0,    0
115737,19180330,    0,    0
115737,19180331,    0,    0
115737,19180401,    0,    0
115737,19180402,    0,    0
115737,19180403,    0,    0
115737,19180404,    0,    0
115737,19180405,    0,    0
115737,19180406,    0,    0
115737,19180407,    0,    0
115737,19180408,    0,    0
115737,19180409,    0,    0
115737,19180410,    0,    0
115737,19180411,    0,    0
115737,19180412,    0,    0
115737,19180413,    0,    0
115737,19180414,    0,    0
115737,19180415,    0,    0
115737,19180416,    0,    0
115737,19180417,    0,    0
