EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, DRESDEN WAHNSDORF (STAID: 43).
Blended and updated with sources: 100142 102303 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100142,19170101,   35,    0
100142,19170102,   36,    0
100142,19170103,   36,    0
100142,19170104,   31,    0
100142,19170105,  -25,    0
100142,19170106,  -67,    0
100142,19170107,  -36,    0
100142,19170108,  -50,    0
100142,19170109,  -16,    0
100142,19170110,  -15,    0
100142,19170111,  -20,    0
100142,19170112,  -44,    0
100142,19170113,  -45,    0
100142,19170114,  -59,    0
100142,19170115,  -56,    0
100142,19170116,  -34,    0
100142,19170117,  -23,    0
100142,19170118,  -30,    0
100142,19170119,  -71,    0
100142,19170120, -118,    0
100142,19170121, -160,    0
100142,19170122, -155,    0
100142,19170123, -166,    0
100142,19170124, -105,    0
100142,19170125, -140,    0
100142,19170126, -157,    0
100142,19170127,  -77,    0
100142,19170128, -135,    0
100142,19170129, -130,    0
100142,19170130, -114,    0
100142,19170131,  -94,    0
100142,19170201, -135,    0
100142,19170202, -140,    0
100142,19170203, -177,    0
100142,19170204, -177,    0
100142,19170205, -184,    0
100142,19170206, -151,    0
100142,19170207, -175,    0
100142,19170208, -128,    0
100142,19170209, -170,    0
100142,19170210, -123,    0
100142,19170211,  -23,    0
100142,19170212,  -36,    0
100142,19170213,  -48,    0
100142,19170214,  -65,    0
100142,19170215,  -59,    0
