EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

   43,102297,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, CC1,19340101,20210331,   11,National Climate Data Center (DWD)                
   43,115735,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, CC1,19170101,19740630,   11,National Climate Data Center (DWD)                
  483,102297,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, CC1,19340101,20210331,   11,National Climate Data Center (DWD)                
  483,115735,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, CC1,19170101,19740630,   11,National Climate Data Center (DWD)                
   43,190482,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, QQ2,19960901,20210228,   11,National Climate Data Center (DWD)                
   43,190496,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, QQ2,19500101,19960831,   11,National Climate Data Center (DWD)                
   43,209890,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, QQ6,19340101,19960831,   11,National Climate Data Center (DWD)                
   43,210032,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, QQ6,19350201,20210331,   11,National Climate Data Center (DWD)                
  483,190482,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, QQ2,19960901,20210228,   11,National Climate Data Center (DWD)                
  483,190496,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, QQ2,19500101,19960831,   11,National Climate Data Center (DWD)                
  483,209890,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, QQ6,19340101,19960831,   11,National Climate Data Center (DWD)                
  483,210032,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, QQ6,19350201,20210331,   11,National Climate Data Center (DWD)                
   43,102298,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, HU3,19340101,20210331,   11,National Climate Data Center (DWD)                
   43,115738,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, HU3,19170101,19740630,   11,National Climate Data Center (DWD)                
  483,102298,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, HU3,19340101,20210331,   11,National Climate Data Center (DWD)                
  483,115738,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, HU3,19170101,19740630,   11,National Climate Data Center (DWD)                
   43,100144,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, TX3,19170101,19740630,   11,National Climate Data Center (DWD)                
   43,102304,DRESDEN-KLOTZSCHE                       ,DE,+51:07:45,+013:45:22, 227, TX3,19340101,20210331,   11,National Climate Data Center (DWD)                
  483,100144,DRESDEN WAHNSDORF                       ,DE,+51:07:00,+013:41:00, 246, TX3,19170101,19740630,   11,National Climate Data Center (DWD)                
