EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-03-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : wind speed in 0.1 m/s
23-27 Q_FG : Quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, DUSSELDORF (SOUID: 115673)
See file sources.txt for more info.



 SOUID,    DATE,   FG, Q_FG
115673,19520101,   76,    0
115673,19520102,   83,    0
115673,19520103,   46,    0
115673,19520104,   49,    0
115673,19520105,   25,    0
115673,19520106,   25,    0
115673,19520107,   45,    0
115673,19520108,   47,    0
115673,19520109,   71,    0
115673,19520110,   77,    0
115673,19520111,   78,    0
115673,19520112,   51,    0
115673,19520113,   38,    0
115673,19520114,   61,    0
115673,19520115,   68,    0
115673,19520116,   54,    0
115673,19520117,   66,    0
115673,19520118,   79,    0
115673,19520119,   58,    0
115673,19520120,   25,    0
115673,19520121,   50,    0
115673,19520122,   29,    0
115673,19520123,   30,    0
115673,19520124,   24,    0
115673,19520125,   22,    0
115673,19520126,   47,    0
115673,19520127,   35,    0
115673,19520128,   50,    0
115673,19520129,   47,    0
115673,19520130,   32,    0
115673,19520131,   73,    0
115673,19520201,   55,    0
115673,19520202,   42,    0
115673,19520203,   27,    0
115673,19520204,   25,    0
115673,19520205,   47,    0
115673,19520206,   45,    0
115673,19520207,   56,    0
115673,19520208,   75,    0
115673,19520209,   61,    0
115673,19520210,   73,    0
115673,19520211,   49,    0
115673,19520212,   18,    0
115673,19520213,   32,    0
115673,19520214,   45,    0
115673,19520215,   25,    0
115673,19520216,   13,    0
115673,19520217,   15,    0
115673,19520218,   13,    0
115673,19520219,   34,    0
115673,19520220,   43,    0
115673,19520221,   49,    0
115673,19520222,   37,    0
115673,19520223,   13,    0
115673,19520224,   11,    0
115673,19520225,   14,    0
115673,19520226,   17,    0
115673,19520227,   19,    0
115673,19520228,   30,    0
115673,19520229,   46,    0
115673,19520301,   26,    0
115673,19520302,   46,    0
115673,19520303,   39,    0
115673,19520304,   39,    0
115673,19520305,   51,    0
115673,19520306,   25,    0
115673,19520307,   64,    0
115673,19520308,   90,    0
115673,19520309,   73,    0
115673,19520310,   49,    0
115673,19520311,   23,    0
115673,19520312,   21,    0
115673,19520313,   39,    0
115673,19520314,   41,    0
115673,19520315,   54,    0
115673,19520316,   44,    0
115673,19520317,   22,    0
115673,19520318,   23,    0
115673,19520319,   15,    0
115673,19520320,   52,    0
115673,19520321,   58,    0
115673,19520322,   63,    0
115673,19520323,   35,    0
115673,19520324,   20,    0
115673,19520325,   42,    0
115673,19520326,   66,    0
115673,19520327,   26,    0
115673,19520328,   65,    0
115673,19520329,   72,    0
115673,19520330,   33,    0
115673,19520331,   48,    0
115673,19520401,   48,    0
115673,19520402,   25,    0
115673,19520403,   24,    0
115673,19520404,   18,    0
115673,19520405,   31,    0
115673,19520406,   58,    0
115673,19520407,   68,    0
115673,19520408,   32,    0
115673,19520409,   42,    0
115673,19520410,   53,    0
115673,19520411,   39,    0
115673,19520412,   18,    0
115673,19520413,   23,    0
115673,19520414,   17,    0
115673,19520415,   15,    0
115673,19520416,   39,    0
