EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 28-03-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : wind gust in 0.1 m/s
23-27 Q_FX : Quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the series of GERMANY, DUSSELDORF (SOUID: 115674)
See file sources.txt for more info.



 SOUID,    DATE,   FX, Q_FX
115674,19520101,  190,    0
115674,19520102,  231,    0
115674,19520103,  131,    0
115674,19520104,  116,    0
115674,19520105,   64,    0
115674,19520106,   82,    0
115674,19520107,   82,    0
115674,19520108,  130,    0
115674,19520109,  200,    0
115674,19520110,  180,    0
115674,19520111,  166,    0
115674,19520112,  170,    0
115674,19520113,   89,    0
115674,19520114,  168,    0
115674,19520115,  152,    0
115674,19520116,  181,    0
115674,19520117,  212,    0
115674,19520118,  178,    0
115674,19520119,  136,    0
115674,19520120,   74,    0
115674,19520121,   96,    0
115674,19520122,   65,    0
115674,19520123,   72,    0
115674,19520124,   79,    0
115674,19520125,   52,    0
115674,19520126,   80,    0
115674,19520127,  102,    0
115674,19520128,  138,    0
115674,19520129,  143,    0
115674,19520130,   70,    0
115674,19520131,  178,    0
115674,19520201,  135,    0
115674,19520202,   90,    0
115674,19520203,   57,    0
115674,19520204,   56,    0
115674,19520205,  116,    0
115674,19520206,  102,    0
115674,19520207,  120,    0
115674,19520208,  170,    0
115674,19520209,  132,    0
115674,19520210,  173,    0
115674,19520211,  184,    0
115674,19520212,   86,    0
115674,19520213,   84,    0
115674,19520214,  106,    0
115674,19520215,   58,    0
115674,19520216,   34,    0
115674,19520217,   38,    0
115674,19520218,   56,    0
115674,19520219,   88,    0
115674,19520220,   89,    0
115674,19520221,  100,    0
115674,19520222,   92,    0
115674,19520223,   52,    0
115674,19520224,   44,    0
115674,19520225,   61,    0
115674,19520226,   70,    0
115674,19520227,   82,    0
115674,19520228,   64,    0
115674,19520229,   99,    0
115674,19520301,   68,    0
115674,19520302,  104,    0
115674,19520303,   79,    0
115674,19520304,  124,    0
115674,19520305,  162,    0
115674,19520306,   88,    0
115674,19520307,  143,    0
115674,19520308,  194,    0
115674,19520309,  160,    0
115674,19520310,   99,    0
115674,19520311,   71,    0
115674,19520312,   55,    0
115674,19520313,   93,    0
115674,19520314,  109,    0
115674,19520315,  132,    0
115674,19520316,  108,    0
115674,19520317,   61,    0
115674,19520318,   55,    0
115674,19520319,   68,    0
115674,19520320,  152,    0
115674,19520321,  128,    0
115674,19520322,  184,    0
115674,19520323,   88,    0
115674,19520324,   61,    0
115674,19520325,  131,    0
115674,19520326,  127,    0
115674,19520327,   55,    0
115674,19520328,  139,    0
115674,19520329,  160,    0
115674,19520330,   87,    0
115674,19520331,  102,    0
115674,19520401,  109,    0
115674,19520402,   98,    0
115674,19520403,   69,    0
115674,19520404,   69,    0
115674,19520405,   99,    0
115674,19520406,  140,    0
115674,19520407,  146,    0
115674,19520408,  107,    0
115674,19520409,   99,    0
115674,19520410,  115,    0
115674,19520411,   90,    0
115674,19520412,   51,    0
115674,19520413,   72,    0
115674,19520414,   61,    0
115674,19520415,   63,    0
115674,19520416,  103,    0
115674,19520417,   90,    0
115674,19520418,   53,    0
115674,19520419,   57,    0
115674,19520420,   76,    0
115674,19520421,  114,    0
115674,19520422,  140,    0
115674,19520423,  116,    0
115674,19520424,   78,    0
115674,19520425,  107,    0
115674,19520426,   80,    0
115674,19520427,   98,    0
115674,19520428,   88,    0
115674,19520429,   58,    0
115674,19520430,   80,    0
115674,19520501,   86,    0
115674,19520502,   90,    0
115674,19520503,  108,    0
115674,19520504,   96,    0
115674,19520505,  160,    0
115674,19520506,  132,    0
115674,19520507,  100,    0
115674,19520508,   78,    0
115674,19520509,  100,    0
115674,19520510,   48,    0
