EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 QQ   : daily Global radiation in W/m2
23-27 Q_QQ : quality code for QQ (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNITED KINGDOM, HEATHROW (STAID: 1860).
Blended and updated with sources: 210187 903772 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   QQ, Q_QQ
210187,19600101,   13,    0
210187,19600102,   13,    0
210187,19600103,   15,    0
210187,19600104,   13,    0
210187,19600105,   30,    0
210187,19600106,   49,    0
210187,19600107,   13,    0
210187,19600108,   13,    0
210187,19600109,   26,    0
210187,19600110,   49,    0
210187,19600111,   24,    0
210187,19600112,   21,    0
210187,19600113,   14,    0
210187,19600114,   14,    0
210187,19600115,   26,    0
210187,19600116,   15,    0
210187,19600117,   34,    0
210187,19600118,   39,    0
210187,19600119,   35,    0
210187,19600120,   31,    0
210187,19600121,   16,    0
210187,19600122,   16,    0
210187,19600123,   17,    0
210187,19600124,   17,    0
210187,19600125,   37,    0
210187,19600126,   17,    0
210187,19600127,   18,    0
210187,19600128,   18,    0
210187,19600129,   68,    0
210187,19600130,   19,    0
210187,19600131,   19,    0
210187,19600201,   19,    0
210187,19600202,   20,    0
210187,19600203,   20,    0
210187,19600204,   53,    0
210187,19600205,   58,    0
210187,19600206,   40,    0
210187,19600207,   84,    0
210187,19600208,   83,    0
210187,19600209,   22,    0
210187,19600210,   23,    0
210187,19600211,   23,    0
210187,19600212,   24,    0
210187,19600213,   24,    0
210187,19600214,   38,    0
210187,19600215,   89,    0
210187,19600216,   93,    0
210187,19600217,   87,    0
210187,19600218,   85,    0
210187,19600219,  104,    0
210187,19600220,   39,    0
210187,19600221,  109,    0
210187,19600222,   28,    0
210187,19600223,   32,    0
210187,19600224,   29,    0
210187,19600225,   30,    0
210187,19600226,   46,    0
210187,19600227,  104,    0
210187,19600228,   70,    0
210187,19600229,   68,    0
210187,19600301,   55,    0
210187,19600302,   51,    0
210187,19600303,  104,    0
210187,19600304,  113,    0
210187,19600305,  107,    0
210187,19600306,   64,    0
210187,19600307,  133,    0
210187,19600308,   51,    0
210187,19600309,   40,    0
210187,19600310,  103,    0
210187,19600311,   41,    0
210187,19600312,   66,    0
210187,19600313,   47,    0
210187,19600314,   48,    0
210187,19600315,   97,    0
210187,19600316,   44,    0
210187,19600317,   45,    0
210187,19600318,   46,    0
210187,19600319,   46,    0
210187,19600320,  163,    0
210187,19600321,  144,    0
210187,19600322,  153,    0
210187,19600323,  150,    0
210187,19600324,  113,    0
210187,19600325,   50,    0
210187,19600326,   51,    0
210187,19600327,   51,    0
210187,19600328,   52,    0
210187,19600329,   53,    0
210187,19600330,   53,    0
210187,19600331,   85,    0
210187,19600401,   72,    0
210187,19600402,  110,    0
210187,19600403,   65,    0
210187,19600404,  176,    0
210187,19600405,   57,    0
210187,19600406,   73,    0
210187,19600407,  126,    0
210187,19600408,  177,    0
210187,19600409,  138,    0
210187,19600410,  174,    0
210187,19600411,  165,    0
210187,19600412,   83,    0
210187,19600413,   91,    0
210187,19600414,  222,    0
210187,19600415,  181,    0
210187,19600416,  206,    0
210187,19600417,  197,    0
210187,19600418,  224,    0
210187,19600419,  210,    0
210187,19600420,  244,    0
210187,19600421,  259,    0
210187,19600422,  220,    0
210187,19600423,  116,    0
210187,19600424,  223,    0
210187,19600425,   68,    0
210187,19600426,  153,    0
210187,19600427,  237,    0
210187,19600428,  101,    0
210187,19600429,  180,    0
210187,19600430,  264,    0
210187,19600501,   71,    0
210187,19600502,   96,    0
210187,19600503,  209,    0
210187,19600504,  100,    0
210187,19600505,  230,    0
210187,19600506,  282,    0
210187,19600507,  250,    0
210187,19600508,  195,    0
210187,19600509,  138,    0
210187,19600510,  293,    0
210187,19600511,   83,    0
210187,19600512,  115,    0
210187,19600513,  197,    0
210187,19600514,  270,    0
210187,19600515,   93,    0
210187,19600516,  225,    0
210187,19600517,  146,    0
210187,19600518,   78,    0
210187,19600519,   79,    0
210187,19600520,   79,    0
210187,19600521,   79,    0
210187,19600522,  114,    0
210187,19600523,  236,    0
210187,19600524,  311,    0
210187,19600525,  272,    0
210187,19600526,  278,    0
210187,19600527,  213,    0
210187,19600528,  311,    0
210187,19600529,  288,    0
210187,19600530,  295,    0
210187,19600531,  330,    0
210187,19600601,  316,    0
210187,19600602,  322,    0
210187,19600603,  282,    0
210187,19600604,  313,    0
210187,19600605,  318,    0
210187,19600606,  112,    0
210187,19600607,  298,    0
210187,19600608,  165,    0
210187,19600609,  163,    0
210187,19600610,  278,    0
210187,19600611,  202,    0
210187,19600612,  137,    0
210187,19600613,  275,    0
210187,19600614,  229,    0
210187,19600615,  297,    0
210187,19600616,  151,    0
210187,19600617,  274,    0
210187,19600618,  269,    0
210187,19600619,  338,    0
210187,19600620,  346,    0
210187,19600621,  334,    0
210187,19600622,  296,    0
210187,19600623,   95,    0
210187,19600624,   81,    0
210187,19600625,   99,    0
210187,19600626,  332,    0
210187,19600627,  124,    0
210187,19600628,  290,    0
210187,19600629,  308,    0
210187,19600630,  267,    0
210187,19600701,  189,    0
210187,19600702,  221,    0
210187,19600703,  150,    0
210187,19600704,  126,    0
210187,19600705,  172,    0
210187,19600706,  250,    0
210187,19600707,  224,    0
210187,19600708,  114,    0
210187,19600709,  171,    0
210187,19600710,  168,    0
210187,19600711,  141,    0
210187,19600712,  208,    0
210187,19600713,   78,    0
210187,19600714,  275,    0
210187,19600715,  281,    0
210187,19600716,  247,    0
210187,19600717,  227,    0
210187,19600718,  197,    0
210187,19600719,  145,    0
210187,19600720,  110,    0
210187,19600721,  217,    0
210187,19600722,  241,    0
210187,19600723,  122,    0
210187,19600724,  111,    0
210187,19600725,  167,    0
210187,19600726,  192,    0
210187,19600727,  158,    0
210187,19600728,  152,    0
210187,19600729,  178,    0
210187,19600730,  128,    0
210187,19600731,  289,    0
210187,19600801,  197,    0
210187,19600802,  210,    0
210187,19600803,  226,    0
210187,19600804,  153,    0
210187,19600805,  217,    0
210187,19600806,  144,    0
210187,19600807,  151,    0
210187,19600808,  180,    0
210187,19600809,  273,    0
210187,19600810,  102,    0
210187,19600811,   67,    0
210187,19600812,  243,    0
210187,19600813,  158,    0
210187,19600814,  118,    0
210187,19600815,  210,    0
210187,19600816,  211,    0
210187,19600817,  210,    0
210187,19600818,   97,    0
210187,19600819,  211,    0
210187,19600820,  135,    0
210187,19600821,  188,    0
210187,19600822,  112,    0
210187,19600823,  115,    0
210187,19600824,   68,    0
210187,19600825,  192,    0
210187,19600826,  151,    0
210187,19600827,  232,    0
210187,19600828,  160,    0
210187,19600829,  159,    0
210187,19600830,   97,    0
210187,19600831,  141,    0
210187,19600901,   66,    0
210187,19600902,   92,    0
210187,19600903,  121,    0
210187,19600904,  160,    0
210187,19600905,  137,    0
210187,19600906,   53,    0
210187,19600907,   68,    0
210187,19600908,  193,    0
210187,19600909,  161,    0
210187,19600910,  176,    0
210187,19600911,  182,    0
210187,19600912,   99,    0
210187,19600913,  192,    0
210187,19600914,   74,    0
210187,19600915,  164,    0
210187,19600916,   52,    0
210187,19600917,  103,    0
210187,19600918,  167,    0
210187,19600919,   45,    0
210187,19600920,   44,    0
210187,19600921,  157,    0
210187,19600922,   67,    0
210187,19600923,   93,    0
210187,19600924,  127,    0
210187,19600925,  135,    0
210187,19600926,  124,    0
210187,19600927,  135,    0
210187,19600928,  118,    0
210187,19600929,   79,    0
210187,19600930,   39,    0
210187,19601001,   50,    0
210187,19601002,   86,    0
210187,19601003,  124,    0
210187,19601004,   52,    0
210187,19601005,  103,    0
210187,19601006,   79,    0
210187,19601007,   44,    0
210187,19601008,   34,    0
210187,19601009,   47,    0
210187,19601010,   33,    0
210187,19601011,  117,    0
