EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station UNITED KINGDOM, HEATHROW (STAID: 1860).
Blended and updated with sources: 116439 903772 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
116439,19600101,    0,    0
116439,19600102,    0,    0
116439,19600103,    1,    0
116439,19600104,    0,    0
116439,19600105,   21,    0
116439,19600106,   58,    0
116439,19600107,    0,    0
116439,19600108,    0,    0
116439,19600109,   13,    0
116439,19600110,   56,    0
116439,19600111,    9,    0
116439,19600112,    6,    0
116439,19600113,    0,    0
116439,19600114,    0,    0
116439,19600115,   10,    0
116439,19600116,    0,    0
116439,19600117,   21,    0
116439,19600118,   28,    0
116439,19600119,   21,    0
116439,19600120,   15,    0
116439,19600121,    0,    0
116439,19600122,    0,    0
116439,19600123,    0,    0
116439,19600124,    0,    0
116439,19600125,   19,    0
116439,19600126,    0,    0
116439,19600127,    0,    0
116439,19600128,    0,    0
116439,19600129,   66,    0
116439,19600130,    0,    0
116439,19600131,    0,    0
116439,19600201,    0,    0
116439,19600202,    0,    0
116439,19600203,    0,    0
116439,19600204,   32,    0
116439,19600205,   38,    0
116439,19600206,   15,    0
116439,19600207,   76,    0
116439,19600208,   72,    0
116439,19600209,    0,    0
116439,19600210,    0,    0
116439,19600211,    0,    0
116439,19600212,    0,    0
116439,19600213,    0,    0
116439,19600214,    8,    0
116439,19600215,   69,    0
116439,19600216,   73,    0
116439,19600217,   61,    0
116439,19600218,   57,    0
116439,19600219,   82,    0
116439,19600220,    6,    0
116439,19600221,   85,    0
116439,19600222,    0,    0
116439,19600223,    1,    0
116439,19600224,    0,    0
116439,19600225,    0,    0
116439,19600226,    8,    0
116439,19600227,   67,    0
116439,19600228,   27,    0
116439,19600229,   24,    0
116439,19600301,    9,    0
116439,19600302,    6,    0
116439,19600303,   48,    0
116439,19600304,   56,    0
116439,19600305,   48,    0
116439,19600306,   12,    0
116439,19600307,   72,    0
116439,19600308,    4,    0
116439,19600309,    0,    0
116439,19600310,   39,    0
116439,19600311,    0,    0
116439,19600312,   10,    0
116439,19600313,    1,    0
116439,19600314,    1,    0
116439,19600315,   29,    0
116439,19600316,    0,    0
116439,19600317,    0,    0
116439,19600318,    0,    0
116439,19600319,    0,    0
116439,19600320,   80,    0
116439,19600321,   61,    0
