EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102273 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
102273,19510101,    7,    0
102273,19510102,    8,    0
102273,19510103,    7,    0
102273,19510104,    8,    0
102273,19510105,    8,    0
102273,19510106,    6,    0
102273,19510107,    7,    0
102273,19510108,    8,    0
102273,19510109,    4,    0
102273,19510110,    4,    0
102273,19510111,    8,    0
102273,19510112,    7,    0
102273,19510113,    7,    0
102273,19510114,    6,    0
102273,19510115,    8,    0
102273,19510116,    7,    0
102273,19510117,    8,    0
102273,19510118,    8,    0
102273,19510119,    6,    0
102273,19510120,    8,    0
102273,19510121,    4,    0
102273,19510122,    8,    0
102273,19510123,    8,    0
102273,19510124,    6,    0
102273,19510125,    8,    0
102273,19510126,    8,    0
102273,19510127,    8,    0
102273,19510128,    8,    0
102273,19510129,    8,    0
102273,19510130,    8,    0
102273,19510131,    8,    0
102273,19510201,    8,    0
102273,19510202,    8,    0
102273,19510203,    5,    0
102273,19510204,    5,    0
102273,19510205,    8,    0
102273,19510206,    7,    0
102273,19510207,    3,    0
102273,19510208,    7,    0
102273,19510209,    8,    0
102273,19510210,    8,    0
102273,19510211,    8,    0
102273,19510212,    6,    0
102273,19510213,    8,    0
102273,19510214,    8,    0
102273,19510215,    5,    0
102273,19510216,    6,    0
102273,19510217,    8,    0
102273,19510218,    5,    0
102273,19510219,    6,    0
102273,19510220,    7,    0
102273,19510221,    4,    0
102273,19510222,    7,    0
102273,19510223,    7,    0
102273,19510224,    4,    0
102273,19510225,    5,    0
102273,19510226,    8,    0
102273,19510227,    7,    0
102273,19510228,    8,    0
102273,19510301,    7,    0
102273,19510302,    8,    0
102273,19510303,    4,    0
102273,19510304,    1,    0
102273,19510305,    4,    0
102273,19510306,    3,    0
102273,19510307,    1,    0
102273,19510308,    8,    0
102273,19510309,    8,    0
102273,19510310,    8,    0
102273,19510311,    7,    0
102273,19510312,    5,    0
102273,19510313,    5,    0
102273,19510314,    5,    0
102273,19510315,    7,    0
102273,19510316,    6,    0
102273,19510317,    7,    0
102273,19510318,    7,    0
102273,19510319,    8,    0
102273,19510320,    3,    0
102273,19510321,    2,    0
102273,19510322,    8,    0
102273,19510323,    8,    0
102273,19510324,    7,    0
102273,19510325,    6,    0
102273,19510326,    8,    0
102273,19510327,    6,    0
102273,19510328,    7,    0
102273,19510329,    3,    0
102273,19510330,    5,    0
102273,19510331,    7,    0
102273,19510401,    6,    0
102273,19510402,    7,    0
102273,19510403,    5,    0
102273,19510404,    7,    0
102273,19510405,    4,    0
102273,19510406,    6,    0
102273,19510407,    7,    0
102273,19510408,    4,    0
102273,19510409,    7,    0
102273,19510410,    8,    0
102273,19510411,    6,    0
102273,19510412,    6,    0
102273,19510413,    5,    0
102273,19510414,    5,    0
102273,19510415,    4,    0
102273,19510416,    5,    0
102273,19510417,    2,    0
102273,19510418,    7,    0
102273,19510419,    8,    0
102273,19510420,    8,    0
102273,19510421,    2,    0
102273,19510422,    0,    0
102273,19510423,    0,    0
102273,19510424,    0,    0
102273,19510425,    0,    0
102273,19510426,    5,    0
102273,19510427,    8,    0
102273,19510428,    7,    0
102273,19510429,    8,    0
102273,19510430,    6,    0
102273,19510501,    1,    0
102273,19510502,    1,    0
102273,19510503,    7,    0
102273,19510504,    7,    0
102273,19510505,    6,    0
102273,19510506,    2,    0
102273,19510507,    6,    0
102273,19510508,    6,    0
102273,19510509,    8,    0
102273,19510510,    6,    0
102273,19510511,    3,    0
102273,19510512,    1,    0
102273,19510513,    6,    0
102273,19510514,    7,    0
102273,19510515,    8,    0
102273,19510516,    6,    0
102273,19510517,    4,    0
102273,19510518,    6,    0
102273,19510519,    3,    0
102273,19510520,    4,    0
102273,19510521,    7,    0
102273,19510522,    6,    0
102273,19510523,    8,    0
102273,19510524,    6,    0
102273,19510525,    8,    0
102273,19510526,    7,    0
102273,19510527,    8,    0
102273,19510528,    8,    0
102273,19510529,    6,    0
102273,19510530,    3,    0
102273,19510531,    1,    0
102273,19510601,    2,    0
102273,19510602,    7,    0
102273,19510603,    7,    0
102273,19510604,    7,    0
102273,19510605,    8,    0
102273,19510606,    4,    0
102273,19510607,    4,    0
102273,19510608,    3,    0
102273,19510609,    3,    0
102273,19510610,    5,    0
102273,19510611,    4,    0
102273,19510612,    5,    0
102273,19510613,    7,    0
102273,19510614,    3,    0
102273,19510615,    5,    0
102273,19510616,    6,    0
102273,19510617,    8,    0
102273,19510618,    8,    0
102273,19510619,    6,    0
102273,19510620,    2,    0
102273,19510621,    4,    0
102273,19510622,    7,    0
102273,19510623,    7,    0
102273,19510624,    7,    0
102273,19510625,    7,    0
102273,19510626,    7,    0
102273,19510627,    7,    0
102273,19510628,    7,    0
102273,19510629,    7,    0
102273,19510630,    7,    0
102273,19510701,    5,    0
102273,19510702,    3,    0
102273,19510703,    7,    0
102273,19510704,    7,    0
102273,19510705,    6,    0
102273,19510706,    6,    0
102273,19510707,    2,    0
102273,19510708,    6,    0
102273,19510709,    7,    0
102273,19510710,    3,    0
102273,19510711,    4,    0
102273,19510712,    5,    0
102273,19510713,    5,    0
102273,19510714,    8,    0
102273,19510715,    8,    0
102273,19510716,    6,    0
102273,19510717,    3,    0
102273,19510718,    8,    0
102273,19510719,    6,    0
102273,19510720,    8,    0
102273,19510721,    5,    0
102273,19510722,    3,    0
102273,19510723,    7,    0
102273,19510724,    8,    0
102273,19510725,    8,    0
102273,19510726,    7,    0
102273,19510727,    4,    0
102273,19510728,    6,    0
102273,19510729,    6,    0
102273,19510730,    4,    0
102273,19510731,    5,    0
102273,19510801,    7,    0
102273,19510802,    5,    0
102273,19510803,    5,    0
102273,19510804,    7,    0
102273,19510805,    6,    0
102273,19510806,    5,    0
102273,19510807,    7,    0
102273,19510808,    7,    0
102273,19510809,    7,    0
102273,19510810,    7,    0
102273,19510811,    7,    0
102273,19510812,    7,    0
102273,19510813,    5,    0
102273,19510814,    6,    0
102273,19510815,    6,    0
102273,19510816,    3,    0
102273,19510817,    4,    0
102273,19510818,    5,    0
102273,19510819,    7,    0
102273,19510820,    8,    0
102273,19510821,    8,    0
102273,19510822,    6,    0
102273,19510823,    2,    0
102273,19510824,    5,    0
102273,19510825,    5,    0
102273,19510826,    4,    0
102273,19510827,    6,    0
102273,19510828,    6,    0
102273,19510829,    1,    0
102273,19510830,    5,    0
102273,19510831,    8,    0
102273,19510901,    4,    0
102273,19510902,    7,    0
102273,19510903,    6,    0
102273,19510904,    7,    0
102273,19510905,    3,    0
102273,19510906,    0,    0
102273,19510907,    7,    0
102273,19510908,    6,    0
102273,19510909,    6,    0
102273,19510910,    3,    0
102273,19510911,    3,    0
102273,19510912,    7,    0
102273,19510913,    5,    0
102273,19510914,    7,    0
102273,19510915,    3,    0
102273,19510916,    7,    0
102273,19510917,    6,    0
102273,19510918,    7,    0
102273,19510919,    5,    0
102273,19510920,    5,    0
102273,19510921,    5,    0
102273,19510922,    3,    0
102273,19510923,    8,    0
102273,19510924,    5,    0
102273,19510925,    5,    0
102273,19510926,    6,    0
102273,19510927,    5,    0
102273,19510928,    8,    0
102273,19510929,    7,    0
102273,19510930,    8,    0
102273,19511001,    7,    0
102273,19511002,    5,    0
102273,19511003,    0,    0
102273,19511004,    0,    0
102273,19511005,    0,    0
102273,19511006,    2,    0
102273,19511007,    2,    0
102273,19511008,    1,    0
102273,19511009,    0,    0
102273,19511010,    0,    0
102273,19511011,    2,    0
102273,19511012,    0,    0
102273,19511013,    2,    0
102273,19511014,    1,    0
102273,19511015,    0,    0
102273,19511016,    0,    0
102273,19511017,    1,    0
102273,19511018,    3,    0
102273,19511019,    3,    0
102273,19511020,    8,    0
102273,19511021,    3,    0
102273,19511022,    8,    0
102273,19511023,    8,    0
102273,19511024,    8,    0
102273,19511025,    8,    0
102273,19511026,    6,    0
102273,19511027,    0,    0
102273,19511028,    3,    0
102273,19511029,    6,    0
102273,19511030,    5,    0
102273,19511031,    8,    0
102273,19511101,    8,    0
102273,19511102,    5,    0
102273,19511103,    8,    0
102273,19511104,    5,    0
102273,19511105,    7,    0
102273,19511106,    8,    0
102273,19511107,    7,    0
102273,19511108,    7,    0
102273,19511109,    8,    0
102273,19511110,    7,    0
102273,19511111,    7,    0
102273,19511112,    8,    0
102273,19511113,    8,    0
102273,19511114,    8,    0
102273,19511115,    8,    0
102273,19511116,    8,    0
102273,19511117,    8,    0
102273,19511118,    7,    0
102273,19511119,    7,    0
102273,19511120,    8,    0
102273,19511121,    8,    0
102273,19511122,    6,    0
102273,19511123,    8,    0
102273,19511124,    7,    0
102273,19511125,    8,    0
102273,19511126,    4,    0
102273,19511127,    7,    0
102273,19511128,    8,    0
102273,19511129,    7,    0
102273,19511130,    7,    0
102273,19511201,    6,    0
102273,19511202,    5,    0
102273,19511203,    5,    0
102273,19511204,    8,    0
102273,19511205,    8,    0
102273,19511206,    7,    0
102273,19511207,    4,    0
102273,19511208,    8,    0
102273,19511209,    5,    0
102273,19511210,    8,    0
102273,19511211,    2,    0
102273,19511212,    7,    0
102273,19511213,    7,    0
102273,19511214,    8,    0
102273,19511215,    8,    0
102273,19511216,    8,    0
102273,19511217,    8,    0
102273,19511218,    8,    0
102273,19511219,    8,    0
102273,19511220,    4,    0
102273,19511221,    8,    0
102273,19511222,    8,    0
102273,19511223,    8,    0
102273,19511224,    7,    0
102273,19511225,    8,    0
102273,19511226,    7,    0
102273,19511227,    8,    0
102273,19511228,    5,    0
102273,19511229,    1,    0
102273,19511230,    5,    0
102273,19511231,    7,    0
102273,19520101,    6,    0
102273,19520102,    8,    0
102273,19520103,    4,    0
102273,19520104,    7,    0
102273,19520105,    7,    0
102273,19520106,    7,    0
102273,19520107,    8,    0
102273,19520108,    8,    0
102273,19520109,    8,    0
102273,19520110,    7,    0
102273,19520111,    7,    0
102273,19520112,    6,    0
102273,19520113,    3,    0
102273,19520114,    7,    0
102273,19520115,    8,    0
102273,19520116,    6,    0
102273,19520117,    5,    0
102273,19520118,    8,    0
102273,19520119,    8,    0
102273,19520120,    7,    0
102273,19520121,    8,    0
102273,19520122,    8,    0
102273,19520123,    8,    0
102273,19520124,    8,    0
102273,19520125,    8,    0
102273,19520126,    8,    0
102273,19520127,    8,    0
102273,19520128,    3,    0
102273,19520129,    7,    0
102273,19520130,    7,    0
102273,19520131,    8,    0
102273,19520201,    7,    0
102273,19520202,    8,    0
102273,19520203,    7,    0
102273,19520204,    8,    0
102273,19520205,    4,    0
102273,19520206,    8,    0
102273,19520207,    8,    0
102273,19520208,    5,    0
