EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102274 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
102274,19510101,   89,    0
102274,19510102,   88,    0
102274,19510103,   83,    0
102274,19510104,   82,    0
102274,19510105,   91,    0
102274,19510106,   75,    0
102274,19510107,   69,    0
102274,19510108,   82,    0
102274,19510109,   74,    0
102274,19510110,   78,    0
102274,19510111,   75,    0
102274,19510112,   78,    0
102274,19510113,   78,    0
102274,19510114,   82,    0
102274,19510115,   88,    0
102274,19510116,   86,    0
102274,19510117,   89,    0
102274,19510118,   81,    0
102274,19510119,   77,    0
102274,19510120,   75,    0
102274,19510121,   78,    0
102274,19510122,   95,    0
102274,19510123,   94,    0
102274,19510124,   85,    0
102274,19510125,   85,    0
102274,19510126,   83,    0
102274,19510127,   86,    0
102274,19510128,   90,    0
102274,19510129,   90,    0
102274,19510130,   93,    0
102274,19510131,   86,    0
102274,19510201,   88,    0
102274,19510202,   88,    0
102274,19510203,   85,    0
102274,19510204,   79,    0
102274,19510205,   80,    0
102274,19510206,   76,    0
102274,19510207,   74,    0
102274,19510208,   71,    0
102274,19510209,   76,    0
102274,19510210,   83,    0
102274,19510211,   85,    0
102274,19510212,   83,    0
102274,19510213,   88,    0
102274,19510214,   91,    0
102274,19510215,   79,    0
102274,19510216,   77,    0
102274,19510217,   84,    0
102274,19510218,   66,    0
102274,19510219,   80,    0
102274,19510220,   79,    0
102274,19510221,   80,    0
102274,19510222,   74,    0
102274,19510223,   82,    0
102274,19510224,   87,    0
102274,19510225,   78,    0
102274,19510226,   86,    0
102274,19510227,   82,    0
102274,19510228,   74,    0
102274,19510301,   71,    0
102274,19510302,   85,    0
102274,19510303,   78,    0
102274,19510304,   71,    0
102274,19510305,   78,    0
102274,19510306,   73,    0
102274,19510307,   69,    0
102274,19510308,   84,    0
102274,19510309,   82,    0
102274,19510310,   82,    0
102274,19510311,   73,    0
102274,19510312,   66,    0
102274,19510313,   61,    0
102274,19510314,   70,    0
102274,19510315,   71,    0
102274,19510316,   70,    0
102274,19510317,   86,    0
102274,19510318,   69,    0
102274,19510319,   85,    0
102274,19510320,   71,    0
102274,19510321,   63,    0
102274,19510322,   64,    0
102274,19510323,   72,    0
102274,19510324,   73,    0
102274,19510325,   79,    0
102274,19510326,   83,    0
102274,19510327,   74,    0
102274,19510328,   69,    0
102274,19510329,   68,    0
102274,19510330,   63,    0
102274,19510331,   71,    0
102274,19510401,   70,    0
102274,19510402,   83,    0
102274,19510403,   77,    0
102274,19510404,   69,    0
102274,19510405,   64,    0
102274,19510406,   70,    0
102274,19510407,   74,    0
102274,19510408,   73,    0
102274,19510409,   80,    0
102274,19510410,   70,    0
102274,19510411,   70,    0
102274,19510412,   66,    0
102274,19510413,   67,    0
102274,19510414,   77,    0
102274,19510415,   61,    0
102274,19510416,   51,    0
102274,19510417,   58,    0
102274,19510418,   56,    0
102274,19510419,   70,    0
102274,19510420,   58,    0
102274,19510421,   59,    0
102274,19510422,   52,    0
102274,19510423,   48,    0
102274,19510424,   43,    0
102274,19510425,   40,    0
102274,19510426,   47,    0
102274,19510427,   83,    0
102274,19510428,   74,    0
102274,19510429,   76,    0
102274,19510430,   73,    0
102274,19510501,   64,    0
102274,19510502,   60,    0
102274,19510503,   70,    0
102274,19510504,   83,    0
102274,19510505,   67,    0
102274,19510506,   64,    0
102274,19510507,   63,    0
102274,19510508,   82,    0
102274,19510509,   80,    0
102274,19510510,   67,    0
102274,19510511,   53,    0
102274,19510512,   52,    0
102274,19510513,   62,    0
102274,19510514,   76,    0
102274,19510515,   81,    0
102274,19510516,   85,    0
102274,19510517,   67,    0
102274,19510518,   67,    0
102274,19510519,   61,    0
102274,19510520,   62,    0
102274,19510521,   87,    0
102274,19510522,   84,    0
102274,19510523,   76,    0
102274,19510524,   68,    0
102274,19510525,   80,    0
102274,19510526,   74,    0
102274,19510527,   88,    0
102274,19510528,   75,    0
102274,19510529,   72,    0
102274,19510530,   65,    0
102274,19510531,   51,    0
102274,19510601,   47,    0
102274,19510602,   70,    0
102274,19510603,   80,    0
102274,19510604,   84,    0
102274,19510605,   86,    0
102274,19510606,   72,    0
102274,19510607,   70,    0
102274,19510608,   68,    0
102274,19510609,   52,    0
102274,19510610,   79,    0
102274,19510611,   74,    0
102274,19510612,   73,    0
102274,19510613,   72,    0
102274,19510614,   64,    0
102274,19510615,   73,    0
102274,19510616,   87,    0
102274,19510617,   83,    0
102274,19510618,   81,    0
102274,19510619,   78,    0
102274,19510620,   69,    0
102274,19510621,   59,    0
102274,19510622,   69,    0
102274,19510623,   75,    0
102274,19510624,   79,    0
102274,19510625,   81,    0
102274,19510626,   77,    0
102274,19510627,   81,    0
102274,19510628,   79,    0
102274,19510629,   69,    0
102274,19510630,   70,    0
102274,19510701,   72,    0
102274,19510702,   66,    0
102274,19510703,   65,    0
102274,19510704,   70,    0
102274,19510705,   65,    0
102274,19510706,   63,    0
102274,19510707,   67,    0
102274,19510708,   72,    0
102274,19510709,   71,    0
102274,19510710,   69,    0
102274,19510711,   67,    0
102274,19510712,   69,    0
102274,19510713,   64,    0
102274,19510714,   80,    0
102274,19510715,   91,    0
102274,19510716,   84,    0
102274,19510717,   77,    0
102274,19510718,   80,    0
102274,19510719,   64,    0
102274,19510720,   74,    0
102274,19510721,   69,    0
102274,19510722,   67,    0
102274,19510723,   78,    0
102274,19510724,   84,    0
102274,19510725,   84,    0
102274,19510726,   83,    0
102274,19510727,   69,    0
102274,19510728,   73,    0
102274,19510729,   69,    0
102274,19510730,   74,    0
102274,19510731,   64,    0
102274,19510801,   72,    0
102274,19510802,   81,    0
102274,19510803,   72,    0
102274,19510804,   84,    0
102274,19510805,   74,    0
102274,19510806,   67,    0
102274,19510807,   78,    0
102274,19510808,   89,    0
102274,19510809,   81,    0
102274,19510810,   82,    0
102274,19510811,   71,    0
102274,19510812,   67,    0
102274,19510813,   64,    0
102274,19510814,   76,    0
102274,19510815,   74,    0
102274,19510816,   67,    0
102274,19510817,   63,    0
102274,19510818,   83,    0
102274,19510819,   62,    0
102274,19510820,   86,    0
102274,19510821,   95,    0
102274,19510822,   80,    0
102274,19510823,   74,    0
102274,19510824,   80,    0
102274,19510825,   81,    0
102274,19510826,   81,    0
102274,19510827,   74,    0
102274,19510828,   84,    0
102274,19510829,   69,    0
102274,19510830,   65,    0
102274,19510831,   93,    0
102274,19510901,   73,    0
102274,19510902,   77,    0
102274,19510903,   94,    0
102274,19510904,   78,    0
102274,19510905,   69,    0
102274,19510906,   80,    0
102274,19510907,   86,    0
102274,19510908,   82,    0
102274,19510909,   73,    0
102274,19510910,   75,    0
102274,19510911,   80,    0
102274,19510912,   76,    0
102274,19510913,   65,    0
102274,19510914,   78,    0
102274,19510915,   71,    0
102274,19510916,   69,    0
102274,19510917,   77,    0
102274,19510918,   76,    0
102274,19510919,   78,    0
102274,19510920,   74,    0
102274,19510921,   83,    0
102274,19510922,   77,    0
102274,19510923,   78,    0
102274,19510924,   74,    0
102274,19510925,   80,    0
102274,19510926,   86,    0
102274,19510927,   84,    0
102274,19510928,   84,    0
102274,19510929,   84,    0
102274,19510930,   80,    0
102274,19511001,   76,    0
102274,19511002,   75,    0
102274,19511003,   70,    0
102274,19511004,   78,    0
102274,19511005,   78,    0
102274,19511006,   81,    0
102274,19511007,   77,    0
102274,19511008,   73,    0
102274,19511009,   68,    0
102274,19511010,   72,    0
102274,19511011,   72,    0
102274,19511012,   71,    0
102274,19511013,   74,    0
102274,19511014,   76,    0
102274,19511015,   70,    0
102274,19511016,   66,    0
102274,19511017,   76,    0
102274,19511018,   88,    0
102274,19511019,   80,    0
102274,19511020,   96,    0
102274,19511021,   83,    0
102274,19511022,   84,    0
102274,19511023,   82,    0
102274,19511024,   85,    0
102274,19511025,   84,    0
102274,19511026,   84,    0
102274,19511027,   78,    0
102274,19511028,   83,    0
102274,19511029,   83,    0
102274,19511030,   83,    0
102274,19511031,   94,    0
102274,19511101,   88,    0
102274,19511102,   90,    0
102274,19511103,   91,    0
102274,19511104,   85,    0
102274,19511105,   72,    0
102274,19511106,   76,    0
102274,19511107,   85,    0
102274,19511108,   80,    0
102274,19511109,   94,    0
102274,19511110,   87,    0
102274,19511111,   88,    0
102274,19511112,   89,    0
102274,19511113,   79,    0
102274,19511114,   85,    0
102274,19511115,   85,    0
102274,19511116,   86,    0
102274,19511117,   77,    0
102274,19511118,   67,    0
102274,19511119,   81,    0
102274,19511120,   82,    0
102274,19511121,   86,    0
102274,19511122,   80,    0
102274,19511123,   87,    0
102274,19511124,   89,    0
102274,19511125,   86,    0
102274,19511126,   75,    0
102274,19511127,   86,    0
102274,19511128,   89,    0
102274,19511129,   80,    0
102274,19511130,   81,    0
102274,19511201,   81,    0
102274,19511202,   85,    0
102274,19511203,   88,    0
102274,19511204,   87,    0
102274,19511205,   71,    0
102274,19511206,   86,    0
102274,19511207,   79,    0
102274,19511208,   80,    0
102274,19511209,   76,    0
102274,19511210,   81,    0
102274,19511211,   82,    0
102274,19511212,   93,    0
102274,19511213,   92,    0
102274,19511214,   96,    0
102274,19511215,   95,    0
102274,19511216,   96,    0
102274,19511217,   98,    0
102274,19511218,   96,    0
102274,19511219,   94,    0
102274,19511220,   88,    0
102274,19511221,   98,    0
102274,19511222,   96,    0
102274,19511223,   95,    0
102274,19511224,   91,    0
102274,19511225,   86,    0
102274,19511226,   87,    0
102274,19511227,   86,    0
102274,19511228,   83,    0
102274,19511229,   83,    0
102274,19511230,   92,    0
102274,19511231,   88,    0
102274,19520101,   80,    0
102274,19520102,   91,    0
102274,19520103,   91,    0
102274,19520104,   87,    0
102274,19520105,   92,    0
102274,19520106,   92,    0
102274,19520107,   96,    0
102274,19520108,   96,    0
102274,19520109,   86,    0
102274,19520110,   85,    0
102274,19520111,   76,    0
102274,19520112,   83,    0
102274,19520113,   80,    0
102274,19520114,   90,    0
102274,19520115,   83,    0
102274,19520116,   76,    0
102274,19520117,   81,    0
102274,19520118,   85,    0
102274,19520119,   92,    0
102274,19520120,   86,    0
102274,19520121,   87,    0
102274,19520122,   87,    0
102274,19520123,   85,    0
102274,19520124,   83,    0
102274,19520125,   85,    0
102274,19520126,   84,    0
102274,19520127,   91,    0
102274,19520128,   81,    0
102274,19520129,   86,    0
102274,19520130,   85,    0
102274,19520131,   87,    0
102274,19520201,   93,    0
102274,19520202,   85,    0
102274,19520203,   90,    0
102274,19520204,   89,    0
102274,19520205,   79,    0
102274,19520206,   92,    0
102274,19520207,   85,    0
102274,19520208,   78,    0
102274,19520209,   77,    0
102274,19520210,   82,    0
102274,19520211,   83,    0
102274,19520212,   77,    0
102274,19520213,   90,    0
102274,19520214,   86,    0
102274,19520215,   76,    0
102274,19520216,   83,    0
102274,19520217,   91,    0
102274,19520218,   93,    0
102274,19520219,   83,    0
102274,19520220,   88,    0
102274,19520221,   83,    0
102274,19520222,   74,    0
102274,19520223,   80,    0
102274,19520224,   88,    0
102274,19520225,   85,    0
102274,19520226,   71,    0
102274,19520227,   89,    0
102274,19520228,   82,    0
102274,19520229,   93,    0
102274,19520301,   79,    0
102274,19520302,   83,    0
102274,19520303,   70,    0
102274,19520304,   75,    0
102274,19520305,   91,    0
102274,19520306,   71,    0
102274,19520307,   61,    0
102274,19520308,   53,    0
102274,19520309,   59,    0
102274,19520310,   89,    0
102274,19520311,   86,    0
102274,19520312,   76,    0
102274,19520313,   68,    0
102274,19520314,   62,    0
102274,19520315,   58,    0
102274,19520316,   67,    0
102274,19520317,   90,    0
102274,19520318,   85,    0
102274,19520319,   68,    0
102274,19520320,   92,    0
102274,19520321,   86,    0
102274,19520322,   87,    0
102274,19520323,   63,    0
102274,19520324,   88,    0
102274,19520325,   92,    0
102274,19520326,   89,    0
102274,19520327,   73,    0
102274,19520328,   62,    0
102274,19520329,   88,    0
102274,19520330,   88,    0
102274,19520331,   86,    0
102274,19520401,   74,    0
102274,19520402,   75,    0
102274,19520403,   69,    0
102274,19520404,   71,    0
102274,19520405,   77,    0
102274,19520406,   76,    0
102274,19520407,   79,    0
102274,19520408,   78,    0
102274,19520409,   72,    0
102274,19520410,   62,    0
102274,19520411,   57,    0
102274,19520412,   56,    0
102274,19520413,   65,    0
102274,19520414,   65,    0
102274,19520415,   62,    0
102274,19520416,   55,    0
102274,19520417,   53,    0
102274,19520418,   43,    0
102274,19520419,   50,    0
102274,19520420,   64,    0
102274,19520421,   81,    0
102274,19520422,   80,    0
102274,19520423,   65,    0
102274,19520424,   83,    0
102274,19520425,   67,    0
102274,19520426,   79,    0
102274,19520427,   70,    0
102274,19520428,   81,    0
102274,19520429,   70,    0
102274,19520430,   51,    0
102274,19520501,   46,    0
102274,19520502,   52,    0
102274,19520503,   64,    0
102274,19520504,   77,    0
102274,19520505,   73,    0
102274,19520506,   58,    0
102274,19520507,   87,    0
102274,19520508,   76,    0
102274,19520509,   83,    0
102274,19520510,   68,    0
102274,19520511,   80,    0
102274,19520512,   89,    0
102274,19520513,   79,    0
102274,19520514,   67,    0
102274,19520515,   78,    0
102274,19520516,   80,    0
102274,19520517,   57,    0
102274,19520518,   51,    0
102274,19520519,   57,    0
102274,19520520,   50,    0
102274,19520521,   53,    0
102274,19520522,   60,    0
102274,19520523,   62,    0
102274,19520524,   75,    0
102274,19520525,   81,    0
102274,19520526,   78,    0
102274,19520527,   79,    0
102274,19520528,   79,    0
102274,19520529,   71,    0
102274,19520530,   70,    0
102274,19520531,   70,    0
102274,19520601,   85,    0
102274,19520602,   56,    0
102274,19520603,   57,    0
102274,19520604,   63,    0
102274,19520605,   54,    0
102274,19520606,   69,    0
102274,19520607,   79,    0
102274,19520608,   56,    0
102274,19520609,   82,    0
102274,19520610,   66,    0
102274,19520611,   70,    0
102274,19520612,   76,    0
102274,19520613,   59,    0
102274,19520614,   72,    0
102274,19520615,   89,    0
102274,19520616,   69,    0
102274,19520617,   65,    0
102274,19520618,   84,    0
102274,19520619,   58,    0
102274,19520620,   71,    0
102274,19520621,   65,    0
102274,19520622,   78,    0
102274,19520623,   67,    0
102274,19520624,   77,    0
102274,19520625,   77,    0
102274,19520626,   79,    0
102274,19520627,   61,    0
102274,19520628,   63,    0
102274,19520629,   66,    0
102274,19520630,   61,    0
102274,19520701,   62,    0
102274,19520702,   52,    0
102274,19520703,   73,    0
