EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102275 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
102275,19510101, 9987,    0
102275,19510102, 9935,    0
102275,19510103,10026,    0
102275,19510104,10157,    0
102275,19510105,10133,    0
102275,19510106,10107,    0
102275,19510107,10062,    0
102275,19510108,10127,    0
102275,19510109,10108,    0
102275,19510110,10169,    0
102275,19510111,10029,    0
102275,19510112, 9967,    0
102275,19510113, 9990,    0
102275,19510114,10068,    0
102275,19510115,10048,    0
102275,19510116,10231,    0
102275,19510117,10202,    0
102275,19510118,10006,    0
102275,19510119,10075,    0
102275,19510120,10083,    0
102275,19510121,10209,    0
102275,19510122,10217,    0
102275,19510123,10187,    0
102275,19510124,10221,    0
102275,19510125,10155,    0
102275,19510126,10100,    0
102275,19510127,10054,    0
102275,19510128,10044,    0
102275,19510129,10150,    0
102275,19510130,10187,    0
102275,19510131,10155,    0
102275,19510201,10219,    0
102275,19510202,10229,    0
102275,19510203,10110,    0
102275,19510204, 9959,    0
102275,19510205, 9876,    0
102275,19510206, 9968,    0
102275,19510207,10063,    0
102275,19510208,10072,    0
102275,19510209,10066,    0
102275,19510210,10114,    0
102275,19510211,10123,    0
102275,19510212,10128,    0
102275,19510213,10090,    0
102275,19510214,10062,    0
102275,19510215,10132,    0
102275,19510216,10171,    0
102275,19510217,10082,    0
102275,19510218,10054,    0
102275,19510219,10008,    0
102275,19510220,10021,    0
102275,19510221, 9903,    0
102275,19510222,10002,    0
102275,19510223,10080,    0
102275,19510224,10106,    0
102275,19510225,10099,    0
102275,19510226,10122,    0
102275,19510227,10155,    0
102275,19510228,10248,    0
102275,19510301,10274,    0
102275,19510302,10240,    0
102275,19510303,10282,    0
102275,19510304,10265,    0
102275,19510305,10185,    0
102275,19510306,10137,    0
102275,19510307,10087,    0
102275,19510308,10022,    0
102275,19510309,10014,    0
102275,19510310,10036,    0
102275,19510311, 9995,    0
102275,19510312, 9975,    0
102275,19510313, 9992,    0
102275,19510314, 9977,    0
102275,19510315,10066,    0
102275,19510316,10145,    0
102275,19510317,10030,    0
102275,19510318, 9993,    0
102275,19510319, 9995,    0
102275,19510320,10122,    0
102275,19510321,10264,    0
102275,19510322,10206,    0
102275,19510323,10033,    0
102275,19510324,10012,    0
102275,19510325,10098,    0
102275,19510326,10083,    0
102275,19510327, 9999,    0
102275,19510328,10064,    0
102275,19510329,10067,    0
102275,19510330,10050,    0
102275,19510331,10084,    0
102275,19510401,10104,    0
