EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102276 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102276,19510101,   20,    0
102276,19510102,   27,    0
102276,19510103,    2,    0
102276,19510104,   10,    0
102276,19510105,    9,    0
102276,19510106,    2,    0
102276,19510107,    0,    0
102276,19510108,    0,    0
102276,19510109,    2,    0
102276,19510110,    0,    0
102276,19510111,    3,    0
102276,19510112,    0,    0
102276,19510113,    9,    0
102276,19510114,    1,    0
102276,19510115,   69,    0
102276,19510116,   12,    0
102276,19510117,  131,    0
102276,19510118,  132,    0
102276,19510119,   36,    0
102276,19510120,    7,    0
102276,19510121,    2,    0
102276,19510122,    3,    0
102276,19510123,    4,    0
102276,19510124,    0,    0
102276,19510125,    0,    0
102276,19510126,    0,    0
102276,19510127,    6,    0
102276,19510128,    1,    0
102276,19510129,    3,    0
102276,19510130,    0,    0
102276,19510131,    0,    0
102276,19510201,    0,    0
102276,19510202,    0,    0
102276,19510203,    0,    0
102276,19510204,    2,    0
102276,19510205,   12,    0
102276,19510206,    0,    0
102276,19510207,    0,    0
102276,19510208,    0,    0
102276,19510209,    0,    0
102276,19510210,   24,    0
102276,19510211,    1,    0
102276,19510212,    0,    0
102276,19510213,   80,    0
102276,19510214,    6,    0
102276,19510215,    0,    0
102276,19510216,    0,    0
102276,19510217,   61,    0
102276,19510218,    3,    0
102276,19510219,   48,    0
102276,19510220,   44,    0
102276,19510221,   20,    0
102276,19510222,   31,    0
102276,19510223,   20,    0
102276,19510224,    0,    0
102276,19510225,    0,    0
102276,19510226,    4,    0
102276,19510227,    0,    0
102276,19510228,    0,    0
102276,19510301,    8,    0
102276,19510302,   11,    0
102276,19510303,    0,    0
102276,19510304,    0,    0
102276,19510305,    0,    0
102276,19510306,    0,    0
102276,19510307,    0,    0
102276,19510308,    1,    0
102276,19510309,    5,    0
102276,19510310,    3,    0
102276,19510311,    0,    0
102276,19510312,    4,    0
102276,19510313,    6,    0
102276,19510314,   35,    0
102276,19510315,    6,    0
102276,19510316,   48,    0
102276,19510317,   40,    0
102276,19510318,    9,    0
102276,19510319,   38,    0
102276,19510320,    9,    0
102276,19510321,    0,    0
102276,19510322,   66,    0
102276,19510323,   14,    0
102276,19510324,   46,    0
102276,19510325,    4,    0
102276,19510326,   49,    0
102276,19510327,   33,    0
102276,19510328,    2,    0
102276,19510329,    1,    0
102276,19510330,    0,    0
102276,19510331,    4,    0
102276,19510401,    3,    0
102276,19510402,   62,    0
102276,19510403,    0,    0
102276,19510404,    0,    0
102276,19510405,    0,    0
102276,19510406,    0,    0
102276,19510407,   63,    0
102276,19510408,   22,    0
102276,19510409,   51,    0
102276,19510410,    9,    0
102276,19510411,    3,    0
102276,19510412,    0,    0
102276,19510413,   21,    0
102276,19510414,   66,    0
102276,19510415,    0,    0
102276,19510416,   13,    0
102276,19510417,    0,    0
102276,19510418,    0,    0
102276,19510419,    6,    0
102276,19510420,    0,    0
102276,19510421,    0,    0
102276,19510422,    0,    0
102276,19510423,    0,    0
102276,19510424,    0,    0
102276,19510425,    0,    0
102276,19510426,    0,    0
102276,19510427,   61,    0
102276,19510428,    0,    0
102276,19510429,    0,    0
102276,19510430,    0,    0
102276,19510501,    0,    0
102276,19510502,    0,    0
102276,19510503,    0,    0
102276,19510504,   82,    0
102276,19510505,    2,    0
102276,19510506,    0,    0
102276,19510507,    6,    0
102276,19510508,    3,    0
102276,19510509,    0,    0
102276,19510510,    0,    0
102276,19510511,    0,    0
102276,19510512,    0,    0
102276,19510513,    2,    0
102276,19510514,    9,    0
102276,19510515,    6,    0
102276,19510516,    4,    0
102276,19510517,    1,    0
102276,19510518,    0,    0
102276,19510519,    0,    0
102276,19510520,    0,    0
102276,19510521,   76,    0
102276,19510522,   47,    0
102276,19510523,    2,    0
102276,19510524,   10,    0
102276,19510525,   52,    0
102276,19510526,  204,    0
102276,19510527,   67,    0
102276,19510528,    1,    0
102276,19510529,    0,    0
102276,19510530,    0,    0
102276,19510531,    0,    0
102276,19510601,    0,    0
102276,19510602,    0,    0
102276,19510603,   47,    0
102276,19510604,  168,    0
102276,19510605,   11,    0
102276,19510606,    0,    0
102276,19510607,    0,    0
102276,19510608,    0,    0
102276,19510609,   47,    0
102276,19510610,   44,    0
102276,19510611,    0,    0
102276,19510612,   39,    0
102276,19510613,    0,    0
102276,19510614,    0,    0
102276,19510615,  149,    0
102276,19510616,    0,    0
102276,19510617,   13,    0
102276,19510618,   36,    0
102276,19510619,    0,    0
102276,19510620,    0,    0
102276,19510621,    0,    0
102276,19510622,   67,    0
102276,19510623,  122,    0
102276,19510624,    0,    0
102276,19510625,    0,    0
102276,19510626,   85,    0
102276,19510627,   15,    0
102276,19510628,   10,    0
102276,19510629,    0,    0
102276,19510630,    0,    0
102276,19510701,    0,    0
102276,19510702,    0,    0
102276,19510703,    1,    0
102276,19510704,   30,    0
102276,19510705,    0,    0
102276,19510706,    0,    0
102276,19510707,    0,    0
102276,19510708,   53,    0
102276,19510709,    0,    0
102276,19510710,    0,    0
102276,19510711,   32,    0
102276,19510712,    0,    0
102276,19510713,    0,    0
102276,19510714,    2,    0
102276,19510715,  119,    0
102276,19510716,    0,    0
102276,19510717,    0,    0
102276,19510718,    5,    0
102276,19510719,    0,    0
102276,19510720,    2,    0
102276,19510721,    0,    0
102276,19510722,   22,    0
102276,19510723,    0,    0
102276,19510724,   14,    0
102276,19510725,    7,    0
102276,19510726,    4,    0
102276,19510727,    0,    0
102276,19510728,    0,    0
102276,19510729,    8,    0
102276,19510730,    0,    0
102276,19510731,   51,    0
102276,19510801,    0,    0
102276,19510802,   20,    0
102276,19510803,   53,    0
102276,19510804,   41,    0
102276,19510805,   21,    0
102276,19510806,    1,    0
102276,19510807,  181,    0
102276,19510808,  100,    0
102276,19510809,   18,    0
102276,19510810,   54,    0
102276,19510811,    0,    0
102276,19510812,   12,    0
102276,19510813,   19,    0
102276,19510814,    0,    0
102276,19510815,    0,    0
102276,19510816,    0,    0
102276,19510817,    2,    0
102276,19510818,    0,    0
102276,19510819,   15,    0
102276,19510820,   66,    0
102276,19510821,   35,    0
102276,19510822,    0,    0
102276,19510823,    0,    0
102276,19510824,    0,    0
102276,19510825,    0,    0
102276,19510826,    5,    0
102276,19510827,    6,    0
102276,19510828,    5,    0
102276,19510829,    0,    0
102276,19510830,    2,    0
102276,19510831,  102,    0
102276,19510901,   10,    0
102276,19510902,  102,    0
102276,19510903,   36,    0
102276,19510904,    0,    0
102276,19510905,    0,    0
102276,19510906,    0,    0
102276,19510907,    0,    0
102276,19510908,    0,    0
102276,19510909,    0,    0
102276,19510910,    0,    0
102276,19510911,    0,    0
102276,19510912,    0,    0
102276,19510913,  142,    0
102276,19510914,   10,    0
102276,19510915,    1,    0
102276,19510916,   58,    0
102276,19510917,    0,    0
102276,19510918,   18,    0
102276,19510919,   10,    0
102276,19510920,    0,    0
102276,19510921,    0,    0
102276,19510922,    0,    0
102276,19510923,   86,    0
102276,19510924,    1,    0
102276,19510925,    0,    0
102276,19510926,    0,    0
102276,19510927,    0,    0
102276,19510928,    0,    0
102276,19510929,    0,    0
102276,19510930,    0,    0
102276,19511001,    0,    0
102276,19511002,    0,    0
102276,19511003,    0,    0
102276,19511004,    0,    0
102276,19511005,    0,    0
102276,19511006,    0,    0
102276,19511007,    0,    0
102276,19511008,    0,    0
102276,19511009,    0,    0
102276,19511010,    0,    0
102276,19511011,    0,    0
102276,19511012,    0,    0
102276,19511013,    0,    0
102276,19511014,    0,    0
102276,19511015,    0,    0
102276,19511016,    0,    0
102276,19511017,    0,    0
102276,19511018,    0,    0
102276,19511019,    0,    0
102276,19511020,    0,    0
102276,19511021,    0,    0
102276,19511022,   18,    0
102276,19511023,   17,    0
102276,19511024,    1,    0
102276,19511025,    0,    0
102276,19511026,    0,    0
102276,19511027,    0,    0
102276,19511028,    0,    0
102276,19511029,    0,    0
102276,19511030,    0,    0
102276,19511031,  112,    0
102276,19511101,   12,    0
102276,19511102,    3,    0
102276,19511103,   40,    0
102276,19511104,    0,    0
102276,19511105,    0,    0
102276,19511106,    8,    0
102276,19511107,    2,    0
102276,19511108,   14,    0
102276,19511109,    0,    0
102276,19511110,    0,    0
102276,19511111,    2,    0
102276,19511112,  341,    0
102276,19511113,  126,    0
102276,19511114,   23,    0
102276,19511115,   24,    0
102276,19511116,    1,    0
102276,19511117,    1,    0
102276,19511118,    0,    0
102276,19511119,    0,    0
102276,19511120,    0,    0
102276,19511121,   35,    0
102276,19511122,    0,    0
102276,19511123,   14,    0
102276,19511124,   11,    0
102276,19511125,  105,    0
102276,19511126,    0,    0
102276,19511127,    0,    0
102276,19511128,   79,    0
102276,19511129,   69,    0
102276,19511130,   15,    0
102276,19511201,    0,    0
102276,19511202,    0,    0
102276,19511203,    7,    0
102276,19511204,   33,    0
102276,19511205,    0,    0
102276,19511206,   18,    0
102276,19511207,    0,    0
102276,19511208,    2,    0
102276,19511209,   63,    0
102276,19511210,   51,    0
102276,19511211,    1,    0
102276,19511212,    0,    0
102276,19511213,    0,    0
102276,19511214,    0,    0
102276,19511215,    3,    0
102276,19511216,   17,    0
102276,19511217,    1,    0
102276,19511218,    0,    0
102276,19511219,    0,    0
102276,19511220,    0,    0
102276,19511221,    0,    0
102276,19511222,    0,    0
102276,19511223,    0,    0
102276,19511224,    0,    0
102276,19511225,   30,    0
102276,19511226,   22,    0
102276,19511227,    4,    0
102276,19511228,    0,    0
102276,19511229,    0,    0
102276,19511230,   12,    0
102276,19511231,   24,    0
102276,19520101,   17,    0
102276,19520102,  193,    0
102276,19520103,   34,    0
102276,19520104,   21,    0
102276,19520105,    1,    0
102276,19520106,    0,    0
102276,19520107,    1,    0
102276,19520108,    0,    0
102276,19520109,   41,    0
102276,19520110,  126,    0
102276,19520111,   21,    0
102276,19520112,   23,    0
102276,19520113,    2,    0
102276,19520114,    4,    0
102276,19520115,    2,    0
102276,19520116,    8,    0
102276,19520117,   37,    0
102276,19520118,   78,    0
102276,19520119,   11,    0
102276,19520120,   46,    0
102276,19520121,   18,    0
102276,19520122,    0,    0
102276,19520123,    0,    0
102276,19520124,    0,    0
102276,19520125,    0,    0
102276,19520126,    1,    0
102276,19520127,   17,    0
102276,19520128,    0,    0
102276,19520129,    0,    0
102276,19520130,    0,    0
102276,19520131,   39,    0
102276,19520201,   55,    0
102276,19520202,    5,    0
102276,19520203,   21,    0
102276,19520204,   18,    0
102276,19520205,    5,    0
102276,19520206,    9,    0
102276,19520207,   30,    0
102276,19520208,   47,    0
102276,19520209,   35,    0
102276,19520210,  109,    0
102276,19520211,  111,    0
102276,19520212,    0,    0
102276,19520213,    0,    0
102276,19520214,    9,    0
102276,19520215,    0,    0
102276,19520216,    1,    0
102276,19520217,    1,    0
102276,19520218,    3,    0
102276,19520219,   10,    0
102276,19520220,    0,    0
102276,19520221,    0,    0
102276,19520222,    0,    0
102276,19520223,    0,    0
102276,19520224,    0,    0
102276,19520225,    0,    0
102276,19520226,    0,    0
102276,19520227,    0,    0
102276,19520228,    0,    0
102276,19520229,   64,    0
102276,19520301,    0,    0
102276,19520302,    0,    0
102276,19520303,    0,    0
102276,19520304,    0,    0
102276,19520305,   15,    0
102276,19520306,    0,    0
102276,19520307,    0,    0
102276,19520308,    0,    0
102276,19520309,    0,    0
102276,19520310,   24,    0
102276,19520311,    0,    0
102276,19520312,    1,    0
102276,19520313,    4,    0
102276,19520314,    0,    0
102276,19520315,    0,    0
102276,19520316,    0,    0
102276,19520317,    1,    0
102276,19520318,   44,    0
102276,19520319,    2,    0
102276,19520320,  161,    0
102276,19520321,   14,    0
102276,19520322,  128,    0
102276,19520323,    2,    0
102276,19520324,   68,    0
102276,19520325,  107,    0
102276,19520326,   45,    0
102276,19520327,    0,    0
102276,19520328,    2,    0
102276,19520329,   61,    0
102276,19520330,   41,    0
102276,19520331,   54,    0
102276,19520401,    0,    0
102276,19520402,    3,    0
102276,19520403,    1,    0
102276,19520404,    0,    0
102276,19520405,    0,    0
102276,19520406,    8,    0
102276,19520407,    0,    0
102276,19520408,    1,    0
102276,19520409,    0,    0
102276,19520410,    0,    0
102276,19520411,    0,    0
102276,19520412,    0,    0
102276,19520413,    0,    0
102276,19520414,    0,    0
102276,19520415,    0,    0
102276,19520416,    0,    0
102276,19520417,    0,    0
102276,19520418,    0,    0
102276,19520419,    0,    0
102276,19520420,    2,    0
102276,19520421,   33,    0
102276,19520422,   21,    0
102276,19520423,    0,    0
102276,19520424,   16,    0
102276,19520425,    0,    0
102276,19520426,    0,    0
102276,19520427,   16,    0
102276,19520428,   33,    0
102276,19520429,    0,    0
102276,19520430,    0,    0
102276,19520501,    0,    0
102276,19520502,    0,    0
102276,19520503,    1,    0
102276,19520504,   56,    0
102276,19520505,    7,    0
102276,19520506,   60,    0
102276,19520507,   45,    0
102276,19520508,    0,    0
102276,19520509,   43,    0
102276,19520510,    0,    0
102276,19520511,  104,    0
102276,19520512,   92,    0
102276,19520513,   13,    0
102276,19520514,    0,    0
102276,19520515,    0,    0
102276,19520516,    0,    0
102276,19520517,    0,    0
102276,19520518,    0,    0
102276,19520519,    0,    0
102276,19520520,    0,    0
102276,19520521,    0,    0
102276,19520522,    0,    0
102276,19520523,    0,    0
102276,19520524,    0,    0
102276,19520525,   15,    0
102276,19520526,    6,    0
102276,19520527,   12,    0
102276,19520528,   38,    0
102276,19520529,    5,    0
102276,19520530,    0,    0
