EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 115765 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
115765,19510101,   15,    0
115765,19510102,   14,    0
115765,19510103,   11,    0
115765,19510104,   11,    0
115765,19510105,   11,    0
115765,19510106,    5,    0
115765,19510107,    0,    0
115765,19510108,    0,    0
115765,19510109,    0,    0
115765,19510110,    0,    0
115765,19510111,    0,    0
115765,19510112,    0,    0
115765,19510113,    0,    0
115765,19510114,    0,    0
115765,19510115,    0,    0
115765,19510116,    0,    0
115765,19510117,    0,    0
115765,19510118,    0,    0
115765,19510119,    0,    0
115765,19510120,    0,    0
115765,19510121,    0,    0
115765,19510122,    0,    0
115765,19510123,    0,    0
115765,19510124,    0,    0
115765,19510125,    0,    0
115765,19510126,    0,    0
115765,19510127,    0,    0
115765,19510128,    0,    0
115765,19510129,    0,    0
115765,19510130,    1,    0
115765,19510131,    0,    0
115765,19510201,    0,    0
115765,19510202,    0,    0
115765,19510203,    0,    0
115765,19510204,    0,    0
115765,19510205,    0,    0
115765,19510206,    0,    0
115765,19510207,    0,    0
115765,19510208,    0,    0
115765,19510209,    0,    0
115765,19510210,    0,    0
115765,19510211,    0,    0
115765,19510212,    0,    0
115765,19510213,    0,    0
115765,19510214,    0,    0
115765,19510215,    0,    0
115765,19510216,    0,    0
115765,19510217,    0,    0
115765,19510218,    0,    0
115765,19510219,    0,    0
115765,19510220,    0,    0
115765,19510221,    0,    0
115765,19510222,    0,    0
115765,19510223,    0,    0
115765,19510224,    0,    0
115765,19510225,    0,    0
115765,19510226,    0,    0
115765,19510227,    0,    0
115765,19510228,    0,    0
115765,19510301,    0,    0
115765,19510302,    1,    0
115765,19510303,    1,    0
115765,19510304,    0,    0
115765,19510305,    0,    0
115765,19510306,    0,    0
115765,19510307,    0,    0
115765,19510308,    0,    0
115765,19510309,    0,    0
115765,19510310,    1,    0
115765,19510311,    0,    0
115765,19510312,    0,    0
115765,19510313,    0,    0
115765,19510314,    0,    0
115765,19510315,    0,    0
115765,19510316,    0,    0
115765,19510317,    0,    0
115765,19510318,    0,    0
115765,19510319,    0,    0
115765,19510320,    0,    0
115765,19510321,    0,    0
115765,19510322,    0,    0
115765,19510323,    0,    0
115765,19510324,    0,    0
115765,19510325,    1,    0
115765,19510326,    0,    0
115765,19510327,    0,    0
115765,19510328,    0,    0
115765,19510329,    0,    0
115765,19510330,    0,    0
115765,19510331,    0,    0
115765,19510401,    0,    0
115765,19510402,    0,    0
115765,19510403,    0,    0
115765,19510404,    0,    0
115765,19510405,    0,    0
115765,19510406,    0,    0
115765,19510407,    0,    0
115765,19510408,    0,    0
115765,19510409,    0,    0
115765,19510410,    0,    0
115765,19510411,    0,    0
115765,19510412,    0,    0
115765,19510413,    0,    0
115765,19510414,    0,    0
115765,19510415,    0,    0
115765,19510416,    0,    0
115765,19510417,    0,    0
115765,19510418,    0,    0
115765,19510419,    0,    0
115765,19510420,    0,    0
115765,19510421,    0,    0
115765,19510422,    0,    0
115765,19510423,    0,    0
115765,19510424,    0,    0
115765,19510425,    0,    0
115765,19510426,    0,    0
115765,19510427,    0,    0
115765,19510428,    0,    0
115765,19510429,    0,    0
115765,19510430,    0,    0
115765,19510501,    0,    0
115765,19510502,    0,    0
115765,19510503,    0,    0
115765,19510504,    0,    0
115765,19510505,    0,    0
115765,19510506,    0,    0
115765,19510507,    0,    0
115765,19510508,    0,    0
115765,19510509,    0,    0
115765,19510510,    0,    0
115765,19510511,    0,    0
115765,19510512,    0,    0
115765,19510513,    0,    0
115765,19510514,    0,    0
115765,19510515,    0,    0
115765,19510516,    0,    0
115765,19510517,    0,    0
115765,19510518,    0,    0
115765,19510519,    0,    0
115765,19510520,    0,    0
115765,19510521,    0,    0
115765,19510522,    0,    0
115765,19510523,    0,    0
115765,19510524,    0,    0
115765,19510525,    0,    0
115765,19510526,    0,    0
115765,19510527,    0,    0
115765,19510528,    0,    0
115765,19510529,    0,    0
115765,19510530,    0,    0
115765,19510531,    0,    0
115765,19510601,    0,    0
115765,19510602,    0,    0
115765,19510603,    0,    0
115765,19510604,    0,    0
115765,19510605,    0,    0
115765,19510606,    0,    0
115765,19510607,    0,    0
115765,19510608,    0,    0
115765,19510609,    0,    0
115765,19510610,    0,    0
115765,19510611,    0,    0
115765,19510612,    0,    0
115765,19510613,    0,    0
115765,19510614,    0,    0
115765,19510615,    0,    0
115765,19510616,    0,    0
115765,19510617,    0,    0
115765,19510618,    0,    0
115765,19510619,    0,    0
115765,19510620,    0,    0
115765,19510621,    0,    0
115765,19510622,    0,    0
115765,19510623,    0,    0
115765,19510624,    0,    0
115765,19510625,    0,    0
115765,19510626,    0,    0
115765,19510627,    0,    0
115765,19510628,    0,    0
115765,19510629,    0,    0
115765,19510630,    0,    0
115765,19510701,    0,    0
115765,19510702,    0,    0
115765,19510703,    0,    0
115765,19510704,    0,    0
115765,19510705,    0,    0
115765,19510706,    0,    0
115765,19510707,    0,    0
115765,19510708,    0,    0
115765,19510709,    0,    0
115765,19510710,    0,    0
115765,19510711,    0,    0
115765,19510712,    0,    0
115765,19510713,    0,    0
115765,19510714,    0,    0
115765,19510715,    0,    0
115765,19510716,    0,    0
115765,19510717,    0,    0
115765,19510718,    0,    0
115765,19510719,    0,    0
115765,19510720,    0,    0
115765,19510721,    0,    0
115765,19510722,    0,    0
115765,19510723,    0,    0
115765,19510724,    0,    0
115765,19510725,    0,    0
115765,19510726,    0,    0
115765,19510727,    0,    0
115765,19510728,    0,    0
115765,19510729,    0,    0
115765,19510730,    0,    0
115765,19510731,    0,    0
115765,19510801,    0,    0
115765,19510802,    0,    0
115765,19510803,    0,    0
115765,19510804,    0,    0
115765,19510805,    0,    0
115765,19510806,    0,    0
115765,19510807,    0,    0
115765,19510808,    0,    0
115765,19510809,    0,    0
115765,19510810,    0,    0
115765,19510811,    0,    0
115765,19510812,    0,    0
115765,19510813,    0,    0
115765,19510814,    0,    0
115765,19510815,    0,    0
115765,19510816,    0,    0
115765,19510817,    0,    0
115765,19510818,    0,    0
115765,19510819,    0,    0
115765,19510820,    0,    0
115765,19510821,    0,    0
115765,19510822,    0,    0
115765,19510823,    0,    0
115765,19510824,    0,    0
115765,19510825,    0,    0
115765,19510826,    0,    0
115765,19510827,    0,    0
115765,19510828,    0,    0
115765,19510829,    0,    0
115765,19510830,    0,    0
115765,19510831,    0,    0
115765,19510901,    0,    0
115765,19510902,    0,    0
115765,19510903,    0,    0
115765,19510904,    0,    0
115765,19510905,    0,    0
115765,19510906,    0,    0
115765,19510907,    0,    0
115765,19510908,    0,    0
115765,19510909,    0,    0
115765,19510910,    0,    0
115765,19510911,    0,    0
115765,19510912,    0,    0
115765,19510913,    0,    0
115765,19510914,    0,    0
115765,19510915,    0,    0
115765,19510916,    0,    0
115765,19510917,    0,    0
115765,19510918,    0,    0
115765,19510919,    0,    0
115765,19510920,    0,    0
115765,19510921,    0,    0
115765,19510922,    0,    0
115765,19510923,    0,    0
115765,19510924,    0,    0
115765,19510925,    0,    0
115765,19510926,    0,    0
115765,19510927,    0,    0
115765,19510928,    0,    0
115765,19510929,    0,    0
115765,19510930,    0,    0
115765,19511001,    0,    0
115765,19511002,    0,    0
115765,19511003,    0,    0
115765,19511004,    0,    0
115765,19511005,    0,    0
115765,19511006,    0,    0
115765,19511007,    0,    0
115765,19511008,    0,    0
115765,19511009,    0,    0
115765,19511010,    0,    0
115765,19511011,    0,    0
115765,19511012,    0,    0
115765,19511013,    0,    0
115765,19511014,    0,    0
115765,19511015,    0,    0
115765,19511016,    0,    0
115765,19511017,    0,    0
115765,19511018,    0,    0
115765,19511019,    0,    0
115765,19511020,    0,    0
115765,19511021,    0,    0
115765,19511022,    0,    0
115765,19511023,    0,    0
115765,19511024,    0,    0
115765,19511025,    0,    0
115765,19511026,    0,    0
115765,19511027,    0,    0
115765,19511028,    0,    0
115765,19511029,    0,    0
115765,19511030,    0,    0
115765,19511031,    0,    0
115765,19511101,    0,    0
115765,19511102,    0,    0
115765,19511103,    0,    0
115765,19511104,    0,    0
115765,19511105,    0,    0
115765,19511106,    0,    0
115765,19511107,    0,    0
115765,19511108,    0,    0
115765,19511109,    0,    0
115765,19511110,    0,    0
115765,19511111,    0,    0
115765,19511112,    0,    0
115765,19511113,    0,    0
115765,19511114,    0,    0
115765,19511115,    0,    0
115765,19511116,    0,    0
115765,19511117,    0,    0
115765,19511118,    0,    0
115765,19511119,    0,    0
115765,19511120,    0,    0
115765,19511121,    0,    0
115765,19511122,    0,    0
115765,19511123,    0,    0
115765,19511124,    0,    0
115765,19511125,    0,    0
115765,19511126,    0,    0
115765,19511127,    0,    0
115765,19511128,    0,    0
115765,19511129,    0,    0
115765,19511130,    0,    0
115765,19511201,    0,    0
115765,19511202,    0,    0
115765,19511203,    0,    0
115765,19511204,    0,    0
115765,19511205,    0,    0
115765,19511206,    0,    0
115765,19511207,    0,    0
115765,19511208,    0,    0
115765,19511209,    0,    0
115765,19511210,    0,    0
115765,19511211,    0,    0
115765,19511212,    0,    0
115765,19511213,    0,    0
115765,19511214,    0,    0
115765,19511215,    0,    0
115765,19511216,    0,    0
115765,19511217,    0,    0
115765,19511218,    0,    0
115765,19511219,    0,    0
115765,19511220,    0,    0
115765,19511221,    0,    0
115765,19511222,    0,    0
115765,19511223,    0,    0
115765,19511224,    0,    0
115765,19511225,    0,    0
115765,19511226,    0,    0
115765,19511227,    0,    0
115765,19511228,    0,    0
115765,19511229,    0,    0
115765,19511230,    0,    0
115765,19511231,    0,    0
115765,19520101,    0,    0
115765,19520102,    0,    0
115765,19520103,    0,    0
115765,19520104,    0,    0
115765,19520105,    0,    0
115765,19520106,    0,    0
115765,19520107,    0,    0
115765,19520108,    0,    0
115765,19520109,    0,    0
115765,19520110,    0,    0
115765,19520111,    0,    0
115765,19520112,    0,    0
115765,19520113,    2,    0
115765,19520114,    2,    0
115765,19520115,    0,    0
115765,19520116,    0,    0
115765,19520117,    0,    0
115765,19520118,    0,    0
115765,19520119,    8,    0
115765,19520120,    9,    0
115765,19520121,   12,    0
