EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102277 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
102277,19510101,    0,    0
102277,19510102,    0,    0
102277,19510103,   11,    0
102277,19510104,   36,    0
102277,19510105,    0,    0
102277,19510106,    0,    0
102277,19510107,   12,    0
102277,19510108,   21,    0
102277,19510109,   20,    0
102277,19510110,   42,    0
102277,19510111,    0,    0
102277,19510112,   41,    0
102277,19510113,   36,    0
102277,19510114,   28,    0
102277,19510115,    0,    0
102277,19510116,   36,    0
102277,19510117,    0,    0
102277,19510118,   19,    0
102277,19510119,   26,    0
102277,19510120,    7,    0
102277,19510121,   29,    0
102277,19510122,    0,    0
102277,19510123,    0,    0
102277,19510124,   50,    0
102277,19510125,    0,    0
102277,19510126,    0,    0
102277,19510127,    0,    0
102277,19510128,    0,    0
102277,19510129,    0,    0
102277,19510130,    0,    0
102277,19510131,    5,    0
102277,19510201,    0,    0
102277,19510202,    0,    0
102277,19510203,   10,    0
102277,19510204,    1,    0
102277,19510205,    0,    0
102277,19510206,   24,    0
102277,19510207,   73,    0
102277,19510208,   15,    0
102277,19510209,   11,    0
102277,19510210,    0,    0
102277,19510211,    0,    0
102277,19510212,   30,    0
102277,19510213,    0,    0
102277,19510214,    0,    0
102277,19510215,   11,    0
102277,19510216,   47,    0
102277,19510217,    0,    0
102277,19510218,   40,    0
102277,19510219,    0,    0
102277,19510220,   48,    0
102277,19510221,   36,    0
102277,19510222,   44,    0
102277,19510223,   34,    0
102277,19510224,   27,    0
102277,19510225,   32,    0
102277,19510226,   10,    0
102277,19510227,   43,    0
102277,19510228,    0,    0
102277,19510301,   14,    0
102277,19510302,    3,    0
102277,19510303,   42,    0
102277,19510304,   96,    0
102277,19510305,   88,    0
102277,19510306,   56,    0
102277,19510307,   81,    0
102277,19510308,    0,    0
102277,19510309,    0,    0
102277,19510310,    0,    0
102277,19510311,   46,    0
102277,19510312,   62,    0
102277,19510313,   76,    0
102277,19510314,   45,    0
102277,19510315,   16,    0
102277,19510316,   92,    0
102277,19510317,   18,    0
102277,19510318,   63,    0
102277,19510319,    0,    0
102277,19510320,   83,    0
102277,19510321,  106,    0
102277,19510322,    0,    0
102277,19510323,    9,    0
102277,19510324,   64,    0
102277,19510325,   73,    0
102277,19510326,    9,    0
102277,19510327,   67,    0
102277,19510328,   66,    0
102277,19510329,   67,    0
102277,19510330,   54,    0
102277,19510331,   53,    0
102277,19510401,   15,    0
102277,19510402,   47,    0
102277,19510403,   82,    0
102277,19510404,   79,    0
102277,19510405,  112,    0
102277,19510406,   59,    0
102277,19510407,   40,    0
102277,19510408,   65,    0
102277,19510409,   16,    0
102277,19510410,   23,    0
102277,19510411,   55,    0
102277,19510412,  100,    0
102277,19510413,   41,    0
102277,19510414,   70,    0
102277,19510415,   99,    0
102277,19510416,  108,    0
102277,19510417,  112,    0
102277,19510418,  100,    0
102277,19510419,   27,    0
102277,19510420,   20,    0
102277,19510421,  121,    0
102277,19510422,  120,    0
102277,19510423,  122,    0
102277,19510424,  130,    0
102277,19510425,  134,    0
102277,19510426,   84,    0
102277,19510427,    0,    0
102277,19510428,   39,    0
102277,19510429,    2,    0
102277,19510430,   39,    0
102277,19510501,  124,    0
102277,19510502,  129,    0
102277,19510503,   30,    0
102277,19510504,   24,    0
102277,19510505,   54,    0
102277,19510506,  125,    0
102277,19510507,   85,    0
102277,19510508,   44,    0
102277,19510509,   17,    0
102277,19510510,    6,    0
102277,19510511,  121,    0
102277,19510512,  132,    0
102277,19510513,   59,    0
102277,19510514,   18,    0
102277,19510515,    6,    0
102277,19510516,   20,    0
102277,19510517,   33,    0
102277,19510518,   22,    0
102277,19510519,  121,    0
102277,19510520,  104,    0
102277,19510521,   17,    0
102277,19510522,   19,    0
102277,19510523,   34,    0
102277,19510524,  104,    0
102277,19510525,   45,    0
102277,19510526,   83,    0
102277,19510527,    0,    0
102277,19510528,   36,    0
102277,19510529,    1,    0
102277,19510530,   91,    0
102277,19510531,  147,    0
102277,19510601,  148,    0
102277,19510602,   27,    0
102277,19510603,   12,    0
102277,19510604,   41,    0
102277,19510605,    3,    0
102277,19510606,   91,    0
102277,19510607,  116,    0
102277,19510608,  109,    0
102277,19510609,  135,    0
102277,19510610,   38,    0
102277,19510611,   92,    0
102277,19510612,   71,    0
102277,19510613,   26,    0
102277,19510614,  131,    0
102277,19510615,   74,    0
102277,19510616,   29,    0
102277,19510617,   44,    0
102277,19510618,    4,    0
102277,19510619,   40,    0
102277,19510620,  140,    0
102277,19510621,  126,    0
102277,19510622,   35,    0
102277,19510623,   79,    0
102277,19510624,   35,    0
102277,19510625,   21,    0
102277,19510626,   47,    0
102277,19510627,   23,    0
102277,19510628,   26,    0
102277,19510629,   67,    0
102277,19510630,    5,    0
102277,19510701,   67,    0
102277,19510702,  130,    0
102277,19510703,   34,    0
102277,19510704,   72,    0
102277,19510705,   25,    0
102277,19510706,   44,    0
102277,19510707,  106,    0
102277,19510708,   84,    0
102277,19510709,   64,    0
102277,19510710,   98,    0
102277,19510711,  104,    0
102277,19510712,  112,    0
102277,19510713,  102,    0
102277,19510714,    2,    0
102277,19510715,    0,    0
102277,19510716,   17,    0
102277,19510717,  113,    0
102277,19510718,   42,    0
102277,19510719,  101,    0
102277,19510720,   29,    0
102277,19510721,   46,    0
102277,19510722,  132,    0
102277,19510723,   51,    0
102277,19510724,   22,    0
102277,19510725,    6,    0
102277,19510726,   18,    0
102277,19510727,   86,    0
102277,19510728,  111,    0
102277,19510729,   81,    0
102277,19510730,  104,    0
102277,19510731,  116,    0
102277,19510801,   95,    0
102277,19510802,   94,    0
102277,19510803,   70,    0
102277,19510804,   57,    0
102277,19510805,   72,    0
102277,19510806,  130,    0
102277,19510807,   49,    0
102277,19510808,    1,    0
102277,19510809,   45,    0
102277,19510810,   27,    0
102277,19510811,   76,    0
102277,19510812,   56,    0
102277,19510813,   89,    0
102277,19510814,   28,    0
102277,19510815,   61,    0
102277,19510816,  114,    0
102277,19510817,   94,    0
102277,19510818,   72,    0
102277,19510819,   85,    0
102277,19510820,    6,    0
102277,19510821,    0,    0
102277,19510822,   48,    0
102277,19510823,   93,    0
102277,19510824,   93,    0
102277,19510825,   74,    0
102277,19510826,   84,    0
102277,19510827,   90,    0
102277,19510828,    7,    0
102277,19510829,  118,    0
102277,19510830,   97,    0
102277,19510831,    2,    0
102277,19510901,   82,    0
102277,19510902,   27,    0
102277,19510903,    0,    0
102277,19510904,   52,    0
102277,19510905,   96,    0
102277,19510906,  109,    0
102277,19510907,   48,    0
102277,19510908,   22,    0
102277,19510909,   49,    0
102277,19510910,   80,    0
102277,19510911,   79,    0
102277,19510912,   85,    0
102277,19510913,   76,    0
102277,19510914,   35,    0
