EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, KASSEL (STAID: 480).
Blended and updated with sources: 102279 910438 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
102279,19510101,  -66,    0
102279,19510102,   -6,    0
102279,19510103,    6,    0
102279,19510104,    1,    0
102279,19510105,    6,    0
102279,19510106,   31,    0
102279,19510107,   36,    0
102279,19510108,   32,    0
102279,19510109,   34,    0
102279,19510110,   -7,    0
102279,19510111,   16,    0
102279,19510112,   33,    0
102279,19510113,   20,    0
102279,19510114,   11,    0
102279,19510115,   21,    0
102279,19510116,   22,    0
102279,19510117,    4,    0
102279,19510118,   27,    0
102279,19510119,   29,    0
102279,19510120,   28,    0
102279,19510121,  -22,    0
102279,19510122,  -33,    0
102279,19510123,   31,    0
102279,19510124,    7,    0
102279,19510125,   -6,    0
102279,19510126,   -6,    0
102279,19510127,    6,    0
102279,19510128,   10,    0
102279,19510129,   -3,    0
102279,19510130,   -7,    0
102279,19510131,  -14,    0
102279,19510201,    7,    0
102279,19510202,   -1,    0
102279,19510203,  -23,    0
102279,19510204,  -29,    0
102279,19510205,   11,    0
102279,19510206,   29,    0
102279,19510207,    3,    0
102279,19510208,    6,    0
102279,19510209,   55,    0
102279,19510210,   18,    0
102279,19510211,   10,    0
102279,19510212,   21,    0
102279,19510213,   -2,    0
102279,19510214,    1,    0
102279,19510215,   14,    0
102279,19510216,  -23,    0
102279,19510217,    1,    0
102279,19510218,   20,    0
102279,19510219,   11,    0
102279,19510220,   11,    0
102279,19510221,   16,    0
102279,19510222,    9,    0
102279,19510223,    7,    0
102279,19510224,    6,    0
102279,19510225,   -9,    0
102279,19510226,   -4,    0
102279,19510227,  -17,    0
102279,19510228,  -15,    0
102279,19510301,  -21,    0
102279,19510302,  -26,    0
102279,19510303,  -42,    0
102279,19510304,  -69,    0
102279,19510305,  -25,    0
102279,19510306,  -36,    0
102279,19510307,  -37,    0
102279,19510308,   -4,    0
102279,19510309,  -24,    0
102279,19510310,  -30,    0
102279,19510311,   -8,    0
102279,19510312,   31,    0
102279,19510313,    5,    0
102279,19510314,   56,    0
102279,19510315,   46,    0
102279,19510316,    1,    0
102279,19510317,   57,    0
102279,19510318,   81,    0
102279,19510319,   14,    0
102279,19510320,   -8,    0
102279,19510321,  -36,    0
102279,19510322,  -13,    0
102279,19510323,   33,    0
102279,19510324,   12,    0
102279,19510325,   -9,    0
102279,19510326,   -7,    0
102279,19510327,    8,    0
102279,19510328,  -12,    0
102279,19510329,   -9,    0
102279,19510330,  -27,    0
102279,19510331,    6,    0
102279,19510401,    6,    0
102279,19510402,   39,    0
102279,19510403,   30,    0
102279,19510404,   18,    0
102279,19510405,   36,    0
102279,19510406,   16,    0
102279,19510407,   75,    0
102279,19510408,   44,    0
102279,19510409,   36,    0
102279,19510410,   39,    0
102279,19510411,   19,    0
102279,19510412,    1,    0
102279,19510413,   39,    0
102279,19510414,   16,    0
102279,19510415,   -9,    0
102279,19510416,   19,    0
102279,19510417,   41,    0
102279,19510418,  -19,    0
102279,19510419,   65,    0
102279,19510420,    6,    0
102279,19510421,   26,    0
102279,19510422,  -23,    0
102279,19510423,  -25,    0
102279,19510424,    6,    0
102279,19510425,   32,    0
102279,19510426,   61,    0
102279,19510427,   66,    0
102279,19510428,   56,    0
102279,19510429,   21,    0
102279,19510430,   -5,    0
102279,19510501,   -7,    0
102279,19510502,   55,    0
