EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 105699 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
105699,19000101,    6,    0
105699,19000102,    8,    0
105699,19000103,    8,    0
105699,19000104,    8,    0
105699,19000105,    4,    0
105699,19000106,    8,    0
105699,19000107,    8,    0
105699,19000108,    8,    0
105699,19000109,    8,    0
105699,19000110,    8,    0
105699,19000111,    8,    0
105699,19000112,    8,    0
105699,19000113,    6,    0
105699,19000114,    6,    0
105699,19000115,    8,    0
105699,19000116,    8,    0
105699,19000117,    8,    0
105699,19000118,    8,    0
105699,19000119,    5,    0
105699,19000120,    1,    0
105699,19000121,    2,    0
105699,19000122,    6,    0
105699,19000123,    2,    0
105699,19000124,    6,    0
105699,19000125,    6,    0
105699,19000126,    5,    0
105699,19000127,    5,    0
105699,19000128,    8,    0
105699,19000129,    8,    0
105699,19000130,    8,    0
105699,19000131,    7,    0
105699,19000201,    6,    0
105699,19000202,    8,    0
105699,19000203,    8,    0
105699,19000204,    4,    0
105699,19000205,    7,    0
105699,19000206,    8,    0
105699,19000207,    6,    0
105699,19000208,    8,    0
105699,19000209,    8,    0
105699,19000210,    8,    0
105699,19000211,    8,    0
105699,19000212,    8,    0
105699,19000213,    7,    0
105699,19000214,    7,    0
105699,19000215,    2,    0
105699,19000216,    6,    0
105699,19000217,    2,    0
105699,19000218,    6,    0
105699,19000219,    7,    0
105699,19000220,    5,    0
105699,19000221,    8,    0
105699,19000222,    3,    0
105699,19000223,    0,    0
105699,19000224,    0,    0
105699,19000225,    1,    0
105699,19000226,    2,    0
105699,19000227,    5,    0
105699,19000228,    2,    0
105699,19000301,    8,    0
105699,19000302,    6,    0
105699,19000303,    2,    0
105699,19000304,    6,    0
105699,19000305,    6,    0
105699,19000306,    6,    0
105699,19000307,    1,    0
105699,19000308,    1,    0
105699,19000309,    2,    0
105699,19000310,    0,    0
105699,19000311,    5,    0
105699,19000312,    2,    0
105699,19000313,    8,    0
105699,19000314,    3,    0
105699,19000315,    3,    0
105699,19000316,    6,    0
105699,19000317,    6,    0
105699,19000318,    8,    0
105699,19000319,    8,    0
105699,19000320,    5,    0
105699,19000321,    8,    0
105699,19000322,    8,    0
105699,19000323,    5,    0
105699,19000324,    8,    0
105699,19000325,    8,    0
105699,19000326,    6,    0
105699,19000327,    7,    0
105699,19000328,    8,    0
105699,19000329,    8,    0
