EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 115553 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
115553,19610101,    0,    0
115553,19610102,    0,    0
115553,19610103,    0,    0
115553,19610104,    3,    0
115553,19610105,    0,    0
115553,19610106,    0,    0
115553,19610107,    0,    0
115553,19610108,    0,    0
115553,19610109,    0,    0
115553,19610110,    0,    0
115553,19610111,    0,    0
115553,19610112,    8,    0
115553,19610113,    3,    0
115553,19610114,    0,    0
115553,19610115,    8,    0
115553,19610116,    3,    0
115553,19610117,    0,    0
115553,19610118,   11,    0
115553,19610119,    0,    0
115553,19610120,    0,    0
115553,19610121,    0,    0
115553,19610122,    0,    0
115553,19610123,    3,    0
115553,19610124,    0,    0
115553,19610125,    3,    0
115553,19610126,   19,    0
115553,19610127,   19,    0
115553,19610128,    0,    0
115553,19610129,    3,    0
115553,19610130,   15,    0
115553,19610131,   21,    0
115553,19610201,    0,    0
115553,19610202,    0,    0
115553,19610203,    0,    0
115553,19610204,    0,    0
115553,19610205,   37,    0
115553,19610206,    3,    0
115553,19610207,    0,    0
115553,19610208,    3,    0
115553,19610209,    0,    0
115553,19610210,    3,    0
115553,19610211,    3,    0
115553,19610212,   23,    0
115553,19610213,    6,    0
115553,19610214,    0,    0
115553,19610215,    0,    0
115553,19610216,    0,    0
115553,19610217,    6,    0
115553,19610218,    0,    0
115553,19610219,    0,    0
115553,19610220,   14,    0
115553,19610221,    3,    0
115553,19610222,    0,    0
115553,19610223,    0,    0
115553,19610224,    3,    0
115553,19610225,    3,    0
115553,19610226,    0,    0
115553,19610227,    3,    0
115553,19610228,    3,    0
115553,19610301,    0,    0
115553,19610302,   15,    0
115553,19610303,   21,    0
115553,19610304,    6,    0
115553,19610305,    0,    0
115553,19610306,    3,    0
115553,19610307,    3,    0
115553,19610308,    0,    0
115553,19610309,    0,    0
115553,19610310,    6,    0
115553,19610311,    3,    0
115553,19610312,   11,    0
115553,19610313,   16,    0
115553,19610314,    0,    0
115553,19610315,    0,    0
115553,19610316,   15,    0
115553,19610317,    6,    0
115553,19610318,   30,    0
115553,19610319,   11,    0
115553,19610320,    0,    0
115553,19610321,    0,    0
115553,19610322,   11,    0
115553,19610323,   15,    0
115553,19610324,   26,    0
115553,19610325,    6,    0
115553,19610326,   16,    0
115553,19610327,   23,    0
115553,19610328,   11,    0
115553,19610329,   45,    0
115553,19610330,   65,    0
115553,19610331,   44,    0
115553,19610401,    0,    0
115553,19610402,   23,    0
115553,19610403,   37,    0
115553,19610404,   18,    0
115553,19610405,   26,    0
115553,19610406,   44,    0
115553,19610407,   53,    0
115553,19610408,    3,    0
115553,19610409,    3,    0
115553,19610410,    3,    0
115553,19610411,    6,    0
115553,19610412,   15,    0
115553,19610413,    3,    0
115553,19610414,   45,    0
115553,19610415,    3,    0
115553,19610416,   26,    0
115553,19610417,    0,    0
115553,19610418,    6,    0
115553,19610419,    9,    0
115553,19610420,    3,    0
115553,19610421,    8,    0
115553,19610422,    0,    0
115553,19610423,    6,    0
115553,19610424,   30,    0
115553,19610425,   11,    0
115553,19610426,    8,    0
115553,19610427,   15,    0
115553,19610428,    8,    0
115553,19610429,    8,    0
115553,19610430,   23,    0
115553,19610501,    8,    0
115553,19610502,    8,    0
115553,19610503,   11,    0
115553,19610504,    8,    0
115553,19610505,   23,    0
115553,19610506,   23,    0
115553,19610507,    3,    0
115553,19610508,   16,    0
115553,19610509,    3,    0
115553,19610510,    3,    0
115553,19610511,   14,    0
115553,19610512,   31,    0
115553,19610513,    3,    0
115553,19610514,   29,    0
115553,19610515,   19,    0
115553,19610516,    6,    0
115553,19610517,    8,    0
115553,19610518,   18,    0
115553,19610519,   24,    0
115553,19610520,   19,    0
115553,19610521,    9,    0
115553,19610522,   11,    0
115553,19610523,    3,    0
115553,19610524,    0,    0
115553,19610525,   23,    0
115553,19610526,   37,    0
115553,19610527,   19,    0
115553,19610528,    8,    0
115553,19610529,    8,    0
115553,19610530,   21,    0
115553,19610531,   25,    0
115553,19610601,   44,    0
115553,19610602,   18,    0
115553,19610603,    3,    0
115553,19610604,    0,    0
115553,19610605,    8,    0
115553,19610606,    8,    0
115553,19610607,    0,    0
115553,19610608,    0,    0
115553,19610609,   11,    0
115553,19610610,    6,    0
115553,19610611,    6,    0
115553,19610612,   11,    0
115553,19610613,    6,    0
115553,19610614,    3,    0
115553,19610615,    8,    0
115553,19610616,    8,    0
115553,19610617,    9,    0
115553,19610618,    3,    0
115553,19610619,    3,    0
115553,19610620,   16,    0
115553,19610621,    0,    0
115553,19610622,   15,    0
115553,19610623,    3,    0
115553,19610624,   16,    0
115553,19610625,    3,    0
115553,19610626,   23,    0
115553,19610627,   18,    0
115553,19610628,    9,    0
115553,19610629,   16,    0
115553,19610630,    3,    0
115553,19610701,    3,    0
115553,19610702,    8,    0
115553,19610703,    3,    0
115553,19610704,   23,    0
115553,19610705,    6,    0
115553,19610706,   11,    0
115553,19610707,   14,    0
115553,19610708,   18,    0
115553,19610709,    3,    0
115553,19610710,    3,    0
115553,19610711,   16,    0
115553,19610712,    8,    0
115553,19610713,   21,    0
115553,19610714,    3,    0
115553,19610715,   37,    0
115553,19610716,    8,    0
115553,19610717,   11,    0
115553,19610718,    3,    0
115553,19610719,    8,    0
115553,19610720,    8,    0
115553,19610721,    0,    0
115553,19610722,    3,    0
115553,19610723,    0,    0
115553,19610724,   11,    0
115553,19610725,    0,    0
115553,19610726,   23,    0
115553,19610727,   18,    0
115553,19610728,   37,    0
115553,19610729,    0,    0
115553,19610730,    3,    0
115553,19610731,   11,    0
115553,19610801,    8,    0
115553,19610802,    3,    0
115553,19610803,    8,    0
115553,19610804,   11,    0
115553,19610805,    3,    0
115553,19610806,    3,    0
