EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 105698 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
105698,19000101,   85,    0
105698,19000102,   86,    0
105698,19000103,   89,    0
105698,19000104,   96,    0
105698,19000105,   85,    0
105698,19000106,   95,    0
105698,19000107,   95,    0
105698,19000108,   91,    0
105698,19000109,   88,    0
105698,19000110,   91,    0
105698,19000111,   77,    0
105698,19000112,   75,    0
105698,19000113,   63,    0
105698,19000114,   69,    0
105698,19000115,   75,    0
105698,19000116,   78,    0
105698,19000117,   82,    0
105698,19000118,   95,    0
105698,19000119,   88,    0
105698,19000120,   77,    0
105698,19000121,   77,    0
105698,19000122,   82,    0
105698,19000123,   85,    0
105698,19000124,   82,    0
105698,19000125,   71,    0
105698,19000126,   49,    0
105698,19000127,   73,    0
105698,19000128,   92,    0
105698,19000129,   98,    0
105698,19000130,   95,    0
105698,19000131,   87,    0
105698,19000201,   91,    0
105698,19000202,   95,    0
105698,19000203,   97,    0
105698,19000204,   85,    0
105698,19000205,   93,    0
105698,19000206,   96,    0
105698,19000207,   90,    0
105698,19000208,   85,    0
105698,19000209,   84,    0
105698,19000210,   96,    0
105698,19000211,   92,    0
105698,19000212,   98,    0
105698,19000213,   84,    0
105698,19000214,   95,    0
105698,19000215,   72,    0
105698,19000216,   78,    0
105698,19000217,   88,    0
105698,19000218,   78,    0
105698,19000219,   86,    0
105698,19000220,   76,    0
105698,19000221,   92,    0
105698,19000222,   54,    0
105698,19000223,   70,    0
105698,19000224,   75,    0
105698,19000225,   66,    0
105698,19000226,   69,    0
105698,19000227,   79,    0
105698,19000228,   76,    0
105698,19000301,   86,    0
105698,19000302,   80,    0
105698,19000303,   69,    0
105698,19000304,   80,    0
105698,19000305,   52,    0
105698,19000306,   68,    0
105698,19000307,   74,    0
105698,19000308,   69,    0
105698,19000309,   75,    0
105698,19000310,   72,    0
105698,19000311,   76,    0
105698,19000312,   73,    0
105698,19000313,   78,    0
105698,19000314,   49,    0
105698,19000315,   52,    0
105698,19000316,   72,    0
105698,19000317,   92,    0
105698,19000318,   92,    0
105698,19000319,   81,    0
105698,19000320,   82,    0
105698,19000321,   79,    0
105698,19000322,   84,    0
105698,19000323,   80,    0
105698,19000324,   84,    0
105698,19000325,   86,    0
105698,19000326,   84,    0
105698,19000327,   84,    0
105698,19000328,   89,    0
105698,19000329,   97,    0
105698,19000330,   89,    0
105698,19000331,   77,    0
105698,19000401,   66,    0
105698,19000402,   64,    0
105698,19000403,   75,    0
105698,19000404,   73,    0
105698,19000405,   84,    0
105698,19000406,   93,    0
105698,19000407,   95,    0
105698,19000408,   91,    0
105698,19000409,   80,    0
105698,19000410,   89,    0
105698,19000411,   78,    0
105698,19000412,   82,    0
105698,19000413,   73,    0
105698,19000414,   73,    0
105698,19000415,   62,    0
105698,19000416,   63,    0
105698,19000417,   87,    0
105698,19000418,   63,    0
105698,19000419,   58,    0
105698,19000420,   58,    0
105698,19000421,   62,    0
105698,19000422,   73,    0
105698,19000423,   70,    0
105698,19000424,   72,    0
105698,19000425,   76,    0
105698,19000426,   87,    0
105698,19000427,   76,    0
105698,19000428,   81,    0
105698,19000429,   80,    0
105698,19000430,   77,    0
105698,19000501,   85,    0
105698,19000502,   76,    0
105698,19000503,   95,    0
105698,19000504,   70,    0
105698,19000505,   72,    0
105698,19000506,   72,    0
105698,19000507,   67,    0
105698,19000508,   70,    0
105698,19000509,   77,    0
105698,19000510,   73,    0
105698,19000511,   81,    0
105698,19000512,   87,    0
105698,19000513,   91,    0
105698,19000514,   79,    0
105698,19000515,   84,    0
105698,19000516,   87,    0
105698,19000517,   80,    0
105698,19000518,   63,    0
105698,19000519,   75,    0
105698,19000520,   81,    0
105698,19000521,   79,    0
105698,19000522,   75,    0
