EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 115554 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
115554,19610101,10194,    0
115554,19610102,10152,    0
115554,19610103,10088,    0
115554,19610104,10025,    0
115554,19610105,10140,    0
115554,19610106,10205,    0
115554,19610107,10173,    0
115554,19610108,10183,    0
115554,19610109,10173,    0
115554,19610110,10184,    0
115554,19610111,10182,    0
115554,19610112,10286,    0
115554,19610113,10353,    0
115554,19610114,10327,    0
115554,19610115,10311,    0
115554,19610116,10249,    0
115554,19610117,10294,    0
115554,19610118,10392,    0
115554,19610119,10375,    0
115554,19610120,10312,    0
115554,19610121,10244,    0
115554,19610122,10201,    0
115554,19610123,10133,    0
115554,19610124,10090,    0
115554,19610125,10049,    0
115554,19610126,10197,    0
115554,19610127,10325,    0
115554,19610128,10328,    0
115554,19610129,10306,    0
115554,19610130,10235,    0
115554,19610131,10169,    0
115554,19610201,10036,    0
115554,19610202,10019,    0
115554,19610203,10008,    0
115554,19610204,10122,    0
115554,19610205,10138,    0
115554,19610206,10234,    0
115554,19610207,10175,    0
115554,19610208,10237,    0
115554,19610209,10226,    0
115554,19610210,10252,    0
115554,19610211,10241,    0
115554,19610212,10156,    0
115554,19610213,10271,    0
115554,19610214,10301,    0
115554,19610215,10356,    0
115554,19610216,10355,    0
115554,19610217,10396,    0
115554,19610218,10379,    0
115554,19610219,10335,    0
115554,19610220,10342,    0
115554,19610221,10354,    0
115554,19610222,10344,    0
115554,19610223,10313,    0
115554,19610224,10313,    0
115554,19610225,10337,    0
115554,19610226,10379,    0
115554,19610227,10345,    0
115554,19610228,10216,    0
115554,19610301,10229,    0
115554,19610302,10313,    0
115554,19610303,10312,    0
115554,19610304,10362,    0
115554,19610305,10383,    0
115554,19610306,10351,    0
115554,19610307,10329,    0
115554,19610308,10348,    0
115554,19610309,10348,    0
115554,19610310,10285,    0
115554,19610311,10285,    0
115554,19610312,10262,    0
115554,19610313,10171,    0
115554,19610314,10190,    0
115554,19610315,10253,    0
115554,19610316,10272,    0
115554,19610317,10261,    0
115554,19610318,10148,    0
115554,19610319,10107,    0
115554,19610320,10150,    0
115554,19610321,10055,    0
115554,19610322,10149,    0
115554,19610323,10230,    0
115554,19610324,10257,    0
115554,19610325,10246,    0
115554,19610326,10212,    0
115554,19610327,10129,    0
115554,19610328,10197,    0
115554,19610329,10206,    0
115554,19610330,10170,    0
115554,19610331,10147,    0
115554,19610401,10173,    0
115554,19610402,10139,    0
115554,19610403,10116,    0
115554,19610404,10157,    0
115554,19610405,10167,    0
115554,19610406,10175,    0
115554,19610407,10173,    0
115554,19610408,10151,    0
115554,19610409,10176,    0
115554,19610410,10114,    0
115554,19610411,10094,    0
115554,19610412,10168,    0
115554,19610413,10176,    0
115554,19610414,10154,    0
115554,19610415,10147,    0
115554,19610416,10155,    0
115554,19610417,10136,    0
115554,19610418,10126,    0
115554,19610419,10137,    0
115554,19610420,10154,    0
115554,19610421,10154,    0
115554,19610422,10095,    0
115554,19610423,10024,    0
115554,19610424,10014,    0
115554,19610425,10073,    0
115554,19610426,10064,    0
115554,19610427,10115,    0
115554,19610428,10103,    0
115554,19610429,10066,    0
115554,19610430,10054,    0
115554,19610501,10113,    0
115554,19610502,10135,    0
115554,19610503,10143,    0
115554,19610504,10172,    0
115554,19610505,10171,    0
115554,19610506,10159,    0
115554,19610507,10182,    0
115554,19610508,10188,    0
115554,19610509,10148,    0
115554,19610510,10158,    0
115554,19610511,10161,    0
115554,19610512,10190,    0
115554,19610513,10190,    0
115554,19610514,10155,    0
115554,19610515,10147,    0
115554,19610516,10149,    0
115554,19610517,10159,    0
115554,19610518,10180,    0
115554,19610519,10136,    0
