EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 100706 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
100706,18991201,-9999,    9
100706,18991202,-9999,    9
100706,18991203,-9999,    9
100706,18991204,-9999,    9
100706,18991205,-9999,    9
100706,18991206,-9999,    9
100706,18991207,-9999,    9
100706,18991208,-9999,    9
100706,18991209,-9999,    9
100706,18991210,-9999,    9
100706,18991211,-9999,    9
100706,18991212,-9999,    9
100706,18991213,-9999,    9
100706,18991214,-9999,    9
100706,18991215,-9999,    9
100706,18991216,-9999,    9
100706,18991217,-9999,    9
100706,18991218,-9999,    9
100706,18991219,-9999,    9
100706,18991220,-9999,    9
100706,18991221,-9999,    9
100706,18991222,-9999,    9
100706,18991223,-9999,    9
100706,18991224,-9999,    9
100706,18991225,-9999,    9
100706,18991226,-9999,    9
100706,18991227,-9999,    9
100706,18991228,-9999,    9
100706,18991229,-9999,    9
100706,18991230,-9999,    9
100706,18991231,    3,    0
100706,19000101,    0,    0
100706,19000102,   30,    0
100706,19000103,  266,    0
100706,19000104,   10,    0
100706,19000105,  127,    0
100706,19000106,   17,    0
100706,19000107,   12,    0
100706,19000108,    3,    0
100706,19000109,   23,    0
100706,19000110,   13,    0
100706,19000111,    9,    0
100706,19000112,    0,    0
100706,19000113,    0,    0
100706,19000114,    0,    0
100706,19000115,   22,    0
100706,19000116,    0,    0
100706,19000117,  256,    0
100706,19000118,    0,    0
100706,19000119,    0,    0
100706,19000120,    0,    0
100706,19000121,    0,    0
100706,19000122,    0,    0
100706,19000123,    0,    0
100706,19000124,   32,    0
100706,19000125,    0,    0
100706,19000126,   23,    0
100706,19000127,   70,    0
100706,19000128,  298,    0
100706,19000129,   19,    0
100706,19000130,   70,    0
100706,19000131,   25,    0
100706,19000201,  121,    0
100706,19000202,   21,    0
100706,19000203,    0,    0
100706,19000204,    8,    0
100706,19000205,   14,    0
100706,19000206,   10,    0
100706,19000207,    0,    0
100706,19000208,   67,    0
100706,19000209,  123,    0
100706,19000210,   12,    0
100706,19000211,  143,    0
100706,19000212,   41,    0
100706,19000213,  214,    0
100706,19000214,    0,    0
100706,19000215,   43,    0
100706,19000216,    0,    0
100706,19000217,    3,    0
100706,19000218,   27,    0
100706,19000219,   59,    0
100706,19000220,   67,    0
100706,19000221,    0,    0
100706,19000222,    0,    0
100706,19000223,    0,    0
100706,19000224,    0,    0
100706,19000225,    6,    0
100706,19000226,   26,    0
100706,19000227,    0,    0
100706,19000228,  142,    0
100706,19000301,    0,    0
100706,19000302,    0,    0
100706,19000303,   12,    0
100706,19000304,    0,    0
100706,19000305,    0,    0
100706,19000306,    0,    0
100706,19000307,    0,    0
100706,19000308,    0,    0
100706,19000309,    0,    0
100706,19000310,    0,    0
100706,19000311,    0,    0
100706,19000312,   46,    0
100706,19000313,    0,    0
100706,19000314,    0,    0
100706,19000315,   37,    0
100706,19000316,  155,    0
100706,19000317,  148,    0
100706,19000318,    0,    0
100706,19000319,    0,    0
100706,19000320,    0,    0
100706,19000321,   57,    0
100706,19000322,    0,    0
100706,19000323,  186,    0
100706,19000324,  130,    0
100706,19000325,   74,    0
100706,19000326,   20,    0
100706,19000327,  223,    0
100706,19000328,  345,    0
100706,19000329,    9,    0
100706,19000330,    0,    0
100706,19000331,    5,    0
100706,19000401,    0,    0
100706,19000402,    0,    0
100706,19000403,    0,    0
100706,19000404,   19,    0
100706,19000405,  226,    0
100706,19000406,  240,    0
100706,19000407,  121,    0
100706,19000408,   59,    0
100706,19000409,   96,    0
100706,19000410,    0,    0
100706,19000411,    2,    0
100706,19000412,   48,    0
100706,19000413,    0,    0
100706,19000414,    0,    0
100706,19000415,  110,    0
100706,19000416,  118,    0
100706,19000417,    0,    0
100706,19000418,    0,    0
100706,19000419,    0,    0
100706,19000420,    0,    0
100706,19000421,   14,    0
100706,19000422,    9,    0
100706,19000423,   25,    0
100706,19000424,    0,    0
100706,19000425,   78,    0
100706,19000426,    9,    0
100706,19000427,   40,    0
100706,19000428,    4,    0
100706,19000429,    0,    0
100706,19000430,   77,    0
100706,19000501,   47,    0
100706,19000502,  260,    0
100706,19000503,    0,    0
100706,19000504,    0,    0
100706,19000505,    0,    0
100706,19000506,    0,    0
100706,19000507,   44,    0
100706,19000508,    0,    0
100706,19000509,    4,    0
100706,19000510,   66,    0
100706,19000511,   52,    0
100706,19000512,   45,    0
100706,19000513,   76,    0
100706,19000514,  225,    0
100706,19000515,   94,    0
100706,19000516,    4,    0
100706,19000517,    0,    0
100706,19000518,   73,    0
100706,19000519,    4,    0
100706,19000520,    0,    0
100706,19000521,    0,    0
100706,19000522,    0,    0
100706,19000523,    0,    0
100706,19000524,  120,    0
100706,19000525,   98,    0
100706,19000526,   37,    0
100706,19000527,   40,    0
100706,19000528,   89,    0
100706,19000529,  132,    0
100706,19000530,   77,    0
100706,19000531,    0,    0
100706,19000601,    0,    0
100706,19000602,   19,    0
100706,19000603,  424,    0
100706,19000604,  109,    0
100706,19000605,   33,    0
100706,19000606,    0,    0
100706,19000607,   76,    0
100706,19000608,    0,    0
100706,19000609,    0,    0
100706,19000610,    0,    0
100706,19000611,    0,    0
100706,19000612,    0,    0
100706,19000613,   16,    0
100706,19000614,    0,    0
100706,19000615,   17,    0
100706,19000616,    0,    0
100706,19000617,  186,    0
100706,19000618,    0,    0
100706,19000619,   43,    0
100706,19000620,    0,    0
100706,19000621,  486,    0
100706,19000622,  337,    0
100706,19000623,    0,    0
100706,19000624,   15,    0
100706,19000625,  189,    0
100706,19000626,    0,    0
100706,19000627,  119,    0
100706,19000628,  180,    0
100706,19000629,    0,    0
100706,19000630,    0,    0
100706,19000701,    0,    0
100706,19000702,    0,    0
100706,19000703,  147,    0
100706,19000704,    0,    0
100706,19000705,  184,    0
100706,19000706,  172,    0
100706,19000707,   38,    0
100706,19000708,   80,    0
100706,19000709,    7,    0
100706,19000710,    0,    0
100706,19000711,    0,    0
100706,19000712,    0,    0
100706,19000713,    0,    0
