EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 115552 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
115552,19610101,   10,    0
115552,19610102,   41,    0
115552,19610103,   33,    0
115552,19610104,   22,    0
115552,19610105,   13,    0
115552,19610106,   11,    0
115552,19610107,   12,    0
115552,19610108,   16,    0
115552,19610109,   15,    0
115552,19610110,   14,    0
115552,19610111,   14,    0
115552,19610112,   11,    0
115552,19610113,    9,    0
115552,19610114,    8,    0
115552,19610115,    8,    0
115552,19610116,    8,    0
115552,19610117,    8,    0
115552,19610118,    8,    0
115552,19610119,    8,    0
115552,19610120,    8,    0
115552,19610121,    8,    0
115552,19610122,    8,    0
115552,19610123,    8,    0
115552,19610124,    8,    0
115552,19610125,   13,    0
115552,19610126,   14,    0
115552,19610127,   12,    0
115552,19610128,   11,    0
115552,19610129,   11,    0
115552,19610130,   11,    0
115552,19610131,   10,    0
115552,19610201,    7,    0
115552,19610202,    7,    0
115552,19610203,    6,    0
115552,19610204,    6,    0
115552,19610205,    6,    0
115552,19610206,    5,    0
115552,19610207,    4,    0
115552,19610208,    8,    0
115552,19610209,    6,    0
115552,19610210,    4,    0
115552,19610211,    3,    0
115552,19610212,-9999,    9
115552,19610213,-9999,    9
115552,19610214,-9999,    9
115552,19610215,-9999,    9
115552,19610216,-9999,    9
115552,19610217,-9999,    9
115552,19610218,-9999,    9
115552,19610219,-9999,    9
115552,19610220,-9999,    9
115552,19610221,-9999,    9
115552,19610222,-9999,    9
115552,19610223,-9999,    9
115552,19610224,-9999,    9
115552,19610225,-9999,    9
115552,19610226,-9999,    9
115552,19610227,-9999,    9
115552,19610228,-9999,    9
115552,19610301,-9999,    9
115552,19610302,-9999,    9
115552,19610303,-9999,    9
115552,19610304,-9999,    9
115552,19610305,-9999,    9
115552,19610306,-9999,    9
115552,19610307,-9999,    9
115552,19610308,-9999,    9
115552,19610309,-9999,    9
115552,19610310,-9999,    9
115552,19610311,-9999,    9
115552,19610312,-9999,    9
115552,19610313,-9999,    9
115552,19610314,-9999,    9
115552,19610315,-9999,    9
115552,19610316,-9999,    9
115552,19610317,-9999,    9
115552,19610318,-9999,    9
115552,19610319,    0,    0
115552,19610320,   17,    0
115552,19610321,    8,    0
115552,19610322,    5,    0
115552,19610323,    0,    0
115552,19610324,-9999,    9
115552,19610325,-9999,    9
115552,19610326,-9999,    9
115552,19610327,-9999,    9
115552,19610328,-9999,    9
115552,19610329,-9999,    9
115552,19610330,-9999,    9
115552,19610331,-9999,    9
115552,19610401,-9999,    9
115552,19610402,-9999,    9
115552,19610403,-9999,    9
115552,19610404,-9999,    9
115552,19610405,-9999,    9
115552,19610406,-9999,    9
115552,19610407,-9999,    9
115552,19610408,-9999,    9
115552,19610409,-9999,    9
115552,19610410,-9999,    9
115552,19610411,-9999,    9
115552,19610412,-9999,    9
115552,19610413,-9999,    9
115552,19610414,-9999,    9
115552,19610415,-9999,    9
115552,19610416,-9999,    9
115552,19610417,-9999,    9
115552,19610418,-9999,    9
115552,19610419,-9999,    9
115552,19610420,-9999,    9
115552,19610421,-9999,    9
115552,19610422,-9999,    9
115552,19610423,-9999,    9
115552,19610424,-9999,    9
115552,19610425,-9999,    9
115552,19610426,-9999,    9
115552,19610427,-9999,    9
115552,19610428,-9999,    9
115552,19610429,-9999,    9
115552,19610430,-9999,    9
115552,19610501,-9999,    9
115552,19610502,-9999,    9
115552,19610503,-9999,    9
115552,19610504,-9999,    9
115552,19610505,-9999,    9
115552,19610506,-9999,    9
115552,19610507,-9999,    9
115552,19610508,-9999,    9
115552,19610509,-9999,    9
115552,19610510,-9999,    9
115552,19610511,-9999,    9
115552,19610512,-9999,    9
115552,19610513,-9999,    9
115552,19610514,-9999,    9
115552,19610515,-9999,    9
115552,19610516,-9999,    9
115552,19610517,-9999,    9
115552,19610518,-9999,    9
115552,19610519,-9999,    9
115552,19610520,-9999,    9
115552,19610521,-9999,    9
115552,19610522,-9999,    9
115552,19610523,-9999,    9
115552,19610524,-9999,    9
115552,19610525,-9999,    9
115552,19610526,-9999,    9
115552,19610527,-9999,    9
115552,19610528,-9999,    9
115552,19610529,-9999,    9
115552,19610530,-9999,    9
115552,19610531,-9999,    9
115552,19610601,-9999,    9
115552,19610602,-9999,    9
115552,19610603,-9999,    9
115552,19610604,-9999,    9
115552,19610605,-9999,    9
115552,19610606,-9999,    9
115552,19610607,-9999,    9
115552,19610608,-9999,    9
115552,19610609,-9999,    9
115552,19610610,-9999,    9
115552,19610611,-9999,    9
115552,19610612,-9999,    9
115552,19610613,-9999,    9
115552,19610614,-9999,    9
115552,19610615,-9999,    9
115552,19610616,-9999,    9
115552,19610617,-9999,    9
115552,19610618,-9999,    9
115552,19610619,-9999,    9
115552,19610620,-9999,    9
115552,19610621,-9999,    9
115552,19610622,-9999,    9
115552,19610623,-9999,    9
115552,19610624,-9999,    9
115552,19610625,-9999,    9
115552,19610626,-9999,    9
