EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 105934 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
105934,19480101,   45,    0
105934,19480102,   33,    0
105934,19480103,   40,    0
105934,19480104,   55,    0
105934,19480105,    0,    0
105934,19480106,   43,    0
105934,19480107,    0,    0
105934,19480108,    0,    0
105934,19480109,    0,    0
105934,19480110,    1,    0
105934,19480111,   18,    0
105934,19480112,    0,    0
105934,19480113,    1,    0
105934,19480114,    0,    0
105934,19480115,    0,    0
105934,19480116,    1,    0
105934,19480117,    0,    0
105934,19480118,   11,    0
105934,19480119,    0,    0
105934,19480120,    0,    0
105934,19480121,    0,    0
105934,19480122,    0,    0
105934,19480123,    0,    0
105934,19480124,    0,    0
105934,19480125,    0,    0
105934,19480126,    0,    0
105934,19480127,    0,    0
105934,19480128,    0,    0
105934,19480129,   14,    0
105934,19480130,   18,    0
105934,19480131,   18,    0
105934,19480201,    4,    0
105934,19480202,   73,    0
105934,19480203,   13,    0
105934,19480204,    6,    0
105934,19480205,   67,    0
105934,19480206,    0,    0
105934,19480207,   73,    0
105934,19480208,   33,    0
105934,19480209,   53,    0
105934,19480210,   80,    0
105934,19480211,   26,    0
105934,19480212,    0,    0
105934,19480213,   73,    0
105934,19480214,   80,    0
105934,19480215,   32,    0
105934,19480216,    0,    0
105934,19480217,    0,    0
105934,19480218,    9,    0
105934,19480219,   12,    0
105934,19480220,    0,    0
105934,19480221,    0,    0
105934,19480222,    0,    0
105934,19480223,    6,    0
105934,19480224,   44,    0
105934,19480225,   16,    0
105934,19480226,   33,    0
105934,19480227,   43,    0
105934,19480228,   43,    0
105934,19480229,   38,    0
105934,19480301,   28,    0
105934,19480302,   47,    0
105934,19480303,   41,    0
105934,19480304,   57,    0
105934,19480305,   58,    0
105934,19480306,   65,    0
105934,19480307,   74,    0
105934,19480308,   48,    0
105934,19480309,   66,    0
105934,19480310,   30,    0
105934,19480311,   23,    0
105934,19480312,    0,    0
105934,19480313,   26,    0
105934,19480314,   62,    0
105934,19480315,   66,    0
