EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 27-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, LJUBLJANA BEZIGRAD (STAID: 228).
Blended and updated with sources: 105696 914015 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
105696,19000101,   62,    0
105696,19000102,   48,    0
105696,19000103,   90,    0
105696,19000104,   90,    0
105696,19000105,   60,    0
105696,19000106,   10,    0
105696,19000107,   26,    0
105696,19000108,   20,    0
105696,19000109,   14,    0
105696,19000110,  -14,    0
105696,19000111,  -42,    0
105696,19000112,  -40,    0
105696,19000113,  -50,    0
105696,19000114,  -80,    0
105696,19000115,  -80,    0
105696,19000116,  -52,    0
105696,19000117,   -6,    0
105696,19000118,   22,    0
105696,19000119,    4,    0
105696,19000120,  -34,    0
105696,19000121,  -26,    0
105696,19000122,  -20,    0
105696,19000123,  -18,    0
105696,19000124,    0,    0
105696,19000125,   40,    0
105696,19000126,   13,    0
105696,19000127,  -25,    0
105696,19000128,    2,    0
105696,19000129,    0,    0
105696,19000130,   -4,    0
105696,19000131,   -7,    0
105696,19000201,    0,    0
105696,19000202,    6,    0
105696,19000203,    8,    0
105696,19000204,   10,    0
105696,19000205,    0,    0
105696,19000206,   16,    0
105696,19000207,   23,    0
105696,19000208,   -8,    0
105696,19000209,   10,    0
105696,19000210,    2,    0
105696,19000211,    6,    0
105696,19000212,   18,    0
105696,19000213,   30,    0
105696,19000214,   41,    0
105696,19000215,    0,    0
105696,19000216,  -12,    0
105696,19000217,   10,    0
105696,19000218,    6,    0
105696,19000219,   -5,    0
105696,19000220,   50,    0
105696,19000221,    0,    0
105696,19000222,   10,    0
105696,19000223,  -38,    0
105696,19000224,  -24,    0
105696,19000225,  -10,    0
105696,19000226,    0,    0
105696,19000227,   50,    0
105696,19000228,   42,    0
105696,19000301,  -38,    0
105696,19000302,  -70,    0
105696,19000303, -120,    0
105696,19000304, -100,    0
105696,19000305,  -58,    0
105696,19000306,  -62,    0
105696,19000307,  -70,    0
105696,19000308,  -75,    0
105696,19000309,  -24,    0
105696,19000310,  -36,    0
105696,19000311,  -20,    0
105696,19000312,   -6,    0
105696,19000313,  -13,    0
105696,19000314,    0,    0
105696,19000315,  -32,    0
105696,19000316,  -10,    0
105696,19000317,   45,    0
105696,19000318,   41,    0
105696,19000319,   20,    0
105696,19000320,   16,    0
105696,19000321,   30,    0
105696,19000322,   50,    0
105696,19000323,   40,    0
105696,19000324,   34,    0
105696,19000325,   30,    0
105696,19000326,   26,    0
105696,19000327,   28,    0
105696,19000328,   44,    0
105696,19000329,   10,    0
105696,19000330,    6,    0
105696,19000331,   10,    0
105696,19000401,   10,    0
105696,19000402,   -7,    0
105696,19000403,  -20,    0
105696,19000404,  -20,    0
105696,19000405,   16,    0
105696,19000406,   20,    0
105696,19000407,   42,    0
105696,19000408,   47,    0
105696,19000409,   30,    0
105696,19000410,   40,    0
105696,19000411,   40,    0
105696,19000412,    7,    0
105696,19000413,   38,    0
105696,19000414,   40,    0
105696,19000415,   40,    0
105696,19000416,   52,    0
105696,19000417,   50,    0
105696,19000418,   40,    0
105696,19000419,   52,    0
105696,19000420,   40,    0
105696,19000421,   43,    0
105696,19000422,   50,    0
105696,19000423,   60,    0
105696,19000424,   84,    0
105696,19000425,   50,    0
105696,19000426,   36,    0
105696,19000427,    0,    0
105696,19000428,   74,    0
105696,19000429,   80,    0
105696,19000430,   70,    0
105696,19000501,   80,    0
105696,19000502,   80,    0
105696,19000503,  110,    0
105696,19000504,  110,    0
105696,19000505,   90,    0
105696,19000506,   88,    0
105696,19000507,  100,    0
105696,19000508,  120,    0
105696,19000509,   80,    0
105696,19000510,   80,    0
105696,19000511,   50,    0
105696,19000512,   30,    0
105696,19000513,   40,    0
105696,19000514,  100,    0
105696,19000515,  100,    0
105696,19000516,  100,    0
105696,19000517,   70,    0
105696,19000518,   80,    0
105696,19000519,   50,    0
105696,19000520,   70,    0
105696,19000521,   50,    0
105696,19000522,   64,    0
105696,19000523,   70,    0
105696,19000524,  100,    0
105696,19000525,  110,    0
105696,19000526,  110,    0
105696,19000527,   90,    0
105696,19000528,  110,    0
105696,19000529,  110,    0
105696,19000530,  120,    0
105696,19000531,  106,    0
105696,19000601,  120,    0
105696,19000602,  108,    0
105696,19000603,   97,    0
105696,19000604,  123,    0
105696,19000605,  130,    0
105696,19000606,  123,    0
105696,19000607,  127,    0
105696,19000608,  140,    0
105696,19000609,  136,    0
105696,19000610,  140,    0
105696,19000611,  120,    0
105696,19000612,  130,    0
105696,19000613,  120,    0
105696,19000614,  130,    0
105696,19000615,  120,    0
105696,19000616,  140,    0
105696,19000617,  132,    0
105696,19000618,  128,    0
105696,19000619,  123,    0
105696,19000620,  137,    0
105696,19000621,  143,    0
105696,19000622,  150,    0
105696,19000623,  136,    0
105696,19000624,  138,    0
105696,19000625,  102,    0
105696,19000626,  100,    0
105696,19000627,   82,    0
105696,19000628,   98,    0
105696,19000629,  120,    0
105696,19000630,  110,    0
105696,19000701,  120,    0
105696,19000702,  143,    0
105696,19000703,  162,    0
105696,19000704,  158,    0
105696,19000705,  168,    0
105696,19000706,  172,    0
105696,19000707,  114,    0
105696,19000708,  110,    0
105696,19000709,   80,    0
105696,19000710,   80,    0
105696,19000711,  120,    0
105696,19000712,  110,    0
105696,19000713,  140,    0
105696,19000714,  160,    0
105696,19000715,  160,    0
105696,19000716,  160,    0
105696,19000717,  160,    0
105696,19000718,  180,    0
105696,19000719,  168,    0
105696,19000720,  152,    0
105696,19000721,  160,    0
105696,19000722,  162,    0
105696,19000723,  160,    0
105696,19000724,  156,    0
105696,19000725,  134,    0
105696,19000726,  154,    0
105696,19000727,  180,    0
105696,19000728,  180,    0
105696,19000729,  180,    0
105696,19000730,  170,    0
105696,19000731,  150,    0
105696,19000801,  120,    0
105696,19000802,  136,    0
105696,19000803,  170,    0
105696,19000804,  158,    0
105696,19000805,  140,    0
105696,19000806,  110,    0
105696,19000807,   90,    0
105696,19000808,  123,    0
105696,19000809,  130,    0
105696,19000810,  112,    0
105696,19000811,  110,    0
105696,19000812,   90,    0
105696,19000813,   90,    0
105696,19000814,  112,    0
105696,19000815,  146,    0
105696,19000816,  137,    0
105696,19000817,  156,    0
105696,19000818,  150,    0
105696,19000819,  130,    0
105696,19000820,  140,    0
105696,19000821,  132,    0
105696,19000822,  140,    0
105696,19000823,  130,    0
105696,19000824,  142,    0
105696,19000825,  160,    0
105696,19000826,  143,    0
105696,19000827,  140,    0
105696,19000828,  140,    0
105696,19000829,  130,    0
105696,19000830,  120,    0
105696,19000831,   80,    0
105696,19000901,   62,    0
105696,19000902,   84,    0
105696,19000903,  110,    0
105696,19000904,   90,    0
105696,19000905,   60,    0
105696,19000906,   80,    0
105696,19000907,   80,    0
105696,19000908,  120,    0
105696,19000909,  140,    0
105696,19000910,  130,    0
105696,19000911,  110,    0
105696,19000912,  110,    0
105696,19000913,   66,    0
105696,19000914,   70,    0
105696,19000915,   90,    0
105696,19000916,   80,    0
105696,19000917,   83,    0
105696,19000918,   80,    0
105696,19000919,  110,    0
105696,19000920,  140,    0
105696,19000921,  140,    0
105696,19000922,  130,    0
105696,19000923,  100,    0
105696,19000924,   80,    0
105696,19000925,   90,    0
105696,19000926,  104,    0
105696,19000927,  130,    0
105696,19000928,  160,    0
105696,19000929,  130,    0
105696,19000930,  164,    0
105696,19001001,  140,    0
105696,19001002,  116,    0
105696,19001003,  134,    0
105696,19001004,  130,    0
105696,19001005,  114,    0
105696,19001006,  112,    0
105696,19001007,  100,    0
105696,19001008,   78,    0
105696,19001009,   80,    0
105696,19001010,   73,    0
105696,19001011,   54,    0
105696,19001012,   80,    0
105696,19001013,   80,    0
105696,19001014,   72,    0
105696,19001015,   44,    0
105696,19001016,   40,    0
105696,19001017,  -10,    0
105696,19001018,   50,    0
105696,19001019,   80,    0
105696,19001020,   80,    0
105696,19001021,   65,    0
105696,19001022,   58,    0
105696,19001023,   50,    0
105696,19001024,   30,    0
105696,19001025,   30,    0
105696,19001026,   33,    0
105696,19001027,   90,    0
105696,19001028,   30,    0
105696,19001029,    4,    0
105696,19001030,   38,    0
105696,19001031,   74,    0
105696,19001101,   80,    0
105696,19001102,   72,    0
105696,19001103,   72,    0
105696,19001104,   60,    0
105696,19001105,   60,    0
105696,19001106,   30,    0
105696,19001107,   62,    0
105696,19001108,   90,    0
105696,19001109,   90,    0
105696,19001110,   90,    0
105696,19001111,   80,    0
105696,19001112,   62,    0
105696,19001113,   60,    0
105696,19001114,   58,    0
105696,19001115,   60,    0
105696,19001116,   52,    0
105696,19001117,   50,    0
105696,19001118,   72,    0
105696,19001119,   70,    0
105696,19001120,   66,    0
105696,19001121,   80,    0
105696,19001122,   60,    0
105696,19001123,   56,    0
105696,19001124,   46,    0
105696,19001125,   32,    0
105696,19001126,    4,    0
105696,19001127,    5,    0
105696,19001128,   -6,    0
105696,19001129,   14,    0
105696,19001130,   30,    0
