EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 102104 906380 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
102104,19060101,-9999,    9
102104,19060102,-9999,    9
102104,19060103,-9999,    9
102104,19060104,-9999,    9
102104,19060105,-9999,    9
102104,19060106,-9999,    9
102104,19060107,-9999,    9
102104,19060108,-9999,    9
102104,19060109,-9999,    9
102104,19060110,-9999,    9
102104,19060111,-9999,    9
102104,19060112,-9999,    9
102104,19060113,-9999,    9
102104,19060114,-9999,    9
102104,19060115,-9999,    9
102104,19060116,-9999,    9
102104,19060117,-9999,    9
102104,19060118,-9999,    9
102104,19060119,-9999,    9
102104,19060120,-9999,    9
102104,19060121,-9999,    9
102104,19060122,-9999,    9
102104,19060123,-9999,    9
102104,19060124,-9999,    9
102104,19060125,-9999,    9
102104,19060126,-9999,    9
102104,19060127,-9999,    9
102104,19060128,-9999,    9
102104,19060129,-9999,    9
102104,19060130,-9999,    9
102104,19060131,-9999,    9
102104,19060201,-9999,    9
102104,19060202,-9999,    9
102104,19060203,-9999,    9
102104,19060204,-9999,    9
102104,19060205,-9999,    9
102104,19060206,-9999,    9
102104,19060207,-9999,    9
102104,19060208,-9999,    9
102104,19060209,-9999,    9
102104,19060210,-9999,    9
102104,19060211,-9999,    9
