EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 113661 906380 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
113661,19060101,   36,    0
113661,19060102,   10,    0
113661,19060103,   31,    0
113661,19060104,   51,    0
113661,19060105,   51,    0
113661,19060106,   72,    0
113661,19060107,   57,    0
113661,19060108,   57,    0
113661,19060109,   51,    0
113661,19060110,   62,    0
113661,19060111,   46,    0
113661,19060112,   62,    0
113661,19060113,   62,    0
113661,19060114,   57,    0
113661,19060115,   46,    0
113661,19060116,   62,    0
113661,19060117,   51,    0
113661,19060118,   72,    0
113661,19060119,   72,    0
113661,19060120,   41,    0
113661,19060121,   36,    0
113661,19060122,   46,    0
113661,19060123,   21,    0
113661,19060124,    5,    0
113661,19060125,   51,    0
113661,19060126,   36,    0
113661,19060127,   31,    0
113661,19060128,   36,    0
113661,19060129,   46,    0
113661,19060130,   41,    0
113661,19060131,   31,    0
113661,19060201,   36,    0
113661,19060202,   67,    0
113661,19060203,   51,    0
113661,19060204,   41,    0
113661,19060205,   46,    0
113661,19060206,   26,    0
113661,19060207,   15,    0
113661,19060208,   57,    0
113661,19060209,   57,    0
113661,19060210,   72,    0
113661,19060211,   36,    0
113661,19060212,   41,    0
113661,19060213,   15,    0
113661,19060214,   21,    0
113661,19060215,   36,    0
113661,19060216,   51,    0
113661,19060217,   67,    0
113661,19060218,   26,    0
113661,19060219,   31,    0
113661,19060220,   57,    0
113661,19060221,   41,    0
113661,19060222,   26,    0
113661,19060223,   21,    0
113661,19060224,   26,    0
113661,19060225,   67,    0
113661,19060226,   31,    0
113661,19060227,   31,    0
113661,19060228,   51,    0
113661,19060301,   67,    0
113661,19060302,   31,    0
113661,19060303,   21,    0
113661,19060304,   36,    0
113661,19060305,   36,    0
113661,19060306,   31,    0
113661,19060307,   41,    0
113661,19060308,   72,    0
113661,19060309,   82,    0
113661,19060310,   31,    0
113661,19060311,   46,    0
113661,19060312,   77,    0
113661,19060313,   41,    0
113661,19060314,   21,    0
113661,19060315,   62,    0
113661,19060316,   87,    0
113661,19060317,   62,    0
113661,19060318,   46,    0
113661,19060319,   57,    0
113661,19060320,   31,    0
113661,19060321,   36,    0
113661,19060322,   41,    0
113661,19060323,   62,    0
113661,19060324,   41,    0
113661,19060325,   26,    0
113661,19060326,   15,    0
113661,19060327,   41,    0
113661,19060328,   36,    0
113661,19060329,   46,    0
113661,19060330,   36,    0
113661,19060331,   31,    0
113661,19060401,   41,    0
113661,19060402,   36,    0
113661,19060403,   36,    0
113661,19060404,   41,    0
113661,19060405,   21,    0
113661,19060406,   15,    0
113661,19060407,   15,    0
113661,19060408,   26,    0
113661,19060409,   46,    0
113661,19060410,   41,    0
113661,19060411,   21,    0
113661,19060412,   26,    0
113661,19060413,   15,    0
113661,19060414,   41,    0
113661,19060415,   41,    0
113661,19060416,   10,    0
113661,19060417,   15,    0
113661,19060418,   36,    0
113661,19060419,   31,    0
113661,19060420,   41,    0
113661,19060421,   46,    0
113661,19060422,   46,    0
113661,19060423,   36,    0
113661,19060424,   26,    0
113661,19060425,   26,    0
113661,19060426,   31,    0
113661,19060427,   26,    0
113661,19060428,   57,    0
113661,19060429,   36,    0
113661,19060430,   31,    0
113661,19060501,   36,    0
113661,19060502,   26,    0
113661,19060503,   46,    0
113661,19060504,   31,    0
113661,19060505,   10,    0
113661,19060506,   10,    0
113661,19060507,   15,    0
113661,19060508,   10,    0
113661,19060509,   31,    0
113661,19060510,   21,    0
113661,19060511,   26,    0
113661,19060512,   21,    0
113661,19060513,   15,    0
113661,19060514,   21,    0
113661,19060515,   46,    0
113661,19060516,   26,    0
113661,19060517,   10,    0
113661,19060518,   15,    0
113661,19060519,   31,    0
113661,19060520,   41,    0
113661,19060521,   36,    0
113661,19060522,   15,    0
113661,19060523,   21,    0
113661,19060524,   26,    0
113661,19060525,   26,    0
113661,19060526,   31,    0
113661,19060527,   46,    0
113661,19060528,   46,    0
113661,19060529,   51,    0
113661,19060530,   36,    0
113661,19060531,   26,    0
113661,19060601,   41,    0
113661,19060602,   46,    0
113661,19060603,   46,    0
113661,19060604,   46,    0
113661,19060605,   31,    0
113661,19060606,   21,    0
113661,19060607,   21,    0
113661,19060608,   26,    0
113661,19060609,   36,    0
113661,19060610,   36,    0
113661,19060611,   26,    0
113661,19060612,   26,    0
113661,19060613,   36,    0
113661,19060614,   41,    0
113661,19060615,   26,    0
113661,19060616,   15,    0
113661,19060617,   10,    0
113661,19060618,   15,    0
113661,19060619,   21,    0
113661,19060620,   15,    0
113661,19060621,   10,    0
113661,19060622,   10,    0
113661,19060623,   15,    0
113661,19060624,   21,    0
113661,19060625,   36,    0
113661,19060626,   31,    0
113661,19060627,   26,    0
113661,19060628,   26,    0
113661,19060629,   67,    0
113661,19060630,   26,    0
113661,19060701,    5,    0
113661,19060702,   21,    0
113661,19060703,   21,    0
113661,19060704,   15,    0
113661,19060705,   21,    0
113661,19060706,   21,    0
113661,19060707,   10,    0
113661,19060708,   10,    0
113661,19060709,   21,    0
113661,19060710,   21,    0
113661,19060711,   36,    0
113661,19060712,   36,    0
113661,19060713,   21,    0
113661,19060714,   31,    0
113661,19060715,   51,    0
113661,19060716,   51,    0
113661,19060717,   31,    0
113661,19060718,   15,    0
113661,19060719,   41,    0
113661,19060720,   41,    0
113661,19060721,   26,    0
113661,19060722,   26,    0
113661,19060723,   15,    0
113661,19060724,   21,    0
113661,19060725,   31,    0
113661,19060726,   31,    0
113661,19060727,   15,    0
113661,19060728,   21,    0
113661,19060729,   10,    0
113661,19060730,   21,    0
113661,19060731,   10,    0
113661,19060801,   15,    0
113661,19060802,   15,    0
113661,19060803,   26,    0
113661,19060804,   31,    0
113661,19060805,   36,    0
113661,19060806,   15,    0
113661,19060807,   10,    0
113661,19060808,    5,    0
113661,19060809,   41,    0
113661,19060810,   26,    0
113661,19060811,   41,    0
113661,19060812,   21,    0
113661,19060813,   21,    0
113661,19060814,   21,    0
113661,19060815,   36,    0
113661,19060816,   31,    0
113661,19060817,   41,    0
113661,19060818,   36,    0
113661,19060819,   36,    0
113661,19060820,   36,    0
113661,19060821,   31,    0
113661,19060822,   15,    0
113661,19060823,   31,    0
113661,19060824,   21,    0
113661,19060825,   62,    0
113661,19060826,   46,    0
113661,19060827,   46,    0
113661,19060828,   15,    0
113661,19060829,   15,    0
113661,19060830,   10,    0
113661,19060831,    5,    0
113661,19060901,   10,    0
113661,19060902,    5,    0
113661,19060903,    0,    0
113661,19060904,    5,    0
113661,19060905,   15,    0
113661,19060906,   46,    0
113661,19060907,   26,    0
113661,19060908,   21,    0
113661,19060909,   15,    0
113661,19060910,   21,    0
113661,19060911,   10,    0
113661,19060912,    5,    0
113661,19060913,    5,    0
113661,19060914,   26,    0
