EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 102106 906380 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
102106,19060101,   47,    0
102106,19060102,   62,    0
102106,19060103,   78,    0
102106,19060104,   86,    0
102106,19060105,   83,    0
102106,19060106,   76,    0
102106,19060107,   81,    0
102106,19060108,   86,    0
102106,19060109,   82,    0
102106,19060110,   80,    0
102106,19060111,   85,    0
102106,19060112,   85,    0
102106,19060113,   90,    0
102106,19060114,   76,    0
102106,19060115,   63,    0
102106,19060116,   72,    0
102106,19060117,   81,    0
102106,19060118,   85,    0
102106,19060119,   84,    0
102106,19060120,   79,    0
102106,19060121,   88,    0
102106,19060122,   78,    0
102106,19060123,   78,    0
102106,19060124,   81,    0
102106,19060125,   78,    0
102106,19060126,   98,    0
102106,19060127,   94,    0
102106,19060128,   87,    0
102106,19060129,   85,    0
102106,19060130,   83,    0
102106,19060131,   75,    0
102106,19060201,   91,    0
102106,19060202,   79,    0
102106,19060203,   90,    0
102106,19060204,   90,    0
102106,19060205,   86,    0
102106,19060206,   91,    0
102106,19060207,   91,    0
102106,19060208,   90,    0
102106,19060209,   92,    0
102106,19060210,   73,    0
102106,19060211,   74,    0
102106,19060212,   78,    0
102106,19060213,   84,    0
102106,19060214,   88,    0
102106,19060215,   72,    0
102106,19060216,   72,    0
102106,19060217,   86,    0
102106,19060218,   92,    0
102106,19060219,   76,    0
102106,19060220,   81,    0
102106,19060221,   83,    0
102106,19060222,   76,    0
102106,19060223,   80,    0
102106,19060224,   89,    0
102106,19060225,   84,    0
102106,19060226,   87,    0
102106,19060227,   87,    0
102106,19060228,   80,    0
102106,19060301,   86,    0
102106,19060302,   94,    0
102106,19060303,   77,    0
102106,19060304,   68,    0
102106,19060305,   68,    0
102106,19060306,   74,    0
102106,19060307,   68,    0
102106,19060308,   71,    0
102106,19060309,   68,    0
102106,19060310,   73,    0
102106,19060311,   84,    0
102106,19060312,   77,    0
102106,19060313,   78,    0
102106,19060314,   84,    0
102106,19060315,   91,    0
102106,19060316,   87,    0
102106,19060317,   65,    0
102106,19060318,   81,    0
102106,19060319,   80,    0
102106,19060320,   79,    0
102106,19060321,   76,    0
102106,19060322,   80,    0
102106,19060323,   73,    0
102106,19060324,   87,    0
102106,19060325,   90,    0
102106,19060326,   81,    0
102106,19060327,   77,    0
102106,19060328,   60,    0
102106,19060329,   64,    0
102106,19060330,   84,    0
102106,19060331,   79,    0
102106,19060401,   63,    0
102106,19060402,   61,    0
