EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 100547 906380 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
100547,19060101,10218,    0
100547,19060102,10176,    0
100547,19060103,10107,    0
100547,19060104,10138,    0
100547,19060105,10130,    0
100547,19060106,10027,    0
100547,19060107,10036,    0
100547,19060108, 9922,    0
100547,19060109,10039,    0
100547,19060110,10055,    0
100547,19060111,10222,    0
100547,19060112,10188,    0
100547,19060113,10121,    0
100547,19060114,10230,    0
100547,19060115,10209,    0
100547,19060116,10188,    0
100547,19060117,10175,    0
100547,19060118,10082,    0
100547,19060119,10128,    0
100547,19060120,10296,    0
100547,19060121,10197,    0
100547,19060122,10300,    0
100547,19060123,10384,    0
100547,19060124,10346,    0
100547,19060125,10166,    0
100547,19060126,10164,    0
100547,19060127,10240,    0
100547,19060128,10269,    0
100547,19060129,10240,    0
100547,19060130,10256,    0
100547,19060131,10282,    0
100547,19060201,10262,    0
100547,19060202,10157,    0
100547,19060203,10030,    0
100547,19060204,10080,    0
100547,19060205,10208,    0
100547,19060206,10245,    0
100547,19060207,10251,    0
100547,19060208,10140,    0
100547,19060209,10041,    0
100547,19060210,10004,    0
100547,19060211, 9902,    0
100547,19060212, 9997,    0
100547,19060213,10043,    0
100547,19060214,10084,    0
100547,19060215,10122,    0
100547,19060216,10117,    0
100547,19060217,10082,    0
100547,19060218,10132,    0
100547,19060219,10143,    0
100547,19060220,10173,    0
100547,19060221,10217,    0
100547,19060222,10199,    0
100547,19060223,10051,    0
100547,19060224,10079,    0
100547,19060225,10048,    0
100547,19060226,10013,    0
100547,19060227, 9945,    0
100547,19060228,10047,    0
100547,19060301,10064,    0
100547,19060302,10114,    0
100547,19060303,10303,    0
100547,19060304,10310,    0
100547,19060305,10263,    0
100547,19060306,10293,    0
100547,19060307,10276,    0
100547,19060308,10155,    0
100547,19060309,10095,    0
100547,19060310,10170,    0
100547,19060311,10012,    0
100547,19060312, 9974,    0
100547,19060313,10125,    0
