EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 102102 108988 152472 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
102102,19001201,-9999,    9
102102,19001202,-9999,    9
102102,19001203,-9999,    9
102102,19001204,-9999,    9
102102,19001205,-9999,    9
102102,19001206,-9999,    9
102102,19001207,-9999,    9
102102,19001208,-9999,    9
102102,19001209,-9999,    9
102102,19001210,-9999,    9
102102,19001211,-9999,    9
102102,19001212,-9999,    9
102102,19001213,-9999,    9
102102,19001214,-9999,    9
102102,19001215,-9999,    9
102102,19001216,-9999,    9
102102,19001217,-9999,    9
102102,19001218,-9999,    9
102102,19001219,-9999,    9
102102,19001220,-9999,    9
102102,19001221,-9999,    9
102102,19001222,-9999,    9
102102,19001223,-9999,    9
102102,19001224,-9999,    9
102102,19001225,-9999,    9
102102,19001226,-9999,    9
102102,19001227,-9999,    9
102102,19001228,-9999,    9
102102,19001229,-9999,    9
102102,19001230,-9999,    9
102102,19001231,    0,    0
102102,19010101,    0,    0
102102,19010102,    9,    0
102102,19010103,    0,    0
102102,19010104,    0,    0
102102,19010105,    0,    0
102102,19010106,    0,    0
102102,19010107,    0,    0
102102,19010108,    0,    0
102102,19010109,    0,    0
102102,19010110,    0,    0
102102,19010111,    0,    0
102102,19010112,    0,    0
102102,19010113,    0,    0
102102,19010114,    0,    0
102102,19010115,    0,    0
102102,19010116,    0,    0
102102,19010117,    0,    0
102102,19010118,    0,    0
102102,19010119,    0,    0
102102,19010120,   10,    0
102102,19010121,    5,    0
102102,19010122,    0,    0
102102,19010123,    0,    0
102102,19010124,    2,    0
102102,19010125,   34,    0
102102,19010126,   33,    0
102102,19010127,   77,    0
102102,19010128,    0,    0
102102,19010129,    0,    0
102102,19010130,   13,    0
102102,19010131,    0,    0
102102,19010201,    0,    0
102102,19010202,    0,    0
102102,19010203,    6,    0
102102,19010204,    5,    0
102102,19010205,    0,    0
102102,19010206,    0,    0
102102,19010207,    0,    0
102102,19010208,    0,    0
102102,19010209,    0,    0
102102,19010210,    0,    0
102102,19010211,    0,    0
102102,19010212,    0,    0
102102,19010213,    0,    0
102102,19010214,    0,    0
102102,19010215,    0,    0
102102,19010216,    0,    0
102102,19010217,    0,    0
102102,19010218,    0,    0
102102,19010219,    0,    0
102102,19010220,    0,    0
102102,19010221,    0,    0
102102,19010222,    0,    0
102102,19010223,    0,    0
102102,19010224,    0,    0
102102,19010225,    0,    0
102102,19010226,    0,    0
102102,19010227,    4,    0
102102,19010228,    0,    0
102102,19010301,    1,    0
102102,19010302,   23,    0
102102,19010303,    0,    0
102102,19010304,    0,    0
102102,19010305,   71,    0
102102,19010306,    6,    0
102102,19010307,   13,    0
102102,19010308,    0,    0
102102,19010309,    0,    0
102102,19010310,    0,    0
102102,19010311,  130,    0
102102,19010312,   26,    0
102102,19010313,    0,    0
102102,19010314,    0,    0
102102,19010315,    0,    0
102102,19010316,    0,    0
102102,19010317,    0,    0
102102,19010318,   96,    0
102102,19010319,    8,    0
102102,19010320,    0,    0
102102,19010321,    0,    0
102102,19010322,    0,    0
102102,19010323,    0,    0
102102,19010324,    0,    0
102102,19010325,    0,    0
102102,19010326,    0,    0
102102,19010327,    0,    0
102102,19010328,    0,    0
102102,19010329,    0,    0
102102,19010330,    9,    0
102102,19010331,  150,    0
102102,19010401,    0,    0
102102,19010402,    0,    0
102102,19010403,   23,    0
102102,19010404,   22,    0
102102,19010405,    0,    0
102102,19010406,   18,    0
102102,19010407,    0,    0
102102,19010408,    0,    0
102102,19010409,    0,    0
102102,19010410,   12,    0
102102,19010411,   12,    0
102102,19010412,   66,    0
102102,19010413,    7,    0
102102,19010414,    0,    0
102102,19010415,   85,    0
102102,19010416,   34,    0
102102,19010417,    0,    0
102102,19010418,    0,    0
102102,19010419,    0,    0
102102,19010420,    0,    0
102102,19010421,    0,    0
102102,19010422,    0,    0
102102,19010423,    0,    0
102102,19010424,    0,    0
102102,19010425,    0,    0
102102,19010426,    0,    0
102102,19010427,    0,    0
102102,19010428,    0,    0
102102,19010429,    0,    0
102102,19010430,    0,    0
102102,19010501,    0,    0
102102,19010502,   35,    0
102102,19010503,    0,    0
102102,19010504,    0,    0
102102,19010505,    0,    0
102102,19010506,   11,    0
102102,19010507,    7,    0
102102,19010508,    2,    0
102102,19010509,    3,    0
102102,19010510,    0,    0
102102,19010511,    0,    0
102102,19010512,    0,    0
102102,19010513,    0,    0
102102,19010514,    0,    0
102102,19010515,    0,    0
102102,19010516,    0,    0
102102,19010517,    0,    0
102102,19010518,    0,    0
102102,19010519,    0,    0
102102,19010520,    0,    0
102102,19010521,    0,    0
102102,19010522,    0,    0
102102,19010523,    0,    0
102102,19010524,    0,    0
102102,19010525,   35,    0
102102,19010526,    0,    0
102102,19010527,    0,    0
102102,19010528,    0,    0
102102,19010529,    7,    0
102102,19010530,  131,    0
102102,19010531,   40,    0
102102,19010601,   87,    0
102102,19010602,    0,    0
102102,19010603,    0,    0
102102,19010604,    0,    0
102102,19010605,    0,    0
102102,19010606,    0,    0
102102,19010607,    0,    0
102102,19010608,    0,    0
102102,19010609,    0,    0
102102,19010610,    0,    0
102102,19010611,    0,    0
102102,19010612,  107,    0
102102,19010613,    0,    0
102102,19010614,    0,    0
102102,19010615,    0,    0
102102,19010616,   10,    0
102102,19010617,   20,    0
102102,19010618,   16,    0
102102,19010619,    0,    0
102102,19010620,    0,    0
102102,19010621,    0,    0
102102,19010622,    0,    0
102102,19010623,    0,    0
102102,19010624,    0,    0
102102,19010625,    0,    0
102102,19010626,    0,    0
102102,19010627,    0,    0
102102,19010628,    0,    0
102102,19010629,    0,    0
102102,19010630,  152,    0
102102,19010701,  219,    0
102102,19010702,   26,    0
102102,19010703,    0,    0
102102,19010704,    0,    0
102102,19010705,    0,    0
102102,19010706,    0,    0
102102,19010707,    0,    0
102102,19010708,    0,    0
102102,19010709,    0,    0
102102,19010710,    0,    0
102102,19010711,    0,    0
102102,19010712,    0,    0
102102,19010713,    0,    0
102102,19010714,    0,    0
102102,19010715,    0,    0
102102,19010716,    0,    0
102102,19010717,    0,    0
102102,19010718,    0,    0
102102,19010719,    0,    0
102102,19010720,    0,    0
102102,19010721,    0,    0
102102,19010722,    0,    0
102102,19010723,    0,    0
102102,19010724,    0,    0
102102,19010725,   27,    0
102102,19010726,   85,    0
102102,19010727,   18,    0
102102,19010728,    0,    0
102102,19010729,    0,    0
102102,19010730,    0,    0
102102,19010731,    0,    0
102102,19010801,   21,    0
102102,19010802,    0,    0
102102,19010803,    0,    0
102102,19010804,    0,    0
102102,19010805,    0,    0
102102,19010806,   53,    0
102102,19010807,    0,    0
102102,19010808,    0,    0
102102,19010809,    0,    0
102102,19010810,    0,    0
102102,19010811,  100,    0
102102,19010812,    0,    0
102102,19010813,    0,    0
102102,19010814,    0,    0
102102,19010815,   92,    0
102102,19010816,    0,    0
102102,19010817,    0,    0
102102,19010818,    0,    0
102102,19010819,    0,    0
102102,19010820,    0,    0
102102,19010821,    0,    0
102102,19010822,    0,    0
102102,19010823,    0,    0
102102,19010824,    0,    0
102102,19010825,   16,    0
102102,19010826,   10,    0
102102,19010827,   88,    0
102102,19010828,    0,    0
102102,19010829,    0,    0
102102,19010830,    0,    0
102102,19010831,   45,    0
102102,19010901,    0,    0
102102,19010902,    0,    0
102102,19010903,    0,    0
102102,19010904,    0,    0
102102,19010905,    0,    0
102102,19010906,    0,    0
102102,19010907,    0,    0
102102,19010908,   68,    0
102102,19010909,   47,    0
102102,19010910,    0,    0
102102,19010911,   12,    0
102102,19010912,    0,    0
102102,19010913,   13,    0
102102,19010914,  325,    0
102102,19010915,  142,    0
102102,19010916,    0,    0
102102,19010917,   56,    0
102102,19010918,    0,    0
102102,19010919,    0,    0
102102,19010920,    0,    0
102102,19010921,    0,    0
102102,19010922,    0,    0
102102,19010923,    0,    0
102102,19010924,    0,    0
102102,19010925,    0,    0
102102,19010926,    0,    0
102102,19010927,    0,    0
102102,19010928,    0,    0
102102,19010929,    0,    0
102102,19010930,    0,    0
102102,19011001,    0,    0
102102,19011002,   19,    0
102102,19011003,    0,    0
102102,19011004,   52,    0
102102,19011005,   25,    0
102102,19011006,  206,    0
102102,19011007,   50,    0
102102,19011008,   96,    0
102102,19011009,   90,    0
102102,19011010,    0,    0
102102,19011011,    0,    0
102102,19011012,    0,    0
102102,19011013,    0,    0
102102,19011014,    0,    0
102102,19011015,    0,    0
102102,19011016,    0,    0
102102,19011017,    0,    0
102102,19011018,    0,    0
102102,19011019,   18,    0
102102,19011020,   28,    0
102102,19011021,    0,    0
102102,19011022,    0,    0
102102,19011023,    0,    0
102102,19011024,    0,    0
102102,19011025,   52,    0
102102,19011026,    0,    0
102102,19011027,    0,    0
102102,19011028,    0,    0
102102,19011029,    0,    0
102102,19011030,    0,    0
102102,19011031,    0,    0
102102,19011101,    0,    0
102102,19011102,    0,    0
102102,19011103,    0,    0
102102,19011104,    0,    0
102102,19011105,    0,    0
102102,19011106,    0,    0
102102,19011107,    0,    0
102102,19011108,    0,    0
102102,19011109,    0,    0
102102,19011110,    0,    0
102102,19011111,    7,    0
102102,19011112,   80,    0
102102,19011113,   51,    0
102102,19011114,   27,    0
102102,19011115,   27,    0
102102,19011116,    0,    0
102102,19011117,    0,    0
102102,19011118,   33,    0
