EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 102105 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
102105,19060101,   40,    0
102105,19060102,   24,    0
102105,19060103,    0,    0
102105,19060104,    1,    0
102105,19060105,    0,    0
102105,19060106,    0,    0
102105,19060107,   15,    0
102105,19060108,    0,    0
102105,19060109,   15,    0
102105,19060110,   15,    0
102105,19060111,   22,    0
102105,19060112,    0,    0
102105,19060113,    0,    0
102105,19060114,   64,    0
102105,19060115,   57,    0
102105,19060116,   59,    0
102105,19060117,   22,    0
102105,19060118,    0,    0
102105,19060119,    1,    0
102105,19060120,   24,    0
102105,19060121,    0,    0
102105,19060122,   33,    0
102105,19060123,   42,    0
102105,19060124,   47,    0
102105,19060125,    0,    0
102105,19060126,    0,    0
102105,19060127,    0,    0
102105,19060128,    0,    0
102105,19060129,    0,    0
102105,19060130,   39,    0
102105,19060131,   26,    0
102105,19060201,    0,    0
102105,19060202,    0,    0
102105,19060203,   15,    0
102105,19060204,   44,    0
102105,19060205,    8,    0
102105,19060206,    0,    0
102105,19060207,    0,    0
102105,19060208,    0,    0
102105,19060209,    8,    0
102105,19060210,    0,    0
102105,19060211,   16,    0
102105,19060212,   50,    0
102105,19060213,   27,    0
102105,19060214,    1,    0
102105,19060215,   79,    0
102105,19060216,   12,    0
102105,19060217,    0,    0
102105,19060218,    0,    0
102105,19060219,   15,    0
102105,19060220,    0,    0
102105,19060221,    4,    0
102105,19060222,   34,    0
102105,19060223,    0,    0
102105,19060224,    7,    0
102105,19060225,    0,    0
102105,19060226,    0,    0
102105,19060227,   13,    0
102105,19060228,    8,    0
102105,19060301,    0,    0
102105,19060302,    0,    0
102105,19060303,    5,    0
102105,19060304,   81,    0
102105,19060305,   82,    0
102105,19060306,   82,    0
102105,19060307,   81,    0
102105,19060308,   43,    0
102105,19060309,   49,    0
102105,19060310,   27,    0
102105,19060311,    0,    0
102105,19060312,   35,    0
102105,19060313,    4,    0
102105,19060314,   20,    0
102105,19060315,    0,    0
102105,19060316,    0,    0
102105,19060317,   69,    0
102105,19060318,   34,    0
102105,19060319,   32,    0
102105,19060320,   16,    0
102105,19060321,   35,    0
102105,19060322,   27,    0
102105,19060323,   31,    0
102105,19060324,    0,    0
102105,19060325,   17,    0
102105,19060326,   28,    0
102105,19060327,   15,    0
102105,19060328,   87,    0
102105,19060329,    9,    0
102105,19060330,    3,    0
102105,19060331,    0,    0
102105,19060401,    0,    0
102105,19060402,   89,    0
102105,19060403,   91,    0
102105,19060404,   90,    0
102105,19060405,   43,    0
102105,19060406,   88,    0
102105,19060407,   73,    0
102105,19060408,   85,    0
102105,19060409,   79,    0
102105,19060410,   88,    0
102105,19060411,   86,    0
102105,19060412,   82,    0
102105,19060413,   49,    0
102105,19060414,    5,    0
102105,19060415,   85,    0
102105,19060416,   91,    0
102105,19060417,   83,    0
102105,19060418,    1,    0
102105,19060419,   31,    0
102105,19060420,    0,    0
102105,19060421,   12,    0
102105,19060422,   19,    0
102105,19060423,   58,    0
102105,19060424,   74,    0
102105,19060425,   33,    0
102105,19060426,    0,    0
102105,19060427,    0,    0
102105,19060428,   27,    0
102105,19060429,   35,    0
102105,19060430,   69,    0
102105,19060501,   17,    0
102105,19060502,   80,    0
102105,19060503,   47,    0
102105,19060504,   54,    0
102105,19060505,   33,    0
102105,19060506,   97,    0
102105,19060507,  109,    0
102105,19060508,  101,    0
102105,19060509,  112,    0
102105,19060510,    0,    0
102105,19060511,   55,    0
102105,19060512,   71,    0
102105,19060513,   66,    0
102105,19060514,   53,    0
102105,19060515,    0,    0
102105,19060516,    3,    0
102105,19060517,    9,    0
102105,19060518,    0,    0
102105,19060519,    0,    0
102105,19060520,    0,    0
102105,19060521,   44,    0
102105,19060522,    4,    0
102105,19060523,   76,    0
102105,19060524,   13,    0
102105,19060525,   49,    0
102105,19060526,   19,    0
102105,19060527,    1,    0
102105,19060528,   85,    0
102105,19060529,   91,    0
102105,19060530,   63,    0
102105,19060531,   13,    0
102105,19060601,   39,    0
102105,19060602,   61,    0
102105,19060603,    3,    0
102105,19060604,   36,    0
102105,19060605,   66,    0
102105,19060606,   91,    0
102105,19060607,  113,    0
102105,19060608,   88,    0
102105,19060609,   47,    0
102105,19060610,    6,    0
102105,19060611,   28,    0
102105,19060612,   56,    0
102105,19060613,   63,    0
102105,19060614,    0,    0
102105,19060615,    0,    0
102105,19060616,   35,    0
102105,19060617,   37,    0
102105,19060618,   55,    0
102105,19060619,   35,    0
102105,19060620,   48,    0
102105,19060621,   63,    0
102105,19060622,   11,    0
102105,19060623,   73,    0
102105,19060624,   41,    0
102105,19060625,   37,    0
102105,19060626,  128,    0
102105,19060627,  129,    0
102105,19060628,   86,    0
102105,19060629,   65,    0
102105,19060630,   30,    0
102105,19060701,  125,    0
102105,19060702,   80,    0
102105,19060703,   72,    0
102105,19060704,   41,    0
102105,19060705,    5,    0
102105,19060706,   23,    0
102105,19060707,   38,    0
102105,19060708,   69,    0
102105,19060709,   46,    0
102105,19060710,   95,    0
102105,19060711,    0,    0
102105,19060712,   14,    0
102105,19060713,   35,    0
102105,19060714,   62,    0
102105,19060715,   86,    0
102105,19060716,   65,    0
102105,19060717,   16,    0
102105,19060718,  105,    0
102105,19060719,   97,    0
102105,19060720,    2,    0
102105,19060721,    6,    0
102105,19060722,    9,    0
102105,19060723,   68,    0
102105,19060724,    0,    0
102105,19060725,  104,    0
102105,19060726,  109,    0
102105,19060727,    2,    0
102105,19060728,  122,    0
102105,19060729,   78,    0
102105,19060730,  112,    0
102105,19060731,  108,    0
102105,19060801,   57,    0
102105,19060802,  131,    0
102105,19060803,    9,    0
102105,19060804,   59,    0
102105,19060805,   87,    0
102105,19060806,   73,    0
102105,19060807,   99,    0
102105,19060808,   68,    0
102105,19060809,   38,    0
102105,19060810,    7,    0
102105,19060811,   16,    0
102105,19060812,  105,    0
102105,19060813,   75,    0
102105,19060814,   11,    0
102105,19060815,   69,    0
102105,19060816,   46,    0
102105,19060817,   59,    0
102105,19060818,   22,    0
102105,19060819,   51,    0
102105,19060820,   89,    0
102105,19060821,    0,    0
102105,19060822,  116,    0
102105,19060823,   95,    0
102105,19060824,   15,    0
102105,19060825,    0,    0
102105,19060826,   72,    0
102105,19060827,   35,    0
102105,19060828,  103,    0
102105,19060829,  106,    0
102105,19060830,  114,    0
102105,19060831,  109,    0
102105,19060901,  111,    0
102105,19060902,  111,    0
102105,19060903,  107,    0
102105,19060904,  106,    0
102105,19060905,    0,    0
102105,19060906,    7,    0
102105,19060907,    0,    0
102105,19060908,   86,    0
102105,19060909,   10,    0
102105,19060910,   63,    0
102105,19060911,   77,    0
102105,19060912,   75,    0
102105,19060913,   82,    0
102105,19060914,    0,    0
102105,19060915,    0,    0
102105,19060916,    9,    0
102105,19060917,   24,    0
102105,19060918,   35,    0
102105,19060919,   22,    0
102105,19060920,    0,    0
102105,19060921,   37,    0
102105,19060922,   55,    0
102105,19060923,    6,    0
102105,19060924,   44,    0
102105,19060925,   61,    0
102105,19060926,   64,    0
102105,19060927,   45,    0
102105,19060928,   48,    0
102105,19060929,   44,    0
102105,19060930,   40,    0
102105,19061001,   72,    0
102105,19061002,    1,    0
102105,19061003,    3,    0
102105,19061004,   49,    0
102105,19061005,   27,    0
102105,19061006,    0,    0
102105,19061007,   72,    0
102105,19061008,   21,    0
102105,19061009,   67,    0
102105,19061010,   80,    0
102105,19061011,   80,    0
102105,19061012,   15,    0
102105,19061013,   18,    0
102105,19061014,   46,    0
102105,19061015,   32,    0
102105,19061016,   11,    0
102105,19061017,   58,    0
102105,19061018,   38,    0
102105,19061019,    8,    0
102105,19061020,   31,    0
102105,19061021,   31,    0
102105,19061022,   19,    0
102105,19061023,    3,    0
102105,19061024,    0,    0
102105,19061025,    0,    0
102105,19061026,    0,    0
102105,19061027,    2,    0
102105,19061028,    0,    0
102105,19061029,   36,    0
102105,19061030,   27,    0
102105,19061031,    2,    0
102105,19061101,    0,    0
102105,19061102,    0,    0
102105,19061103,   54,    0
102105,19061104,   34,    0
102105,19061105,   62,    0
102105,19061106,    0,    0
102105,19061107,    0,    0
102105,19061108,    0,    0
102105,19061109,    6,    0
102105,19061110,   10,    0
102105,19061111,   62,    0
102105,19061112,    0,    0
102105,19061113,    0,    0
102105,19061114,    0,    0
102105,19061115,   37,    0
102105,19061116,    0,    0
102105,19061117,    0,    0
102105,19061118,   26,    0
102105,19061119,   21,    0
102105,19061120,   19,    0
102105,19061121,    0,    0
102105,19061122,    0,    0
