EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NETHERLANDS, MAASTRICHT (STAID: 168).
Blended and updated with sources: 100544 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100544,19060101,  -59,    0
100544,19060102,  -55,    0
100544,19060103,  -44,    0
100544,19060104,   55,    0
100544,19060105,   71,    0
100544,19060106,   54,    0
100544,19060107,   44,    0
100544,19060108,   23,    0
100544,19060109,   23,    0
100544,19060110,   27,    0
100544,19060111,   14,    0
100544,19060112,   18,    0
100544,19060113,   49,    0
100544,19060114,   25,    0
100544,19060115,   14,    0
100544,19060116,   51,    0
100544,19060117,   25,    0
100544,19060118,   28,    0
100544,19060119,   18,    0
100544,19060120,   11,    0
100544,19060121,   -1,    0
100544,19060122,  -35,    0
100544,19060123,  -57,    0
100544,19060124,  -67,    0
100544,19060125,  -74,    0
100544,19060126,   -5,    0
100544,19060127,   31,    0
100544,19060128,   27,    0
100544,19060129,   22,    0
100544,19060130,   23,    0
100544,19060131,   -6,    0
100544,19060201,   -6,    0
100544,19060202,   23,    0
100544,19060203,   -7,    0
100544,19060204,  -13,    0
100544,19060205,  -23,    0
100544,19060206,  -34,    0
100544,19060207,  -24,    0
100544,19060208,   -9,    0
100544,19060209,  -40,    0
100544,19060210,  -55,    0
100544,19060211,   17,    0
100544,19060212,   -9,    0
100544,19060213,  -29,    0
100544,19060214,  -17,    0
100544,19060215,  -14,    0
100544,19060216,   -2,    0
100544,19060217,   33,    0
100544,19060218,   62,    0
100544,19060219,   50,    0
100544,19060220,   13,    0
100544,19060221,    1,    0
100544,19060222,   -2,    0
100544,19060223,  -11,    0
100544,19060224,  -10,    0
100544,19060225,  -11,    0
100544,19060226,   13,    0
100544,19060227,   40,    0
100544,19060228,    6,    0
100544,19060301,    8,    0
100544,19060302,   -4,    0
100544,19060303,   -5,    0
100544,19060304,    5,    0
100544,19060305,   12,    0
100544,19060306,   55,    0
100544,19060307,   77,    0
100544,19060308,   75,    0
100544,19060309,   27,    0
100544,19060310,    8,    0
100544,19060311,   34,    0
100544,19060312,  -17,    0
100544,19060313,  -39,    0
100544,19060314,  -33,    0
100544,19060315,  -40,    0
100544,19060316,   86,    0
100544,19060317,   77,    0
100544,19060318,   36,    0
100544,19060319,    8,    0
100544,19060320,   -3,    0
100544,19060321,  -25,    0
100544,19060322,  -36,    0
100544,19060323,  -41,    0
100544,19060324,  -31,    0
100544,19060325,  -46,    0
100544,19060326,  -23,    0
100544,19060327,  -23,    0
100544,19060328,  -36,    0
100544,19060329,  -15,    0
100544,19060330,  -15,    0
100544,19060331,   24,    0
100544,19060401,   34,    0
100544,19060402,    3,    0
100544,19060403,    1,    0
100544,19060404,    9,    0
100544,19060405,   13,    0
100544,19060406,    2,    0
100544,19060407,   15,    0
100544,19060408,    9,    0
100544,19060409,   25,    0
100544,19060410,   34,    0
100544,19060411,   53,    0
100544,19060412,   89,    0
100544,19060413,  106,    0
100544,19060414,   54,    0
100544,19060415,   30,    0
100544,19060416,    9,    0
100544,19060417,   25,    0
100544,19060418,   48,    0
100544,19060419,   43,    0
100544,19060420,   31,    0
100544,19060421,   61,    0
100544,19060422,   42,    0
100544,19060423,   19,    0
100544,19060424,    9,    0
