EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 DD   : daily Wind direction in degrees
23-27 Q_DD : quality code for DD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO (STAID: 5175).
Blended and updated with sources: 158055 158429 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   DD, Q_DD
158429,19470101,  140,    0
158429,19470102,  140,    0
158429,19470103,  140,    0
158429,19470104,  140,    0
158429,19470105,  110,    0
158429,19470106,   90,    0
158429,19470107,   90,    0
158429,19470108,   70,    0
158429,19470109,  110,    0
158429,19470110,   50,    0
158429,19470111,   70,    0
158429,19470112,  110,    0
158429,19470113,  140,    0
158429,19470114,  250,    0
158429,19470115,  200,    0
158429,19470116,  230,    0
158429,19470117,  250,    0
158429,19470118,  270,    0
158429,19470119,  360,    0
158429,19470120,  360,    0
158429,19470121,  360,    0
158429,19470122,   20,    0
158429,19470123,   50,    0
158429,19470124,  340,    0
158429,19470125,   50,    0
158429,19470126,   50,    0
158429,19470127,   50,    0
158429,19470128,   70,    0
158429,19470129,  110,    0
158429,19470130,    0,    0
158429,19470131,  110,    0
158429,19470201,  110,    0
158429,19470202,  110,    0
158429,19470203,   90,    0
158429,19470204,   90,    0
158429,19470205,   50,    0
158429,19470206,   70,    0
158429,19470207,  110,    0
158429,19470208,   90,    0
158429,19470209,   90,    0
158429,19470210,   90,    0
158429,19470211,   90,    0
158429,19470212,   90,    0
158429,19470213,   70,    0
158429,19470214,   90,    0
158429,19470215,   90,    0
158429,19470216,  110,    0
158429,19470217,   70,    0
158429,19470218,   90,    0
158429,19470219,   90,    0
158429,19470220,   90,    0
158429,19470221,   70,    0
158429,19470222,   70,    0
158429,19470223,   20,    0
158429,19470224,  200,    0
158429,19470225,  200,    0
158429,19470226,  340,    0
158429,19470227,   90,    0
158429,19470228,   90,    0
158429,19470301,  160,    0
158429,19470302,  320,    0
158429,19470303,  200,    0
158429,19470304,  250,    0
158429,19470305,   90,    0
158429,19470306,   90,    0
158429,19470307,   90,    0
158429,19470308,  290,    0
158429,19470309,  320,    0
158429,19470310,   90,    0
158429,19470311,  110,    0
158429,19470312,  320,    0
158429,19470313,  140,    0
158429,19470314,   70,    0
158429,19470315,  290,    0
158429,19470316,  140,    0
158429,19470317,  290,    0
158429,19470318,  140,    0
158429,19470319,   90,    0
158429,19470320,   70,    0
158429,19470321,  230,    0
158429,19470322,  200,    0
158429,19470323,  160,    0
158429,19470324,  110,    0
158429,19470325,  230,    0
158429,19470326,  200,    0
158429,19470327,   90,    0
158429,19470328,  250,    0
158429,19470329,   90,    0
158429,19470330,  180,    0
158429,19470331,  200,    0
158429,19470401,  160,    0
158429,19470402,  270,    0
158429,19470403,  270,    0
158429,19470404,   90,    0
158429,19470405,  320,    0
158429,19470406,  250,    0
158429,19470407,  270,    0
158429,19470408,  340,    0
158429,19470409,  360,    0
158429,19470410,  320,    0
158429,19470411,  340,    0
158429,19470412,  230,    0
158429,19470413,  340,    0
158429,19470414,  180,    0
158429,19470415,  270,    0
158429,19470416,  250,    0
158429,19470417,  270,    0
158429,19470418,  270,    0
158429,19470419,  160,    0
158429,19470420,  230,    0
158429,19470421,  230,    0
158429,19470422,  180,    0
158429,19470423,  250,    0
158429,19470424,  230,    0
158429,19470425,  270,    0
158429,19470426,  290,    0
158429,19470427,  250,    0
158429,19470428,  270,    0
158429,19470429,  290,    0
158429,19470430,  110,    0
158429,19470501,   90,    1
158429,19470502,   90,    1
158429,19470503,   90,    1
158429,19470504,   90,    1
158429,19470505,   90,    1
158429,19470506,   90,    1
158429,19470507,  290,    0
158429,19470508,   70,    0
158429,19470509,   90,    0
158429,19470510,   90,    0
158429,19470511,   90,    0
158429,19470512,   90,    0
158429,19470513,  140,    0
158429,19470514,  160,    0
158429,19470515,  140,    0
158429,19470516,  110,    0
158429,19470517,  230,    0
158429,19470518,  110,    0
158429,19470519,   90,    0
158429,19470520,  290,    0
158429,19470521,   70,    0
158429,19470522,   90,    0
158429,19470523,  110,    0
158429,19470524,   90,    0
158429,19470525,  340,    0
158429,19470526,  180,    0
158429,19470527,  140,    0
158429,19470528,  290,    0
158429,19470529,  180,    0
158429,19470530,  230,    0
158429,19470531,  180,    0
158429,19470601,   90,    0
158429,19470602,  250,    0
158429,19470603,  340,    0
158429,19470604,  360,    0
158429,19470605,  140,    0
158429,19470606,  200,    0
158429,19470607,  230,    0
158429,19470608,  290,    0
158429,19470609,  230,    0
158429,19470610,  290,    0
158429,19470611,  320,    0
158429,19470612,  290,    0
158429,19470613,  270,    0
158429,19470614,  320,    0
158429,19470615,  140,    0
158429,19470616,  290,    0
158429,19470617,  320,    0
158429,19470618,  340,    0
158429,19470619,  140,    0
158429,19470620,  140,    0
158429,19470621,  110,    0
158429,19470622,  360,    0
158429,19470623,  290,    0
158429,19470624,  320,    0
158429,19470625,  200,    0
158429,19470626,  200,    0
158429,19470627,  320,    0
158429,19470628,  110,    0
158429,19470629,  140,    0
158429,19470630,  160,    0
158429,19470701,  320,    0
158429,19470702,  270,    0
158429,19470703,  230,    0
158429,19470704,  200,    0
158429,19470705,  160,    0
158429,19470706,  270,    0
158429,19470707,  200,    0
158429,19470708,  180,    0
158429,19470709,  140,    0
158429,19470710,  270,    0
158429,19470711,  200,    0
158429,19470712,  270,    0
158429,19470713,  320,    0
158429,19470714,  340,    0
158429,19470715,  250,    0
158429,19470716,  270,    0
158429,19470717,   70,    0
158429,19470718,   70,    0
158429,19470719,  360,    0
158429,19470720,  320,    0
158429,19470721,   90,    0
158429,19470722,  320,    0
158429,19470723,  320,    0
158429,19470724,  140,    0
158429,19470725,  270,    0
158429,19470726,  200,    0
158429,19470727,  320,    0
158429,19470728,  340,    0
158429,19470729,  140,    0
