EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO (STAID: 5175).
Blended and updated with sources: 158054 158428 902635 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
158428,19550101,   60,    0
158428,19550102,   70,    0
158428,19550103,-9999,    9
158428,19550104,-9999,    9
158428,19550105,-9999,    9
158428,19550106,   20,    0
158428,19550107,   12,    0
158428,19550108,-9999,    9
158428,19550109,   19,    0
158428,19550110,   72,    0
158428,19550111,   49,    0
158428,19550112,   40,    0
158428,19550113,   65,    0
158428,19550114,-9999,    9
158428,19550115,   44,    0
158428,19550116,-9999,    9
158428,19550117,-9999,    9
158428,19550118,   47,    0
158428,19550119,   31,    0
158428,19550120,   28,    0
158428,19550121,-9999,    9
158428,19550122,   68,    0
158428,19550123,-9999,    9
158428,19550124,-9999,    9
158428,19550125,-9999,    9
158428,19550126,-9999,    9
158428,19550127,-9999,    9
158428,19550128,   23,    0
158428,19550129,   24,    0
158428,19550130,   28,    0
158428,19550131,   21,    0
158428,19550201,-9999,    9
158428,19550202,   18,    0
158428,19550203,-9999,    9
158428,19550204,-9999,    9
158428,19550205,-9999,    9
158428,19550206,   43,    0
158428,19550207,   43,    0
158428,19550208,-9999,    9
158428,19550209,   43,    0
158428,19550210,   56,    0
158428,19550211,-9999,    9
158428,19550212,-9999,    9
158428,19550213,   20,    0
158428,19550214,   30,    0
158428,19550215,   34,    0
158428,19550216,   65,    0
158428,19550217,   25,    0
158428,19550218,   11,    0
158428,19550219,   27,    0
158428,19550220,   59,    0
158428,19550221,-9999,    9
158428,19550222,-9999,    9
158428,19550223,    2,    0
158428,19550224,-9999,    9
158428,19550225,-9999,    9
158428,19550226,   14,    0
158428,19550227,   22,    0
158428,19550228,    0,    0
158428,19550301,-9999,    9
158428,19550302,   10,    0
158428,19550303,   14,    0
158428,19550304,   32,    0
158428,19550305,   46,    0
158428,19550306,-9999,    9
158428,19550307,   40,    0
158428,19550308,   29,    0
158428,19550309,-9999,    9
158428,19550310,    7,    0
158428,19550311,-9999,    9
158428,19550312,-9999,    9
158428,19550313,   28,    0
158428,19550314,-9999,    9
158428,19550315,   45,    0
158428,19550316,   64,    0
158428,19550317,-9999,    9
158428,19550318,   49,    0
158428,19550319,   40,    0
158428,19550320,   18,    0
158428,19550321,-9999,    9
158428,19550322,   42,    0
158428,19550323,   68,    0
158428,19550324,-9999,    9
158428,19550325,   32,    0
158428,19550326,-9999,    9
158428,19550327,-9999,    9
158428,19550328,   37,    0
158428,19550329,-9999,    9
158428,19550330,-9999,    9
158428,19550331,   40,    0
158428,19550401,   23,    0
158428,19550402,-9999,    9
158428,19550403,   24,    0
158428,19550404,   22,    0
158428,19550405,-9999,    9
158428,19550406,   36,    0
158428,19550407,   43,    0
158428,19550408,   42,    0
