EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

 01- 05 STAID  : Station identifier
 07- 12 SOUID  : Source identifier
 14- 53 SOUNAME: Source name
 55- 56 CN     : Country code (ISO3116 country codes)
 58- 66 LAT    : Latitude in degrees:minutes:seconds (+: North, -: South)
 68- 77 LON    : Longitude in degrees:minutes:seconds (+: East, -: West)
 79- 82 HGTH   : Station elevation in meters
 84- 87 ELEI   : Element identifier (see website at Daily Data > Data dictionary > Elements)
 89- 96 BEGIN  : Begin date YYYYMMDD
 98-105 END    : End date YYYYMMDD
107-111 PARID  : Participant identifier
113-163 PARNAME: Participant name

STAID, SOUID,SOUNAME                                 ,CN,      LAT,       LON,HGHT,ELEI,   BEGIN,     END,PARID,PARNAME

 5175,141343,MALMO                                   ,SE,+55:36:36,+013:04:48,  20,CC13,19550101,19891220,   56,Marcus Flarup                                     
 5175,141344,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3,CC13,19610101,19640430,   56,Marcus Flarup                                     
 5177,141343,MALMO                                   ,SE,+55:36:36,+013:04:48,  20,CC13,19550101,19891220,   56,Marcus Flarup                                     
 5177,141344,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3,CC13,19610101,19640430,   56,Marcus Flarup                                     
 3509,135163,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TX2,19900101,20210331,   56,Marcus Flarup                                     
 3509,135166,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TX2,19260601,19891231,   56,Marcus Flarup                                     
 3509,135172,MALMO_2                                 ,SE,+55:36:00,+012:58:48,   3, TX2,19170322,19640430,   56,Marcus Flarup                                     
 5175,135163,MALMO A                                 ,SE,+55:34:17,+013:04:24,  20, TX2,19900101,20210331,   56,Marcus Flarup                                     
 5175,135166,MALMO                                   ,SE,+55:36:36,+013:04:48,  20, TX2,19260601,19891231,   56,Marcus Flarup                                     
