EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO A (STAID: 3509).
Blended and updated with sources: 158053 902635 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
158053,19900101,   88,    0
158053,19900102,   75,    0
158053,19900103,   76,    0
158053,19900104,   72,    0
158053,19900105,   82,    0
158053,19900106,   86,    0
158053,19900107,   91,    0
158053,19900108,   94,    0
158053,19900109,   93,    0
158053,19900110,   94,    0
158053,19900111,   94,    0
158053,19900112,   90,    0
158053,19900113,   91,    0
158053,19900114,   91,    0
158053,19900115,   91,    0
158053,19900116,   84,    0
158053,19900117,   81,    0
158053,19900118,   78,    0
158053,19900119,   88,    0
158053,19900120,-9999,    9
158053,19900121,-9999,    9
158053,19900122,-9999,    9
158053,19900123,   90,    0
158053,19900124,   85,    0
158053,19900125,   86,    0
158053,19900126,-9999,    9
158053,19900127,-9999,    9
158053,19900128,-9999,    9
158053,19900129,-9999,    9
158053,19900130,-9999,    9
158053,19900131,-9999,    9
158053,19900201,-9999,    9
158053,19900202,-9999,    9
158053,19900203,   83,    0
158053,19900204,   83,    0
158053,19900205,-9999,    9
158053,19900206,-9999,    9
158053,19900207,   77,    0
158053,19900208,   81,    0
158053,19900209,-9999,    9
158053,19900210,   83,    0
158053,19900211,   84,    0
158053,19900212,   81,    0
158053,19900213,   84,    0
158053,19900214,   81,    0
158053,19900215,-9999,    9
158053,19900216,   89,    0
158053,19900217,   81,    0
158053,19900218,   88,    0
158053,19900219,   91,    0
158053,19900220,   87,    0
158053,19900221,   80,    0
158053,19900222,   80,    0
158053,19900223,-9999,    9
158053,19900224,   84,    0
158053,19900225,   75,    0
158053,19900226,   83,    0
158053,19900227,   78,    0
158053,19900228,-9999,    9
158053,19900301,-9999,    9
158053,19900302,-9999,    9
158053,19900303,   68,    0
158053,19900304,   81,    0
158053,19900305,   82,    0
158053,19900306,   82,    0
158053,19900307,   86,    0
158053,19900308,   89,    0
158053,19900309,   75,    0
158053,19900310,   76,    0
158053,19900311,   87,    0
158053,19900312,   70,    0
158053,19900313,   69,    0
158053,19900314,   83,    0
158053,19900315,   86,    0
158053,19900316,   76,    0
158053,19900317,   74,    0
158053,19900318,   69,    0
158053,19900319,   78,    0
158053,19900320,   80,    0
158053,19900321,   87,    0
158053,19900322,   78,    0
158053,19900323,-9999,    9
158053,19900324,   86,    0
158053,19900325,   78,    0
158053,19900326,-9999,    9
158053,19900327,   70,    0
158053,19900328,   71,    0
158053,19900329,-9999,    9
158053,19900330,   81,    0
158053,19900331,   83,    0
158053,19900401,   81,    0
158053,19900402,   71,    0
158053,19900403,-9999,    9
158053,19900404,   68,    0
158053,19900405,   64,    0
158053,19900406,   63,    0
158053,19900407,   65,    0
158053,19900408,   59,    0
158053,19900409,   52,    0
158053,19900410,   60,    0
158053,19900411,-9999,    9
158053,19900412,   82,    0
158053,19900413,   82,    0
158053,19900414,   76,    0
158053,19900415,   82,    0
158053,19900416,   79,    0
158053,19900417,-9999,    9
158053,19900418,-9999,    9
158053,19900419,   77,    0
158053,19900420,   70,    0
158053,19900421,   62,    0
158053,19900422,   56,    0
158053,19900423,   45,    0
158053,19900424,   48,    0
158053,19900425,-9999,    9
158053,19900426,   64,    0
158053,19900427,   76,    0
158053,19900428,   63,    0
158053,19900429,   82,    0
158053,19900430,   80,    0
158053,19900501,   75,    0
158053,19900502,-9999,    9
158053,19900503,   71,    0
158053,19900504,-9999,    9
158053,19900505,   64,    0
158053,19900506,   61,    0
158053,19900507,-9999,    9
158053,19900508,   51,    0
158053,19900509,-9999,    9
158053,19900510,   73,    0
158053,19900511,   75,    0
158053,19900512,   81,    0
158053,19900513,-9999,    9
158053,19900514,   85,    0
158053,19900515,   80,    0
158053,19900516,   86,    0
158053,19900517,-9999,    9
158053,19900518,-9999,    9
158053,19900519,-9999,    9
158053,19900520,   64,    0
158053,19900521,   62,    0
158053,19900522,   69,    0
158053,19900523,   66,    0
158053,19900524,-9999,    9
158053,19900525,   68,    0
158053,19900526,   59,    0
158053,19900527,   71,    0
158053,19900528,-9999,    9
158053,19900529,   71,    0
158053,19900530,   71,    0
158053,19900531,   78,    0
158053,19900601,   77,    0
158053,19900602,   81,    0
158053,19900603,-9999,    9
158053,19900604,   86,    0
158053,19900605,   84,    0
158053,19900606,-9999,    9
158053,19900607,   71,    0
158053,19900608,-9999,    9
158053,19900609,-9999,    9
158053,19900610,-9999,    9
158053,19900611,   60,    0
158053,19900612,-9999,    9
158053,19900613,-9999,    9
158053,19900614,   73,    0
158053,19900615,   82,    0
158053,19900616,-9999,    9
158053,19900617,-9999,    9
158053,19900618,-9999,    9
158053,19900619,   74,    0
158053,19900620,-9999,    9
158053,19900621,-9999,    9
158053,19900622,-9999,    9
158053,19900623,-9999,    9
158053,19900624,   76,    0
158053,19900625,-9999,    9
158053,19900626,-9999,    9
158053,19900627,-9999,    9
158053,19900628,-9999,    9
158053,19900629,-9999,    9
158053,19900630,-9999,    9
158053,19900701,   81,    0
158053,19900702,-9999,    9
158053,19900703,-9999,    9
158053,19900704,-9999,    9
158053,19900705,   82,    0
158053,19900706,   85,    0
158053,19900707,-9999,    9
158053,19900708,   88,    0
158053,19900709,-9999,    9
158053,19900710,-9999,    9
158053,19900711,   79,    0
158053,19900712,-9999,    9
158053,19900713,   67,    0
158053,19900714,   69,    0
158053,19900715,   73,    0
158053,19900716,   74,    0
158053,19900717,-9999,    9
158053,19900718,   84,    0
158053,19900719,   74,    0
158053,19900720,   77,    0
158053,19900721,-9999,    9
158053,19900722,   74,    0
158053,19900723,   80,    0
158053,19900724,   84,    0
158053,19900725,   81,    0
158053,19900726,   81,    0
158053,19900727,   73,    0
158053,19900728,   69,    0
158053,19900729,   81,    0
158053,19900730,   71,    0
158053,19900731,-9999,    9
158053,19900801,-9999,    9
158053,19900802,-9999,    9
158053,19900803,   62,    0
158053,19900804,   54,    0
158053,19900805,   74,    0
158053,19900806,-9999,    9
158053,19900807,-9999,    9
158053,19900808,-9999,    9
158053,19900809,   69,    0
158053,19900810,   88,    0
158053,19900811,   84,    0
158053,19900812,   80,    0
158053,19900813,-9999,    9
158053,19900814,   78,    0
158053,19900815,   76,    0
158053,19900816,   86,    0
158053,19900817,   70,    0
158053,19900818,   77,    0
158053,19900819,   74,    0
158053,19900820,   86,    0
158053,19900821,   85,    0
158053,19900822,   79,    0
158053,19900823,   71,    0
158053,19900824,   74,    0
158053,19900825,   79,    0
158053,19900826,   73,    0
158053,19900827,   72,    0
158053,19900828,   61,    0
158053,19900829,   60,    0
158053,19900830,   66,    0
158053,19900831,   89,    0
158053,19900901,   78,    0
158053,19900902,   80,    0
158053,19900903,   79,    0
158053,19900904,   69,    0
158053,19900905,-9999,    9
158053,19900906,-9999,    9
158053,19900907,   79,    0
158053,19900908,   81,    0
158053,19900909,   83,    0
158053,19900910,   79,    0
158053,19900911,   74,    0
158053,19900912,   80,    0
158053,19900913,   81,    0
158053,19900914,   78,    0
158053,19900915,   60,    0
158053,19900916,   69,    0
158053,19900917,   74,    0
158053,19900918,-9999,    9
158053,19900919,   89,    0
158053,19900920,   73,    0
158053,19900921,-9999,    9
158053,19900922,-9999,    9
158053,19900923,   83,    0
158053,19900924,   90,    0
158053,19900925,-9999,    9
158053,19900926,   76,    0
158053,19900927,   74,    0
158053,19900928,   89,    0
158053,19900929,   89,    0
158053,19900930,   87,    0
158053,19901001,   82,    0
158053,19901002,   88,    0
158053,19901003,   86,    0
158053,19901004,   88,    0
158053,19901005,   89,    0
158053,19901006,   94,    0
158053,19901007,   80,    0
158053,19901008,   74,    0
158053,19901009,   83,    0
158053,19901010,   80,    0
158053,19901011,-9999,    9
158053,19901012,-9999,    9
158053,19901013,   86,    0
158053,19901014,   89,    0
158053,19901015,   89,    0
158053,19901016,   86,    0
158053,19901017,-9999,    9
158053,19901018,-9999,    9
158053,19901019,   86,    0
158053,19901020,   79,    0
158053,19901021,   67,    0
158053,19901022,   78,    0
158053,19901023,   85,    0
158053,19901024,   82,    0
158053,19901025,-9999,    9
158053,19901026,   85,    0
158053,19901027,   88,    0
158053,19901028,   86,    0
158053,19901029,-9999,    9
158053,19901030,   82,    0
158053,19901031,   87,    0
158053,19901101,   89,    0
158053,19901102,   85,    0
158053,19901103,-9999,    9
158053,19901104,   86,    0
158053,19901105,-9999,    9
158053,19901106,   85,    0
158053,19901107,   88,    0
158053,19901108,   87,    0
158053,19901109,   96,    0
158053,19901110,   89,    0
158053,19901111,   83,    0
158053,19901112,   85,    0
158053,19901113,   90,    0
158053,19901114,   98,    0
158053,19901115,   99,    0
158053,19901116,   93,    0
158053,19901117,   79,    0
158053,19901118,   86,    0
158053,19901119,   86,    0
158053,19901120,   87,    0
158053,19901121,   81,    0
158053,19901122,   90,    0
158053,19901123,   91,    0
158053,19901124,   81,    0
158053,19901125,-9999,    9
158053,19901126,   89,    0
158053,19901127,   88,    0
158053,19901128,   89,    0
158053,19901129,   84,    0
158053,19901130,   57,    0
158053,19901201,   82,    0
158053,19901202,   96,    0
158053,19901203,   91,    0
158053,19901204,   80,    0
158053,19901205,   65,    0
158053,19901206,   87,    0
