EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 23-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SWEDEN, MALMO A (STAID: 3509).
Blended and updated with sources: 135164 135167 135173 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
135173,19170301,-9999,    9
135173,19170302,-9999,    9
135173,19170303,-9999,    9
135173,19170304,-9999,    9
135173,19170305,-9999,    9
135173,19170306,-9999,    9
135173,19170307,-9999,    9
135173,19170308,-9999,    9
135173,19170309,-9999,    9
135173,19170310,-9999,    9
135173,19170311,-9999,    9
135173,19170312,-9999,    9
135173,19170313,-9999,    9
135173,19170314,-9999,    9
135173,19170315,-9999,    9
135173,19170316,-9999,    9
135173,19170317,-9999,    9
135173,19170318,-9999,    9
135173,19170319,-9999,    9
135173,19170320,-9999,    9
135173,19170321,-9999,    9
135173,19170322, -100,    0
135173,19170323, -120,    0
135173,19170324,  -50,    0
135173,19170325,  -25,    0
135173,19170326,    6,    0
135173,19170327,  -10,    0
135173,19170328,    0,    0
135173,19170329,   10,    0
135173,19170330,   10,    0
135173,19170331,   20,    0
135173,19170401,-9999,    9
135173,19170402,-9999,    9
135173,19170403,-9999,    9
135173,19170404,-9999,    9
135173,19170405,-9999,    9
135173,19170406,-9999,    9
135173,19170407,-9999,    9
135173,19170408,-9999,    9
135173,19170409,-9999,    9
135173,19170410,-9999,    9
135173,19170411,-9999,    9
135173,19170412,-9999,    9
135173,19170413,-9999,    9
135173,19170414,-9999,    9
135173,19170415,-9999,    9
135173,19170416,-9999,    9
135173,19170417,-9999,    9
135173,19170418,-9999,    9
135173,19170419,-9999,    9
135173,19170420,-9999,    9
135173,19170421,-9999,    9
135173,19170422,-9999,    9
135173,19170423,-9999,    9
135173,19170424,-9999,    9
135173,19170425,-9999,    9
135173,19170426,-9999,    9
135173,19170427,-9999,    9
135173,19170428,-9999,    9
135173,19170429,-9999,    9
135173,19170430,-9999,    9
135173,19170501,-9999,    9
135173,19170502,-9999,    9
135173,19170503,-9999,    9
135173,19170504,-9999,    9
135173,19170505,-9999,    9
135173,19170506,-9999,    9
135173,19170507,-9999,    9
135173,19170508,-9999,    9
135173,19170509,-9999,    9
135173,19170510,-9999,    9
135173,19170511,-9999,    9
135173,19170512,-9999,    9
135173,19170513,-9999,    9
135173,19170514,-9999,    9
135173,19170515,-9999,    9
135173,19170516,-9999,    9
135173,19170517,-9999,    9
135173,19170518,-9999,    9
135173,19170519,-9999,    9
135173,19170520,-9999,    9
135173,19170521,-9999,    9
135173,19170522,-9999,    9
135173,19170523,-9999,    9
135173,19170524,-9999,    9
135173,19170525,-9999,    9
135173,19170526,-9999,    9
135173,19170527,-9999,    9
135173,19170528,-9999,    9
135173,19170529,-9999,    9
135173,19170530,-9999,    9
135173,19170531,-9999,    9
135173,19170601,   90,    0
135173,19170602,   80,    0
135173,19170603,   90,    0
135173,19170604,  100,    0
135173,19170605,  120,    0
135173,19170606,  110,    0
135173,19170607,  110,    0
135173,19170608,   90,    0
135173,19170609,   85,    0
135173,19170610,   70,    0
135173,19170611,  100,    0
135173,19170612,   90,    0
135173,19170613,  100,    0
135173,19170614,  100,    0
135173,19170615,  100,    0
135173,19170616,  130,    0
135173,19170617,  130,    0
135173,19170618,  160,    0
135173,19170619,  180,    0
135173,19170620,  170,    0
135173,19170621,  160,    0
135173,19170622,  140,    0
135173,19170623,  130,    0
135173,19170624,  130,    0
135173,19170625,  150,    0
135173,19170626,  140,    0
135173,19170627,  140,    0
135173,19170628,  110,    0
135173,19170629,  140,    0
135173,19170630,  170,    0
135173,19170701,  130,    0
135173,19170702,   90,    0
135173,19170703,  100,    0
135173,19170704,  150,    0
135173,19170705,  120,    0
135173,19170706,  100,    0
135173,19170707,  100,    0
135173,19170708,   70,    0
135173,19170709,   90,    0
135173,19170710,   90,    0
135173,19170711,  100,    0
135173,19170712,  140,    0
135173,19170713,  130,    0
135173,19170714,  110,    0
135173,19170715,  100,    0
135173,19170716,  140,    0
135173,19170717,  140,    0
135173,19170718,  130,    0
135173,19170719,  160,    0
135173,19170720,  150,    0
135173,19170721,  140,    0
135173,19170722,  160,    0
135173,19170723,  130,    0
135173,19170724,  100,    0
135173,19170725,  110,    0
135173,19170726,  150,    0
135173,19170727,  160,    0
135173,19170728,  150,    0
135173,19170729,  150,    0
135173,19170730,  180,    0
135173,19170731,  180,    0
135173,19170801,  180,    0
135173,19170802,  140,    0
135173,19170803,  110,    0
135173,19170804,  170,    0
135173,19170805,  140,    0
135173,19170806,  130,    0
135173,19170807,  100,    0
135173,19170808,  110,    0
135173,19170809,  135,    0
135173,19170810,  163,    0
135173,19170811,  145,    0
135173,19170812,  150,    0
135173,19170813,  167,    0
135173,19170814,  150,    0
135173,19170815,  154,    0
135173,19170816,  152,    0
135173,19170817,  165,    0
135173,19170818,  130,    0
135173,19170819,  165,    0
135173,19170820,  120,    0
135173,19170821,  105,    0
135173,19170822,  110,    0
135173,19170823,   98,    0
135173,19170824,  115,    0
135173,19170825,  142,    0
135173,19170826,  136,    0
135173,19170827,  113,    0
135173,19170828,   90,    0
135173,19170829,  125,    0
135173,19170830,  135,    0
135173,19170831,  135,    0
135173,19170901,  126,    0
135173,19170902,  125,    0
135173,19170903,  120,    0
135173,19170904,  125,    0
135173,19170905,  120,    0
135173,19170906,   85,    0
135173,19170907,  110,    0
135173,19170908,  115,    0
135173,19170909,  135,    0
135173,19170910,  117,    0
135173,19170911,  115,    0
135173,19170912,   80,    0
135173,19170913,   95,    0
135173,19170914,  102,    0
135173,19170915,  105,    0
135173,19170916,  112,    0
135173,19170917,  110,    0
135173,19170918,  125,    0
135173,19170919,  125,    0
135173,19170920,  115,    0
135173,19170921,   95,    0
135173,19170922,  106,    0
135173,19170923,  110,    0
135173,19170924,  105,    0
135173,19170925,   80,    0
135173,19170926,  115,    0
135173,19170927,  126,    0
135173,19170928,  115,    0
135173,19170929,  105,    0
135173,19170930,   80,    0
135173,19171001,  115,    0
135173,19171002,  105,    0
135173,19171003,  116,    0
135173,19171004,   96,    0
135173,19171005,   85,    0
135173,19171006,   56,    0
135173,19171007,   60,    0
135173,19171008,   42,    0
135173,19171009,   52,    0
135173,19171010,   42,    0
135173,19171011,   40,    0
135173,19171012,   55,    0
135173,19171013,   52,    0
135173,19171014,   70,    0
135173,19171015,   60,    0
135173,19171016,   45,    0
135173,19171017,   60,    0
135173,19171018,   50,    0
135173,19171019,   54,    0
135173,19171020,   48,    0
135173,19171021,   68,    0
135173,19171022,   76,    0
135173,19171023,   80,    0
135173,19171024,   60,    0
135173,19171025,   40,    0
135173,19171026,   35,    0
135173,19171027,   30,    0
135173,19171028,    4,    0
135173,19171029,   -5,    0
135173,19171030,   40,    0
135173,19171031,   42,    0
135173,19171101,   15,    0
135173,19171102,   50,    0
135173,19171103,   48,    0
135173,19171104,   -5,    0
135173,19171105,    2,    0
135173,19171106,   45,    0
135173,19171107,   70,    0
135173,19171108,   48,    0
135173,19171109,   40,    0
135173,19171110,   42,    0
135173,19171111,   48,    0
135173,19171112,   55,    0
135173,19171113,   40,    0
135173,19171114,   53,    0
135173,19171115,   40,    0
135173,19171116,   15,    0
135173,19171117,    5,    0
135173,19171118,   66,    0
135173,19171119,   50,    0
135173,19171120,   65,    0
135173,19171121,   40,    0
135173,19171122,   38,    0
135173,19171123,   58,    0
135173,19171124,   70,    0
135173,19171125,   -3,    0
135173,19171126,  -15,    0
135173,19171127,   18,    0
135173,19171128,   50,    0
135173,19171129,   82,    0
135173,19171130,   42,    0
135173,19171201,   48,    0
135173,19171202,   10,    0
135173,19171203,  -35,    0
135173,19171204,  -41,    0
135173,19171205,  -92,    0
135173,19171206,    2,    0
135173,19171207,   20,    0
135173,19171208,   45,    0
135173,19171209,   22,    0
135173,19171210,   18,    0
135173,19171211,   15,    0
135173,19171212,   12,    0
135173,19171213,   38,    0
135173,19171214,   40,    0
135173,19171215,   25,    0
135173,19171216,   12,    0
135173,19171217,  -60,    0
135173,19171218,  -70,    0
135173,19171219,  -62,    0
135173,19171220,  -52,    0
135173,19171221,  -52,    0
135173,19171222,  -73,    0
135173,19171223,  -50,    0
135173,19171224,    0,    0
135173,19171225,  -40,    0
135173,19171226,  -60,    0
135173,19171227,  -50,    0
135173,19171228,  -62,    0
135173,19171229,  -38,    0
135173,19171230,  -50,    0
135173,19171231,  -72,    0
135173,19180101,  -28,    0
135173,19180102,  -50,    0
135173,19180103,  -68,    0
135173,19180104, -100,    0
135173,19180105,  -43,    0
135173,19180106,   10,    0
135173,19180107,   -3,    0
135173,19180108,  -50,    0
135173,19180109, -125,    0
135173,19180110,  -56,    0
135173,19180111,  -35,    0
