EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTELIMAR (STAID: 786).
Blended and updated with sources: 175640 907577 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
175640,19380101,  150,    0
175640,19380102,   90,    0
175640,19380103,  110,    0
175640,19380104,   80,    0
175640,19380105,  140,    0
175640,19380106,  130,    0
175640,19380107,    0,    0
175640,19380108,    0,    0
175640,19380109,    0,    0
175640,19380110,   20,    0
175640,19380111,    0,    0
175640,19380112,    0,    0
175640,19380113,    0,    0
175640,19380114,   60,    0
175640,19380115,    0,    0
175640,19380116,    0,    0
175640,19380117,    0,    0
175640,19380118,   70,    0
175640,19380119,   60,    0
175640,19380120,   70,    0
175640,19380121,  120,    0
175640,19380122,  170,    0
175640,19380123,  110,    0
175640,19380124,  130,    0
175640,19380125,   30,    0
175640,19380126,   50,    0
175640,19380127,    0,    0
175640,19380128,    0,    0
175640,19380129,   30,    0
175640,19380130,  130,    0
175640,19380131,   50,    0
175640,19380201,    0,    0
175640,19380202,   50,    0
175640,19380203,   90,    0
175640,19380204,   70,    0
175640,19380205,   40,    0
175640,19380206,   50,    0
175640,19380207,   50,    0
175640,19380208,   30,    0
175640,19380209,   40,    0
175640,19380210,   50,    0
175640,19380211,  150,    0
175640,19380212,  130,    0
175640,19380213,  140,    0
175640,19380214,  120,    0
175640,19380215,   80,    0
175640,19380216,   60,    0
175640,19380217,   90,    0
175640,19380218,   20,    0
175640,19380219,   70,    0
175640,19380220,  130,    0
175640,19380221,   80,    0
175640,19380222,    0,    0
175640,19380223,   20,    0
175640,19380224,   50,    0
175640,19380225,   80,    0
175640,19380226,   60,    0
175640,19380227,   60,    0
175640,19380228,   70,    0
175640,19380301,   40,    0
175640,19380302,  160,    0
175640,19380303,  160,    0
175640,19380304,  100,    0
175640,19380305,   40,    0
175640,19380306,    0,    0
175640,19380307,   60,    0
175640,19380308,   50,    0
175640,19380309,   50,    0
175640,19380310,  160,    0
175640,19380311,  110,    0
175640,19380312,  130,    0
175640,19380313,   40,    0
175640,19380314,   60,    0
175640,19380315,   50,    0
175640,19380316,   40,    0
175640,19380317,   70,    0
175640,19380318,   70,    0
175640,19380319,   70,    0
175640,19380320,   40,    0
175640,19380321,   90,    0
175640,19380322,   60,    0
175640,19380323,   60,    0
175640,19380324,   50,    0
175640,19380325,   60,    0
175640,19380326,  180,    0
175640,19380327,   70,    0
175640,19380328,  150,    0
175640,19380329,  130,    0
175640,19380330,  100,    0
175640,19380331,   80,    0
175640,19380401,  100,    0
175640,19380402,   80,    0
175640,19380403,  150,    0
175640,19380404,  130,    0
175640,19380405,  120,    0
175640,19380406,   80,    0
175640,19380407,   40,    0
175640,19380408,  100,    0
175640,19380409,  150,    0
175640,19380410,  190,    0
175640,19380411,  110,    0
175640,19380412,   90,    0
175640,19380413,  100,    0
175640,19380414,  130,    0
175640,19380415,   40,    0
175640,19380416,   50,    0
175640,19380417,   20,    0
175640,19380418,  150,    0
175640,19380419,  140,    0
175640,19380420,  120,    0
175640,19380421,  100,    0
175640,19380422,   90,    0
175640,19380423,   70,    0
175640,19380424,   30,    0
175640,19380425,  110,    0
175640,19380426,   80,    0
175640,19380427,   70,    0
175640,19380428,  110,    0
175640,19380429,   60,    0
175640,19380430,  100,    0
175640,19380501,   20,    0
175640,19380502,   50,    0
175640,19380503,   50,    0
175640,19380504,   50,    0
175640,19380505,    0,    0
175640,19380506,   20,    0
175640,19380507,   30,    0
175640,19380508,   70,    0
175640,19380509,    0,    0
175640,19380510,  100,    0
175640,19380511,   70,    0
175640,19380512,   30,    0
175640,19380513,   60,    0
175640,19380514,   10,    0
175640,19380515,   30,    0
175640,19380516,   30,    0
175640,19380517,    0,    0
175640,19380518,    0,    0
175640,19380519,    0,    0
175640,19380520,  100,    0
175640,19380521,  100,    0
175640,19380522,  100,    0
175640,19380523,  100,    0
175640,19380524,  100,    0
175640,19380525,  120,    0
175640,19380526,   70,    0
175640,19380527,   70,    0
175640,19380528,    0,    0
175640,19380529,    0,    0
175640,19380530,    0,    0
175640,19380531,    0,    0
175640,19380601,   30,    0
175640,19380602,   50,    0
175640,19380603,   80,    0
175640,19380604,   60,    0
175640,19380605,   50,    0
175640,19380606,   50,    0
175640,19380607,   50,    0
175640,19380608,   20,    0
175640,19380609,   50,    0
175640,19380610,   40,    0
175640,19380611,   30,    0
175640,19380612,   40,    0
175640,19380613,   40,    0
175640,19380614,   90,    0
175640,19380615,   80,    0
175640,19380616,  120,    0
175640,19380617,  110,    0
175640,19380618,    0,    0
175640,19380619,   60,    0
175640,19380620,   70,    0
175640,19380621,   60,    0
175640,19380622,   40,    0
175640,19380623,-9999,    9
175640,19380624,   20,    0
175640,19380625,   30,    0
175640,19380626,   80,    0
175640,19380627,   10,    0
175640,19380628,   40,    0
175640,19380629,   30,    0
