EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTELIMAR (STAID: 786).
Blended and updated with sources: 175639 907577 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
175639,19200901,   54,    0
175639,19200902,   53,    0
175639,19200903,   64,    0
175639,19200904,   53,    0
175639,19200905,   58,    0
175639,19200906,   48,    0
175639,19200907,   50,    0
175639,19200908,   47,    0
175639,19200909,   53,    0
175639,19200910,   44,    0
175639,19200911,   28,    0
175639,19200912,   47,    0
175639,19200913,   38,    0
175639,19200914,   53,    0
175639,19200915,   52,    0
175639,19200916,   72,    0
175639,19200917,   67,    0
175639,19200918,   65,    0
175639,19200919,   72,    0
175639,19200920,   97,    0
175639,19200921,   93,    0
175639,19200922,   75,    0
175639,19200923,   97,    0
175639,19200924,   74,    0
175639,19200925,   93,    0
175639,19200926,   76,    0
175639,19200927,   67,    0
175639,19200928,   73,    0
175639,19200929,   85,    0
175639,19200930,   75,    0
175639,19201001,   95,    0
175639,19201002,   94,    0
175639,19201003,   83,    0
175639,19201004,   86,    0
175639,19201005,   70,    0
175639,19201006,   70,    0
175639,19201007,   79,    0
175639,19201008,   95,    0
175639,19201009,   91,    0
175639,19201010,   71,    0
175639,19201011,   77,    0
175639,19201012,   97,    0
175639,19201013,   89,    0
175639,19201014,   82,    0
175639,19201015,   86,    0
175639,19201016,   90,    0
175639,19201017,   94,    0
175639,19201018,   95,    0
175639,19201019,   73,    0
175639,19201020,   81,    0
175639,19201021,   67,    0
175639,19201022,   67,    0
175639,19201023,   72,    0
175639,19201024,   80,    0
175639,19201025,   75,    0
175639,19201026,   80,    0
175639,19201027,   79,    0
175639,19201028,   89,    0
175639,19201029,   81,    0
175639,19201030,   93,    0
175639,19201031,   86,    0
175639,19201101,   87,    0
175639,19201102,   88,    0
175639,19201103,   88,    0
175639,19201104,   62,    0
175639,19201105,   76,    0
175639,19201106,   78,    0
175639,19201107,   85,    0
175639,19201108,   79,    0
175639,19201109,   74,    0
175639,19201110,   91,    0
175639,19201111,   88,    0
175639,19201112,   94,    0
175639,19201113,   92,    0
175639,19201114,   87,    0
175639,19201115,   88,    0
175639,19201116,   86,    0
175639,19201117,   81,    0
175639,19201118,   83,    0
175639,19201119,   94,    0
175639,19201120,   81,    0
175639,19201121,   77,    0
175639,19201122,   82,    0
175639,19201123,   63,    0
175639,19201124,   87,    0
175639,19201125,   86,    0
175639,19201126,   96,    0
175639,19201127,   84,    0
175639,19201128,   91,    0
175639,19201129,   73,    0
175639,19201130,-9999,    9
175639,19201201,   72,    0
175639,19201202,   84,    0
175639,19201203,   83,    0
175639,19201204,   84,    0
175639,19201205,   63,    0
175639,19201206,   58,    0
175639,19201207,   68,    0
175639,19201208,   70,    0
175639,19201209,   57,    0
175639,19201210,   61,    0
175639,19201211,   71,    0
175639,19201212,   76,    0
175639,19201213,   71,    0
175639,19201214,   76,    0
175639,19201215,   77,    0
175639,19201216,   83,    0
175639,19201217,   67,    0
175639,19201218,   70,    0
175639,19201219,   67,    0
175639,19201220,   87,    0
175639,19201221,   91,    0
175639,19201222,   88,    0
175639,19201223,   93,    0
175639,19201224,   84,    0
175639,19201225,   88,    0
175639,19201226,   94,    0
175639,19201227,   89,    0
175639,19201228,   96,    0
175639,19201229,   91,    0
175639,19201230,   95,    0
175639,19201231,   94,    0
175639,19210101,   97,    0
175639,19210102,   92,    0
175639,19210103,   76,    0
175639,19210104,   74,    0
175639,19210105,   79,    0
175639,19210106,   89,    0
175639,19210107,   85,    0
175639,19210108,   79,    0
175639,19210109,   77,    0
175639,19210110,   82,    0
