EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTELIMAR (STAID: 786).
Blended and updated with sources: 104906 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
104906,19490101,    0,    0
104906,19490102,    4,    0
104906,19490103,   35,    0
104906,19490104,   75,    0
104906,19490105,   54,    0
104906,19490106,   61,    0
104906,19490107,   21,    0
104906,19490108,    0,    0
104906,19490109,    0,    0
104906,19490110,    0,    0
104906,19490111,    0,    0
104906,19490112,   46,    0
104906,19490113,   77,    0
104906,19490114,   49,    0
104906,19490115,    5,    0
104906,19490116,   13,    0
104906,19490117,   58,    0
104906,19490118,   69,    0
104906,19490119,   70,    0
104906,19490120,   51,    0
104906,19490121,   49,    0
104906,19490122,   34,    0
104906,19490123,   69,    0
104906,19490124,    0,    0
104906,19490125,   91,    0
104906,19490126,   76,    0
104906,19490127,   90,    0
104906,19490128,   72,    0
104906,19490129,   84,    0
104906,19490130,   86,    0
104906,19490131,   74,    0
104906,19490201,   22,    0
104906,19490202,   92,    0
104906,19490203,   89,    0
104906,19490204,   84,    0
104906,19490205,   93,    0
104906,19490206,   94,    0
104906,19490207,   94,    0
104906,19490208,   74,    0
104906,19490209,   11,    0
104906,19490210,   24,    0
104906,19490211,   63,    0
104906,19490212,   78,    0
104906,19490213,   66,    0
104906,19490214,   89,    0
104906,19490215,   98,    0
104906,19490216,   99,    0
104906,19490217,   10,    0
104906,19490218,   69,    0
104906,19490219,   82,    0
104906,19490220,  100,    0
104906,19490221,   77,    0
104906,19490222,   99,    0
104906,19490223,  101,    0
104906,19490224,   99,    0
104906,19490225,  103,    0
104906,19490226,  103,    0
104906,19490227,  104,    0
104906,19490228,   98,    0
104906,19490301,   79,    0
104906,19490302,   39,    0
104906,19490303,   60,    0
104906,19490304,   98,    0
104906,19490305,   50,    0
104906,19490306,  108,    0
104906,19490307,   97,    0
104906,19490308,    0,    0
104906,19490309,    0,    0
104906,19490310,    0,    0
104906,19490311,   23,    0
104906,19490312,   30,    0
104906,19490313,   79,    0
104906,19490314,  112,    0
104906,19490315,   80,    0
104906,19490316,  113,    0
104906,19490317,  104,    0
104906,19490318,   47,    0
104906,19490319,   79,    0
104906,19490320,  114,    0
104906,19490321,  113,    0
104906,19490322,   97,    0
104906,19490323,  115,    0
104906,19490324,   71,    0
104906,19490325,   83,    0
104906,19490326,   86,    0
104906,19490327,  115,    0
104906,19490328,  120,    0
104906,19490329,  119,    0
104906,19490330,  112,    0
104906,19490331,  104,    0
104906,19490401,   89,    0
104906,19490402,   80,    0
104906,19490403,   84,    0
104906,19490404,   60,    0
104906,19490405,  106,    0
104906,19490406,   24,    0
104906,19490407,   83,    0
104906,19490408,   94,    0
104906,19490409,  102,    0
104906,19490410,  123,    0
104906,19490411,   50,    0
104906,19490412,   82,    0
104906,19490413,  121,    0
104906,19490414,  123,    0
104906,19490415,   78,    0
104906,19490416,  126,    0
104906,19490417,  123,    0
104906,19490418,  129,    0
104906,19490419,  130,    0
104906,19490420,  130,    0
104906,19490421,   99,    0
104906,19490422,   92,    0
104906,19490423,  106,    0
104906,19490424,   30,    0
104906,19490425,    0,    0
104906,19490426,  119,    0
104906,19490427,   61,    0
104906,19490428,   93,    0
104906,19490429,   19,    0
104906,19490430,   22,    0
104906,19490501,    4,    0
104906,19490502,    9,    0
104906,19490503,    4,    0
104906,19490504,   28,    0
104906,19490505,   49,    0
104906,19490506,    0,    0
104906,19490507,  124,    0
104906,19490508,  134,    0
104906,19490509,  136,    0
104906,19490510,  119,    0
104906,19490511,  132,    0
104906,19490512,   65,    0
104906,19490513,   27,    0
104906,19490514,   49,    0
104906,19490515,   65,    0
104906,19490516,   42,    0
104906,19490517,   22,    0
104906,19490518,   93,    0
104906,19490519,    0,    0
104906,19490520,    0,    0
104906,19490521,   69,    0
104906,19490522,  138,    0
104906,19490523,   91,    0
104906,19490524,   77,    0
104906,19490525,  108,    0
104906,19490526,   62,    0
104906,19490527,  137,    0
104906,19490528,  138,    0
104906,19490529,    0,    0
104906,19490530,   23,    0
104906,19490531,   71,    0
104906,19490601,  115,    0
104906,19490602,   96,    0
104906,19490603,   62,    0
