EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, MONTELIMAR (STAID: 786).
Blended and updated with sources: 104908 907577 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
104908,19200801,-9999,    9
104908,19200802,-9999,    9
104908,19200803,-9999,    9
104908,19200804,-9999,    9
104908,19200805,-9999,    9
104908,19200806,-9999,    9
104908,19200807,-9999,    9
104908,19200808,-9999,    9
104908,19200809,-9999,    9
104908,19200810,-9999,    9
104908,19200811,-9999,    9
104908,19200812,-9999,    9
104908,19200813,-9999,    9
104908,19200814,-9999,    9
104908,19200815,-9999,    9
104908,19200816,-9999,    9
104908,19200817,  162,    0
104908,19200818,  144,    0
104908,19200819,  188,    0
104908,19200820,  140,    0
104908,19200821,  116,    0
104908,19200822,  113,    0
104908,19200823,  136,    0
104908,19200824,  132,    0
104908,19200825,  116,    0
104908,19200826,  117,    0
104908,19200827,  133,    0
104908,19200828,  125,    0
104908,19200829,  131,    0
104908,19200830,  130,    0
104908,19200831,  118,    0
104908,19200901,  124,    0
104908,19200902,  135,    0
104908,19200903,  121,    0
104908,19200904,  136,    0
104908,19200905,  160,    0
104908,19200906,  177,    0
104908,19200907,  156,    0
104908,19200908,  139,    0
104908,19200909,  124,    0
104908,19200910,  130,    0
104908,19200911,  157,    0
104908,19200912,  140,    0
104908,19200913,  145,    0
104908,19200914,  126,    0
104908,19200915,  136,    0
104908,19200916,   96,    0
104908,19200917,  179,    0
104908,19200918,  180,    0
104908,19200919,  153,    0
104908,19200920,  123,    0
104908,19200921,  129,    0
104908,19200922,  109,    0
104908,19200923,  143,    0
104908,19200924,  130,    0
104908,19200925,  122,    0
104908,19200926,  131,    0
104908,19200927,  113,    0
104908,19200928,  127,    0
104908,19200929,   94,    0
104908,19200930,  153,    0
104908,19201001,  150,    0
104908,19201002,  138,    0
104908,19201003,  120,    0
104908,19201004,   64,    0
104908,19201005,  133,    0
104908,19201006,  122,    0
104908,19201007,  163,    0
104908,19201008,  138,    0
104908,19201009,  150,    0
104908,19201010,  117,    0
104908,19201011,  139,    0
104908,19201012,   94,    0
104908,19201013,   98,    0
104908,19201014,  130,    0
104908,19201015,  100,    0
104908,19201016,   68,    0
104908,19201017,  146,    0
104908,19201018,  140,    0
104908,19201019,  111,    0
104908,19201020,   97,    0
104908,19201021,  107,    0
104908,19201022,   78,    0
104908,19201023,   92,    0
104908,19201024,   53,    0
104908,19201025,   80,    0
104908,19201026,  100,    0
104908,19201027,   76,    0
104908,19201028,   57,    0
104908,19201029,   22,    0
104908,19201030,   21,    0
104908,19201031,   78,    0
104908,19201101,   80,    0
104908,19201102,   64,    0
104908,19201103,   69,    0
104908,19201104,   62,    0
104908,19201105,   49,    0
104908,19201106,   62,    0
104908,19201107,   60,    0
104908,19201108,   35,    0
104908,19201109,   57,    0
104908,19201110,   34,    0
104908,19201111,   44,    0
104908,19201112,   39,    0
104908,19201113,   37,    0
104908,19201114,    7,    0
104908,19201115,  -13,    0
104908,19201116,    7,    0
104908,19201117,   68,    0
104908,19201118,   84,    0
104908,19201119,   45,    0
104908,19201120,   58,    0
104908,19201121,   49,    0
104908,19201122,   14,    0
104908,19201123,   -3,    0
104908,19201124,    9,    0
104908,19201125,   11,    0
104908,19201126,   54,    0
104908,19201127,   91,    0
104908,19201128,   92,    0
104908,19201129,   46,    0
104908,19201130,   33,    0
104908,19201201,   16,    0
104908,19201202,   44,    0
104908,19201203,   48,    0
104908,19201204,   54,    0
104908,19201205,   30,    0
104908,19201206,   32,    0
104908,19201207,   29,    0
104908,19201208,   30,    0
104908,19201209,   22,    0
104908,19201210,   26,    0
104908,19201211,   21,    0
104908,19201212,   -5,    0
104908,19201213,  -55,    0
104908,19201214,   15,    0
104908,19201215,    9,    0
104908,19201216,  -48,    0
104908,19201217,  -67,    0
104908,19201218,  -75,    0
104908,19201219,  -64,    0
104908,19201220,  -30,    0
104908,19201221,  -51,    0
104908,19201222,  -30,    0
104908,19201223,  -10,    0
104908,19201224,    7,    0
104908,19201225,  -30,    0
104908,19201226,   30,    0
104908,19201227,   75,    0
104908,19201228,   19,    0
104908,19201229,   25,    0
104908,19201230,   33,    0
104908,19201231,   56,    0
104908,19210101,   24,    0
104908,19210102,   60,    0
104908,19210103,   26,    0
104908,19210104,   65,    0
104908,19210105,   -8,    0
104908,19210106,   10,    0
104908,19210107,   -3,    0
104908,19210108,   -8,    0
104908,19210109,   40,    0
104908,19210110,   29,    0
104908,19210111,    8,    0
104908,19210112,   10,    0
104908,19210113,   50,    0
104908,19210114,   15,    0
104908,19210115,    0,    0
104908,19210116,   10,    0
104908,19210117,  -10,    0
104908,19210118,  -10,    0
104908,19210119,   43,    0
104908,19210120,   40,    0
104908,19210121,   48,    0
104908,19210122,   15,    0
104908,19210123,   40,    0
104908,19210124,   63,    0
104908,19210125,   49,    0
104908,19210126,   52,    0
104908,19210127,   58,    0
104908,19210128,   -6,    0
104908,19210129,   14,    0
104908,19210130,   32,    0
104908,19210131,   46,    0
104908,19210201,   -3,    0
104908,19210202,  -10,    0
104908,19210203,   43,    0
104908,19210204,   14,    0
104908,19210205,   -4,    0
104908,19210206,   14,    0
104908,19210207,   19,    0
104908,19210208,   28,    0
104908,19210209,   23,    0
104908,19210210,   34,    0
104908,19210211,   18,    0
104908,19210212,   11,    0
104908,19210213,   -5,    0
104908,19210214,    5,    0
104908,19210215,   40,    0
104908,19210216,   36,    0
104908,19210217,   41,    0
104908,19210218,   18,    0
104908,19210219,   29,    0
104908,19210220,  -26,    0
104908,19210221,    4,    0
104908,19210222,   27,    0
104908,19210223,  -29,    0
104908,19210224,   -9,    0
104908,19210225,    0,    0
104908,19210226,  -23,    0
104908,19210227,   26,    0
104908,19210228,   31,    0
104908,19210301,   31,    0
104908,19210302,  -35,    0
104908,19210303,    0,    0
104908,19210304,   36,    0
104908,19210305,  -37,    0
104908,19210306,   10,    0
104908,19210307,   55,    0
104908,19210308,   37,    0
104908,19210309,   19,    0
104908,19210310,  -29,    0
104908,19210311,   -3,    0
104908,19210312,  -26,    0
104908,19210313,  -10,    0
104908,19210314,    7,    0
104908,19210315,   76,    0
104908,19210316,   72,    0
104908,19210317,   13,    0
104908,19210318,   56,    0
104908,19210319,   62,    0
104908,19210320,   24,    0
104908,19210321,   41,    0
104908,19210322,   34,    0
104908,19210323,   36,    0
104908,19210324,   38,    0
104908,19210325,   35,    0
104908,19210326,   38,    0
104908,19210327,   99,    0
104908,19210328,   47,    0
104908,19210329,  -20,    0
104908,19210330,   85,    0
104908,19210331,   45,    0
104908,19210401,   76,    0
104908,19210402,   67,    0
104908,19210403,   32,    0
104908,19210404,  116,    0
104908,19210405,  115,    0
104908,19210406,   63,    0
104908,19210407,   61,    0
104908,19210408,   36,    0
104908,19210409,   59,    0
104908,19210410,   50,    0
104908,19210411,  100,    0
104908,19210412,   29,    0
104908,19210413,   80,    0
104908,19210414,   57,    0
104908,19210415,   55,    0
104908,19210416,    8,    0
104908,19210417,   11,    0
104908,19210418,    7,    0
104908,19210419,   31,    0
104908,19210420,   61,    0
104908,19210421,   37,    0
104908,19210422,   45,    0
104908,19210423,   55,    0
104908,19210424,   52,    0
104908,19210425,   65,    0
104908,19210426,   76,    0
104908,19210427,   69,    0
104908,19210428,   30,    0
104908,19210429,  109,    0
104908,19210430,   86,    0
104908,19210501,   79,    0
104908,19210502,   85,    0
104908,19210503,   85,    0
104908,19210504,   50,    0
104908,19210505,   99,    0
104908,19210506,   55,    0
104908,19210507,   31,    0
104908,19210508,  110,    0
104908,19210509,   98,    0
104908,19210510,   97,    0
104908,19210511,   56,    0
104908,19210512,   90,    0
104908,19210513,  147,    0
104908,19210514,  152,    0
104908,19210515,  140,    0
104908,19210516,  130,    0
104908,19210517,  153,    0
104908,19210518,  135,    0
104908,19210519,  153,    0
104908,19210520,  143,    0
104908,19210521,  164,    0
104908,19210522,  143,    0
104908,19210523,  132,    0
104908,19210524,  117,    0
104908,19210525,  140,    0
104908,19210526,  120,    0
104908,19210527,  132,    0
104908,19210528,  124,    0
104908,19210529,  100,    0
104908,19210530,  122,    0
104908,19210531,  125,    0
104908,19210601,  155,    0
104908,19210602,  173,    0
104908,19210603,  145,    0
104908,19210604,  116,    0
104908,19210605,  136,    0
104908,19210606,  136,    0
104908,19210607,  135,    0
104908,19210608,  165,    0
104908,19210609,  182,    0
104908,19210610,  148,    0
104908,19210611,  140,    0
104908,19210612,  142,    0
104908,19210613,  144,    0
104908,19210614,  155,    0
104908,19210615,  121,    0
104908,19210616,  126,    0
104908,19210617,  132,    0
104908,19210618,  135,    0
104908,19210619,  142,    0
104908,19210620,  105,    0
104908,19210621,  132,    0
104908,19210622,  128,    0
104908,19210623,  126,    0
104908,19210624,  158,    0
104908,19210625,  150,    0
104908,19210626,  137,    0
104908,19210627,  151,    0
104908,19210628,  133,    0
104908,19210629,  132,    0
104908,19210630,  173,    0
104908,19210701,  146,    0
104908,19210702,  170,    0
104908,19210703,  170,    0
104908,19210704,  154,    0
104908,19210705,  150,    0
104908,19210706,  157,    0
104908,19210707,  168,    0
104908,19210708,  167,    0
104908,19210709,  118,    0
104908,19210710,  118,    0
104908,19210711,  128,    0
104908,19210712,  138,    0
104908,19210713,  150,    0
104908,19210714,  163,    0
104908,19210715,  167,    0
104908,19210716,  195,    0
104908,19210717,  158,    0
104908,19210718,  194,    0
104908,19210719,  168,    0
104908,19210720,  195,    0
104908,19210721,  225,    0
104908,19210722,  224,    0
104908,19210723,  187,    0
104908,19210724,  169,    0
104908,19210725,  218,    0
104908,19210726,  182,    0
104908,19210727,  205,    0
104908,19210728,  188,    0
104908,19210729,  195,    0
104908,19210730,  174,    0
104908,19210731,  174,    0
104908,19210801,  200,    0
104908,19210802,  141,    0
104908,19210803,  195,    0
104908,19210804,  173,    0
104908,19210805,  161,    0
104908,19210806,  118,    0
104908,19210807,  156,    0
104908,19210808,  198,    0
104908,19210809,  224,    0
104908,19210810,  203,    0
104908,19210811,  169,    0
104908,19210812,  165,    0
104908,19210813,  100,    0
104908,19210814,  142,    0
104908,19210815,  132,    0
104908,19210816,  132,    0
104908,19210817,   99,    0
104908,19210818,  150,    0
104908,19210819,  154,    0
104908,19210820,  160,    0
104908,19210821,  133,    0
104908,19210822,  138,    0
104908,19210823,   99,    0
104908,19210824,  124,    0
104908,19210825,  128,    0
104908,19210826,  160,    0
104908,19210827,  155,    0
104908,19210828,  152,    0
104908,19210829,  121,    0
104908,19210830,  160,    0
104908,19210831,  131,    0
104908,19210901,  125,    0
104908,19210902,  122,    0
104908,19210903,  132,    0
104908,19210904,  172,    0
104908,19210905,  162,    0
104908,19210906,  162,    0
104908,19210907,  151,    0
104908,19210908,  133,    0
104908,19210909,  143,    0
104908,19210910,  152,    0
104908,19210911,  134,    0
104908,19210912,  160,    0
104908,19210913,  153,    0
104908,19210914,  133,    0
104908,19210915,  123,    0
104908,19210916,  130,    0
104908,19210917,  168,    0
104908,19210918,  166,    0
104908,19210919,  123,    0
104908,19210920,  150,    0
104908,19210921,  165,    0
104908,19210922,  190,    0
104908,19210923,  160,    0
104908,19210924,  100,    0
104908,19210925,  105,    0
104908,19210926,  167,    0
104908,19210927,  144,    0
104908,19210928,  120,    0
104908,19210929,   92,    0
104908,19210930,   95,    0
104908,19211001,   50,    0
104908,19211002,  148,    0
104908,19211003,  145,    0
104908,19211004,  121,    0
104908,19211005,  145,    0
104908,19211006,  160,    0
104908,19211007,   88,    0
104908,19211008,   75,    0
104908,19211009,   72,    0
104908,19211010,  116,    0
104908,19211011,  100,    0
104908,19211012,  100,    0
104908,19211013,  122,    0
104908,19211014,  102,    0
104908,19211015,  165,    0
104908,19211016,  140,    0
104908,19211017,   72,    0
104908,19211018,   68,    0
104908,19211019,   50,    0
104908,19211020,   66,    0
104908,19211021,   50,    0
104908,19211022,   68,    0
104908,19211023,   94,    0
104908,19211024,   70,    0
104908,19211025,   23,    0
104908,19211026,   15,    0
104908,19211027,   79,    0
104908,19211028,   89,    0
104908,19211029,  102,    0
104908,19211030,  102,    0
104908,19211031,   67,    0
104908,19211101,   -2,    0
104908,19211102,   34,    0
104908,19211103,  120,    0
104908,19211104,  116,    0
104908,19211105,   63,    0
104908,19211106,  115,    0
104908,19211107,   58,    0
104908,19211108,   14,    0
104908,19211109,   30,    0
104908,19211110,   -2,    0
104908,19211111,  -15,    0
104908,19211112, -100,    0
104908,19211113,   10,    0
104908,19211114,  -50,    0
104908,19211115,   13,    0
104908,19211116,   46,    0
104908,19211117,  -12,    0
104908,19211118,   46,    0
104908,19211119,   39,    0
104908,19211120,   28,    0
104908,19211121,  -26,    0
104908,19211122,  -25,    0
104908,19211123,   10,    0
104908,19211124,   13,    0
104908,19211125,  -70,    0
104908,19211126,   45,    0
104908,19211127,   64,    0
104908,19211128,   60,    0
104908,19211129,   24,    0
104908,19211130,  -10,    0
104908,19211201,   63,    0
104908,19211202,   65,    0
104908,19211203,   55,    0
104908,19211204,   15,    0
104908,19211205,   15,    0
104908,19211206,   10,    0
104908,19211207,  -10,    0
104908,19211208,    5,    0
104908,19211209,   65,    0
104908,19211210,   90,    0
104908,19211211,   78,    0
104908,19211212,   30,    0
104908,19211213,    5,    0
104908,19211214,  -20,    0
104908,19211215,  -29,    0
104908,19211216,  -30,    0
104908,19211217,  -30,    0
104908,19211218,   40,    0
104908,19211219,   85,    0
104908,19211220,   -5,    0
104908,19211221,   50,    0
104908,19211222,   15,    0
104908,19211223,    0,    0
104908,19211224,    1,    0
104908,19211225,   10,    0
104908,19211226,   10,    0
104908,19211227,   45,    0
104908,19211228,   39,    0
104908,19211229,   40,    0
104908,19211230,   49,    0
104908,19211231,   -5,    0
104908,19220101,   25,    0
104908,19220102,   50,    0
104908,19220103,   44,    0
104908,19220104,    5,    0
104908,19220105,   -3,    0
104908,19220106,  -15,    0
104908,19220107,  -26,    0
104908,19220108,  -62,    0
104908,19220109,  -20,    0
104908,19220110,   76,    0
104908,19220111,   80,    0
104908,19220112,   21,    0
104908,19220113,    0,    0
104908,19220114,  -33,    0
104908,19220115,  -25,    0
104908,19220116,  -19,    0
104908,19220117,    5,    0
104908,19220118,    2,    0
104908,19220119,    5,    0
104908,19220120,  -21,    0
104908,19220121,   20,    0
104908,19220122,    8,    0
104908,19220123,   10,    0
104908,19220124,   12,    0
104908,19220125,   50,    0
104908,19220126,   13,    0
104908,19220127,   -6,    0
104908,19220128,   55,    0
104908,19220129,   12,    0
104908,19220130,   50,    0
104908,19220131,   74,    0
104908,19220201,   65,    0
104908,19220202,   50,    0
104908,19220203,   50,    0
104908,19220204,   33,    0
104908,19220205,   11,    0
104908,19220206,  -49,    0
104908,19220207,  -50,    0
104908,19220208,  -69,    0
104908,19220209,  -46,    0
104908,19220210,  -41,    0
104908,19220211,   -3,    0
104908,19220212,  -13,    0
104908,19220213,   27,    0
104908,19220214,   41,    0
104908,19220215,   31,    0
104908,19220216,   21,    0
104908,19220217,   60,    0
104908,19220218,  -13,    0
104908,19220219,   50,    0
104908,19220220,   11,    0
104908,19220221,   -5,    0
104908,19220222,   64,    0
104908,19220223,   35,    0
104908,19220224,   80,    0
104908,19220225,   41,    0
104908,19220226,   10,    0
104908,19220227,   51,    0
104908,19220228,   59,    0
104908,19220301,   72,    0
104908,19220302,   19,    0
104908,19220303,   47,    0
104908,19220304,   54,    0
104908,19220305,   25,    0
104908,19220306,   17,    0
104908,19220307,   48,    0
104908,19220308,    5,    0
104908,19220309,   80,    0
104908,19220310,   50,    0
104908,19220311,   50,    0
104908,19220312,   60,    0
104908,19220313,   75,    0
104908,19220314,   97,    0
104908,19220315,   52,    0
104908,19220316,   74,    0
104908,19220317,   54,    0
104908,19220318,   30,    0
104908,19220319,   90,    0
104908,19220320,   90,    0
104908,19220321,   45,    0
104908,19220322,    5,    0
104908,19220323,    5,    0
104908,19220324,   -1,    0
104908,19220325,  -20,    0
104908,19220326,    0,    0
104908,19220327,   40,    0
104908,19220328,   10,    0
104908,19220329,   12,    0
104908,19220330,   -3,    0
104908,19220331,  -25,    0
104908,19220401,   28,    0
104908,19220402,   50,    0
104908,19220403,   97,    0
104908,19220404,   60,    0
104908,19220405,   28,    0
104908,19220406,   29,    0
