EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 CC   : daily Cloud cover in oktas
23-27 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 115782 126259 126271 126283 910865 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   CC, Q_CC
126271,18790101,    5,    0
126271,18790102,    7,    0
126271,18790103,    6,    0
126271,18790104,    7,    0
126271,18790105,    6,    0
126271,18790106,    7,    0
126271,18790107,    5,    0
126271,18790108,    4,    0
126271,18790109,    8,    0
126271,18790110,    1,    0
126271,18790111,    4,    0
126271,18790112,    5,    0
126271,18790113,    7,    0
126271,18790114,    8,    0
126271,18790115,    7,    0
126271,18790116,    2,    0
126271,18790117,    8,    0
126271,18790118,    5,    0
126271,18790119,    8,    0
126271,18790120,    8,    0
126271,18790121,    0,    0
126271,18790122,    7,    0
126271,18790123,    5,    0
126271,18790124,    6,    0
126271,18790125,    3,    0
126271,18790126,    8,    0
126271,18790127,    8,    0
126271,18790128,    8,    0
126271,18790129,    8,    0
126271,18790130,    8,    0
126271,18790131,    8,    0
126271,18790201,    8,    0
126271,18790202,    8,    0
126271,18790203,    7,    0
126271,18790204,    7,    0
126271,18790205,    8,    0
126271,18790206,    3,    0
126271,18790207,    2,    0
126271,18790208,    4,    0
126271,18790209,    4,    0
126271,18790210,    7,    0
126271,18790211,    7,    0
126271,18790212,    8,    0
126271,18790213,    4,    0
126271,18790214,    5,    0
126271,18790215,    8,    0
126271,18790216,    6,    0
126271,18790217,    7,    0
126271,18790218,    6,    0
126271,18790219,    3,    0
126271,18790220,    5,    0
126271,18790221,    4,    0
126271,18790222,    3,    0
126271,18790223,    8,    0
126271,18790224,    3,    0
126271,18790225,    8,    0
126271,18790226,    8,    0
126271,18790227,    7,    0
126271,18790228,    5,    0
126271,18790301,    7,    0
126271,18790302,    6,    0
126271,18790303,    5,    0
126271,18790304,    8,    0
126271,18790305,    8,    0
126271,18790306,    6,    0
126271,18790307,    2,    0
126271,18790308,    3,    0
126271,18790309,    1,    0
126271,18790310,    1,    0
126271,18790311,    7,    0
126271,18790312,    5,    0
126271,18790313,    5,    0
126271,18790314,    4,    0
126271,18790315,    4,    0
126271,18790316,    7,    0
126271,18790317,    6,    0
126271,18790318,    3,    0
126271,18790319,    2,    0
126271,18790320,    5,    0
126271,18790321,    8,    0
126271,18790322,    7,    0
126271,18790323,    8,    0
126271,18790324,    8,    0
126271,18790325,    7,    0
126271,18790326,    7,    0
126271,18790327,    8,    0
126271,18790328,    7,    0
126271,18790329,    7,    0
126271,18790330,    5,    0
126271,18790331,    5,    0
126271,18790401,    3,    0
126271,18790402,    6,    0
126271,18790403,    7,    0
126271,18790404,    8,    0
126271,18790405,    1,    0
126271,18790406,    4,    0
126271,18790407,    3,    0
126271,18790408,    4,    0
126271,18790409,    8,    0
126271,18790410,    8,    0
126271,18790411,    8,    0
126271,18790412,    8,    0
