EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FX   : daily Wind gust in 0.1 m/s
23-27 Q_FX : quality code for FX (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 115787 910865 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FX, Q_FX
115787,19540601,-9999,    9
115787,19540602,-9999,    9
115787,19540603,-9999,    9
115787,19540604,-9999,    9
115787,19540605,-9999,    9
115787,19540606,-9999,    9
115787,19540607,-9999,    9
115787,19540608,-9999,    9
115787,19540609,-9999,    9
115787,19540610,-9999,    9
115787,19540611,-9999,    9
115787,19540612,-9999,    9
115787,19540613,-9999,    9
115787,19540614,-9999,    9
115787,19540615,-9999,    9
115787,19540616,-9999,    9
115787,19540617,-9999,    9
115787,19540618,-9999,    9
115787,19540619,-9999,    9
115787,19540620,-9999,    9
115787,19540621,-9999,    9
115787,19540622,-9999,    9
115787,19540623,-9999,    9
115787,19540624,-9999,    9
115787,19540625,-9999,    9
115787,19540626,-9999,    9
115787,19540627,-9999,    9
115787,19540628,-9999,    9
115787,19540629,-9999,    9
115787,19540630,-9999,    9
115787,19540701,-9999,    9
115787,19540702,-9999,    9
115787,19540703,-9999,    9
115787,19540704,-9999,    9
115787,19540705,-9999,    9
115787,19540706,-9999,    9
115787,19540707,-9999,    9
115787,19540708,-9999,    9
115787,19540709,-9999,    9
115787,19540710,-9999,    9
115787,19540711,-9999,    9
115787,19540712,-9999,    9
115787,19540713,-9999,    9
115787,19540714,-9999,    9
115787,19540715,-9999,    9
115787,19540716,-9999,    9
115787,19540717,-9999,    9
115787,19540718,-9999,    9
115787,19540719,-9999,    9
115787,19540720,-9999,    9
115787,19540721,-9999,    9
