EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 100190 910865 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
100190,19790101,10110,    0
100190,19790102,10260,    0
100190,19790103,10226,    0
100190,19790104,10140,    0
100190,19790105,10225,    0
100190,19790106,10300,    0
100190,19790107,10342,    0
100190,19790108,10272,    0
100190,19790109,10124,    0
100190,19790110,10048,    0
100190,19790111, 9899,    0
100190,19790112, 9984,    0
100190,19790113,10150,    0
100190,19790114,10283,    0
100190,19790115,10312,    0
100190,19790116,10306,    0
100190,19790117,10252,    0
100190,19790118,10218,    0
100190,19790119,10204,    0
100190,19790120,10204,    0
100190,19790121,10236,    0
100190,19790122,10179,    0
100190,19790123,10112,    0
100190,19790124,10068,    0
100190,19790125,10071,    0
100190,19790126,10016,    0
100190,19790127, 9983,    0
100190,19790128, 9953,    0
100190,19790129,10037,    0
100190,19790130,10044,    0
100190,19790131,10144,    0
100190,19790201,10122,    0
100190,19790202, 9985,    0
100190,19790203,10060,    0
100190,19790204,10061,    0
100190,19790205, 9973,    0
100190,19790206,10122,    0
100190,19790207,10044,    0
100190,19790208,10060,    0
100190,19790209,10052,    0
100190,19790210, 9984,    0
100190,19790211, 9968,    0
100190,19790212, 9929,    0
100190,19790213, 9919,    0
100190,19790214, 9902,    0
100190,19790215, 9988,    0
100190,19790216,10105,    0
100190,19790217,10088,    0
100190,19790218,10152,    0
100190,19790219,10210,    0
100190,19790220,10262,    0
100190,19790221,10258,    0
100190,19790222,10234,    0
100190,19790223,10264,    0
100190,19790224,10314,    0
100190,19790225,10364,    0
100190,19790226,10347,    0
100190,19790227,10276,    0
100190,19790228,10178,    0
100190,19790301,10154,    0
100190,19790302,10285,    0
100190,19790303,10294,    0
100190,19790304,10268,    0
100190,19790305,10260,    0
100190,19790306,10192,    0
100190,19790307,10165,    0
100190,19790308,10223,    0
100190,19790309,10157,    0
100190,19790310,10124,    0
100190,19790311,10074,    0
100190,19790312,10089,    0
100190,19790313,10095,    0
100190,19790314,10035,    0
100190,19790315, 9925,    0
100190,19790316, 9948,    0
100190,19790317,10042,    0
100190,19790318,10004,    0
100190,19790319,10034,    0
100190,19790320, 9979,    0
100190,19790321,10054,    0
100190,19790322,10135,    0
100190,19790323,10154,    0
100190,19790324,10190,    0
100190,19790325,10112,    0
100190,19790326,10037,    0
100190,19790327,10009,    0
100190,19790328, 9934,    0
100190,19790329, 9961,    0
100190,19790330, 9994,    0
100190,19790331,10081,    0
100190,19790401,10113,    0
100190,19790402,10084,    0
100190,19790403,10012,    0
100190,19790404,10026,    0
100190,19790405,10056,    0
100190,19790406,10083,    0
100190,19790407,10128,    0
100190,19790408,10178,    0
100190,19790409,10138,    0
100190,19790410,10094,    0
100190,19790411,10098,    0
100190,19790412,10140,    0
100190,19790413,10162,    0
100190,19790414,10147,    0
100190,19790415,10210,    0
100190,19790416,10160,    0
100190,19790417,10166,    0
100190,19790418,10242,    0
100190,19790419,10262,    0
100190,19790420,10210,    0
100190,19790421,10154,    0
100190,19790422,10120,    0
100190,19790423,10051,    0
100190,19790424,10012,    0
100190,19790425,10065,    0
100190,19790426,10114,    0
100190,19790427,10158,    0
100190,19790428,10163,    0
100190,19790429,10128,    0
100190,19790430,10081,    0
100190,19790501,10106,    0
100190,19790502,10038,    0
100190,19790503,10130,    0
100190,19790504,10163,    0
100190,19790505,10198,    0
100190,19790506,10220,    0
100190,19790507,10234,    0
100190,19790508,10214,    0
100190,19790509,10190,    0
100190,19790510,10230,    0
100190,19790511,10252,    0
100190,19790512,10246,    0
100190,19790513,10302,    0
100190,19790514,10291,    0
100190,19790515,10196,    0
100190,19790516,10121,    0
100190,19790517,10090,    0
100190,19790518,10107,    0
100190,19790519,10158,    0
100190,19790520,10088,    0
100190,19790521,10192,    0
100190,19790522,10158,    0
100190,19790523,10116,    0
100190,19790524,10082,    0
100190,19790525,10139,    0
100190,19790526,10111,    0
100190,19790527,10094,    0
100190,19790528,10189,    0
