EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 100189 126274 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
126274,18790101,   28,    0
126274,18790102,    7,    0
126274,18790103,   10,    0
126274,18790104,   59,    0
126274,18790105,    0,    0
126274,18790106,    0,    0
126274,18790107,    0,    0
126274,18790108,    6,    0
126274,18790109,   34,    0
126274,18790110,   14,    0
126274,18790111,    0,    0
126274,18790112,    3,    0
126274,18790113,   12,    0
126274,18790114,    3,    0
126274,18790115,    0,    0
126274,18790116,    0,    0
126274,18790117,    0,    0
126274,18790118,    0,    0
126274,18790119,    2,    0
126274,18790120,    0,    0
126274,18790121,    3,    0
126274,18790122,    0,    0
126274,18790123,    0,    0
126274,18790124,    0,    0
126274,18790125,    0,    0
126274,18790126,    0,    0
126274,18790127,    0,    0
126274,18790128,    0,    0
126274,18790129,    0,    0
126274,18790130,    1,    0
126274,18790131,    4,    0
126274,18790201,    0,    0
126274,18790202,   21,    0
126274,18790203,   41,    0
126274,18790204,   20,    0
126274,18790205,    3,    0
126274,18790206,    0,    0
126274,18790207,    2,    0
126274,18790208,    0,    0
126274,18790209,    0,    0
126274,18790210,   87,    0
126274,18790211,   57,    0
126274,18790212,   42,    0
126274,18790213,    0,    0
126274,18790214,    0,    0
126274,18790215,    2,    0
126274,18790216,   18,    0
126274,18790217,   14,    0
126274,18790218,   11,    0
126274,18790219,    6,    0
126274,18790220,    6,    0
126274,18790221,    5,    0
126274,18790222,  206,    0
126274,18790223,   21,    0
126274,18790224,   45,    0
126274,18790225,   19,    0
126274,18790226,    6,    0
126274,18790227,    0,    0
126274,18790228,    0,    0
126274,18790301,   22,    0
126274,18790302,   12,    0
126274,18790303,   23,    0
126274,18790304,    0,    0
126274,18790305,   14,    0
126274,18790306,   26,    0
126274,18790307,    0,    0
126274,18790308,    0,    0
126274,18790309,    0,    0
126274,18790310,   57,    0
