EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SS   : daily Sunshine in 0.1 Hours
23-27 Q_SS : quality code for SS (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 115783 126260 126272 126284 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SS, Q_SS
126272,18790101,-9999,    9
126272,18790102,-9999,    9
126272,18790103,-9999,    9
126272,18790104,-9999,    9
126272,18790105,-9999,    9
126272,18790106,-9999,    9
126272,18790107,-9999,    9
126272,18790108,-9999,    9
126272,18790109,-9999,    9
126272,18790110,-9999,    9
126272,18790111,-9999,    9
126272,18790112,-9999,    9
126272,18790113,-9999,    9
126272,18790114,-9999,    9
126272,18790115,-9999,    9
126272,18790116,-9999,    9
126272,18790117,-9999,    9
126272,18790118,-9999,    9
126272,18790119,-9999,    9
126272,18790120,-9999,    9
126272,18790121,-9999,    9
126272,18790122,-9999,    9
126272,18790123,-9999,    9
126272,18790124,-9999,    9
126272,18790125,-9999,    9
126272,18790126,-9999,    9
126272,18790127,-9999,    9
126272,18790128,-9999,    9
126272,18790129,-9999,    9
126272,18790130,-9999,    9
126272,18790131,-9999,    9
126272,18790201,-9999,    9
126272,18790202,-9999,    9
126272,18790203,-9999,    9
126272,18790204,-9999,    9
126272,18790205,-9999,    9
126272,18790206,-9999,    9
126272,18790207,-9999,    9
126272,18790208,-9999,    9
126272,18790209,-9999,    9
126272,18790210,-9999,    9
126272,18790211,-9999,    9
126272,18790212,-9999,    9
126272,18790213,-9999,    9
126272,18790214,-9999,    9
126272,18790215,-9999,    9
126272,18790216,-9999,    9
126272,18790217,-9999,    9
126272,18790218,-9999,    9
126272,18790219,-9999,    9
126272,18790220,-9999,    9
126272,18790221,-9999,    9
126272,18790222,-9999,    9
126272,18790223,-9999,    9
126272,18790224,-9999,    9
126272,18790225,-9999,    9
126272,18790226,-9999,    9
126272,18790227,-9999,    9
126272,18790228,-9999,    9
126272,18790301,-9999,    9
126272,18790302,-9999,    9
126272,18790303,-9999,    9
126272,18790304,-9999,    9
126272,18790305,-9999,    9
126272,18790306,-9999,    9
126272,18790307,-9999,    9
126272,18790308,-9999,    9
126272,18790309,-9999,    9
126272,18790310,-9999,    9
126272,18790311,-9999,    9
126272,18790312,-9999,    9
126272,18790313,-9999,    9
126272,18790314,-9999,    9
126272,18790315,-9999,    9
126272,18790316,-9999,    9
126272,18790317,-9999,    9
126272,18790318,-9999,    9
126272,18790319,-9999,    9
126272,18790320,-9999,    9
126272,18790321,-9999,    9
126272,18790322,-9999,    9
126272,18790323,-9999,    9
126272,18790324,-9999,    9
126272,18790325,-9999,    9
126272,18790326,-9999,    9
126272,18790327,-9999,    9
