EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 26-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station GERMANY, MUENCHEN (STAID: 52).
Blended and updated with sources: 100186 126265 126277 126289 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
126277,18790101,   46,    0
126277,18790102,    7,    0
126277,18790103,   -9,    0
126277,18790104,    4,    0
126277,18790105,  -47,    0
126277,18790106,  -59,    0
126277,18790107,  -79,    0
126277,18790108,  -99,    0
126277,18790109, -139,    0
126277,18790110, -129,    0
126277,18790111, -149,    0
126277,18790112,  -39,    0
126277,18790113,  -53,    0
126277,18790114,  -34,    0
126277,18790115,  -14,    0
126277,18790116,  -11,    0
126277,18790117, -109,    0
126277,18790118,  -64,    0
126277,18790119,  -64,    0
126277,18790120,  -91,    0
126277,18790121, -124,    0
126277,18790122, -134,    0
126277,18790123,  -69,    0
126277,18790124,  -17,    0
126277,18790125,  -14,    0
126277,18790126,  -37,    0
126277,18790127,  -39,    0
126277,18790128,  -47,    0
126277,18790129,  -54,    0
126277,18790130,  -49,    0
126277,18790131,  -41,    0
126277,18790201,  -24,    0
126277,18790202,  -44,    0
126277,18790203,  -44,    0
126277,18790204,   18,    0
126277,18790205,   22,    0
126277,18790206,   -1,    0
126277,18790207,    6,    0
126277,18790208,   14,    0
126277,18790209,   33,    0
126277,18790210,   61,    0
126277,18790211,   37,    0
126277,18790212,   20,    0
126277,18790213,   -8,    0
126277,18790214,  -25,    0
126277,18790215,  -34,    0
126277,18790216,   -9,    0
126277,18790217,   -6,    0
126277,18790218,   -4,    0
126277,18790219,  -23,    0
126277,18790220,  -27,    0
126277,18790221,  -19,    0
126277,18790222,   -9,    0
126277,18790223,  -49,    0
126277,18790224,  -64,    0
126277,18790225, -119,    0
126277,18790226,  -59,    0
126277,18790227,  -41,    0
126277,18790228, -101,    0
126277,18790301,  -44,    0
126277,18790302,  -19,    0
126277,18790303,  -44,    0
126277,18790304,  -37,    0
126277,18790305,  -59,    0
126277,18790306,  -19,    0
126277,18790307,    1,    0
126277,18790308,  -44,    0
126277,18790309,  -49,    0
126277,18790310,  -23,    0
126277,18790311,   39,    0
126277,18790312,   11,    0
126277,18790313,  -33,    0
126277,18790314,  -69,    0
126277,18790315, -102,    0
126277,18790316,   -9,    0
126277,18790317,   36,    0
126277,18790318,  -19,    0
126277,18790319,  -34,    0
126277,18790320,  -14,    0
126277,18790321,   12,    0
126277,18790322,   -9,    0
126277,18790323,   -3,    0
126277,18790324,  -39,    0
126277,18790325,  -49,    0
126277,18790326,  -49,    0
126277,18790327,  -29,    0
126277,18790328,   -9,    0
126277,18790329,   11,    0
126277,18790330,   11,    0
126277,18790331,   17,    0
126277,18790401,   41,    0
126277,18790402,   73,    0
126277,18790403,    6,    0
126277,18790404,   21,    0
126277,18790405,   -4,    0
126277,18790406,   -9,    0
126277,18790407,   33,    0
126277,18790408,   60,    0
126277,18790409,   43,    0
126277,18790410,   46,    0
126277,18790411,   17,    0
126277,18790412,  -14,    0
126277,18790413,  -34,    0
126277,18790414,  -39,    0
126277,18790415,   41,    0
126277,18790416,   51,    0
126277,18790417,   15,    0
126277,18790418,    1,    0
126277,18790419,    5,    0
126277,18790420,   -6,    0
126277,18790421,   31,    0
126277,18790422,   47,    0
126277,18790423,   23,    0
126277,18790424,   12,    0
126277,18790425,   59,    0
126277,18790426,   41,    0
126277,18790427,   46,    0
126277,18790428,   49,    0
126277,18790429,    6,    0
126277,18790430,   15,    0
126277,18790501,    3,    0
126277,18790502,  -20,    0
126277,18790503,  -19,    0
126277,18790504,   -1,    0
126277,18790505,   21,    0
126277,18790506,   14,    0
126277,18790507,   58,    0
126277,18790508,   12,    0
126277,18790509,   51,    0
126277,18790510,    8,    0
126277,18790511,   -1,    0
126277,18790512,    6,    0
126277,18790513,   20,    0
126277,18790514,   32,    0
126277,18790515,   64,    0
126277,18790516,   55,    0
126277,18790517,   46,    0
126277,18790518,   60,    0
126277,18790519,   51,    0
126277,18790520,   62,    0
126277,18790521,   82,    0
126277,18790522,   88,    0
126277,18790523,   77,    0
126277,18790524,   99,    0
126277,18790525,   93,    0
126277,18790526,   93,    0
126277,18790527,  112,    0
126277,18790528,   74,    0
126277,18790529,   65,    0
126277,18790530,   60,    0
126277,18790531,  121,    0
126277,18790601,  121,    0
126277,18790602,  102,    0
126277,18790603,  100,    0
126277,18790604,  111,    0
126277,18790605,  110,    0
126277,18790606,  116,    0
126277,18790607,  110,    0
126277,18790608,  125,    0
126277,18790609,  116,    0
126277,18790610,   98,    0
126277,18790611,   96,    0
126277,18790612,  119,    0
126277,18790613,  102,    0
126277,18790614,   87,    0
126277,18790615,   77,    0
126277,18790616,   87,    0
126277,18790617,  122,    0
126277,18790618,   92,    0
126277,18790619,   97,    0
126277,18790620,   97,    0
126277,18790621,  135,    0
126277,18790622,  125,    0
126277,18790623,  124,    0
126277,18790624,  134,    0
126277,18790625,  116,    0
126277,18790626,   95,    0
126277,18790627,  129,    0
126277,18790628,  140,    0
126277,18790629,  195,    0
126277,18790630,  157,    0
126277,18790701,  125,    0
126277,18790702,   90,    0
126277,18790703,   63,    0
126277,18790704,  116,    0
126277,18790705,   82,    0
126277,18790706,   59,    0
126277,18790707,   73,    0
126277,18790708,  120,    0
126277,18790709,  125,    0
126277,18790710,   96,    0
126277,18790711,   88,    0
126277,18790712,   73,    0
126277,18790713,  106,    0
126277,18790714,  113,    0
126277,18790715,   76,    0
126277,18790716,   74,    0
126277,18790717,   76,    0
126277,18790718,  111,    0
126277,18790719,  107,    0
126277,18790720,  119,    0
126277,18790721,  137,    0
126277,18790722,  106,    0
126277,18790723,  107,    0
126277,18790724,  116,    0
126277,18790725,  116,    0
126277,18790726,  107,    0
126277,18790727,  129,    0
126277,18790728,   97,    0
126277,18790729,   98,    0
126277,18790730,  109,    0
126277,18790731,  145,    0
126277,18790801,  154,    0
126277,18790802,  165,    0
126277,18790803,  162,    0
126277,18790804,  156,    0
126277,18790805,  176,    0
126277,18790806,  142,    0
126277,18790807,  130,    0
126277,18790808,  126,    0
126277,18790809,  138,    0
126277,18790810,  123,    0
126277,18790811,   75,    0
126277,18790812,   73,    0
126277,18790813,   80,    0
126277,18790814,   87,    0
126277,18790815,  107,    0
126277,18790816,  106,    0
126277,18790817,  136,    0
126277,18790818,  102,    0
126277,18790819,  103,    0
126277,18790820,  122,    0
126277,18790821,  129,    0
126277,18790822,  150,    0
126277,18790823,  129,    0
126277,18790824,  150,    0
126277,18790825,  131,    0
126277,18790826,  141,    0
126277,18790827,   92,    0
126277,18790828,  135,    0
126277,18790829,  162,    0
126277,18790830,  132,    0
126277,18790831,  142,    0
126277,18790901,  122,    0
126277,18790902,  106,    0
126277,18790903,   54,    0
126277,18790904,   84,    0
126277,18790905,   82,    0
126277,18790906,  106,    0
126277,18790907,  144,    0
126277,18790908,  117,    0
126277,18790909,   73,    0
126277,18790910,   63,    0
126277,18790911,   76,    0
126277,18790912,   45,    0
126277,18790913,   62,    0
126277,18790914,   82,    0
126277,18790915,  110,    0
126277,18790916,  110,    0
126277,18790917,  106,    0
126277,18790918,  115,    0
126277,18790919,  119,    0
126277,18790920,  130,    0
126277,18790921,  132,    0
126277,18790922,  111,    0
126277,18790923,   80,    0
126277,18790924,   66,    0
126277,18790925,   82,    0
126277,18790926,   63,    0
126277,18790927,   58,    0
126277,18790928,   22,    0
126277,18790929,   63,    0
126277,18790930,   60,    0
126277,18791001,   44,    0
126277,18791002,   71,    0
126277,18791003,  100,    0
126277,18791004,   36,    0
126277,18791005,   41,    0
126277,18791006,   34,    0
126277,18791007,   19,    0
126277,18791008,   23,    0
