EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO BLINDERN (STAID: 193).
Blended and updated with sources: 109755 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
109755,19370301,-9999,    9
109755,19370302,-9999,    9
109755,19370303,-9999,    9
109755,19370304,-9999,    9
109755,19370305,-9999,    9
109755,19370306,-9999,    9
109755,19370307,-9999,    9
109755,19370308,-9999,    9
109755,19370309,-9999,    9
109755,19370310,-9999,    9
109755,19370311,-9999,    9
109755,19370312,-9999,    9
109755,19370313,-9999,    9
109755,19370314,-9999,    9
109755,19370315,-9999,    9
109755,19370316,-9999,    9
109755,19370317,-9999,    9
109755,19370318,-9999,    9
109755,19370319,-9999,    9
109755,19370320,-9999,    9
109755,19370321,-9999,    9
109755,19370322,-9999,    9
109755,19370323,-9999,    9
109755,19370324,-9999,    9
109755,19370325,-9999,    9
109755,19370326,-9999,    9
109755,19370327,-9999,    9
109755,19370328,-9999,    9
109755,19370329,-9999,    9
109755,19370330,-9999,    9
109755,19370331,-9999,    9
109755,19370401,-9999,    9
109755,19370402,-9999,    9
109755,19370403,-9999,    9
109755,19370404,-9999,    9
109755,19370405,-9999,    9
109755,19370406,-9999,    9
109755,19370407,-9999,    9
109755,19370408,-9999,    9
109755,19370409,-9999,    9
109755,19370410,-9999,    9
109755,19370411,-9999,    9
109755,19370412,-9999,    9
109755,19370413,-9999,    9
109755,19370414,-9999,    9
109755,19370415,-9999,    9
109755,19370416,-9999,    9
109755,19370417,-9999,    9
109755,19370418,-9999,    9
109755,19370419,-9999,    9
109755,19370420,-9999,    9
109755,19370421,-9999,    9
109755,19370422,-9999,    9
109755,19370423,-9999,    9
109755,19370424,-9999,    9
109755,19370425,-9999,    9
109755,19370426,-9999,    9
109755,19370427,-9999,    9
109755,19370428,-9999,    9
109755,19370429,-9999,    9
109755,19370430,-9999,    9
109755,19370501,-9999,    9
109755,19370502,-9999,    9
109755,19370503,-9999,    9
109755,19370504,-9999,    9
109755,19370505,-9999,    9
109755,19370506,-9999,    9
109755,19370507,-9999,    9
109755,19370508,-9999,    9
109755,19370509,-9999,    9
109755,19370510,-9999,    9
109755,19370511,-9999,    9
109755,19370512,-9999,    9
109755,19370513,-9999,    9
109755,19370514,-9999,    9
109755,19370515,-9999,    9
109755,19370516,-9999,    9
109755,19370517,-9999,    9
109755,19370518,-9999,    9
109755,19370519,-9999,    9
109755,19370520,-9999,    9
109755,19370521,-9999,    9
109755,19370522,-9999,    9
109755,19370523,-9999,    9
109755,19370524,-9999,    9
109755,19370525,-9999,    9
109755,19370526,-9999,    9
109755,19370527,-9999,    9
109755,19370528,-9999,    9
109755,19370529,-9999,    9
109755,19370530,-9999,    9
109755,19370531,-9999,    9
109755,19370601,-9999,    9
109755,19370602,-9999,    9
109755,19370603,-9999,    9
109755,19370604,-9999,    9
109755,19370605,-9999,    9
109755,19370606,-9999,    9
109755,19370607,-9999,    9
109755,19370608,-9999,    9
109755,19370609,-9999,    9
109755,19370610,-9999,    9
109755,19370611,-9999,    9
109755,19370612,-9999,    9
109755,19370613,-9999,    9
109755,19370614,-9999,    9
109755,19370615,-9999,    9
109755,19370616,-9999,    9
109755,19370617,-9999,    9
109755,19370618,-9999,    9
109755,19370619,-9999,    9
109755,19370620,-9999,    9
109755,19370621,-9999,    9
109755,19370622,-9999,    9
109755,19370623,-9999,    9
109755,19370624,-9999,    9
109755,19370625,-9999,    9
109755,19370626,-9999,    9
109755,19370627,-9999,    9
109755,19370628,-9999,    9
109755,19370629,-9999,    9
109755,19370630,-9999,    9
109755,19370701,-9999,    9
109755,19370702,-9999,    9
109755,19370703,-9999,    9
109755,19370704,-9999,    9
109755,19370705,-9999,    9
109755,19370706,-9999,    9
109755,19370707,-9999,    9
109755,19370708,-9999,    9
109755,19370709,-9999,    9
109755,19370710,-9999,    9
109755,19370711,-9999,    9
109755,19370712,-9999,    9
109755,19370713,-9999,    9
109755,19370714,-9999,    9
109755,19370715,-9999,    9
109755,19370716,-9999,    9
109755,19370717,-9999,    9
109755,19370718,-9999,    9
109755,19370719,-9999,    9
109755,19370720,-9999,    9
109755,19370721,-9999,    9
109755,19370722,-9999,    9
109755,19370723,-9999,    9
109755,19370724,-9999,    9
109755,19370725,-9999,    9
109755,19370726,-9999,    9
109755,19370727,-9999,    9
109755,19370728,-9999,    9
109755,19370729,-9999,    9
109755,19370730,-9999,    9
109755,19370731,-9999,    9
109755,19370801,-9999,    9
109755,19370802,-9999,    9
109755,19370803,-9999,    9
109755,19370804,-9999,    9
109755,19370805,-9999,    9
109755,19370806,-9999,    9
109755,19370807,-9999,    9
109755,19370808,-9999,    9
109755,19370809,-9999,    9
109755,19370810,-9999,    9
109755,19370811,-9999,    9
109755,19370812,-9999,    9
109755,19370813,-9999,    9
109755,19370814,-9999,    9
109755,19370815,-9999,    9
109755,19370816,-9999,    9
109755,19370817,-9999,    9
109755,19370818,-9999,    9
109755,19370819,-9999,    9
109755,19370820,-9999,    9
109755,19370821,-9999,    9
109755,19370822,-9999,    9
109755,19370823,-9999,    9
109755,19370824,-9999,    9
109755,19370825,-9999,    9
109755,19370826,-9999,    9
109755,19370827,-9999,    9
109755,19370828,-9999,    9
109755,19370829,-9999,    9
109755,19370830,-9999,    9
109755,19370831,-9999,    9
109755,19370901,-9999,    9
109755,19370902,-9999,    9
109755,19370903,-9999,    9
109755,19370904,-9999,    9
109755,19370905,-9999,    9
109755,19370906,-9999,    9
109755,19370907,-9999,    9
109755,19370908,-9999,    9
109755,19370909,-9999,    9
109755,19370910,-9999,    9
109755,19370911,-9999,    9
109755,19370912,-9999,    9
109755,19370913,-9999,    9
109755,19370914,-9999,    9
109755,19370915,-9999,    9
109755,19370916,-9999,    9
109755,19370917,-9999,    9
109755,19370918,-9999,    9
109755,19370919,-9999,    9
109755,19370920,-9999,    9
109755,19370921,-9999,    9
109755,19370922,-9999,    9
109755,19370923,-9999,    9
109755,19370924,-9999,    9
109755,19370925,-9999,    9
109755,19370926,-9999,    9
109755,19370927,-9999,    9
109755,19370928,-9999,    9
109755,19370929,-9999,    9
109755,19370930,-9999,    9
109755,19371001,-9999,    9
109755,19371002,-9999,    9
109755,19371003,-9999,    9
109755,19371004,-9999,    9
109755,19371005,-9999,    9
109755,19371006,-9999,    9
109755,19371007,-9999,    9
109755,19371008,-9999,    9
109755,19371009,-9999,    9
109755,19371010,-9999,    9
109755,19371011,-9999,    9
109755,19371012,-9999,    9
109755,19371013,-9999,    9
109755,19371014,-9999,    9
109755,19371015,-9999,    9
109755,19371016,-9999,    9
109755,19371017,-9999,    9
109755,19371018,-9999,    9
109755,19371019,-9999,    9
109755,19371020,-9999,    9
109755,19371021,-9999,    9
109755,19371022,-9999,    9
109755,19371023,-9999,    9
109755,19371024,-9999,    9
109755,19371025,-9999,    9
109755,19371026,-9999,    9
109755,19371027,-9999,    9
109755,19371028,-9999,    9
109755,19371029,-9999,    9
109755,19371030,-9999,    9
109755,19371031,-9999,    9
109755,19371101,-9999,    9
109755,19371102,-9999,    9
109755,19371103,-9999,    9
109755,19371104,-9999,    9
109755,19371105,-9999,    9
109755,19371106,-9999,    9
109755,19371107,-9999,    9
109755,19371108,-9999,    9
109755,19371109,-9999,    9
109755,19371110,-9999,    9
109755,19371111,-9999,    9
109755,19371112,-9999,    9
109755,19371113,-9999,    9
109755,19371114,-9999,    9
109755,19371115,-9999,    9
109755,19371116,-9999,    9
109755,19371117,-9999,    9
109755,19371118,-9999,    9
109755,19371119,-9999,    9
109755,19371120,-9999,    9
109755,19371121,-9999,    9
109755,19371122,-9999,    9
109755,19371123,-9999,    9
109755,19371124,-9999,    9
109755,19371125,-9999,    9
109755,19371126,-9999,    9
109755,19371127,-9999,    9
109755,19371128,-9999,    9
109755,19371129,-9999,    9
109755,19371130,-9999,    9
109755,19371201,-9999,    9
109755,19371202,-9999,    9
109755,19371203,-9999,    9
109755,19371204,-9999,    9
109755,19371205,-9999,    9
109755,19371206,-9999,    9
109755,19371207,-9999,    9
109755,19371208,-9999,    9
109755,19371209,-9999,    9
109755,19371210,-9999,    9
109755,19371211,-9999,    9
109755,19371212,-9999,    9
109755,19371213,-9999,    9
109755,19371214,-9999,    9
109755,19371215,-9999,    9
109755,19371216,-9999,    9
109755,19371217,-9999,    9
109755,19371218,-9999,    9
109755,19371219,-9999,    9
109755,19371220,-9999,    9
109755,19371221,-9999,    9
109755,19371222,-9999,    9
109755,19371223,-9999,    9
109755,19371224,-9999,    9
109755,19371225,-9999,    9
109755,19371226,-9999,    9
109755,19371227,-9999,    9
109755,19371228,-9999,    9
109755,19371229,-9999,    9
109755,19371230,-9999,    9
109755,19371231,-9999,    9
109755,19380101,-9999,    9
109755,19380102,-9999,    9
109755,19380103,-9999,    9
109755,19380104,-9999,    9
109755,19380105,-9999,    9
109755,19380106,-9999,    9
109755,19380107,-9999,    9
109755,19380108,-9999,    9
109755,19380109,-9999,    9
109755,19380110,-9999,    9
109755,19380111,-9999,    9
109755,19380112,-9999,    9
109755,19380113,-9999,    9
109755,19380114,-9999,    9
109755,19380115,-9999,    9
109755,19380116,-9999,    9
109755,19380117,-9999,    9
109755,19380118,-9999,    9
109755,19380119,-9999,    9
109755,19380120,-9999,    9
109755,19380121,-9999,    9
109755,19380122,-9999,    9
109755,19380123,-9999,    9
109755,19380124,-9999,    9
109755,19380125,-9999,    9
109755,19380126,-9999,    9
109755,19380127,-9999,    9
109755,19380128,-9999,    9
109755,19380129,-9999,    9
109755,19380130,-9999,    9
109755,19380131,-9999,    9
109755,19380201,-9999,    9
109755,19380202,-9999,    9
109755,19380203,-9999,    9
109755,19380204,-9999,    9
109755,19380205,-9999,    9
109755,19380206,-9999,    9
109755,19380207,-9999,    9
109755,19380208,-9999,    9
109755,19380209,-9999,    9
109755,19380210,-9999,    9
109755,19380211,-9999,    9
109755,19380212,-9999,    9
109755,19380213,-9999,    9
109755,19380214,-9999,    9
109755,19380215,-9999,    9
109755,19380216,-9999,    9
109755,19380217,-9999,    9
109755,19380218,-9999,    9
109755,19380219,-9999,    9
109755,19380220,-9999,    9
109755,19380221,-9999,    9
109755,19380222,-9999,    9
109755,19380223,-9999,    9
109755,19380224,-9999,    9
109755,19380225,-9999,    9
