EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 SD   : daily Snow depth in 1 cm
23-27 Q_SD : quality code for SD (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO BLINDERN (STAID: 193).
Blended and updated with sources: 109754 901492 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   SD, Q_SD
109754,19370301,    0,    0
109754,19370302,    0,    0
109754,19370303,    0,    0
109754,19370304,    0,    0
109754,19370305,    0,    0
109754,19370306,    0,    0
109754,19370307,    0,    0
109754,19370308,    0,    0
109754,19370309,    0,    0
109754,19370310,    0,    0
109754,19370311,    0,    0
109754,19370312,    0,    0
109754,19370313,    0,    0
109754,19370314,    0,    0
109754,19370315,    0,    0
109754,19370316,    0,    0
109754,19370317,    0,    0
109754,19370318,    0,    0
109754,19370319,    0,    0
109754,19370320,    0,    0
109754,19370321,    0,    0
109754,19370322,    0,    0
109754,19370323,    0,    0
109754,19370324,    0,    0
109754,19370325,    0,    0
109754,19370326,    0,    0
109754,19370327,    0,    0
109754,19370328,    0,    0
109754,19370329,    0,    0
109754,19370330,    0,    0
109754,19370331,    0,    0
109754,19370401,    0,    0
109754,19370402,    0,    0
109754,19370403,    0,    0
109754,19370404,    0,    0
109754,19370405,    0,    0
109754,19370406,    0,    0
109754,19370407,    0,    0
109754,19370408,    0,    0
109754,19370409,    0,    0
109754,19370410,    0,    0
109754,19370411,    0,    0
109754,19370412,    0,    0
109754,19370413,    0,    0
109754,19370414,    0,    0
109754,19370415,    0,    0
109754,19370416,    0,    0
109754,19370417,    0,    0
109754,19370418,    0,    0
109754,19370419,    0,    0
109754,19370420,    0,    0
109754,19370421,    0,    0
109754,19370422,    0,    0
109754,19370423,    0,    0
109754,19370424,    0,    0
109754,19370425,    0,    0
109754,19370426,    0,    0
109754,19370427,    0,    0
109754,19370428,    0,    0
109754,19370429,    0,    0
109754,19370430,    0,    0
109754,19370501,    0,    0
109754,19370502,    0,    0
109754,19370503,    0,    0
109754,19370504,    0,    0
109754,19370505,    0,    0
109754,19370506,    0,    0
109754,19370507,    0,    0
109754,19370508,    0,    0
109754,19370509,    0,    0
109754,19370510,    0,    0
109754,19370511,    0,    0
109754,19370512,    0,    0
109754,19370513,    0,    0
109754,19370514,    0,    0
109754,19370515,    0,    0
109754,19370516,    0,    0
109754,19370517,    0,    0
109754,19370518,    0,    0
109754,19370519,    0,    0
109754,19370520,    0,    0
109754,19370521,    0,    0
109754,19370522,    0,    0
109754,19370523,    0,    0
109754,19370524,    0,    0
109754,19370525,    0,    0
109754,19370526,    0,    0
109754,19370527,    0,    0
109754,19370528,    0,    0
109754,19370529,    0,    0
109754,19370530,    0,    0
109754,19370531,    0,    0
109754,19370601,    0,    0
109754,19370602,    0,    0
109754,19370603,    0,    0
109754,19370604,    0,    0
109754,19370605,    0,    0
109754,19370606,    0,    0
109754,19370607,    0,    0
109754,19370608,    0,    0
109754,19370609,    0,    0
109754,19370610,    0,    0
109754,19370611,    0,    0
109754,19370612,    0,    0
109754,19370613,    0,    0
109754,19370614,    0,    0
109754,19370615,    0,    0
109754,19370616,    0,    0
109754,19370617,    0,    0
109754,19370618,    0,    0
109754,19370619,    0,    0
109754,19370620,    0,    0
109754,19370621,    0,    0
109754,19370622,    0,    0
109754,19370623,    0,    0
109754,19370624,    0,    0
109754,19370625,    0,    0
109754,19370626,    0,    0
109754,19370627,    0,    0
109754,19370628,    0,    0
109754,19370629,    0,    0
109754,19370630,    0,    0
109754,19370701,    0,    0
109754,19370702,    0,    0
109754,19370703,    0,    0
109754,19370704,    0,    0
109754,19370705,    0,    0
109754,19370706,    0,    0
109754,19370707,    0,    0
109754,19370708,    0,    0
109754,19370709,    0,    0
109754,19370710,    0,    0
109754,19370711,    0,    0
109754,19370712,    0,    0
109754,19370713,    0,    0
109754,19370714,    0,    0
109754,19370715,    0,    0
109754,19370716,    0,    0
109754,19370717,    0,    0
109754,19370718,    0,    0
109754,19370719,    0,    0
109754,19370720,    0,    0
109754,19370721,    0,    0
109754,19370722,    0,    0
109754,19370723,    0,    0
109754,19370724,    0,    0
109754,19370725,    0,    0
109754,19370726,    0,    0
109754,19370727,    0,    0
109754,19370728,    0,    0
109754,19370729,    0,    0
109754,19370730,    0,    0
109754,19370731,    0,    0
109754,19370801,    0,    0
109754,19370802,    0,    0
109754,19370803,    0,    0
109754,19370804,    0,    0
109754,19370805,    0,    0
109754,19370806,    0,    0
109754,19370807,    0,    0
109754,19370808,    0,    0
109754,19370809,    0,    0
109754,19370810,    0,    0
109754,19370811,    0,    0
109754,19370812,    0,    0
109754,19370813,    0,    0
109754,19370814,    0,    0
109754,19370815,    0,    0
109754,19370816,    0,    0
109754,19370817,    0,    0
109754,19370818,    0,    0
109754,19370819,    0,    0
109754,19370820,    0,    0
109754,19370821,    0,    0
109754,19370822,    0,    0
109754,19370823,    0,    0
109754,19370824,    0,    0
109754,19370825,    0,    0
109754,19370826,    0,    0
109754,19370827,    0,    0
109754,19370828,    0,    0
109754,19370829,    0,    0
109754,19370830,    0,    0
109754,19370831,    0,    0
109754,19370901,    0,    0
109754,19370902,    0,    0
109754,19370903,    0,    0
109754,19370904,    0,    0
109754,19370905,    0,    0
109754,19370906,    0,    0
109754,19370907,    0,    0
109754,19370908,    0,    0
109754,19370909,    0,    0
109754,19370910,    0,    0
109754,19370911,    0,    0
109754,19370912,    0,    0
109754,19370913,    0,    0
109754,19370914,    0,    0
109754,19370915,    0,    0
109754,19370916,    0,    0
109754,19370917,    0,    0
109754,19370918,    0,    0
109754,19370919,    0,    0
109754,19370920,    0,    0
109754,19370921,    0,    0
109754,19370922,    0,    0
109754,19370923,    0,    0
109754,19370924,    0,    0
109754,19370925,    0,    0
109754,19370926,    0,    0
109754,19370927,    0,    0
109754,19370928,    0,    0
109754,19370929,    0,    0
109754,19370930,    0,    0
109754,19371001,    0,    0
109754,19371002,    0,    0
109754,19371003,    0,    0
109754,19371004,    0,    0
109754,19371005,    0,    0
109754,19371006,    0,    0
109754,19371007,    0,    0
109754,19371008,    0,    0
109754,19371009,    0,    0
109754,19371010,    0,    0
109754,19371011,    0,    0
109754,19371012,    0,    0
109754,19371013,    0,    0
109754,19371014,    0,    0
109754,19371015,    0,    0
109754,19371016,    0,    0
109754,19371017,    0,    0
109754,19371018,    0,    0
109754,19371019,    0,    0
109754,19371020,    0,    0
109754,19371021,    0,    0
109754,19371022,    0,    0
109754,19371023,    0,    0
109754,19371024,    0,    0
109754,19371025,    0,    0
109754,19371026,    0,    0
109754,19371027,    0,    0
109754,19371028,    0,    0
109754,19371029,    0,    0
109754,19371030,    0,    0
109754,19371031,    0,    0
109754,19371101,    0,    0
109754,19371102,    0,    0
109754,19371103,    0,    0
109754,19371104,    0,    0
109754,19371105,    0,    0
109754,19371106,    0,    0
109754,19371107,    0,    0
109754,19371108,    0,    0
109754,19371109,    0,    0
109754,19371110,    0,    0
109754,19371111,    0,    0
109754,19371112,    0,    0
109754,19371113,    0,    0
109754,19371114,    0,    0
109754,19371115,    0,    0
109754,19371116,    0,    0
109754,19371117,    0,    0
109754,19371118,    0,    0
109754,19371119,    0,    0
109754,19371120,    6,    0
109754,19371121,    2,    0
109754,19371122,    2,    0
109754,19371123,    3,    0
109754,19371124,    3,    0
109754,19371125,    4,    0
109754,19371126,    3,    0
109754,19371127,    3,    0
109754,19371128,    3,    0
109754,19371129,    3,    0
109754,19371130,    3,    0
109754,19371201,   20,    0
109754,19371202,   33,    0
109754,19371203,   44,    0
109754,19371204,   42,    0
109754,19371205,   34,    0
109754,19371206,   35,    0
109754,19371207,   44,    0
109754,19371208,   40,    0
109754,19371209,   39,    0
109754,19371210,   38,    0
109754,19371211,   37,    0
109754,19371212,   37,    0
109754,19371213,   48,    0
109754,19371214,   54,    0
109754,19371215,   52,    0
109754,19371216,   52,    0
109754,19371217,   50,    0
109754,19371218,   54,    0
109754,19371219,   52,    0
109754,19371220,   52,    0
109754,19371221,   50,    0
109754,19371222,   52,    0
109754,19371223,   48,    0
109754,19371224,   52,    0
109754,19371225,   62,    0
109754,19371226,   59,    0
109754,19371227,   59,    0
109754,19371228,   55,    0
109754,19371229,   53,    0
109754,19371230,   52,    0
109754,19371231,   51,    0
109754,19380101,   51,    0
109754,19380102,   52,    0
109754,19380103,   51,    0
109754,19380104,   50,    0
109754,19380105,   49,    0
109754,19380106,   49,    0
109754,19380107,   48,    0
109754,19380108,   48,    0
109754,19380109,   49,    0
109754,19380110,   50,    0
109754,19380111,   50,    0
109754,19380112,   50,    0
109754,19380113,   50,    0
109754,19380114,   55,    0
109754,19380115,   53,    0
109754,19380116,   49,    0
109754,19380117,   47,    0
109754,19380118,   46,    0
109754,19380119,   46,    0
109754,19380120,   47,    0
109754,19380121,   47,    0
109754,19380122,   45,    0
109754,19380123,   45,    0
109754,19380124,   43,    0
109754,19380125,   43,    0
109754,19380126,   42,    0
109754,19380127,   42,    0
109754,19380128,   42,    0
109754,19380129,   46,    0
109754,19380130,   47,    0
109754,19380131,   47,    0
109754,19380201,   46,    0
109754,19380202,   43,    0
109754,19380203,   42,    0
109754,19380204,   42,    0
109754,19380205,   42,    0
109754,19380206,   38,    0
109754,19380207,   36,    0
109754,19380208,   35,    0
109754,19380209,   35,    0
109754,19380210,   36,    0
109754,19380211,   35,    0
109754,19380212,   34,    0
109754,19380213,   34,    0
109754,19380214,   33,    0
109754,19380215,   32,    0
109754,19380216,   32,    0
109754,19380217,   32,    0
109754,19380218,   32,    0
109754,19380219,   32,    0
109754,19380220,   32,    0
109754,19380221,   32,    0
109754,19380222,   32,    0
109754,19380223,   31,    0
109754,19380224,   31,    0
109754,19380225,   31,    0
109754,19380226,   31,    0
109754,19380227,   29,    0
109754,19380228,   29,    0
109754,19380301,   27,    0
109754,19380302,   26,    0
109754,19380303,   25,    0
109754,19380304,   23,    0
109754,19380305,   21,    0
109754,19380306,   18,    0
109754,19380307,   16,    0
109754,19380308,   16,    0
109754,19380309,   16,    0
109754,19380310,   14,    0
109754,19380311,   12,    0
109754,19380312,   10,    0
109754,19380313,   10,    0
109754,19380314,   10,    0
109754,19380315,    8,    0
109754,19380316,    7,    0
109754,19380317,    6,    0
109754,19380318,    4,    0
109754,19380319,    2,    0
109754,19380320,    2,    0
109754,19380321,    1,    0
109754,19380322,    0,    0
109754,19380323,    0,    0
109754,19380324,    0,    0
109754,19380325,    0,    0
109754,19380326,    0,    0
109754,19380327,    0,    0
109754,19380328,    0,    0
109754,19380329,    0,    0
109754,19380330,    0,    0
109754,19380331,    2,    0
109754,19380401,    0,    0
109754,19380402,    0,    0
109754,19380403,    0,    0
109754,19380404,    0,    0
109754,19380405,    0,    0
109754,19380406,    0,    0
109754,19380407,    0,    0
109754,19380408,    0,    0
109754,19380409,    0,    0
109754,19380410,    0,    0
109754,19380411,    0,    0
109754,19380412,    0,    0
109754,19380413,    0,    0
109754,19380414,    0,    0
109754,19380415,    0,    0
109754,19380416,    0,    0
109754,19380417,    1,    0
109754,19380418,    0,    0
109754,19380419,    0,    0
109754,19380420,    0,    0
109754,19380421,    0,    0
109754,19380422,    0,    0
109754,19380423,    0,    0
109754,19380424,    0,    0
109754,19380425,    0,    0
109754,19380426,    0,    0
109754,19380427,    0,    0
109754,19380428,    0,    0
109754,19380429,    0,    0
109754,19380430,    0,    0
109754,19380501,    0,    0
109754,19380502,    0,    0
109754,19380503,    0,    0
109754,19380504,    0,    0
109754,19380505,    0,    0
109754,19380506,    0,    0
109754,19380507,    0,    0
109754,19380508,    0,    0
109754,19380509,    0,    0
109754,19380510,    0,    0
109754,19380511,    0,    0
109754,19380512,    0,    0
109754,19380513,    0,    0
109754,19380514,    0,    0
109754,19380515,    0,    0
109754,19380516,    0,    0
109754,19380517,    0,    0
109754,19380518,    0,    0
109754,19380519,    0,    0
109754,19380520,    0,    0
109754,19380521,    0,    0
109754,19380522,    0,    0
109754,19380523,    0,    0
109754,19380524,    0,    0
109754,19380525,    0,    0
109754,19380526,    0,    0
109754,19380527,    0,    0
109754,19380528,    0,    0
109754,19380529,    0,    0
109754,19380530,    0,    0
109754,19380531,    0,    0
109754,19380601,    0,    0
109754,19380602,    0,    0
109754,19380603,    0,    0
109754,19380604,    0,    0
109754,19380605,    0,    0
109754,19380606,    0,    0
109754,19380607,    0,    0
109754,19380608,    0,    0
109754,19380609,    0,    0
109754,19380610,    0,    0
109754,19380611,    0,    0
109754,19380612,    0,    0
109754,19380613,    0,    0
109754,19380614,    0,    0
109754,19380615,    0,    0
109754,19380616,    0,    0
109754,19380617,    0,    0
109754,19380618,    0,    0
109754,19380619,    0,    0
109754,19380620,    0,    0
109754,19380621,    0,    0
109754,19380622,    0,    0
109754,19380623,    0,    0
109754,19380624,    0,    0
109754,19380625,    0,    0
109754,19380626,    0,    0
109754,19380627,    0,    0
109754,19380628,    0,    0
109754,19380629,    0,    0
109754,19380630,    0,    0
109754,19380701,    0,    0
109754,19380702,    0,    0
109754,19380703,    0,    0
109754,19380704,    0,    0
109754,19380705,    0,    0
109754,19380706,    0,    0
109754,19380707,    0,    0
109754,19380708,    0,    0
109754,19380709,    0,    0
109754,19380710,    0,    0
109754,19380711,    0,    0
109754,19380712,    0,    0
109754,19380713,    0,    0
109754,19380714,    0,    0
109754,19380715,    0,    0
109754,19380716,    0,    0
109754,19380717,    0,    0
109754,19380718,    0,    0
109754,19380719,    0,    0
109754,19380720,    0,    0
109754,19380721,    0,    0
109754,19380722,    0,    0
109754,19380723,    0,    0
109754,19380724,    0,    0
109754,19380725,    0,    0
109754,19380726,    0,    0
109754,19380727,    0,    0
109754,19380728,    0,    0
109754,19380729,    0,    0
109754,19380730,    0,    0
109754,19380731,    0,    0
109754,19380801,    0,    0
109754,19380802,    0,    0
109754,19380803,    0,    0
109754,19380804,    0,    0
109754,19380805,    0,    0
109754,19380806,    0,    0
109754,19380807,    0,    0
109754,19380808,    0,    0
109754,19380809,    0,    0
109754,19380810,    0,    0
109754,19380811,    0,    0
109754,19380812,    0,    0
109754,19380813,    0,    0
109754,19380814,    0,    0
109754,19380815,    0,    0
109754,19380816,    0,    0
109754,19380817,    0,    0
109754,19380818,    0,    0
109754,19380819,    0,    0
109754,19380820,    0,    0
109754,19380821,    0,    0
109754,19380822,    0,    0
109754,19380823,    0,    0
109754,19380824,    0,    0
