EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 TN   : daily Minimum temperature in 0.1 &#176;C
23-27 Q_TN : quality code for TN (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station NORWAY, OSLO BLINDERN (STAID: 193).
Blended and updated with sources: 100600 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   TN, Q_TN
100600,19370101,   49,    0
100600,19370102,    8,    0
100600,19370103,    2,    0
100600,19370104,   -1,    0
100600,19370105,    5,    0
100600,19370106,    9,    0
100600,19370107,  -14,    0
100600,19370108,  -67,    0
100600,19370109,  -64,    0
100600,19370110,  -50,    0
100600,19370111,   -7,    0
100600,19370112,  -25,    0
100600,19370113,  -22,    0
100600,19370114,  -15,    0
100600,19370115,  -13,    0
100600,19370116,  -19,    0
100600,19370117,  -30,    0
100600,19370118,  -39,    0
100600,19370119,  -45,    0
100600,19370120,  -35,    0
100600,19370121,  -80,    0
100600,19370122,  -84,    0
100600,19370123,  -69,    0
100600,19370124,  -11,    0
100600,19370125,  -46,    0
100600,19370126,  -58,    0
100600,19370127, -128,    0
100600,19370128, -126,    0
100600,19370129,  -75,    0
100600,19370130,  -74,    0
100600,19370131,  -84,    0
100600,19370201,  -85,    0
100600,19370202,  -74,    0
100600,19370203, -105,    0
100600,19370204,  -78,    0
100600,19370205,  -52,    0
100600,19370206,  -46,    0
100600,19370207,  -60,    0
100600,19370208, -120,    0
100600,19370209, -135,    0
100600,19370210, -119,    0
100600,19370211,  -41,    0
100600,19370212,  -24,    0
100600,19370213,  -43,    0
100600,19370214, -112,    0
100600,19370215,  -95,    0
100600,19370216,  -50,    0
100600,19370217,  -65,    0
100600,19370218,  -59,    0
100600,19370219,  -84,    0
100600,19370220,  -56,    0
100600,19370221,  -60,    0
100600,19370222,  -50,    0
100600,19370223,  -53,    0
100600,19370224,  -83,    0
100600,19370225, -125,    0
100600,19370226, -125,    0
100600,19370227, -103,    0
100600,19370228,  -64,    0
100600,19370301,    0,    0
100600,19370302,    8,    0
100600,19370303,   -7,    0
100600,19370304,  -33,    0
100600,19370305,  -60,    0
100600,19370306,  -60,    0
100600,19370307, -156,    0
100600,19370308, -122,    0
100600,19370309, -169,    0
100600,19370310, -142,    0
100600,19370311, -144,    0
100600,19370312, -153,    0
100600,19370313,  -99,    0
100600,19370314,  -80,    0
100600,19370315,  -50,    0
100600,19370316,  -13,    0
100600,19370317,    4,    0
100600,19370318,  -22,    0
100600,19370319,  -75,    0
100600,19370320,    0,    0
100600,19370321,    6,    0
100600,19370322,   -1,    0
100600,19370323,  -25,    0
100600,19370324,  -68,    0
100600,19370325,  -19,    0
100600,19370326,  -13,    0
100600,19370327,  -12,    0
100600,19370328,  -16,    0
100600,19370329,  -51,    0
100600,19370330,  -56,    0
100600,19370331,  -90,    0
100600,19370401,  -65,    0
100600,19370402,  -41,    0
100600,19370403,    8,    0
100600,19370404,   15,    0
100600,19370405,   24,    0
100600,19370406,   29,    0
100600,19370407,   26,    0
100600,19370408,   31,    0
100600,19370409,   30,    0
100600,19370410,   32,    0
100600,19370411,   25,    0
100600,19370412,   30,    0
100600,19370413,   38,    0
100600,19370414,   28,    0
100600,19370415,   28,    0
100600,19370416,   34,    0
100600,19370417,   44,    0
100600,19370418,   50,    0
100600,19370419,   41,    0
100600,19370420,   47,    0
100600,19370421,   49,    0
100600,19370422,   60,    0
100600,19370423,   45,    0
100600,19370424,   45,    0
100600,19370425,   43,    0
100600,19370426,   64,    0
100600,19370427,   65,    0
100600,19370428,   53,    0
100600,19370429,   29,    0
