EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 FG   : daily Wind speed in 0.1 m/s
23-27 Q_FG : quality code for FG (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PERPIGNAN (STAID: 36).
Blended and updated with sources: 176123 907747 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   FG, Q_FG
176123,19241201,   50,    0
176123,19241202,   10,    0
176123,19241203,  180,    0
176123,19241204,   30,    0
176123,19241205,   40,    0
176123,19241206,   70,    0
176123,19241207,   20,    0
176123,19241208,    0,    0
176123,19241209,    0,    0
176123,19241210,    0,    0
176123,19241211,    0,    0
176123,19241212,   30,    0
176123,19241213,   30,    0
176123,19241214,  100,    0
176123,19241215,    0,    0
176123,19241216,    0,    0
176123,19241217,    0,    0
176123,19241218,    0,    0
176123,19241219,    0,    0
176123,19241220,    0,    0
176123,19241221,    0,    0
176123,19241222,    0,    0
176123,19241223,    0,    0
176123,19241224,    0,    0
176123,19241225,    0,    0
176123,19241226,   40,    0
176123,19241227,    0,    0
176123,19241228,  100,    0
176123,19241229,   60,    0
176123,19241230,    0,    0
176123,19241231,    0,    0
176123,19250101,    0,    0
176123,19250102,   20,    0
176123,19250103,    0,    0
176123,19250104,    0,    0
176123,19250105,   20,    0
176123,19250106,   90,    0
176123,19250107,   80,    0
176123,19250108,    0,    0
176123,19250109,   20,    0
176123,19250110,    0,    0
176123,19250111,    0,    0
176123,19250112,    0,    0
176123,19250113,   20,    0
176123,19250114,    0,    0
176123,19250115,    0,    0
176123,19250116,   40,    0
176123,19250117,    0,    0
176123,19250118,    0,    0
176123,19250119,   10,    0
176123,19250120,    0,    0
176123,19250121,   20,    0
176123,19250122,   50,    0
176123,19250123,   10,    0
176123,19250124,    0,    0
176123,19250125,    0,    0
176123,19250126,    0,    0
176123,19250127,    0,    0
176123,19250128,   20,    0
176123,19250129,   80,    0
176123,19250130,  100,    0
176123,19250131,    0,    0
176123,19250201,  100,    0
176123,19250202,  120,    0
176123,19250203,   20,    0
176123,19250204,   70,    0
176123,19250205,    0,    0
176123,19250206,   20,    0
176123,19250207,   90,    0
176123,19250208,   80,    0
176123,19250209,   60,    0
176123,19250210,   30,    0
176123,19250211,  140,    0
176123,19250212,   60,    0
176123,19250213,    0,    0
176123,19250214,  120,    0
176123,19250215,   50,    0
176123,19250216,   60,    0
176123,19250217,    0,    0
176123,19250218,   10,    0
176123,19250219,   50,    0
176123,19250220,    0,    0
176123,19250221,   50,    0
176123,19250222,  100,    0
176123,19250223,  150,    0
176123,19250224,    0,    0
176123,19250225,  170,    0
176123,19250226,   10,    0
176123,19250227,   40,    0
176123,19250228,  120,    0
176123,19250301,    0,    0
176123,19250302,   80,    0
176123,19250303,    0,    0
176123,19250304,   60,    0
176123,19250305,   50,    0
176123,19250306,  100,    0
176123,19250307,    0,    0
176123,19250308,   80,    0
176123,19250309,  150,    0
176123,19250310,   60,    0
176123,19250311,   60,    0
176123,19250312,  150,    0
176123,19250313,   80,    0
176123,19250314,   10,    0
176123,19250315,  140,    0
176123,19250316,  140,    0
176123,19250317,  160,    0
176123,19250318,   40,    0
176123,19250319,  120,    0
176123,19250320,   10,    0
176123,19250321,  130,    0
176123,19250322,   70,    0
176123,19250323,  130,    0
176123,19250324,  140,    0
176123,19250325,  180,    0
176123,19250326,  140,    0
176123,19250327,   20,    0
176123,19250328,   70,    0
176123,19250329,  120,    0
176123,19250330,   20,    0
176123,19250331,   50,    0
176123,19250401,   40,    0
176123,19250402,   20,    0
176123,19250403,   20,    0
176123,19250404,   70,    0
176123,19250405,   60,    0
176123,19250406,  120,    0
176123,19250407,   80,    0
176123,19250408,  110,    0
176123,19250409,   70,    0
176123,19250410,  130,    0
176123,19250411,  140,    0
176123,19250412,   90,    0
176123,19250413,  160,    0
176123,19250414,  160,    0
176123,19250415,  120,    0
176123,19250416,  160,    0
176123,19250417,   50,    0
176123,19250418,   40,    0
176123,19250419,   50,    0
176123,19250420,   40,    0
176123,19250421,   70,    0
176123,19250422,  130,    0
176123,19250423,   10,    0
176123,19250424,  170,    0
176123,19250425,  120,    0
176123,19250426,  140,    0
176123,19250427,  140,    0
176123,19250428,   10,    0
176123,19250429,   20,    0
176123,19250430,   30,    0
176123,19250501,  200,    0
176123,19250502,  120,    0
176123,19250503,   20,    0
176123,19250504,   20,    0
176123,19250505,   50,    0
176123,19250506,   10,    0
176123,19250507,   40,    0
176123,19250508,   30,    0
176123,19250509,   50,    0
176123,19250510,   90,    0
176123,19250511,  150,    0
176123,19250512,  170,    0
176123,19250513,   30,    0
176123,19250514,   60,    0
176123,19250515,   20,    0
176123,19250516,   30,    0
176123,19250517,   50,    0
176123,19250518,   10,    0
176123,19250519,  140,    0
176123,19250520,   60,    0
176123,19250521,   30,    0
176123,19250522,   70,    0
176123,19250523,   60,    0
176123,19250524,    0,    0
176123,19250525,  130,    0
176123,19250526,  110,    0
176123,19250527,    0,    0
176123,19250528,  150,    0
176123,19250529,  140,    0
176123,19250530,   60,    0
176123,19250531,   30,    0
176123,19250601,   20,    0
176123,19250602,    0,    0
176123,19250603,   30,    0
176123,19250604,    0,    0
176123,19250605,   50,    0
176123,19250606,    0,    0
176123,19250607,   30,    0
176123,19250608,   30,    0
176123,19250609,    0,    0
176123,19250610,   70,    0
176123,19250611,   50,    0
176123,19250612,   30,    0
176123,19250613,   50,    0
176123,19250614,  140,    0
176123,19250615,   60,    0
176123,19250616,   30,    0
176123,19250617,   20,    0
176123,19250618,   80,    0
176123,19250619,   80,    0
176123,19250620,   60,    0
176123,19250621,  100,    0
176123,19250622,   90,    0
176123,19250623,   50,    0
176123,19250624,  100,    0
176123,19250625,  140,    0
176123,19250626,  140,    0
176123,19250627,  100,    0
176123,19250628,  120,    0
176123,19250629,   30,    0
176123,19250630,   20,    0
176123,19250701,   40,    0
176123,19250702,   30,    0
176123,19250703,   30,    0
176123,19250704,   30,    0
176123,19250705,  120,    0
176123,19250706,   50,    0
176123,19250707,   30,    0
176123,19250708,   30,    0
176123,19250709,  140,    0
176123,19250710,  120,    0
176123,19250711,   50,    0
176123,19250712,   80,    0
176123,19250713,  100,    0
176123,19250714,  100,    0
176123,19250715,   50,    0
176123,19250716,   30,    0
176123,19250717,   80,    0
176123,19250718,   30,    0
176123,19250719,   50,    0
176123,19250720,   60,    0
176123,19250721,   80,    0
176123,19250722,  140,    0
176123,19250723,   30,    0
176123,19250724,  110,    0
176123,19250725,   70,    0
176123,19250726,   20,    0
176123,19250727,   40,    0
176123,19250728,    0,    0
176123,19250729,   20,    0
176123,19250730,   80,    0
176123,19250731,    0,    0
176123,19250801,  120,    0
176123,19250802,  140,    0
176123,19250803,   30,    0
176123,19250804,   60,    0
176123,19250805,   40,    0
176123,19250806,    0,    0
176123,19250807,   30,    0
176123,19250808,   30,    0
176123,19250809,   30,    0
176123,19250810,   70,    0
176123,19250811,   80,    0
176123,19250812,   60,    0
176123,19250813,   40,    0
176123,19250814,   30,    0
176123,19250815,   10,    0
176123,19250816,   40,    0
176123,19250817,   20,    0
176123,19250818,   50,    0
176123,19250819,   20,    0
176123,19250820,   70,    0
176123,19250821,   40,    0
176123,19250822,   30,    0
176123,19250823,   50,    0
176123,19250824,   90,    0
176123,19250825,  130,    0
176123,19250826,  120,    0
176123,19250827,   80,    0
176123,19250828,   80,    0
176123,19250829,   60,    0
176123,19250830,  100,    0
176123,19250831,   80,    0
176123,19250901,    0,    0
176123,19250902,   60,    0
176123,19250903,  130,    0
176123,19250904,  120,    0
176123,19250905,  110,    0
176123,19250906,   80,    0
176123,19250907,   40,    0
176123,19250908,    0,    0
176123,19250909,    0,    0
176123,19250910,   20,    0
176123,19250911,   60,    0
176123,19250912,  140,    0
176123,19250913,   70,    0
176123,19250914,    0,    0
176123,19250915,   40,    0
176123,19250916,   20,    0
176123,19250917,    0,    0
176123,19250918,    0,    0
176123,19250919,    0,    0
176123,19250920,  110,    0
176123,19250921,    0,    0
176123,19250922,    0,    0
176123,19250923,    0,    0
176123,19250924,   90,    0
176123,19250925,   50,    0
176123,19250926,    0,    0
176123,19250927,  140,    0
176123,19250928,  160,    0
176123,19250929,  150,    0
176123,19250930,  100,    0
176123,19251001,   80,    0
176123,19251002,   40,    0
176123,19251003,   40,    0
176123,19251004,    0,    0
176123,19251005,    0,    0
176123,19251006,    0,    0
176123,19251007,    0,    0
176123,19251008,  100,    0
176123,19251009,   20,    0
176123,19251010,   20,    0
176123,19251011,    0,    0
176123,19251012,   20,    0
176123,19251013,   80,    0
176123,19251014,   80,    0
176123,19251015,  120,    0
176123,19251016,   60,    0
176123,19251017,   20,    0
176123,19251018,    0,    0
176123,19251019,   60,    0
176123,19251020,    0,    0
176123,19251021,    0,    0
176123,19251022,   80,    0
176123,19251023,    0,    0
176123,19251024,  120,    0
176123,19251025,   80,    0
176123,19251026,    0,    0
176123,19251027,    0,    0
176123,19251028,   20,    0
176123,19251029,   20,    0
176123,19251030,  110,    0
176123,19251031,   80,    0
176123,19251101,    0,    0
176123,19251102,    0,    0
176123,19251103,    0,    0
176123,19251104,    0,    0
176123,19251105,   30,    0
176123,19251106,   80,    0
176123,19251107,    0,    0
176123,19251108,    0,    0
176123,19251109,  120,    0
176123,19251110,   50,    0
176123,19251111,   40,    0
