EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 HU   : daily Humidity in 1 %
23-27 Q_HU : quality code for HU (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PERPIGNAN (STAID: 36).
Blended and updated with sources: 176122 907747 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   HU, Q_HU
176122,19241201,   52,    0
176122,19241202,   85,    0
176122,19241203,   73,    0
176122,19241204,   71,    0
176122,19241205,   68,    0
176122,19241206,   64,    0
176122,19241207,   56,    0
176122,19241208,   79,    0
176122,19241209,   88,    0
176122,19241210,   87,    0
176122,19241211,   78,    0
176122,19241212,   87,    0
176122,19241213,   70,    0
176122,19241214,   65,    0
176122,19241215,   80,    0
176122,19241216,   91,    0
176122,19241217,   82,    0
176122,19241218,   83,    0
176122,19241219,   75,    0
176122,19241220,   85,    0
176122,19241221,   84,    0
176122,19241222,   88,    0
176122,19241223,   88,    0
176122,19241224,   90,    0
176122,19241225,   71,    0
176122,19241226,   60,    0
176122,19241227,   82,    0
176122,19241228,   74,    0
176122,19241229,   73,    0
176122,19241230,   77,    0
176122,19241231,   70,    0
176122,19250101,   80,    0
176122,19250102,   88,    0
176122,19250103,   88,    0
176122,19250104,   85,    0
176122,19250105,   78,    0
176122,19250106,   70,    0
176122,19250107,   34,    0
176122,19250108,   76,    0
176122,19250109,   68,    0
176122,19250110,   69,    0
176122,19250111,   85,    0
176122,19250112,   87,    0
176122,19250113,   82,    0
176122,19250114,   85,    0
176122,19250115,   83,    0
176122,19250116,   38,    0
176122,19250117,   73,    0
176122,19250118,   85,    0
176122,19250119,   60,    0
176122,19250120,   79,    0
176122,19250121,   84,    0
176122,19250122,   69,    0
176122,19250123,   65,    0
176122,19250124,   71,    0
176122,19250125,   86,    0
176122,19250126,   87,    0
176122,19250127,   82,    0
176122,19250128,   84,    0
176122,19250129,   60,    0
176122,19250130,   56,    0
176122,19250131,   64,    0
176122,19250201,   64,    0
176122,19250202,   58,    0
176122,19250203,   50,    0
176122,19250204,   50,    0
176122,19250205,   66,    0
176122,19250206,   80,    0
176122,19250207,   61,    0
176122,19250208,   62,    0
176122,19250209,   65,    0
176122,19250210,   83,    0
176122,19250211,   77,    0
176122,19250212,   73,    0
176122,19250213,   81,    0
176122,19250214,   57,    0
176122,19250215,   67,    0
176122,19250216,   60,    0
176122,19250217,   78,    0
176122,19250218,  100,    0
176122,19250219,   76,    0
176122,19250220,   89,    0
176122,19250221,   62,    0
176122,19250222,   67,    0
176122,19250223,   77,    0
176122,19250224,   87,    0
176122,19250225,   52,    0
176122,19250226,   77,    0
176122,19250227,   75,    0
176122,19250228,   54,    0
176122,19250301,   76,    0
176122,19250302,   96,    0
176122,19250303,   85,    0
176122,19250304,   76,    0
176122,19250305,   71,    0
176122,19250306,   57,    0
176122,19250307,   64,    0
176122,19250308,   67,    0
176122,19250309,   81,    0
176122,19250310,   35,    0
176122,19250311,   41,    0
176122,19250312,   36,    0
176122,19250313,   33,    0
176122,19250314,   57,    0
176122,19250315,   57,    0
176122,19250316,   36,    0
176122,19250317,   36,    0
176122,19250318,   70,    0
176122,19250319,   43,    0
176122,19250320,   47,    0
176122,19250321,   47,    0
176122,19250322,   51,    0
176122,19250323,   40,    0
176122,19250324,   36,    0
176122,19250325,   73,    0
176122,19250326,   69,    0
176122,19250327,   86,    0
176122,19250328,   64,    0
176122,19250329,   60,    0
176122,19250330,   57,    0
176122,19250331,   85,    0
176122,19250401,   90,    0
176122,19250402,   83,    0
176122,19250403,   92,    0
176122,19250404,   68,    0
176122,19250405,   66,    0
