EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 22-04-2021
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 PP   : daily Sea level pressure in 0.1 hPa
23-27 Q_PP : quality code for PP (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station FRANCE, PERPIGNAN (STAID: 36).
Blended and updated with sources: 100118 907747 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   PP, Q_PP
100118,19241201, 1005,    1
100118,19241202,  998,    1
100118,19241203,  999,    1
100118,19241204, 1015,    1
100118,19241205, 1025,    1
100118,19241206, 1032,    1
100118,19241207, 1026,    1
100118,19241208, 1023,    1
100118,19241209, 1021,    1
100118,19241210, 1021,    1
100118,19241211, 1021,    1
100118,19241212, 1024,    1
100118,19241213, 1020,    1
100118,19241214, 1017,    1
100118,19241215, 1018,    1
100118,19241216, 1017,    1
100118,19241217, 1025,    1
100118,19241218, 1026,    1
100118,19241219, 1028,    1
100118,19241220, 1029,    1
100118,19241221, 1028,    1
100118,19241222, 1029,    1
100118,19241223, 1028,    1
100118,19241224, 1026,    1
100118,19241225, 1022,    1
100118,19241226, 1018,    1
100118,19241227, 1014,    1
100118,19241228, 1015,    1
100118,19241229, 1027,    1
100118,19241230, 1023,    1
100118,19241231, 1024,    1
100118,19250101, 1027,    1
100118,19250102, 1023,    1
100118,19250103, 1022,    1
100118,19250104, 1024,    1
100118,19250105, 1029,    1
100118,19250106, 1028,    1
100118,19250107, 1029,    1
100118,19250108, 1028,    1
100118,19250109, 1028,    1
100118,19250110, 1026,    1
100118,19250111, 1030,    1
100118,19250112, 1026,    1
100118,19250113, 1028,    1
100118,19250114, 1031,    1
100118,19250115, 1039,    1
100118,19250116, 1035,    1
100118,19250117, 1036,    1
100118,19250118, 1034,    1
100118,19250119, 1034,    1
100118,19250120, 1034,    1
100118,19250121, 1034,    1
100118,19250122, 1031,    1
100118,19250123, 1034,    1
100118,19250124, 1030,    1
100118,19250125, 1028,    1
100118,19250126, 1029,    1
100118,19250127, 1028,    1
100118,19250128, 1031,    1
100118,19250129, 1033,    1
100118,19250130, 1030,    1
100118,19250131, 1026,    1
100118,19250201, 1027,    1
100118,19250202, 1029,    1
100118,19250203, 1031,    1
100118,19250204, 1031,    1
100118,19250205, 1029,    1
100118,19250206, 1023,    1
100118,19250207, 1023,    1
100118,19250208, 1023,    1
100118,19250209, 1027,    1
100118,19250210, 1022,    1
100118,19250211, 1012,    1
100118,19250212, 1013,    1
100118,19250213, 1001,    1
100118,19250214,  993,    1
100118,19250215, 1005,    1
100118,19250216, 1013,    1
100118,19250217, 1016,    1
100118,19250218, 1017,    1
100118,19250219, 1014,    1
100118,19250220, 1009,    1
100118,19250221, 1006,    1
100118,19250222, 1010,    1
100118,19250223, 1010,    1
100118,19250224, 1012,    1
100118,19250225, 1008,    1
100118,19250226, 1000,    1
100118,19250227, 1002,    1
100118,19250228,  999,    1
100118,19250301, 1002,    1
100118,19250302,  997,    1
100118,19250303, 1005,    1
100118,19250304, 1015,    1
100118,19250305, 1020,    1
100118,19250306, 1017,    1
100118,19250307, 1016,    1
100118,19250308, 1014,    1
100118,19250309, 1021,    1
100118,19250310, 1027,    1
100118,19250311, 1020,    1
100118,19250312, 1022,    1
